,feature,value,min,max,normalized_value
0,disp.ratio_mean_02,0.9440684751417792,0.3839196211957979,1.3007520022658896,0.6109610278949756
1,ela_distr.skewness,1.6040811545471534,-2.763102312123164,19.993249558633128,0.19191052640922174
2,ela_meta.lin_simple.adj_r2,0.1613391510963601,-0.0284992195815307,1.0,0.1845780405697644
3,ela_meta.lin_simple.intercept,0.3348904489515044,0.0056260062726121,0.8720562074894659,0.38002419839065904
4,ela_meta.lin_simple.coef.max,0.0952724721718231,0.0004804319743781,0.1059901008888606,0.8984204118228791
5,ela_meta.quad_simple.adj_r2,0.2060087327833089,-0.0064834727826486,1.0,0.21112339279499073
6,ic.eps_ratio,-0.4954954954954953,-4.019019019019019,-0.4954954954954953,1.0
7,ic.eps_s,0.3653653653653652,-1.5965965965965965,0.3653653653653652,1.0
8,nbc.nb_fitness.cor,-0.4008855500563459,-0.6294923117069361,-0.0839526909280438,0.419047036994669
9,pca.expl_var_PC1.cov_init,0.1996360750143207,0.1996360750143207,0.2782429120164366,0.0
10,ela_level.mmce_qda_25,0.254,0.01600001,0.3,0.8380281633108508
11,ela_level.lda_qda_25,1.0062992125984251,0.2702701789627774,6.447759991089553,0.11914694415048317
