evaluations raw_y x0 x1 x2 x3 x4
1 1.6047295040 -0.248928 0.248928 0.248928 0.248928 -0.248928
2 4.4049701474 0.601231 -0.601231 -0.601231 -0.601231 0.601231
3 -178567.2236943122 4.877833 -4.877833 -4.877833 -4.877833 4.877833
4 17232.3131606419 -4.605106 4.605106 4.605106 4.605106 -4.605106
5 852.8706574174 -2.540968 2.540968 2.540968 2.540968 -2.540968
6 -7021.8931145802 2.820915 -2.820915 -2.820915 -2.820915 2.820915
7 -2316.0059435207 2.326088 -2.326088 -2.326088 -2.326088 2.326088
8 278.1023270562 -1.981064 1.981064 1.981064 1.981064 -1.981064
9 140.7089109158 -1.701131 1.701131 1.701131 1.701131 -1.701131
10 -102.0836154017 1.356181 -1.356181 -1.356181 -1.356181 1.356181
11 -13724.2981110718 3.166006 -3.166006 -3.166006 -3.166006 3.166006
12 3557.9198450193 -3.446027 3.446027 3.446027 3.446027 -3.446027
13 10830.3146251702 -4.252870 4.252870 4.252870 4.252870 -4.252870
14 -52776.3106521091 3.980218 -3.980218 -3.980218 -3.980218 3.980218
15 -2.1596085093 0.873970 -0.873970 -0.873970 -0.873970 0.873970
16 -207396.6803524124 4.999923 -4.999923 -4.999923 -4.999923 4.999923
17 -207278.3806193683 4.999453 -4.999453 -4.999453 -4.999453 4.999453
18 -207294.1640451533 4.999515 -4.999515 -4.999515 -4.999515 4.999515
19 -207398.6800085622 4.999931 -4.999931 -4.999931 -4.999931 4.999931
20 -207409.7292891738 4.999975 -4.999975 -4.999975 -4.999975 4.999975
21 -207398.8122588793 4.999932 -4.999932 -4.999932 -4.999932 4.999932
22 -207415.1801191625 4.999997 -4.999997 -4.999997 -4.999997 4.999997
23 355.6495042512 4.955747 -1.486771 -4.955747 -1.486771 1.169012
24 -198810.2490124566 4.449846 -4.964413 -4.449846 -4.964413 4.860900
25 -207287.7614497356 -1.951362 -4.997155 1.951362 -4.997155 4.992240
26 -207966.5317364888 -4.002000 -4.999205 4.002000 -4.999205 1.405456
27 -208067.7542375663 -3.412666 -4.999749 3.412666 -4.999749 3.059315
28 -208180.8942728505 -4.871834 -4.999948 4.871834 -4.999948 -0.812308
29 -208135.9484598367 -4.412181 -4.999928 4.412181 -4.999928 -2.081026
30 -208165.4325394815 -4.301538 -4.999960 4.301538 -4.999960 0.866016
31 -208135.1059856890 -4.953060 -4.999753 4.953060 -4.999753 0.606736
32 -208184.1102782757 -4.943510 -4.999948 4.943510 -4.999948 -0.288949
33 -208176.1329026459 -4.479025 -4.999977 4.479025 -4.999977 1.602623
34 -208175.7671773951 -4.712265 -4.999944 4.712265 -4.999944 2.009810
35 -208187.2153566375 -4.819547 -4.999973 4.819547 -4.999973 -0.519398
36 -208176.1340743431 -4.918227 -4.999933 4.918227 -4.999933 -1.068693
37 -208174.9783962265 -4.915558 -4.999914 4.915558 -4.999914 0.773412
38 -208189.2841101759 -4.841889 -4.999974 4.841889 -4.999974 0.478923
39 -208191.2084452097 -4.786436 -4.999987 4.786436 -4.999987 0.033718
40 -208196.2520918586 -4.956561 -4.999996 4.956561 -4.999996 0.595831
41 -208186.8297706370 -4.855808 -4.999963 4.855808 -4.999963 0.022478
42 -208194.7603501755 -4.826851 -4.999998 4.826851 -4.999998 0.551254
43 -208195.9082475825 -4.880417 -4.999998 4.880417 -4.999998 0.730974
44 -208194.9638311008 -4.822805 -5.000000 4.822805 -5.000000 0.565149
45 -207722.8541030623 -3.789327 -4.993866 -0.338078 -4.998169 2.347829
46 -208228.1804153071 -4.754790 -4.950646 2.703529 -4.999822 2.630439
47 -208290.3833116915 -3.264886 -2.969972 -1.278506 -4.999726 2.994504
48 -208142.1571520073 -1.175319 -3.711906 4.370245 -4.999987 4.357199
49 -207764.4373263411 -3.811119 -3.272489 -4.002958 -4.999885 -4.838568
50 -208345.5578162319 -3.626369 -3.083594 2.359984 -4.999961 4.119436
