evaluations raw_y x0 x1 x2 x3 x4
1 -4340.2800000000 1.291915 -0.020157 4.377348 -3.507236 -3.088459
2 -4911.4100000000 1.779612 1.559696 3.138589 -2.047537 -4.582905
3 -4393.8300000000 1.750570 2.872282 4.783099 -3.798000 -3.275824
4 -4278.5500000000 1.473582 1.489420 4.405464 -3.325775 -3.045521
5 -4655.1000000000 2.435090 0.105921 3.750950 -3.823052 -3.648108
6 -4433.9700000000 -0.448527 -0.841943 4.383642 -3.355041 -3.413570
7 -4895.9500000000 4.078830 2.682859 4.548848 -4.003332 -4.285359
8 -4482.6100000000 -0.160072 0.131860 4.080827 -2.306586 -3.436106
9 -5156.3300000000 0.840394 1.821508 4.290920 -3.056772 -4.786771
10 -5158.4000000000 2.731775 1.704384 3.514673 -1.419602 -4.999195
11 -5233.7500000000 3.301001 0.819199 3.373772 -4.621354 -4.951455
12 -4763.5700000000 -0.377599 0.809575 4.644575 -2.775164 -4.278378
13 -4289.3900000000 4.366016 2.014270 4.190936 -1.589097 -3.780433
14 -4770.5100000000 2.486091 2.197301 3.717160 -2.145792 -4.316795
15 -4928.6900000000 0.073305 1.734082 3.726716 -2.467548 -4.591409
16 -5035.6100000000 2.519277 2.216150 4.999535 -2.287341 -4.711317
17 -4608.0200000000 2.963408 1.281731 3.415295 -4.642379 -3.650129
18 -5082.2200000000 3.789511 1.989945 4.555210 -4.682633 -4.659410
19 -4838.7200000000 4.379199 1.656720 3.604972 -3.092252 -4.519976
20 -5152.8600000000 1.305696 0.643559 4.453731 -1.121205 -4.993163
21 -5174.9100000000 2.809457 1.523815 4.334465 -2.240137 -4.943057
22 -4989.8800000000 2.622332 -0.211988 2.733483 -2.746188 -4.608048
23 -5127.9900000000 3.527635 1.022714 4.212001 -3.432507 -4.660759
24 -5259.6000000000 3.120773 0.705792 4.988326 -2.898734 -4.976462
25 -5203.1200000000 3.296500 0.015400 4.864442 -2.515697 -4.949608
26 -4814.8400000000 2.713613 1.880052 4.708288 -3.722636 -4.294045
27 -5066.3900000000 1.981511 0.742486 3.278773 -0.697622 -4.933279
28 -4729.4100000000 2.817928 1.062211 4.670899 -2.400848 -4.310253
29 -5205.4600000000 2.714416 1.195210 4.996087 -3.924980 -4.989865
30 -5207.0600000000 2.189403 1.084630 4.998490 -2.353322 -4.999151
31 -5187.4100000000 2.362500 0.078799 4.874111 -1.172233 -4.999576
32 -5005.3300000000 3.496281 2.097499 4.642253 -3.367362 -4.454369
33 -4887.6100000000 2.905952 2.017467 4.976266 -2.200661 -4.469496
34 -5153.1900000000 2.907095 0.353596 4.999989 -3.114024 -4.720895
35 -4897.7800000000 2.291104 2.612720 4.855045 -2.221499 -4.523265
36 -5175.9300000000 3.185878 1.326335 3.956140 -2.434556 -4.921071
37 -5097.2100000000 3.822121 1.347956 4.900243 -3.335460 -4.575766
38 -4923.7400000000 3.365849 1.941788 4.957906 -0.895122 -4.595615
39 -4984.8800000000 2.519622 0.297707 4.911884 -4.408424 -4.298378
40 -5202.5500000000 2.258481 1.478811 4.846277 -2.153429 -4.969861
41 -5280.5100000000 2.527080 1.618644 4.249099 -3.178756 -4.965798
42 -4973.9900000000 3.431899 1.406844 4.197104 -1.216479 -4.638677
43 -5139.6300000000 2.758343 1.846195 4.899073 -1.872382 -4.977238
44 -5277.5600000000 2.351128 0.721774 4.156148 -2.994026 -4.960240
45 -4936.5300000000 1.651708 1.233462 3.986155 -1.694943 -4.608893
46 -5261.9600000000 2.271411 1.370119 4.840266 -2.644824 -4.994880
47 -5008.5600000000 2.231958 1.624518 4.906625 -1.952015 -4.631474
48 -5243.0300000000 2.432055 1.622975 4.453934 -2.830619 -4.998901
49 -5144.7900000000 2.248295 1.954879 2.970582 -3.473772 -4.886989
50 -5166.0900000000 2.483257 0.435711 4.865698 -2.723508 -4.857334
51 -5108.5100000000 1.871000 1.819965 3.957674 -3.678105 -4.776840
52 -5009.3700000000 1.896756 1.245285 2.429904 -3.284463 -4.588194
53 -5195.7400000000 1.099631 2.280451 3.887741 -3.784920 -4.855985
54 -5121.5300000000 2.953254 1.191047 4.394467 -3.063956 -4.648988
55 -5162.4800000000 2.632979 0.703459 4.280057 -4.231136 -4.853971
56 -5155.5400000000 3.142665 1.185191 4.897109 -2.638355 -4.820312
57 -5247.6800000000 2.449767 0.756123 4.996699 -3.394729 -4.873799
58 -5262.9700000000 2.294365 0.987061 4.817422 -2.943241 -4.999991
59 -5220.1000000000 2.277924 0.212502 4.984563 -3.978757 -4.970013
60 -4876.5700000000 2.197282 0.467939 4.391988 -3.140959 -4.358966
61 -5203.4000000000 1.575132 1.474838 4.997506 -4.569628 -4.907632
62 -4924.8300000000 1.145675 1.350705 4.480029 -3.554957 -4.246214
63 -5198.6500000000 2.178189 1.601611 4.999653 -3.949982 -4.997068
64 -5219.6400000000 1.026580 2.308489 4.883321 -3.217469 -4.899791
65 -5211.2700000000 1.851478 1.112470 4.855066 -4.082900 -4.984907
66 -5201.5000000000 1.915004 1.332631 4.999727 -3.956762 -4.940959
67 -5243.1500000000 2.702067 1.663607 4.956125 -2.967300 -4.925754
68 -5238.1400000000 1.680591 0.323687 4.187481 -3.663359 -4.918988
69 -5061.2500000000 1.900873 1.163092 4.996720 -2.927227 -4.626387
70 -4997.2300000000 2.717139 0.269353 4.037384 -3.684079 -4.537000
71 -4929.2600000000 2.319405 1.254590 4.444462 -3.614832 -4.380548
72 -5134.2900000000 2.328773 0.679731 4.980882 -4.027143 -4.764281
73 -5235.1700000000 2.475462 1.376709 4.999534 -3.596032 -4.915881
74 -5192.4000000000 3.246654 0.738267 4.801686 -3.415992 -4.825632
75 -5226.3100000000 2.487949 0.653175 4.609106 -3.956847 -4.998027
76 -5152.2300000000 2.916573 0.860619 4.568172 -2.500435 -4.902028
77 -5192.0100000000 3.640708 0.831121 4.197581 -3.730372 -4.897564
78 -5271.3200000000 1.267188 1.419980 4.921760 -3.248084 -4.999916
79 -5180.4900000000 1.006297 1.913678 4.982128 -2.665722 -4.853891
80 -5134.3800000000 1.335552 0.778640 4.330522 -2.653316 -4.838984
81 -5229.4300000000 2.300501 0.879822 4.981458 -4.551101 -4.984006
82 -5289.7400000000 1.615233 1.497349 4.906079 -3.351934 -4.959517
83 -5271.9400000000 1.694081 0.577999 4.866034 -3.353961 -4.985613
84 -5288.3200000000 2.670115 1.002993 4.190971 -3.240891 -4.996807
85 -5268.6700000000 1.696626 0.762550 4.829296 -3.382984 -4.920411
86 -5223.3500000000 0.835788 1.259745 3.371297 -2.789901 -4.947526
87 -5069.3100000000 2.071692 1.720717 4.995472 -2.559452 -4.693236
