evaluations raw_y x0 x1 x2 x3 x4
1 9.6569892649 3.821354 -4.313283 -1.988296 3.891722 0.525391
2 13.7087476895 0.441568 0.689699 -4.845480 -1.490979 1.497125
3 14.0524386341 1.706549 -1.343276 3.668647 3.624447 -3.925927
4 1.1190079159 2.472622 1.974745 -1.176897 -0.696865 3.162770
5 16.9942126047 3.347941 -2.390474 2.617170 -4.800989 -2.447970
6 16.3938240237 -2.421838 2.444679 -4.189804 -3.585104 -1.286173
7 -4.7920720219 4.481552 1.487731 4.537183 0.558308 -0.685312
8 9.7034454311 -1.369940 0.268963 0.012110 -0.153487 4.592160
9 15.3901413817 -0.247431 3.359980 -0.781127 2.840128 -3.651308
10 21.9292364322 -4.716801 -0.864640 2.187982 2.084117 -4.495978
11 1.5212269395 1.134049 4.997181 0.475584 4.808362 2.159935
12 -2.9631377060 -1.785769 -4.914937 -3.029305 -3.952680 -1.880856
13 25.1947916767 -3.938726 -1.906004 1.558194 -2.635395 3.802410
14 -2.3667709911 -0.398412 3.912765 3.140518 1.641840 2.570755
15 4.4213124175 -3.423820 -3.631355 -2.646634 -1.890828 -0.182702
16 -15.2479827770 4.231250 0.629571 3.604939 2.950081 3.568414
17 -3.0520715966 0.056738 2.486923 4.803701 2.135225 -0.795388
18 -11.0318445524 4.958362 2.481631 3.303787 3.117428 0.258170
19 -4.4120486988 3.519750 1.957021 4.781866 4.922660 3.580098
20 -14.7755683981 4.092148 2.548341 3.400390 1.704419 2.489035
21 -11.6501904862 3.940247 1.738996 0.616949 3.289782 4.896271
22 -9.0072191143 3.820476 -0.043602 4.846685 2.695889 4.586405
23 -17.0407565548 4.023657 3.221404 1.742941 1.435711 4.960607
24 -7.6557788397 4.996182 -2.379590 3.775788 2.912878 3.047105
25 -15.7392211107 4.583925 2.077396 3.873220 1.670060 4.388505
26 -18.4926966860 4.048592 2.261009 2.083401 2.053222 4.302111
27 -16.7137216597 4.804802 0.684299 3.007083 2.998110 3.762125
28 -12.4924627697 4.829779 1.600764 2.129204 4.055773 1.899303
29 -9.4642902610 4.977202 0.295808 2.904641 1.284031 3.858450
30 -12.7140367055 4.500023 3.796057 2.338635 0.757914 3.327427
31 -10.4365740687 4.557877 2.411775 2.173374 2.576256 1.767935
32 -19.8165010435 3.697816 3.527082 4.732731 2.403097 4.163888
33 -9.3732429480 4.218525 1.563308 0.800181 2.838389 3.628861
34 -19.2409263189 2.068704 3.218509 2.301469 2.964154 4.570196
35 3.5749688466 4.806890 -1.698508 0.138526 4.018751 -4.992165
36 -15.9014504573 3.995295 2.207976 3.305897 3.394759 1.866476
37 -8.1844304282 1.210300 1.924064 -0.025638 3.214296 4.972457
38 -15.9525040484 3.041537 3.763341 4.580110 3.702366 3.906069
39 -0.1997170254 0.896643 4.056818 4.999399 -0.393980 2.980137
40 -8.7180019459 3.288772 4.708077 3.746829 2.018189 0.538156
41 -13.6202108839 4.604182 3.949179 4.823201 2.518506 2.073873
42 -20.2900681961 3.959082 4.826537 2.853985 2.653819 4.398601
43 -16.9691530139 1.758616 3.085132 4.032051 2.474864 4.809504
44 -21.2234022536 2.758885 3.489370 3.116769 3.247305 4.598526
45 -17.7922496015 4.463087 4.468178 3.498648 2.553915 3.891282
46 -22.8546112642 3.755407 3.314737 3.935594 2.863487 4.729568
47 -18.7296456483 2.903773 3.353405 4.344423 1.873974 4.170756
48 -18.6666448691 3.052901 3.642824 1.591896 3.003320 4.576027
49 -16.4632534758 2.714860 4.037567 3.232470 1.438381 4.956186
50 -16.0919678451 3.276330 4.744927 4.245314 2.496612 4.310602
51 -22.0076038909 3.433289 3.313919 3.856972 3.227724 4.880622
52 -21.8512126386 4.477188 2.823172 3.353624 3.083198 4.649017
53 -8.5191748314 2.549647 0.776558 2.219698 3.909704 3.892414
54 -20.8001073380 4.257133 3.686258 2.420126 3.493869 4.203121
55 -17.7291601819 2.596723 4.534761 1.840436 2.712123 4.420297
56 -22.3138737647 3.478318 3.218163 2.824071 3.327283 4.849174
57 -21.7464414508 4.406399 3.302131 2.634386 2.851009 4.393517
58 -22.6734048184 3.278400 3.631673 3.391330 2.336997 4.996442
59 -19.1171034188 3.707839 2.327707 3.575805 2.552693 4.755050
60 -16.5876772139 4.708970 1.517046 3.744019 2.954293 4.320289
61 -22.1276168671 4.163434 3.400886 3.202376 3.184196 4.831265
62 -16.8904462982 4.930109 3.642024 3.299412 2.931983 4.880287
63 -22.1309423496 3.834987 3.500062 3.096989 2.884918 3.942980
64 -19.8258769508 3.287986 3.393879 3.573296 2.358265 3.999433
65 -23.3761826513 3.730532 3.088100 3.167649 3.185479 4.580886
66 -22.7049804760 3.858352 3.216416 2.746394 2.941421 4.730074
67 -21.4735831672 3.696529 3.100327 2.774187 2.789791 4.627854
68 -20.2326586336 3.521529 3.579386 2.385073 2.856163 4.528612
69 -22.4687575938 3.546067 3.882771 2.798393 2.487880 4.799372
70 -23.5779607115 3.502080 3.245992 3.697756 2.699170 4.935275
71 -23.9368638771 3.802920 3.554902 3.151833 2.983548 4.568992
72 -22.6236294592 4.118074 3.841882 2.898543 3.012584 4.998557
73 -21.4707961252 3.007952 3.080699 3.159451 2.621765 4.632003
74 -23.4524834752 3.663626 3.806593 2.997548 2.629886 4.724492
75 -22.8481780183 2.954204 4.080781 3.558709 2.962360 4.705933
76 -21.4580532382 3.925262 3.456141 2.680285 2.839524 4.145939
77 -20.7210435046 3.534115 4.440274 2.412017 3.391568 4.581217
78 -21.7885548459 3.119323 3.075729 2.822424 2.860688 4.428136
79 -20.7873546884 4.035071 3.661976 3.307155 3.481424 4.463008
80 -19.7635448632 3.145127 3.359117 3.547152 2.239938 3.984618
81 -23.3370900415 3.289782 2.985131 3.150308 3.145259 4.948773
82 -21.9794886220 3.902746 3.264345 3.260068 2.700131 4.031139
83 -21.6491431582 3.465251 3.613934 2.543602 3.353858 4.960758
84 -20.4704446959 3.808019 2.847002 2.584878 2.754769 4.904060
85 -22.0609122040 3.185552 3.457509 3.744065 2.471465 4.630342
86 -23.1140071436 3.668193 3.499164 2.855913 2.863701 4.772528
87 -23.8444302802 3.480164 3.672611 3.063196 3.057071 4.908684
88 -22.4327237028 3.741750 3.630426 2.806145 3.286940 4.962910
89 -23.9038880088 3.974627 3.328935 3.111486 3.053265 4.758595
90 -22.3943344558 3.546665 3.244499 2.984428 2.637496 4.850479
91 -24.0757015837 3.860601 3.611859 3.191113 3.048683 4.397029
92 -22.5638778596 3.857117 3.774362 3.270008 3.010696 4.950683
93 -23.4433034217 3.634533 3.501641 2.978322 3.120530 4.755192
94 -23.3591262601 3.646718 3.561686 3.244152 3.062593 4.892524
95 -23.2728944401 3.783373 3.756314 3.108537 3.033044 4.998722
96 -23.1574734055 3.822062 3.454297 3.382203 3.035152 4.758892
97 -22.6634938320 3.897486 3.437157 3.287493 3.192046 4.772303
98 -23.5717234778 3.840989 3.681162 3.177436 3.062956 4.623341
99 -23.8146820253 3.828654 3.709022 3.036649 2.981697 4.725448
100 -23.8011148900 3.659143 3.690448 3.141741 2.920017 4.765775
101 -24.1068343942 3.767093 3.716611 3.220813 3.022113 4.323248
102 -23.8578146649 3.815882 3.506262 3.237586 3.103166 4.436732
103 -24.0296248972 3.871749 3.504856 3.300643 2.961551 4.387075
104 -23.6862025895 3.783729 3.480393 3.278587 3.097784 4.518854
105 -24.0235131388 3.900732 3.476167 3.294050 2.995857 4.428193
106 -24.1588934812 3.885836 3.635670 3.131902 3.065537 4.342711
107 -23.7747176815 3.799044 3.560864 3.345307 3.051379 4.208387
108 -24.0000302851 3.694876 3.683668 3.167789 3.002638 4.449797
109 -23.9413621949 3.750668 3.621468 3.216429 3.000473 4.477537
110 -23.9428007899 3.827634 3.718449 3.262553 3.029506 4.420651
111 -24.1410039203 3.947346 3.556696 3.095052 3.027342 4.448297
112 -23.8965842672 3.820786 3.531962 3.256485 3.076364 4.244683
113 -24.2493413966 3.878407 3.691849 3.149710 3.015905 4.334694
114 -24.0168304913 3.790358 3.629761 3.264811 3.006858 4.333834
115 -24.1137375401 3.991856 3.488986 3.223546 2.997477 4.227872
116 -24.1746239189 3.870451 3.871263 2.976026 3.124019 4.370348
117 -24.0947241028 3.884321 3.648300 3.057096 2.949266 4.538355
118 -24.0034233745 3.817511 3.588258 3.165177 2.908047 4.517388
119 -24.0743237214 3.901714 3.480874 3.141947 2.918158 4.381506
120 -23.8083482104 3.706754 3.535387 3.140291 3.054063 4.531225
121 -24.2887478698 3.866110 3.762697 3.106300 3.036064 4.361631
122 -24.0625468967 3.961996 3.580982 3.162969 3.024227 4.177716
123 -24.0400846934 3.927044 3.687756 3.245444 3.085432 4.226892
124 -24.3341791053 3.983888 3.811796 3.112294 3.043434 4.292165
125 -24.2602515114 3.970919 3.740912 3.184529 3.002842 4.191674
126 -24.2435285900 3.978753 3.846589 3.117010 3.072284 4.306452
127 -24.3344180903 3.942430 3.722624 3.045523 2.996378 4.357361
128 -24.1098648399 4.008509 3.714112 3.190943 3.070972 4.171739
129 -24.0787983190 4.033073 3.681374 3.224013 2.976315 4.135646
130 -24.0693297060 4.065955 3.908029 3.228370 2.980764 4.245085
131 -24.2894027945 3.976402 3.681654 3.031579 2.987983 4.373575
132 -24.3698528764 3.960053 3.775672 2.998879 2.983680 4.372995
133 -24.2144747895 3.966257 3.712557 3.075674 3.010839 4.435971
134 -24.2039249457 3.891451 3.741719 3.107830 3.028176 4.428338
135 -24.1309072724 3.897715 3.661765 2.993002 3.029910 4.416005
136 -24.2196661670 3.986516 3.704841 2.986271 2.971861 4.446846
137 -24.3290896096 3.989263 3.747890 3.046759 2.999494 4.379582
138 -24.3164248426 4.002483 3.698419 3.040905 2.997384 4.344989
139 -24.2732756087 3.918493 3.764220 2.955746 2.950070 4.340112
140 -24.2814047743 3.993350 3.831482 3.064869 2.985600 4.426013
141 9.8548663007 2.305074 2.938348 1.095049 -4.249282 4.362803
142 7.9053986414 -0.130842 -3.644863 2.940531 3.549220 -3.252018
143 14.0555007850 0.843710 -2.582572 4.253573 2.943210 0.826276
144 6.6134723061 3.080067 2.202952 0.360955 1.082131 -3.708702
145 12.5846860694 -2.521221 0.630188 -0.362478 4.250096 -1.481993
