evaluations raw_y x0 x1 x2 x3 x4
1 14.5267137036 -2.903156 -1.215626 1.229380 -0.843519 1.105196
2 14.0901433947 -5.000000 -5.000000 -5.000000 -5.000000 2.540760
3 4.3239267279 -2.827163 -5.000000 -5.000000 -4.741031 -5.000000
4 2.1917290614 5.000000 1.837684 -1.184903 -3.259243 5.000000
5 10.2420203847 2.456124 -5.000000 -5.000000 -5.000000 5.000000
6 -11.1941532188 5.000000 3.634689 5.000000 0.921324 5.000000
7 4.8533790106 -3.996510 -5.000000 5.000000 1.276567 4.666883
8 10.6205017075 -5.000000 5.000000 5.000000 -5.000000 5.000000
9 17.5336346239 3.066040 -5.000000 5.000000 5.000000 5.000000
10 -7.1737689436 5.000000 5.000000 5.000000 -5.000000 4.381018
11 -9.9473093960 5.000000 2.543345 5.000000 -5.000000 -5.000000
12 14.7310879609 0.189655 5.000000 5.000000 5.000000 5.000000
13 -10.1916361910 4.753583 -5.000000 5.000000 -5.000000 -5.000000
14 1.0758744415 5.000000 5.000000 1.106591 5.000000 5.000000
15 10.6205017075 -5.000000 5.000000 5.000000 -5.000000 5.000000
16 4.1574102231 5.000000 5.000000 5.000000 -5.000000 -5.000000
17 16.8660798839 -2.412908 5.000000 -5.000000 1.692407 -0.350920
18 -5.1923161566 -5.000000 5.000000 -5.000000 2.510647 4.345059
19 11.0094023954 5.000000 5.000000 3.154948 -3.494320 5.000000
20 -2.8262915670 -5.000000 5.000000 -5.000000 5.000000 -3.000228
21 -4.8267656189 5.000000 -5.000000 -0.156436 -5.000000 3.115616
22 16.7840337076 -5.000000 -5.000000 -0.332139 5.000000 5.000000
23 12.7542054077 0.536628 5.000000 -2.844444 5.000000 5.000000
24 4.1574102231 5.000000 5.000000 5.000000 -5.000000 -5.000000
25 2.9274732467 5.000000 5.000000 5.000000 -5.000000 -4.712932
26 16.9759448403 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
27 1.8093007345 5.000000 5.000000 5.000000 5.000000 -3.690413
28 16.9759448403 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
29 16.9759448403 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
30 10.1357822496 -5.000000 0.591458 1.487112 -1.490728 -5.000000
31 3.9849555165 -5.000000 -5.000000 5.000000 -5.000000 5.000000
32 2.4771750306 5.000000 2.386297 5.000000 5.000000 5.000000
33 14.7716815126 -1.255612 -5.000000 -5.000000 5.000000 5.000000
34 -3.9069354093 5.000000 5.000000 5.000000 -5.000000 2.139072
35 18.6245857512 -4.789580 5.000000 5.000000 -5.000000 -0.480587
36 6.6499438313 5.000000 0.038544 5.000000 5.000000 5.000000
37 -7.5963262964 5.000000 5.000000 -3.186851 1.240801 5.000000
38 1.4973186154 5.000000 5.000000 3.826814 0.284295 -1.734246
39 -2.3858006685 3.010585 5.000000 5.000000 5.000000 -5.000000
40 -23.6749198426 5.000000 -5.000000 5.000000 -5.000000 3.431426
41 1.9482311767 5.000000 -5.000000 5.000000 3.650870 -5.000000
42 -6.7133884188 2.553465 1.600693 5.000000 -5.000000 -5.000000
43 15.6904070957 -5.000000 -5.000000 5.000000 -5.000000 -4.946755
44 -3.8596882948 3.784629 5.000000 5.000000 -5.000000 -2.254423
45 1.8849962041 4.889410 -5.000000 1.666386 -5.000000 2.996493
46 -25.6249086128 5.000000 -5.000000 2.380552 2.054452 3.952995
47 -10.5564003532 5.000000 -5.000000 5.000000 -1.783290 5.000000
48 -17.5183170972 5.000000 0.832452 5.000000 -5.000000 5.000000
49 25.9820368809 0.807734 -4.692154 5.000000 5.000000 3.785015
50 -3.2491789372 5.000000 -5.000000 0.020522 -5.000000 5.000000
51 4.7114151827 5.000000 -4.052490 1.928430 -5.000000 5.000000
52 7.9017287062 1.973699 -2.852289 1.067592 5.000000 3.045237
53 29.6174296840 -1.638845 4.720013 -4.372271 -2.844572 4.361627
54 1.3306746351 -1.985118 -5.000000 -3.639893 -1.031076 -1.065680
55 9.0386392564 3.509357 -5.000000 5.000000 5.000000 3.361958
56 1.7226896548 -1.733794 1.838804 5.000000 0.645541 2.182158
57 2.0023214824 -1.167470 -4.382706 0.720369 4.611371 3.630617
58 -17.0336429278 1.015101 3.133463 3.134927 3.380198 5.000000
59 15.6003055941 -5.000000 -5.000000 4.229110 5.000000 3.301521
60 19.4154395848 -5.000000 -4.476158 5.000000 2.330073 2.143137
61 -15.7159894248 5.000000 -5.000000 -1.676022 2.991616 5.000000
62 15.4098791409 0.743540 -2.803855 -1.006728 5.000000 -0.007256
63 -14.6873738238 4.383383 -5.000000 5.000000 2.073195 4.208644
64 5.1904963812 5.000000 -2.964802 3.838517 0.609563 -3.562082
65 -22.4940542231 5.000000 -4.839260 5.000000 1.997760 5.000000
66 0.0424672834 1.878297 -1.768795 -4.718040 5.000000 5.000000
67 -9.9335458660 5.000000 -5.000000 -2.476720 1.068477 5.000000
68 -16.8435474135 5.000000 -5.000000 4.405468 -0.510943 2.173158
69 -5.0361043466 5.000000 -5.000000 -1.331709 -0.614291 4.813625
70 0.2769453977 5.000000 0.202457 5.000000 -0.229152 3.725303
71 6.9729906071 2.726716 -5.000000 3.885385 4.557597 4.179685
72 16.7652382777 3.552235 -3.403160 3.860167 -1.716682 3.999395
73 -25.0955186113 5.000000 -5.000000 1.370116 2.594655 5.000000
