evaluations raw_y x0 x1 x2 x3 x4
1 20.2500882770 -0.248928 0.248928 0.248928 -0.248928 0.248928
2 13.2008361960 0.601231 -0.601231 -0.601231 0.601231 -0.601231
3 19.6454941332 4.877833 -4.877833 -4.877833 4.877833 -4.877833
4 21.9175497928 -4.605106 4.605106 4.605106 -4.605106 4.605106
5 14.2620683184 -2.540968 2.540968 2.540968 -2.540968 2.540968
6 17.4125660697 2.820915 -2.820915 -2.820915 2.820915 -2.820915
7 15.9015567399 2.326088 -2.326088 -2.326088 2.326088 -2.326088
8 14.3998498594 -1.981064 1.981064 1.981064 -1.981064 1.981064
9 13.5618612444 -1.701131 1.701131 1.701131 -1.701131 1.701131
10 12.5368548172 1.356181 -1.356181 -1.356181 1.356181 -1.356181
11 17.3941909635 3.166006 -3.166006 -3.166006 3.166006 -3.166006
12 13.6203852311 -3.446027 3.446027 3.446027 -3.446027 3.446027
13 19.8837769060 -4.252870 4.252870 4.252870 -4.252870 4.252870
14 18.6803472348 3.980218 -3.980218 -3.980218 3.980218 -3.980218
15 12.7276911963 0.873970 -0.873970 -0.873970 0.873970 -0.873970
16 12.6633324524 1.236125 -1.236125 -1.236125 1.236125 -1.236125
17 12.3027921865 1.573867 -1.573867 -1.573867 1.573867 -1.573867
18 12.2906261856 1.607037 -1.607037 -1.607037 1.607037 -1.607037
19 12.2890139282 1.619203 -1.619203 -1.619203 1.619203 -1.619203
20 12.2889981528 1.619452 -1.619452 -1.619452 1.619452 -1.619452
21 12.2888304297 1.624773 -1.624773 -1.624773 1.624773 -1.624773
22 12.2888309110 1.624547 -1.624547 -1.624547 1.624547 -1.624547
23 12.2889057280 1.628432 -1.628432 -1.628432 1.628432 -1.628432
24 15.6971992538 4.546017 -0.773573 -2.166766 4.546017 -2.166766
25 17.3474894193 -2.130712 4.698176 -1.244799 -2.130712 -1.244799
26 8.8857878948 -3.685300 -1.629812 -1.039946 -3.685300 -1.039946
27 6.5509038840 -3.420732 -2.268950 -0.332626 -3.420732 -0.332626
28 10.2037340886 -3.165342 -0.806451 -0.989518 -3.165342 -0.989518
29 8.2136603957 -3.912920 -2.583041 -0.558931 -3.912920 -0.558931
30 19.0530106569 -4.885873 -1.462623 0.408742 -4.885873 0.408742
31 10.5865319108 -3.154372 -4.931403 -0.831146 -3.154372 -0.831146
32 15.7004939757 -3.083087 -2.593666 0.108841 -3.083087 0.108841
33 8.4067826782 -3.629216 -3.649926 -0.355377 -3.629216 -0.355377
34 5.5401110056 -3.547079 -1.482350 -0.461758 -3.547079 -0.461758
35 5.7625740442 -3.511123 -2.202228 -0.615172 -3.511123 -0.615172
36 5.8913403476 -3.551000 -1.409379 -0.453257 -3.551000 -0.453257
37 5.1012883343 -3.456480 -2.090420 -0.543269 -3.456480 -0.543269
38 9.0393328031 -2.331180 -1.676173 -0.562560 -2.331180 -0.562560
39 4.8365360783 -3.320791 -1.701187 -0.525991 -3.320791 -0.525991
40 4.6265220119 -3.517220 -1.832201 -0.535058 -3.517220 -0.535058
41 4.9060919475 -3.513530 -1.776169 -0.615422 -3.513530 -0.615422
42 4.6391420857 -3.511329 -1.892650 -0.509205 -3.511329 -0.509205
43 4.6126912184 -3.439324 -1.762189 -0.489282 -3.439324 -0.489282
44 15.2767979548 -4.551322 -2.516791 -1.093808 -4.551322 -1.093808
45 4.9958928700 -3.266637 -1.760663 -0.440561 -3.266637 -0.440561
46 4.6074794835 -3.445478 -1.871191 -0.529452 -3.445478 -0.529452
47 4.6132600092 -3.460702 -1.807285 -0.544675 -3.460702 -0.544675
48 4.8179572104 -3.492161 -1.839323 -0.415844 -3.492161 -0.415844
49 4.8707511409 -3.272336 -1.828322 -0.547177 -3.272336 -0.547177
50 4.5869332076 -3.492467 -1.832703 -0.509483 -3.492467 -0.509483
51 4.6121685082 -3.491899 -1.872614 -0.522307 -3.491899 -0.522307
52 4.5752411238 -3.447742 -1.817616 -0.511453 -3.447742 -0.511453
53 4.5771743490 -3.465818 -1.820943 -0.514993 -3.465818 -0.514993
54 4.5981152624 -3.505080 -1.825440 -0.518602 -3.505080 -0.518602
55 4.5779372854 -3.443240 -1.835393 -0.499970 -3.443240 -0.499970
56 4.5781745513 -3.457247 -1.837802 -0.499032 -3.457247 -0.499032
57 4.5799293699 -3.462230 -1.844336 -0.512861 -3.462230 -0.512861
58 4.5811587177 -3.428294 -1.809681 -0.501306 -3.428294 -0.501306
59 4.5756245775 -3.462711 -1.829371 -0.509625 -3.462711 -0.509625
60 4.5780283203 -3.475411 -1.820489 -0.508758 -3.475411 -0.508758
61 4.5751194407 -3.449617 -1.814908 -0.510453 -3.449617 -0.510453
62 4.5749126605 -3.456120 -1.813414 -0.506183 -3.456120 -0.506183
63 4.5750607382 -3.460519 -1.826648 -0.509502 -3.460519 -0.509502
64 4.5746292819 -3.452157 -1.815477 -0.506709 -3.452157 -0.506709
65 7.5522818557 -4.242228 -2.075195 2.671736 -0.697429 -0.666501
66 11.6390955738 -1.806550 -2.820856 -0.654873 -4.873257 -2.757088
67 15.0746588698 -3.927886 0.207593 -1.593648 3.754947 -3.373858
68 14.8897931151 -3.383052 0.309860 -0.258555 -4.660427 1.430809
69 13.4085068690 -2.875526 -1.813759 0.818460 0.855191 -3.903095
70 14.1331657983 -0.955590 -1.975764 -1.248270 -1.930435 2.075420
71 12.8889381044 0.184447 -2.577121 -0.613850 -2.097501 -0.563744
72 9.7791426126 -4.343644 -2.037804 -0.241090 -2.080691 -0.432790
73 9.7167050595 -4.790104 -2.254768 -0.352770 -3.335405 -0.047886
74 8.9263859062 -2.255050 -2.629100 -0.355660 -3.875812 -0.392435
75 7.3290653904 -4.640386 -1.967965 1.071780 -3.523198 -0.631559
76 11.0247286850 1.896419 -2.001027 -2.333439 -3.555535 -0.494341
77 5.8183752054 -4.972384 -1.750931 -0.751768 -3.506483 -0.509533
78 9.4114645674 -3.807083 -2.218623 -3.399998 -3.273525 -0.255683
79 9.8984594677 -2.139313 -1.625296 -2.675430 -3.080260 -0.467501
80 5.8290019200 -1.761321 -1.728985 -0.274181 -3.662643 -0.528217
81 6.9388482781 -2.673630 -1.842712 -1.095728 -3.501969 -0.438690
82 8.8447515051 -4.823529 -2.101686 -0.111510 -3.151130 -0.769782
83 8.3006833662 -3.262489 -1.930926 -0.518276 -4.676983 -0.477007
84 10.5440368158 -2.780825 -1.747943 0.417458 -3.237032 -0.441885
85 6.0601087867 -2.585605 -1.779134 -0.613042 -3.514837 -0.402354
86 5.8309801358 -3.777006 -1.855668 -0.750176 -3.198060 -0.401755
87 5.2317746458 -3.416000 -1.786183 -0.335855 -3.455488 -0.668787
88 4.8776605501 -3.734434 -1.809968 -0.371980 -3.400505 -0.513801
89 5.2415677217 -3.927988 -1.759858 -0.616325 -3.421767 -0.443627
90 4.8984663313 -3.327395 -1.903756 -0.390694 -3.567184 -0.538544
91 5.0034524248 -3.328166 -1.888950 -0.607304 -3.631092 -0.551145
92 4.7153323195 -3.559719 -1.909808 -0.455970 -3.349395 -0.538404
93 4.5963634315 -3.521641 -1.782436 -0.522419 -3.414431 -0.522709
94 4.6086157031 -3.421564 -1.807219 -0.541900 -3.428696 -0.496489
95 4.5703565599 -3.514751 -1.820429 -0.500259 -3.434709 -0.514595
96 4.5725887595 -3.469609 -1.838651 -0.500287 -3.435584 -0.518756
97 4.5736394162 -3.476534 -1.817204 -0.486338 -3.421851 -0.522716
98 4.5698503952 -3.495107 -1.829708 -0.497385 -3.445431 -0.509578
99 4.5717462685 -3.500830 -1.835303 -0.502922 -3.431795 -0.514871
100 17.1857897430 -3.337224 -4.514846 0.145605 -0.217565 2.521638
101 13.5099045500 -4.122607 -4.735243 -3.700102 -3.612829 2.843490
102 18.2675466810 0.477093 -3.635527 -0.133440 -0.036311 2.701853
103 16.8166708460 1.528436 -0.311490 1.239877 -4.926643 0.577843
104 19.4046071368 0.792051 0.315489 -3.708725 0.135274 -2.986402
105 16.4930735036 -2.027116 -0.987997 -1.639596 -4.550360 0.328292
106 14.5370932881 -1.301540 -1.343827 0.102421 -3.176815 -1.078119
107 9.4508489535 -1.739524 -1.974660 -2.028303 -3.099979 0.773676
108 15.5183182652 -4.334098 -2.747223 -1.315095 -2.689170 0.614960
109 8.5310648230 -3.922727 -0.897764 -1.773129 -3.239778 -0.252898
110 18.5716020931 -4.559611 -1.217390 0.326304 -2.530339 -1.196391
111 16.3159762092 -4.828926 -1.035561 0.050326 -3.183283 0.268892
112 8.5246173899 -4.795785 -2.049632 -1.236862 -3.612258 -0.910846
113 14.8831173082 -2.170693 -1.032013 -0.091569 -4.561060 -0.932818
114 15.7016417738 -3.689365 -2.259870 -1.018678 -4.628485 0.206025
115 4.7038594112 -3.278819 -1.823457 -0.483672 -3.375246 -0.557708
116 4.6952567593 -3.431151 -1.762919 -0.477955 -3.429672 -0.440576
117 4.6431082834 -3.465967 -1.753624 -0.489879 -3.367547 -0.503769
118 4.7624673090 -3.271367 -1.769431 -0.566959 -3.507239 -0.492208
119 4.6109551436 -3.558405 -1.757787 -0.487172 -3.454321 -0.514208
120 4.6172290307 -3.494774 -1.801011 -0.527189 -3.517676 -0.523438
121 4.5830692967 -3.509170 -1.819039 -0.522701 -3.450033 -0.496904
122 4.5917099768 -3.542167 -1.796808 -0.511476 -3.458459 -0.490832
123 4.5925268787 -3.488330 -1.771358 -0.507269 -3.430278 -0.523026
124 4.6124496206 -3.473156 -1.816231 -0.529237 -3.399964 -0.479898
125 4.5804571001 -3.530846 -1.818070 -0.481794 -3.431017 -0.534982
126 4.5770435440 -3.497430 -1.847617 -0.489961 -3.461727 -0.509923
127 4.5799850058 -3.504093 -1.833966 -0.502533 -3.464608 -0.494947
128 4.5738504948 -3.508384 -1.818444 -0.481359 -3.425165 -0.509903
129 4.5740439185 -3.449124 -1.810563 -0.486035 -3.450809 -0.516126
130 4.5721880108 -3.507249 -1.808730 -0.488717 -3.454503 -0.510216
131 4.5715413454 -3.503588 -1.833737 -0.505204 -3.436492 -0.513296
132 4.5697259857 -3.482718 -1.825889 -0.492993 -3.450576 -0.519779
133 4.5696123546 -3.484231 -1.821971 -0.494977 -3.454569 -0.515166
134 4.5705344761 -3.478297 -1.816130 -0.484834 -3.443759 -0.513861
135 11.6437764726 -2.754688 -0.936648 2.753518 -0.548766 -1.797697
136 12.3870329960 -2.088316 -4.739400 -1.860522 0.857393 -0.873718
137 17.1590612441 -0.481687 -0.064725 -2.858902 -2.566718 -0.055730
138 10.7296848375 -4.604471 0.015375 -1.192262 -3.718797 -0.382083
139 11.5430433454 -3.355913 -0.217979 -0.103368 -3.961942 -2.478591
140 7.8723051035 -1.674867 -0.686085 -0.622110 -1.285508 -0.443538
141 14.9738619003 -1.239943 -3.008599 -2.076674 -2.653674 -0.958860
142 10.2714505210 -3.090160 -2.861828 -0.834606 -1.318449 -0.242146
143 14.0904236645 -2.651556 -2.916436 -0.672656 -4.903765 -1.268761
144 6.4913896192 -3.880119 -1.750801 -0.465252 1.999555 -0.593823
145 13.0887574364 -2.240279 -2.443517 -1.248210 -3.988568 -1.381930
146 11.3717823358 -4.407227 -1.727807 -1.310624 -2.354710 -0.835124
147 9.7564229850 -4.900480 -2.591087 -1.025704 -3.042274 -0.712246
148 4.8871221374 -3.429393 -1.808674 -0.509512 -3.669000 -0.540533
149 11.9811782219 -2.153009 -2.355792 0.095087 -3.344053 -0.941434
150 4.7226931025 -3.374889 -1.761287 -0.417292 -3.505762 -0.495939
