evaluations raw_y x0 x1 x2 x3 x4
1 -1134880.1097635536 4.318459 0.894951 0.165292 -3.270744 -3.189226
2 12402712.3928332403 -4.836366 -3.206610 4.576869 -4.972333 1.520335
3 -488057.9507822134 2.715660 -0.251752 -4.248996 -0.822752 -0.452163
4 -3281855.2239077487 -0.468528 -4.467339 -0.928855 -2.560103 3.983993
5 37123.6116740787 -2.904808 -0.415581 -2.449705 3.261184 -1.137234
6 8427.9524401906 1.377372 -1.758453 -2.158905 0.514156 2.611610
7 -2496658.4529170124 -1.532306 3.422716 -1.523021 -2.133654 4.423381
8 -3861412.5423645009 3.605236 4.523673 2.459126 3.962653 -2.230609
9 -269764.0022078857 -4.213757 1.373655 -3.485420 1.510726 3.308051
10 -4117763.9446954848 4.608714 3.982784 1.518653 -4.327124 0.389697
11 33920.1093573458 0.662638 2.720616 0.374020 4.699404 -0.075225
12 -2639513.4241014300 -3.317185 -2.919677 -4.438735 -0.160254 1.809244
13 -310993.7284164415 -1.693178 -1.515368 3.627109 -1.496764 -2.636504
14 -628317.2042961881 0.165844 1.819213 2.090885 2.996293 -3.807405
15 9021644.5847848803 2.250237 -4.100184 4.186676 2.251997 -4.948058
16 241376.4497543077 4.777220 4.259821 4.375678 0.499662 4.256907
17 -472763.9820271632 4.336245 4.739206 3.735593 -0.322603 4.054840
18 6631410.3005702803 4.841460 4.710617 -0.900243 1.831408 -3.209504
19 -3160739.5623375117 3.745047 4.431232 -1.297305 2.204499 2.380898
20 -2867283.1041821879 3.456999 4.439473 1.110566 -3.348776 -3.575099
21 9148589.8152445816 4.975134 4.026452 2.084764 -1.111293 -0.131222
22 648.0990504517 2.066010 0.576665 1.961601 -1.758959 -0.314349
23 -1515970.9507795479 4.651787 2.939387 2.055068 -1.811731 -0.284987
24 13504674.1374626607 2.524755 4.949540 1.505366 -4.798470 -0.290469
25 -1523643.6680447280 4.720676 4.008525 0.971182 -4.390565 0.670819
26 5785064.1287698643 4.847422 4.706843 2.474191 -4.295021 -0.360873
27 3140722.8521815892 4.783923 3.196278 2.792393 -3.928294 1.385886
28 1619259.1710543579 4.743583 3.172584 0.373440 -4.030413 -0.545156
29 -2183239.2619485022 4.296906 3.152716 2.817970 -4.323437 -0.319853
30 -2917147.5187399001 4.104749 4.618969 2.884189 -3.880746 -0.287169
31 -718841.4110860710 4.189578 3.613446 1.258269 -4.691026 0.711243
32 -1699786.7082355644 4.171915 4.323686 1.985990 -3.980241 0.140057
33 6496690.1463467637 4.977941 4.444963 1.396114 -4.179070 0.402906
34 7703641.7018348146 4.922364 3.829866 1.804972 -4.685368 0.826834
35 -1359929.1906873090 4.203969 3.922416 1.056830 -4.265946 -0.116591
36 -2997095.2237484376 4.407134 3.886593 1.626355 -4.176282 0.331816
37 -1610341.3175889682 4.338780 4.055111 1.568669 -4.127536 0.475921
38 -4426995.7477089614 4.343720 3.943900 1.614590 -4.420134 0.277447
39 -5776119.9234160036 4.421731 3.971232 1.313037 -4.462397 0.182506
40 3234628.1630160930 4.790317 3.809454 1.577051 -4.138657 0.185628
41 -2775923.4176292047 4.309335 3.731882 1.080978 -4.314859 0.379409
42 -5458927.5681702355 4.625973 3.965546 1.037396 -4.464107 0.302244
43 -2051225.1775223408 4.178058 3.919360 1.025822 -4.654938 0.367951
44 -3088407.3101495993 4.166851 3.729697 1.579466 -4.419755 -0.024008
45 -6747262.6265382916 4.468013 3.865583 1.092369 -4.522152 0.315986
46 -439610.6068838501 4.296184 3.995745 0.967058 -4.719589 0.068075
47 -4804088.5132265519 4.364743 3.683403 1.314745 -4.602412 0.067159
48 -2197184.3095093844 4.641070 4.113997 0.812032 -4.688533 0.083067
49 -5334996.6954932921 4.640522 3.669816 1.319487 -4.492413 0.318140
50 -5993514.6874571452 4.433573 3.570017 1.241866 -4.537594 0.060520
51 -6422674.7547411788 4.555856 3.960971 1.170791 -4.577433 0.421456
52 -6152416.0054781092 4.429774 3.829060 1.211818 -4.467019 0.324564
53 -6200940.3504898539 4.453715 3.681910 1.220904 -4.576648 0.446255
54 -6988155.1315834438 4.522164 3.842190 1.169305 -4.536410 0.271053
55 -5674105.5182433892 4.418728 3.728429 1.119595 -4.596071 0.331381
56 -6671543.0835299753 4.487750 3.742363 1.196314 -4.477607 0.160121
57 -5795229.7142047640 4.422168 3.727025 1.101607 -4.590146 0.370796
58 -6737885.3463600446 4.479890 3.882646 1.245469 -4.552355 0.252855
59 -6551303.0998243447 4.523739 4.031537 1.197325 -4.541846 0.396661
60 -6190150.2054621940 4.446697 3.715784 1.245852 -4.577781 0.165972
61 -6831858.9144468401 4.478708 3.830341 1.178526 -4.536986 0.327690
62 -6923775.7386437133 4.506556 3.844075 1.155684 -4.498309 0.246233
63 -6978375.7564620124 4.515307 3.824525 1.215567 -4.539773 0.304265
64 -6845616.6597136641 4.527412 3.921815 1.152572 -4.545944 0.260402
65 -6906306.3727053851 4.499683 3.847105 1.179227 -4.546310 0.298746
66 3374960.6287605208 0.363962 2.767731 3.428935 3.106740 -4.778449
67 6983528.7614224711 -2.595950 -4.879017 0.654621 1.457394 -3.798688
68 -3626778.7612342946 -3.701157 1.196701 4.514491 -1.150189 -3.350301
69 37.1546285094 -0.381193 2.132805 1.609827 -0.768678 1.166909
70 -2686622.8428148618 -4.440084 -1.423043 -2.524467 2.434624 1.810198
71 -3950086.6804644181 4.310457 4.588070 -0.374078 -3.492006 -0.347020
72 -2161375.2435005903 4.374946 -4.008024 -1.602333 -2.673918 -1.105908
73 -24933.3420229407 -0.259442 3.469751 2.524109 -1.701268 -1.753830
74 -2640904.3488258421 -1.241590 -2.546638 -4.435631 -0.177597 0.898405
