evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 0.2298460964 -0.781566 2.119322 0.902887 3.358382 -2.935497 -4.883208 -3.998086 -3.657917 -4.275211 3.793891 -2.105053 -1.706079 -3.337854 2.020669 1.475778
2 3.6988167666 -5.000000 5.000000 5.000000 5.000000 4.604844 -0.750250 0.443386 -1.167955 -5.000000 3.274150 -5.000000 -2.638628 -4.076362 -2.398747 -4.083076
3 4.1486414670 -1.731206 -2.377591 -5.000000 2.245597 -5.000000 5.000000 -5.000000 -2.111077 5.000000 5.000000 -2.724410 -1.806277 5.000000 -5.000000 -4.065649
4 4.5131539460 3.143169 5.000000 -1.046331 5.000000 -5.000000 -3.753929 5.000000 5.000000 -5.000000 5.000000 2.339459 5.000000 3.937444 5.000000 5.000000
5 5.3281806009 -5.000000 2.611118 5.000000 -5.000000 -5.000000 -4.721773 2.639904 -5.000000 -5.000000 5.000000 -5.000000 -5.000000 5.000000 -5.000000 -3.754341
6 4.8989881853 5.000000 5.000000 5.000000 5.000000 -3.466488 -5.000000 -2.422031 5.000000 2.506070 1.350616 -5.000000 -5.000000 -2.276526 -5.000000 -5.000000
7 4.5287824204 5.000000 -5.000000 4.518881 1.254602 -5.000000 5.000000 -5.000000 5.000000 -5.000000 5.000000 5.000000 -5.000000 4.128043 0.018427 5.000000
8 4.1160025058 -5.000000 0.009070 -5.000000 5.000000 -0.292601 -5.000000 -5.000000 5.000000 -5.000000 -5.000000 -5.000000 -0.760239 5.000000 -1.992471 2.851194
9 3.0499103317 5.000000 -5.000000 -4.561553 5.000000 -5.000000 -5.000000 5.000000 -4.106567 -5.000000 3.455817 -5.000000 5.000000 1.650235 1.966810 5.000000
10 4.0687638843 -2.746952 1.291037 -5.000000 -5.000000 5.000000 5.000000 -5.000000 5.000000 1.204890 5.000000 5.000000 0.471596 -3.803417 -5.000000 -5.000000
11 3.9948560020 -5.000000 -1.581847 5.000000 -0.004435 4.017390 -5.000000 0.839773 -5.000000 -5.000000 0.450044 -2.662294 -5.000000 -5.000000 4.228969 5.000000
12 3.7202385284 5.000000 5.000000 0.109975 4.895059 -5.000000 -3.504772 -5.000000 -5.000000 2.079862 5.000000 -5.000000 -4.464962 -5.000000 -1.164798 1.809645
13 3.9191811428 5.000000 5.000000 5.000000 5.000000 -5.000000 2.104079 4.069660 -5.000000 -5.000000 5.000000 5.000000 -5.000000 3.969282 -5.000000 1.890137
14 1.5560667892 2.179807 -5.000000 1.590312 -3.151542 -5.000000 -5.000000 -5.000000 2.417163 5.000000 -0.604989 0.182833 4.105400 -2.883462 2.271519 -5.000000
15 3.1517945783 5.000000 5.000000 -0.503538 1.680180 -5.000000 5.000000 -5.000000 5.000000 -1.200641 5.000000 -5.000000 1.066583 3.606740 0.241671 -1.307687
16 3.8235727959 5.000000 0.718766 -4.447152 -5.000000 -5.000000 -0.679530 -5.000000 -5.000000 -5.000000 -5.000000 -5.000000 1.770702 -5.000000 4.851053 -5.000000
17 4.2185091647 -5.000000 5.000000 -5.000000 4.769668 -1.908018 -5.000000 -0.086019 -5.000000 -0.467574 -5.000000 4.886546 -5.000000 5.000000 5.000000 5.000000
