evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 -574589190.9863810539 3.563231 -1.013799 -3.337873 3.009870 2.339281 -1.765760 3.711783 -4.797547 -4.495103 0.050840 -2.413994 -4.676410 0.641637 -3.613676 -4.185776
2 -208612195.5686596334 1.736987 -4.702582 -1.091031 4.056197 0.517044 -2.701233 -2.381453 3.222223 -1.343252 -2.489953 1.624166 4.626458 -3.789007 -2.000863 3.980274
3 32647310.8783795238 -4.155978 -3.418063 4.518661 -2.395990 3.389289 1.494733 4.033788 -3.625485 -0.551259 2.919560 -3.287440 -2.676975 -2.383425 -2.225877 4.162922
4 -382039006.6314424276 3.631066 -3.565396 -4.985867 1.593545 -2.274876 -4.086688 4.971330 4.805538 -0.014484 1.004473 -3.037629 -3.542248 -3.852332 -0.138849 1.906746
5 -15318112.9329111353 -3.987682 2.687823 4.080436 -4.514967 0.199319 1.942281 -1.232290 -2.974387 -4.166628 4.025355 -0.521948 1.717976 4.611762 -1.576302 -2.376269
6 19218311.3010610864 -3.128138 1.454181 -0.504337 -0.639817 3.634571 1.782479 -3.568607 2.520700 -1.103695 -0.798882 3.392334 -0.750623 -0.700583 0.392364 0.397068
7 -60135462.2845248803 1.218581 0.753880 3.544465 2.922646 2.806042 2.184824 -3.105775 -2.696435 4.655981 -3.655189 -0.790709 -3.848403 4.572569 4.156406 -4.307757
8 -206418756.6207958162 3.118072 -4.305107 -0.924646 -1.831068 -1.398638 -4.836553 -2.862873 -3.920846 -0.483396 -1.755683 1.895075 4.149278 -4.177544 0.950308 4.082419
9 -224061005.6068904996 -1.941125 -2.765745 2.388748 1.190765 1.696576 -0.735493 1.334109 -4.180934 1.904323 -3.547094 -4.656780 0.742283 2.313444 2.572404 3.422056
10 -11042453.9032058343 -4.941191 3.246182 2.784309 4.502422 1.138266 -0.560885 2.189605 -3.245708 0.161410 -3.582365 3.463896 -1.001014 3.005267 -2.337089 4.259431
11 -1108007.4071994659 -2.302337 1.246253 0.712151 -2.728914 -4.912365 -3.525132 4.370814 -2.027668 -2.012436 -1.609259 1.427146 0.875645 -4.395035 1.216567 -1.920576
12 21758474.8904852159 0.065238 0.546784 3.097404 0.099914 -0.894214 2.044103 0.503631 1.913676 4.149281 2.453913 1.943456 -1.737885 3.142430 -0.938676 1.864020
13 -93734900.3094250411 0.413555 1.817076 4.811658 -3.981940 -4.743117 4.297970 0.450781 -2.673697 -4.666999 2.980670 -4.104756 -0.657994 4.381071 0.969527 -0.779425
14 31658311.4363767318 2.415082 2.031254 -2.102825 -4.723366 -2.529004 -4.722789 0.756111 3.085263 -2.069878 -4.811473 -2.967269 3.454888 -2.323111 -3.261142 -0.985574
15 -12164930.7870528027 3.697980 -4.181661 2.587254 -1.625740 -0.286304 -3.232879 -3.593739 2.558137 -2.802633 0.910379 -2.919873 -0.283494 -1.175930 2.097232 2.846515
16 3971026.9003443373 4.962386 -0.741956 -3.373077 -3.465239 4.275651 4.160780 -2.652558 1.292569 -0.386403 2.040337 0.191902 2.517182 -1.676848 3.206873 -0.226039
17 -312661620.7995682359 4.441488 -1.962320 3.891668 -4.649242 -4.108553 4.837418 3.340490 1.171758 3.086708 -2.346419 -4.135625 0.979591 -2.940733 4.372558 1.251902
18 198442274.5883592069 -2.103265 3.432399 2.618384 3.561106 1.218256 0.736101 0.238814 -4.593774 0.489692 3.280130 3.127412 -1.676596 -4.606616 4.000117 -3.347243
19 -150978090.2234517336 -2.761186 2.717620 -0.790393 4.883250 4.386821 -0.290408 1.153794 -4.474551 -0.640637 0.671490 -4.777369 -2.306832 -0.275410 -3.531703 -3.807185
20 95582586.1345211565 4.496075 -2.347010 -2.974883 -3.573835 0.568097 -3.393206 -1.546557 1.330241 -1.189493 -2.145259 3.431163 3.298339 1.152113 3.159606 4.733973
21 -49270891.4406524897 -2.030407 2.345396 -3.288551 3.580816 -3.236378 1.990034 -3.827713 -1.336812 -2.844347 -1.246498 4.268111 -0.418626 -2.128545 -2.548165 0.108581
22 -156472048.0478398204 -3.817182 -4.063433 -3.745394 -4.889358 -0.308910 3.360112 0.669570 -1.736341 -1.668080 -3.765823 -4.024567 4.502356 -1.327868 -3.056887 -2.780173
23 -60347872.0919471234 3.531868 -0.552883 4.413491 2.345968 4.908520 3.111376 -4.718871 4.082391 0.821555 2.094515 -2.205614 1.269495 -0.134399 -2.327975 1.957039
24 -299073043.0897133350 1.444785 -3.214167 4.009132 0.049985 1.036811 -4.271729 -2.622781 -4.526668 -4.798682 2.320620 -1.531930 -2.182919 -1.792728 -1.509276 -3.131843
25 219327455.1221123934 -3.961117 0.010556 3.682068 1.983325 -4.375733 -2.451811 3.918794 2.258733 -4.130069 -0.017849 4.878902 -4.463180 1.605003 -0.575210 3.141606
26 -133041555.1630382687 -3.570270 1.569831 0.873687 -1.952634 -4.867304 0.880745 2.335748 4.119727 2.265619 2.736694 2.412841 -2.958473 3.546968 4.130632 1.551953
27 -50632216.0137681812 -0.576931 3.099573 -3.569911 -4.438336 2.987481 2.262449 -1.818570 -3.083223 1.717449 -3.289727 -2.863685 -4.022844 0.086196 2.203240 -4.529854
28 83699015.4970231801 0.020289 -1.845281 -1.453257 -4.995109 1.459505 -1.694732 -4.390462 0.665064 3.679443 1.150240 4.803598 -0.304852 4.144371 -4.163269 -3.234184
29 -110550768.3405811042 -3.693179 -1.567020 -1.223582 2.842119 -2.200092 -1.524438 3.032394 -1.600892 -3.304251 -0.073739 -2.797349 -3.623110 2.659915 -2.783921 2.760996
30 108424983.7720732242 -4.964114 0.474866 -2.195090 -1.069167 2.540327 -3.624466 -2.993220 -1.111607 0.878974 -0.980641 -4.284410 3.432314 -2.169793 -1.673565 -3.954529
31 -123420791.5599373281 2.766553 3.266732 2.850263 0.349133 4.641736 2.069443 3.843423 4.645829 2.844471 0.279280 0.083207 2.667465 4.762415 -3.574144 -0.391336
32 19885800.2350814603 3.261150 -2.320118 -2.556249 -2.516716 4.089556 3.219590 -0.703664 -0.729087 3.800370 3.487567 0.709258 -0.540108 0.210964 2.634400 -1.284758
33 -297043048.5556254983 0.121809 4.152939 1.961040 -0.450661 2.468808 -2.134782 2.284716 -2.018620 0.107915 2.159494 -4.981448 0.244677 -0.199461 -4.291545 -1.838663
34 73422695.6603184193 1.842845 0.602785 1.163144 4.948327 0.839130 3.337362 4.227011 0.049556 -4.205446 1.330426 -2.103382 -3.592553 3.756240 2.908952 3.060381
35 61907677.1051085144 -0.362396 1.101301 -3.414262 -0.721120 -3.934968 1.336523 2.777392 -3.026629 1.868507 -3.954324 0.940796 -4.356735 -1.050271 -0.520202 -2.883010
36 65144164.3353594542 4.839521 3.842559 4.365486 -0.063704 4.040430 4.135705 -3.934672 3.195974 -0.964542 -2.940658 2.177228 -4.990129 -3.691668 3.012839 -1.183632
37 -1442736.5262518430 -1.671373 -2.391347 0.640286 -4.738352 4.550685 0.031364 1.213551 2.488907 -1.595555 2.578483 -1.201128 1.138254 0.744828 0.232287 0.363399
38 -84967977.9933300167 -1.573114 1.381853 -2.680825 2.189041 -4.643757 -0.135361 -0.571072 2.910275 -0.952302 1.058894 -2.027167 -3.993368 -4.236558 -1.063528 4.984846
39 51371374.1342931166 -1.745744 3.610342 -0.071463 4.275397 -1.743411 -2.108540 -4.022816 -0.487957 3.506513 3.494743 1.869054 -3.474574 3.131132 -0.305796 1.033281
40 -24643426.8036245666 2.465070 -3.292203 4.466903 -1.434702 2.775232 -4.397812 1.950895 -3.705050 -1.816848 -0.193906 -2.336656 -4.540534 4.489689 1.422959 2.336120
41 -218168648.0183182359 -4.075930 -0.937948 -2.722747 3.837325 -2.592370 -0.970329 -2.000183 0.252801 -4.856600 4.803864 -4.389427 3.155446 -2.857338 0.246014 -3.522114
42 154448657.2079131901 -2.911785 3.346964 -2.749156 -0.417050 2.044946 -2.186831 3.794800 -2.274722 -4.601617 4.141197 -3.214922 -1.491724 -3.549871 -2.389679 3.396489
43 166625794.3230853975 -3.180518 4.263509 0.448810 -4.208246 -1.237478 4.544443 3.597012 1.593863 -2.953122 2.333339 4.148351 3.773696 -3.396434 4.629421 -4.586951
44 155143619.1953339577 -0.717626 -0.889814 -1.058995 0.606189 1.628539 4.628283 0.788391 -0.257998 0.233828 -3.721230 3.785783 -2.870451 -4.687808 4.646177 -2.664353
45 -8422720.5914493874 -4.807064 3.156298 3.844847 -2.444606 -1.860711 3.590478 4.551477 0.533176 -0.862159 -2.804411 0.320981 1.553611 -3.731026 1.538712 0.277588
46 -742922.5500998407 -3.713153 2.471350 -2.256677 1.270176 4.432005 -2.312257 2.120476 -0.091662 -1.787839 1.851295 2.702352 -0.994657 4.894931 -0.228100 -1.133928
47 -102810157.8468043059 1.293032 -4.932498 2.256934 -1.726466 3.921455 -2.848239 -4.774038 3.004240 4.578092 1.235552 0.122322 0.575544 -0.670919 -3.670926 -0.842704
48 98657869.0498536974 3.820011 3.568741 -4.331320 4.648373 -3.500077 1.102458 -1.315524 1.178578 2.709244 -1.127127 2.059001 4.162727 1.842485 -3.017269 3.655017
49 -134118789.0690129250 4.769185 2.868618 -1.369768 4.611736 4.981475 4.051341 2.649787 4.155644 2.901917 -2.296493 0.007125 -2.369752 3.337057 -0.740451 -4.208585
50 -162940474.6645432711 1.073384 -3.728614 -1.508109 3.129700 -4.989870 -0.425024 0.615437 -1.661453 2.347448 -3.425260 -2.587820 -4.397584 0.065266 -4.258533 2.158489
51 -6850032.5302039972 -3.457184 -1.527435 -3.141484 0.532576 -3.572416 1.678906 1.235612 1.090364 -3.248363 -2.536944 2.356050 -0.854006 4.811410 1.449504 -0.656996
