evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.4282172988 -0.248928 -0.248928 0.248928 -0.248928 0.248928 0.248928 -0.248928 -0.248928 -0.248928 0.248928 -0.248928 -0.248928 0.248928 0.248928 0.248928
2 3.1607315094 0.601231 0.601231 -0.601231 0.601231 -0.601231 -0.601231 0.601231 0.601231 0.601231 -0.601231 0.601231 0.601231 -0.601231 -0.601231 -0.601231
3 -0.9251529445 4.877833 4.877833 -4.877833 4.877833 -4.877833 -4.877833 4.877833 4.877833 4.877833 -4.877833 4.877833 4.877833 -4.877833 -4.877833 -4.877833
4 -1.3376372631 -4.605106 -4.605106 4.605106 -4.605106 4.605106 4.605106 -4.605106 -4.605106 -4.605106 4.605106 -4.605106 -4.605106 4.605106 4.605106 4.605106
5 0.9390169012 -2.540968 -2.540968 2.540968 -2.540968 2.540968 2.540968 -2.540968 -2.540968 -2.540968 2.540968 -2.540968 -2.540968 2.540968 2.540968 2.540968
6 1.7474472635 2.820915 2.820915 -2.820915 2.820915 -2.820915 -2.820915 2.820915 2.820915 2.820915 -2.820915 2.820915 2.820915 -2.820915 -2.820915 -2.820915
7 1.0428720231 2.326088 2.326088 -2.326088 2.326088 -2.326088 -2.326088 2.326088 2.326088 2.326088 -2.326088 2.326088 2.326088 -2.326088 -2.326088 -2.326088
8 1.5435833486 -1.981064 -1.981064 1.981064 -1.981064 1.981064 1.981064 -1.981064 -1.981064 -1.981064 1.981064 -1.981064 -1.981064 1.981064 1.981064 1.981064
9 1.6592543156 -1.701131 -1.701131 1.701131 -1.701131 1.701131 1.701131 -1.701131 -1.701131 -1.701131 1.701131 -1.701131 -1.701131 1.701131 1.701131 1.701131
10 3.6805298112 1.356181 1.356181 -1.356181 1.356181 -1.356181 -1.356181 1.356181 1.356181 1.356181 -1.356181 1.356181 1.356181 -1.356181 -1.356181 -1.356181
11 0.4585758347 3.166006 3.166006 -3.166006 3.166006 -3.166006 -3.166006 3.166006 3.166006 3.166006 -3.166006 3.166006 3.166006 -3.166006 -3.166006 -3.166006
12 -0.2733574491 -3.446027 -3.446027 3.446027 -3.446027 3.446027 3.446027 -3.446027 -3.446027 -3.446027 3.446027 -3.446027 -3.446027 3.446027 3.446027 3.446027
13 0.2680553712 -4.252870 -4.252870 4.252870 -4.252870 4.252870 4.252870 -4.252870 -4.252870 -4.252870 4.252870 -4.252870 -4.252870 4.252870 4.252870 4.252870
14 -0.4806245974 3.980218 3.980218 -3.980218 3.980218 -3.980218 -3.980218 3.980218 3.980218 3.980218 -3.980218 3.980218 3.980218 -3.980218 -3.980218 -3.980218
15 2.5721698279 0.873970 0.873970 -0.873970 0.873970 -0.873970 -0.873970 0.873970 0.873970 0.873970 -0.873970 0.873970 0.873970 -0.873970 -0.873970 -0.873970
16 2.7980213611 -1.226348 -1.226348 1.226348 -1.226348 1.226348 1.226348 -1.226348 -1.226348 -1.226348 1.226348 -1.226348 -1.226348 1.226348 1.226348 1.226348
17 1.6324602421 -0.714216 -0.714216 0.714216 -0.714216 0.714216 0.714216 -0.714216 -0.714216 -0.714216 0.714216 -0.714216 -0.714216 0.714216 0.714216 0.714216
