evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 95.8822555732 4.711037 1.904141 -3.975613 -2.554404 0.950964 -2.244442 4.575417 -0.946480 -0.427696 2.016021 0.242497 -1.178540 -4.233621 0.964456 3.675800
2 346.7021782680 5.000000 -5.000000 5.000000 -0.581162 -1.371192 -3.738868 5.000000 -5.000000 5.000000 5.000000 0.327295 -0.562446 -5.000000 -5.000000 -5.000000
3 393.0336087822 2.670292 2.527577 -5.000000 4.334714 -5.000000 1.873675 5.000000 5.000000 5.000000 5.000000 5.000000 0.498700 -5.000000 -0.229923 5.000000
4 400.9545365888 2.732625 1.852696 5.000000 -4.887626 -5.000000 5.000000 -3.699670 3.091694 1.860598 5.000000 -5.000000 5.000000 -4.828571 5.000000 5.000000
5 502.0981603818 5.000000 -2.067657 -5.000000 -3.097342 2.665696 -5.000000 5.000000 -4.224910 -5.000000 5.000000 5.000000 -5.000000 -5.000000 5.000000 5.000000
6 448.9206554737 5.000000 2.208989 -5.000000 0.024119 4.685791 5.000000 -2.934260 5.000000 -3.532155 -2.810353 -5.000000 5.000000 -5.000000 5.000000 -4.399858
7 523.0797882938 4.269456 -5.000000 3.878154 -4.054807 5.000000 -4.033632 5.000000 -1.407575 5.000000 5.000000 2.204921 -5.000000 -5.000000 -5.000000 5.000000
8 368.3289170463 5.000000 2.281624 -5.000000 -5.000000 2.175716 5.000000 4.634722 5.000000 2.328939 5.000000 -4.516676 -3.149215 -5.000000 4.010293 1.241573
9 301.3545804804 5.000000 -5.000000 0.581663 -0.865376 2.319661 1.649316 2.199408 5.000000 4.256761 3.067141 5.000000 -5.000000 -5.000000 5.000000 5.000000
10 364.6047469235 5.000000 -5.000000 -5.000000 0.741904 5.000000 3.021388 -3.935359 4.201089 2.784659 5.000000 -5.000000 -5.000000 5.000000 5.000000 3.046100
11 417.9407690786 4.252156 5.000000 -3.522278 -3.722305 -5.000000 -4.581084 -5.000000 4.261450 5.000000 5.000000 -5.000000 -5.000000 -0.840874 5.000000 -5.000000
12 436.4927626132 0.974991 5.000000 -5.000000 -5.000000 -5.000000 -5.000000 -5.000000 5.000000 5.000000 2.311590 5.000000 -5.000000 -5.000000 -4.824589 5.000000
