evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.4290344029 4.219859 0.230859 -1.587737 4.561917 1.264138 2.154603 0.449035 2.085917 3.469058 -3.440685 -4.510870 -2.879903 4.688591 -3.166761 -3.550590
2 1.7664734070 -4.201750 2.841230 1.578965 -0.527164 -2.499510 -3.239444 4.519452 4.993459 0.439460 -4.561813 1.795682 -2.135333 -4.676081 3.518264 2.456331
3 1.9333486018 -3.675528 -1.368006 -1.789337 2.502269 3.899621 -4.924377 -2.394049 -1.758999 1.916454 3.344470 -4.550888 -4.092491 -4.185097 4.284922 -4.804773
4 1.7948398347 4.385751 4.785452 3.594831 -3.835683 0.075341 -3.785874 -4.060612 -4.620709 -2.247622 3.079652 -2.912155 -1.359177 4.180067 -0.196754 -0.087547
5 2.1028648786 -1.632321 3.499890 0.056000 1.243159 -3.284379 4.655985 -0.604634 -4.229958 -3.606393 -4.691310 0.180964 -0.617785 -0.233703 -0.479107 -0.611805
6 1.7424823299 -3.767391 3.146395 1.288540 -1.333351 1.342028 3.482899 1.631836 0.979024 3.300523 2.244923 -2.030855 -0.203113 0.676075 1.247468 -2.417133
7 2.3565130327 -1.238759 -3.462273 -0.996879 -4.215135 -4.373640 1.223370 -3.932776 3.873239 -1.146226 -2.348467 -0.423757 4.037195 -0.281837 0.493452 -0.818700
8 1.9026236972 4.484282 -4.666774 -0.706758 0.833609 -1.862740 -3.432667 -1.662109 3.736614 3.974545 4.664541 4.623116 -4.209723 -3.291184 -2.864733 -3.264446
9 2.7506616162 1.100893 0.254163 -2.740022 4.786106 -2.192290 1.032910 -3.435653 3.837169 1.555175 -3.814001 4.906773 -0.893429 -4.428337 2.581720 3.346320
10 2.1796528166 -1.283686 0.386453 -1.323802 0.969523 4.718104 4.375058 1.638300 1.408157 -2.585972 -2.044744 -4.695103 -3.649463 -2.499512 3.809387 -1.002896
11 1.9070346866 4.171969 -1.035285 -4.859555 3.755618 3.193964 1.870358 -0.847110 2.466539 -0.260522 -2.498155 2.720671 2.340925 0.032661 -3.399656 -1.691028
12 1.8044803505 -3.114113 4.650564 3.362442 1.962982 -0.808921 3.483566 3.942131 -1.379006 2.165151 -4.861705 -4.906771 -2.991433 0.479095 3.657028 -0.957265
13 1.6917969695 4.330971 -2.175879 3.987367 4.990605 1.360975 -0.851051 -3.513611 -4.108063 1.018364 -2.437248 -0.104274 -1.517760 4.973920 4.718968 -4.956079
14 1.9853325610 -2.231829 -0.878148 -2.595345 4.858254 -1.742125 -4.390702 2.521570 2.800872 -3.101470 -4.769738 0.488085 -0.274799 4.136072 2.928934 0.708524
15 3.3402303160 0.275144 -1.303291 -3.778044 -4.734743 -3.082521 2.594051 -2.772986 3.936522 -3.886418 0.621644 -3.661354 -0.665942 -1.273348 -0.977778 -1.923132
16 1.7867126485 -1.868135 -3.743391 -0.282995 -1.476811 2.484046 1.768644 4.530410 -3.958537 -1.633877 -1.444476 -2.887167 4.429499 -4.235403 0.142803 4.637197
17 2.0417804564 -2.290614 -4.732161 1.806403 0.812629 3.658935 0.319583 -4.331106 -2.039384 -1.333082 4.217587 3.584419 -4.921923 2.161356 0.104437 1.565201
18 3.2569294903 0.586269 -3.302221 -3.431709 -1.208516 -4.930802 -2.324350 0.043633 1.174489 4.632638 -0.346426 0.436430 -0.212183 -3.522853 1.480469 0.271986
19 1.8993740412 -4.317069 3.316940 1.276500 3.545003 3.041128 0.437866 -0.933517 0.263565 -1.865363 -4.455912 -1.978535 -3.424391 1.242009 -1.450152 -3.370045
20 3.2449233067 0.127979 0.104864 3.502652 -1.226137 2.656045 4.888396 3.958900 1.900213 1.037199 4.566594 -4.387596 2.656816 1.105441 -4.361501 -3.348134
21 2.7430178102 -0.680153 2.017573 -2.571025 4.100243 -3.608286 2.752386 0.276859 0.941226 4.616405 2.398872 -3.270015 0.186644 -1.186809 3.709905 2.624133
22 3.5778894890 0.761176 -1.187425 -4.196533 0.709291 3.832771 -1.790036 4.776844 3.966719 -3.022795 -3.515034 0.387292 -2.003516 -0.154771 4.171289 -1.225781
23 1.5640935801 3.185364 -0.108596 -3.377901 -3.880119 -1.431613 -0.822724 -0.719959 1.801314 1.364303 0.347275 -4.667186 2.434405 1.422252 1.937290 -1.871078
24 1.7627172071 2.203143 -3.070093 -1.003844 -3.672415 2.310654 3.644886 -2.328701 -2.029061 -0.366438 -3.057270 -3.979323 1.258237 2.118983 -3.740689 -4.068128
25 2.1212173075 2.660243 1.773384 -4.681017 4.516459 2.188620 2.634797 0.367326 -3.528993 2.641212 -4.757392 -0.578719 -3.013067 3.496168 2.957129 3.504685
26 2.0491216924 2.054827 -3.697612 0.447954 -0.498569 2.380291 -2.855483 1.246214 -0.064756 1.703264 4.581291 1.596460 -2.395208 -3.920113 -1.314878 -1.063512
27 2.7122231181 -0.896506 2.191016 -4.984637 4.286915 1.665113 -2.239370 -1.642809 -1.895179 -3.372440 1.457016 3.220127 -0.633430 -4.804663 -2.127752 -1.593996
28 2.0697911274 4.503013 1.128759 -1.970992 2.582851 1.478679 1.237423 -3.721282 -0.698784 3.558214 4.165428 -1.642162 -0.584612 -4.858447 4.350950 0.188959
29 1.9466329163 -1.960383 -3.754891 -3.168304 -4.740557 1.437516 -3.859469 1.125877 2.828184 0.445198 4.511621 0.076613 2.310455 3.736832 0.651386 -0.136278
30 1.9812479078 -4.944783 4.274418 4.448174 0.968648 -2.898330 -1.496665 2.574818 -1.722126 -3.456738 3.878135 -1.889805 0.000686 -2.063861 -1.186157 -0.291145
31 1.8985665934 2.000549 3.208283 -3.562874 -2.924741 4.962997 -3.069782 1.124857 -4.082084 -4.303030 1.459618 3.969229 -2.781043 4.955682 3.704395 -4.851812
32 1.6473808870 2.640199 -1.048830 3.348992 2.265155 2.855566 0.233502 -2.497444 0.136300 3.065011 -3.319337 3.815042 2.465484 -3.842537 1.551537 -0.758719
33 1.8776702751 -2.257634 -2.469755 0.917543 2.823670 -3.179610 -2.952804 2.312289 2.839171 1.237522 -2.646220 -4.837774 4.662276 0.816743 1.194841 -2.685030
34 1.6034111868 2.807758 3.116346 -1.704823 -4.770879 -3.949900 3.438002 4.255142 2.282848 2.594631 1.571952 4.567649 0.020731 -0.582470 -3.428524 0.212662
