evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 3.6062617361 -0.850905 -0.637836 -4.708898 -0.826965 -1.134937 -1.245768 -4.169838 0.664457 0.106042 4.597422 -3.451680 3.531174 4.817157 0.009815 -3.050485
2 2.7461284938 -1.014188 -1.192011 -4.884000 -1.755258 -1.326091 -1.998495 -4.482783 2.534448 -1.303254 2.497974 -2.175768 2.806247 4.480900 0.799402 -2.513722
3 1.9291580475 -4.599980 -0.579419 -4.976546 -2.091214 -0.754495 -2.554049 -4.549153 0.945465 0.055086 4.861650 -3.995957 3.874249 4.777032 0.322826 -3.055590
4 3.8047567488 -0.530181 -1.088564 -4.979031 -0.683174 -2.328826 -0.386597 -2.819731 1.939758 -0.317112 4.779772 -3.955995 4.909834 4.638136 1.555744 -2.269557
5 3.1646351073 -0.510641 -1.111720 -4.967386 0.934982 -2.074946 -0.788078 -2.917927 1.872941 0.869611 3.820409 -1.727669 3.792840 4.662088 0.239683 -4.039677
6 2.5355866456 -2.039407 -2.015703 -4.434767 -2.356811 -1.151727 -1.027708 -4.945311 2.120913 0.455178 4.637832 -4.246022 3.913175 4.978055 -0.333401 -4.285033
7 2.4949235693 -1.156303 -1.581064 -4.010160 -3.083905 -4.184469 -1.918136 -4.148218 1.878258 -0.418424 3.573068 -4.946289 3.582330 4.507799 1.727142 -1.510639
8 2.2284317333 -2.577030 -2.446337 -4.999962 -1.912900 -3.059870 -2.188897 -3.876369 1.086659 -1.763116 3.499197 -2.876166 1.792913 4.790642 0.772951 -3.869506
9 2.6105758710 -1.755263 0.731390 -4.328274 -2.081240 -2.266701 -1.871122 -4.883411 0.547564 -1.452792 3.697240 -2.413112 4.122578 4.787323 0.858786 -1.096394
10 3.3792954143 -0.595892 -0.713715 -4.342137 -1.430131 -1.225571 0.201114 -4.722311 2.595675 -2.234916 4.201757 -4.484229 4.993393 4.877424 0.003290 -2.696894
11 1.9217574796 -3.151300 -1.936135 -4.616274 -3.082836 -1.929673 -0.390040 -4.990446 0.328062 0.642832 4.354170 -2.629212 2.542125 2.969565 -1.415472 -2.876666
12 2.9061037181 -1.142451 -0.277418 -4.777579 -1.654481 -1.726482 -2.498659 -4.179511 0.692883 -1.161791 1.845269 -4.318208 4.441354 4.717642 -0.766425 -3.410320
13 2.9683861646 -0.757073 -1.460203 -4.639049 -1.146626 -0.544494 -2.832145 -4.681708 -0.658106 -0.194318 4.642356 -3.298411 1.958165 3.489483 0.207520 -2.059529
14 2.4977899262 -2.055093 -1.679485 -4.897733 -3.149261 -2.054335 -1.143947 -4.689902 1.919285 0.976548 4.039568 -2.738585 0.804953 4.987807 -0.332647 -2.831141
15 1.7028783699 -3.921668 -1.065644 -3.644821 -2.112974 -3.154661 -1.581656 -4.990050 0.132997 -0.608543 4.635098 -3.557521 0.977854 3.920632 -1.616648 -1.764545
16 2.3883087404 -2.542832 -3.711147 -4.705029 -2.866754 -2.947656 -2.791858 -4.972658 0.144910 -1.092216 4.988752 -2.414979 2.873981 4.927781 1.605190 -4.052508
17 2.3781751959 -1.198998 -1.845715 -3.617042 -3.073356 -2.312644 -1.449289 -4.584168 -0.735277 2.301395 4.955711 -3.976152 3.267803 4.926753 0.279876 -3.794305
18 1.9283107008 -2.109078 -1.360365 -3.547211 -1.890119 -0.032552 -0.905658 -4.854759 1.032837 1.122000 3.163619 -1.458682 2.148328 4.638356 1.138026 -2.385830
19 1.9105459907 -4.041234 -0.806925 -4.464242 -2.837698 -1.088598 -3.476988 -4.992446 1.586706 0.480034 4.802551 -2.477746 1.999128 2.779405 -0.399851 -2.549468
20 2.2827147631 -2.123570 -1.826299 -4.670384 -2.437445 -2.085801 -2.437818 -3.777172 1.708839 0.715642 3.090208 -2.694945 3.907869 4.320631 -0.745193 -2.979121
21 1.8489005592 -2.938801 -1.771158 -2.884049 -2.900968 -2.643813 -1.780025 -3.725326 3.101458 -0.198275 3.374572 -4.232584 2.824092 4.241203 1.296306 -2.508260
22 2.8417213443 -1.500070 -2.002300 -4.999093 -2.157555 -3.532468 -2.739388 -4.885365 1.020999 1.859059 3.846333 -2.471325 2.104012 3.779810 0.783975 -2.333470
23 2.0966465819 -4.751500 -1.704628 -4.923345 -1.397192 -3.333548 -1.618175 -4.881543 0.680800 1.498245 4.325569 -1.304182 2.226108 4.941078 1.381316 -2.091558
24 2.2065558863 -2.896704 -3.709325 -4.986674 -4.304410 -3.131278 -2.637154 -4.285062 0.906537 0.424669 4.463705 -2.301811 1.587118 3.555139 -0.748327 -2.387789
25 1.9383881898 -2.843351 -1.735185 -3.389755 -2.233188 -2.189244 -1.266918 -4.995432 0.066150 2.538238 4.227237 -3.560529 2.969841 4.969373 0.702369 -1.749873
26 1.8064812389 -4.872390 -0.695837 -4.891533 -3.965173 -3.150644 -1.653422 -4.970060 2.609286 -0.946940 3.805482 -1.975544 1.666145 3.815023 -0.030528 -1.469078
27 2.0010258620 -2.915089 -1.316363 -4.999545 -2.133888 -2.137233 -2.861864 -4.697251 2.327708 -0.901560 3.714655 -3.785254 0.190987 1.978827 1.109120 -2.493042
28 2.0093430508 -3.442285 -0.016928 -4.020726 -3.181029 -4.628844 -2.435009 -3.517002 1.752411 0.334876 2.967783 -3.141797 0.980908 4.168544 -0.343055 -2.492110
29 1.7854081495 -4.121935 -1.582782 -3.591031 -2.693961 -3.048671 -1.807502 -3.819302 2.274274 -0.892688 3.357405 -4.032491 1.909009 4.829417 0.888250 -2.398888
30 1.7144830859 -4.213131 0.520876 -3.677562 -1.058605 -1.453050 -0.905329 -4.999891 1.558024 -0.061743 3.662877 -4.342127 2.846878 3.237429 -0.653088 -1.373303
31 1.7506457776 -4.889903 -1.260636 -2.321010 -2.999737 -1.375026 -2.943464 -4.160764 0.394862 -0.558785 4.214084 -2.443736 1.276079 3.766707 0.510769 -3.771515
32 2.2212251317 -2.175442 -0.686596 -4.901049 -1.932729 -3.379571 -0.940202 -4.904575 0.969217 2.198045 3.972718 -2.441252 1.849698 3.358041 -1.185766 -2.963824
33 1.9869013484 -3.015767 -0.974137 -3.011087 -3.644821 -0.402603 -1.971037 -4.658528 2.284086 2.080345 3.832148 -1.706505 2.100406 1.934834 -0.065939 -3.944311
34 1.7580122573 -3.405735 -0.011262 -2.781345 -0.983214 -1.719357 -1.086653 -3.999787 2.905719 -1.061106 3.668211 -3.436980 0.341536 3.826153 0.539662 -1.626127
35 2.2230615525 -2.828398 -1.960441 -4.239662 -1.123414 -1.737055 -2.822000 -4.285276 2.484371 1.590566 3.351874 -4.009094 3.091434 4.936949 0.806740 -0.388174
36 2.2353504073 -3.353195 -0.177517 -3.888240 -0.737077 -1.290530 -1.662037 -4.190895 -0.269597 -0.049662 4.959917 -3.281493 3.371606 4.858321 0.657634 -2.347424
37 1.7370389510 -3.696502 -0.834228 -3.451701 -1.795099 -3.048128 -0.720400 -4.681092 2.102581 0.224781 4.952328 -3.087162 0.841946 4.157274 -0.826218 -0.629302
38 1.9467363238 -3.992470 -1.363907 -2.468883 -0.755694 -2.757076 -0.536686 -4.302537 0.829229 -0.491796 3.957523 -2.820601 2.643689 2.024026 1.218414 -1.939975
39 1.7426709529 -3.149216 -1.831170 -3.191361 -2.284890 -2.197281 -2.198482 -4.731046 0.195287 -0.805045 4.432491 -1.501946 1.597161 4.284909 -0.689260 -1.155956
