evaluations raw_y x0 x1 x2 x3 x4
1 0.4840124551 1.105385 2.410739 -2.062821 -4.806564 -0.730458
2 -12.3877795121 1.688451 1.638363 -2.448620 -2.440932 -0.257458
3 8.2828403577 0.345372 2.303480 -4.404765 -4.637431 -0.520019
4 -4.3585549584 1.650737 2.517159 -2.170256 -4.152665 0.382341
5 -0.0271360861 0.252205 2.821186 -1.991079 -4.849240 0.009958
6 -4.2121889246 -0.210408 2.204145 -2.075511 -3.619186 -0.686068
7 -6.3288010996 1.289701 2.887079 -3.395617 -3.284525 0.407000
8 -3.2397684341 -0.456860 2.568814 -3.231973 -4.951382 -0.278440
9 -4.6349912480 3.506952 1.122606 -3.479142 -3.198409 -0.895085
10 -14.5188166993 1.398402 1.745585 -2.814002 -2.117906 0.372647
11 -6.4291478485 1.136749 2.329648 -3.431853 -3.852482 0.212626
12 -15.3793937754 2.897466 1.116690 -2.442871 -2.522160 1.551858
13 10.1001081169 3.583743 0.239655 -4.857727 -4.529287 0.974383
14 -14.7293385607 2.282140 2.604281 -2.392943 -2.660816 -1.806543
15 1.7328697224 2.706951 1.699131 -4.787780 -1.511521 0.754876
16 -1.1107897000 2.438494 -0.845352 -4.076316 -4.501748 1.342902
17 -8.4614411239 1.252185 1.597603 -2.329770 -3.394447 1.417607
18 -12.4439877694 4.392278 1.525612 -2.432520 -2.954459 0.625547
19 -10.1580084378 1.776271 -0.703103 -3.971468 -2.505797 -0.239092
20 -8.7131933843 2.649420 3.532195 -2.765173 -1.352167 1.617387
21 -6.3684791175 1.397965 0.599682 -3.246359 -4.640950 0.247166
22 -12.0433034571 0.866394 0.059592 -3.612904 -2.435680 1.081128
23 -22.4958052511 0.544131 1.082412 -2.723759 -2.933097 -2.137296
24 -4.8859780262 0.484588 1.416809 -1.320557 -0.461093 -0.068783
25 -9.2326248339 1.115252 -0.654948 -2.045391 -4.244090 -1.069831
26 -7.2223305084 0.547495 1.108254 -2.775869 -4.790973 -0.679423
27 -12.8897822029 2.938764 -2.009054 -2.344262 0.111658 -0.909673
28 -8.6491151123 1.167050 1.054808 -1.748585 -4.967517 -2.345172
29 -8.6207957550 2.413908 0.431815 -3.964570 -3.312985 -1.495281
30 -12.8165912344 0.557670 1.109304 -2.530336 -4.470506 -2.642691
31 -11.2921033926 3.414157 -0.389370 -2.927373 -1.475687 2.458450
32 -4.4626884849 4.473800 -0.266625 -3.130822 -0.244933 0.958349
33 -12.8622116599 3.941786 -1.737297 -1.490102 -2.178960 -1.575849
34 -3.9297663535 4.082396 -2.177018 -1.606173 -0.448421 0.390401
35 -9.0847335217 -0.506325 -0.259858 -3.640231 -2.523628 -0.176365
36 -13.0860851535 -0.186044 -1.150983 -2.855992 -0.696321 0.595014
37 -7.3056542039 1.348582 1.861541 -0.732192 -2.909942 0.029255
38 -5.7604204264 3.599610 -1.061297 -3.674370 1.170355 -0.715854
39 -4.0210291099 2.635047 -1.354265 -1.826351 0.255257 -0.691675
40 -69.9253596082 3.145755 -3.461137 -1.543753 -0.098720 0.422481
41 -14.3203005870 2.572532 -3.671303 -2.943924 1.364974 1.492556
42 -1.3138442525 0.186159 -4.624177 -4.256715 -0.039452 -1.186015
43 -13.5368799848 2.501704 -2.234622 -2.805915 -1.097759 -0.427044
44 -7.5912068856 4.535004 -3.346585 -1.769142 1.367456 1.762982
45 -19.1723560536 4.570579 -1.629358 -2.761192 -0.786501 0.987711
46 -3.0287517694 3.800847 -4.817072 -2.719771 -0.959911 -0.721056
47 -12.5960155515 1.068545 -1.217546 -3.480944 -0.875532 -0.484515
48 -13.8136932015 -0.031764 -0.957670 -1.817467 -1.565911 -2.357922
49 -4.6843224238 3.544487 -3.357901 -2.437725 1.838970 1.126003
50 -7.4685656795 4.850631 -4.976977 -0.974563 1.819870 -2.340609
51 -3.0416688630 4.258962 -4.992740 -3.648168 1.293641 0.960874
52 -19.6316792658 2.215938 -1.190458 -2.928953 -2.307374 -2.017596
53 -7.8829947127 1.483495 -2.754967 -4.329310 2.712482 1.777947
54 -5.8553075685 4.614639 -4.698808 -1.916362 -0.333036 -1.285017
55 -4.6284980673 2.880910 -0.575518 -3.755875 -0.726146 0.858102
56 -14.2648025250 3.064587 0.553402 -2.451710 -2.747476 2.344647
57 -10.3638646238 4.159421 -3.053101 -3.575709 0.855626 -1.083957
58 -13.0879554784 3.361517 0.271803 -2.838537 -3.203653 -1.130015
59 -9.0364704768 2.071392 -1.608869 -2.024874 -0.773919 -1.449313
60 -19.9184541998 2.734241 0.030549 -3.168961 -3.089281 -0.768762
61 -14.9841237804 2.452527 -3.955001 -2.864021 0.509156 -0.922092
62 -4.6323680825 2.734308 -3.287486 -2.676006 0.125944 -2.711052
63 -17.4258334129 1.772662 0.472191 -3.333128 -2.051312 -2.119383
64 -17.1455145643 2.968797 0.132388 -2.932971 -3.009375 1.284601
65 -6.9660585899 2.694581 1.861859 -3.677043 -3.322068 -1.261517
66 -9.6073660093 0.655065 -0.719332 -4.660699 -2.623051 -1.523107
67 -18.6039234530 1.195441 -0.832519 -3.473565 -2.757090 -2.240509
68 -12.2845249711 2.731650 -2.539868 -2.350375 -3.630859 -0.665499
69 -7.4494248460 2.707112 -0.562396 -2.196487 -3.662488 -1.878383
70 -15.2075351239 3.839320 -2.461637 -2.700392 -1.615484 -1.245095
71 52.5069139383 1.162551 2.084935 -4.036091 -3.147068 -1.184520
72 -17.9958716155 4.888884 -2.974037 -2.259530 -1.546624 0.556822
73 -35.7473365954 3.161622 -1.141256 -3.308059 -1.789875 -1.349967
74 -3.2769075924 2.490717 -4.975589 -1.995183 0.790426 -1.157353
75 -12.8048831785 3.470606 -3.024967 -3.101742 -2.501102 0.408733
76 -17.4793556744 2.873188 -1.731086 -2.530452 -3.495591 -2.332831
77 -18.7215644709 4.300680 -1.162867 -2.567147 -2.923084 -1.731066
78 -0.5289517773 2.035862 -2.042902 -3.624667 -0.969231 -3.000182
79 -26.3776080138 3.196908 -1.938115 -3.263057 -3.939732 -0.827424
80 -13.6444994755 2.757207 -1.994732 -3.970960 -2.414448 -2.580035
81 -13.0701668206 3.906563 1.070131 -2.713778 -2.060688 -0.160819
82 -11.4576553869 3.525275 -3.090876 -4.220899 -1.911717 -1.055552
83 -7.3580392189 3.741004 -0.721805 -2.385592 -4.019796 1.115649
84 -8.9078765155 4.139490 0.662330 -3.729992 -3.624715 -2.146815
85 -1.7483870066 4.095839 0.837452 -2.734141 -4.984715 -0.028737
86 -12.6916541202 4.218440 -2.536117 -3.263239 -0.957178 -0.203888
87 -12.4074384307 3.750218 -0.602772 -3.176480 -2.890614 -1.103797
88 -6.0771033980 1.657426 2.041562 -2.490265 -4.938278 -1.233735
89 -11.9249097398 4.072981 1.144892 -3.365279 -2.577964 1.195501
