evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.3062045363 -0.260792 -2.005469 1.354743 2.692355 -3.484857 4.824964 -0.715265 -0.308155 4.002486 2.644913 1.644605 -2.463312 1.611422 -2.962490 1.981444
2 1.7485848117 0.284560 -1.899049 1.247309 3.349863 -2.372087 4.232103 0.467570 0.149387 3.300178 2.912326 1.088807 -2.562650 3.940723 -1.944232 1.815394
3 2.5267711876 -0.076475 -1.529132 0.021965 4.217986 -2.347429 3.523025 0.215195 -1.091511 3.908950 2.623930 2.006244 -4.126966 3.023893 -1.854339 1.490594
4 0.3470821311 -0.996828 -1.321904 1.088766 2.796725 -3.717951 3.863362 0.297270 -0.112357 4.829836 3.340647 2.568183 -1.937128 4.507433 -1.575494 0.947210
5 1.2883060845 -2.837922 -4.094470 2.153981 4.773364 -3.543326 4.981780 -0.556712 -1.991403 4.028509 2.600238 0.052498 -2.137438 3.093371 -1.654024 0.619369
6 0.8592067545 -1.772315 -3.719409 3.593054 4.471372 -3.583590 4.593964 0.615749 0.658767 4.984131 3.234195 2.283961 -3.098818 2.346968 -2.198728 1.680124
7 0.8714971302 1.667298 -2.404192 2.369495 1.994774 -3.288661 4.200006 2.465343 -1.290743 4.999478 2.313549 3.433069 -3.169444 4.593326 -2.581428 3.363001
8 1.7431244776 0.979837 -1.305384 2.865702 3.001921 -3.049236 4.770463 0.065207 0.617631 2.205122 3.742788 0.133798 -0.594313 4.961249 -4.083243 1.820007
9 -0.0065245080 -0.330413 -3.632194 1.970588 2.392157 -2.693491 4.999370 -0.430198 0.541151 4.774366 3.901153 1.588961 -2.189126 3.759301 -4.592991 -0.382382
10 1.3585127216 -1.071218 -3.647247 0.590228 2.602525 -1.524725 4.001530 0.215275 -1.014691 3.967024 2.651330 1.892162 -2.980946 3.351512 -3.733560 3.836397
11 1.9710116131 0.215697 -1.538800 2.017048 4.432661 -4.963944 4.999990 1.017289 -0.906746 4.906568 -0.264005 2.134128 -3.200361 2.081069 -2.732987 1.797877
12 1.6905567325 -0.870761 -1.968009 0.421528 4.243004 -4.134254 4.999896 0.608364 1.798345 4.010775 3.551188 1.459729 -1.431512 4.529171 -2.719067 2.201089
13 2.2633734867 -1.037242 -3.891749 2.054918 2.808153 -4.737044 3.609722 -0.104896 1.637941 4.651777 4.399528 3.220411 -0.864915 3.552627 -4.872066 1.312150
14 0.3407510713 -1.712093 -4.163530 2.863843 2.909154 -4.150979 4.830285 0.519901 2.424512 3.835105 3.675183 2.633316 -2.733461 2.979074 -1.654429 1.517564
15 0.6235938586 -0.008362 -3.139158 1.124422 2.468084 -3.061640 4.658028 -0.218848 0.778910 4.226039 3.257358 3.405413 -1.222341 2.602714 -4.277141 0.737642
16 0.9634161152 -2.556196 -3.569520 2.364137 1.939097 -3.578876 4.999971 -0.062944 -0.650078 4.920618 3.709698 1.126903 -1.173022 3.946557 -2.173355 2.735442
17 1.9660658374 -1.669214 -4.113825 3.503062 2.740547 -4.266859 4.781756 1.819042 0.072230 4.603530 1.672308 0.728383 -3.638442 4.976429 -4.297549 0.086972
18 0.2803376491 -0.588299 -4.596891 3.542236 3.395095 -3.941275 2.271630 -0.783499 -1.236593 3.803783 3.929782 2.886476 -1.490323 3.705366 -1.823162 0.565751
19 0.7303755032 -0.153041 -3.967627 3.204479 4.571758 -3.268030 4.876096 0.516061 -0.583053 4.397134 4.663560 2.422885 -3.101565 2.949247 -2.834563 0.786609
20 0.2077521334 -0.721688 -2.017728 2.879549 3.438795 -3.646835 4.335075 -0.125223 -0.790144 3.933790 2.882685 1.805334 -2.641688 4.922870 -3.327170 1.534293
21 1.1604248825 -2.147705 -3.035319 2.246603 2.341538 -2.214620 4.067113 0.420090 0.366034 4.284772 1.531794 0.957067 -2.932572 3.155891 -2.682550 1.698755
22 1.1103563477 -0.954616 -2.100629 0.851324 3.881855 -3.996548 4.833151 -1.308735 2.054225 4.592549 4.393597 1.335479 -2.546826 2.710315 -3.354581 0.835169
23 1.1140282495 -2.434587 -1.391520 3.758283 2.471826 -1.972509 4.914189 0.582204 -1.462256 4.672090 3.481534 2.411650 -2.166769 4.630120 -2.316501 0.164069
24 1.0541733215 0.747047 -4.431602 4.308664 1.888330 -4.433387 4.516736 -0.652208 0.987662 4.821559 3.342442 2.526806 -1.940969 4.413380 -1.528369 0.139777
25 0.6452445878 -1.184620 -3.478638 1.408785 4.028790 -4.159420 4.943031 -1.098566 -0.202175 1.478304 3.386809 3.627570 -2.349112 4.100376 -2.349470 1.783557
26 0.8245824313 -0.806304 -2.970323 2.539629 2.865349 -2.938212 3.679532 0.861264 0.461871 4.907131 2.230415 3.547464 -2.865838 4.310432 -3.727231 0.183134
27 1.7494921856 -2.426343 -3.554625 3.739690 2.987802 -4.786606 3.403784 -1.353108 0.438600 3.300102 1.987990 2.492139 -0.504862 3.602413 -1.631324 1.367439
28 1.2220116786 0.615782 -4.954728 3.337980 3.761763 -2.840577 3.998388 -0.853163 -2.332172 4.881867 2.703039 1.597644 -1.877454 3.749475 -1.011205 0.299236
29 1.4420406580 0.177191 -4.371070 2.172498 4.462661 -3.651033 2.463506 -0.426857 1.022139 1.991894 3.777989 2.348231 -2.294695 3.863095 -3.497777 1.478852
30 0.8038360915 -0.795676 -4.994481 1.815112 2.134737 -3.349452 2.722882 1.043969 1.281246 3.759545 4.383591 1.786508 -1.590835 4.605442 -2.192781 3.492143
31 2.5296222219 -0.884731 -4.475413 2.308708 3.219043 -3.815576 2.731608 -0.881620 -1.683247 4.544684 3.110293 1.828568 -2.355518 3.905053 -3.615253 0.088083
32 2.1281167443 0.342330 -4.018054 1.901915 0.815669 -4.984406 4.483910 -1.558665 -0.962298 3.987067 1.646836 3.104967 -3.006179 4.748970 -2.700545 2.315300
33 0.7654878367 -2.168171 -3.856799 2.053839 1.727524 -4.838547 4.907878 -0.265584 0.199765 3.252368 2.381084 3.072100 -2.162555 3.249443 -3.332781 -0.382664
34 0.4716645155 -1.465877 -3.827474 2.217114 2.107594 -4.992459 4.162342 -0.358354 1.157355 4.180155 3.708484 2.384958 -1.506750 3.692262 -1.617767 1.951295
35 1.4654824265 -0.005519 -4.654378 3.723547 3.337320 -3.832561 3.345782 -0.610457 -0.015227 4.729660 3.433558 0.759949 -2.415033 4.164121 -2.515451 0.281071
36 0.7855292460 -1.489304 -4.376661 3.335633 3.761883 -3.584118 4.923255 -1.009235 1.001133 4.556796 0.395178 1.910001 -1.695328 4.991600 -3.179502 -0.239197
37 1.4396589343 -2.887481 -3.073598 1.435296 2.304810 -4.985567 4.553689 0.364415 0.117744 4.608479 3.559100 3.509640 -0.494419 3.665929 -2.790891 0.490701
38 1.1704856917 -0.662237 -3.854922 1.241969 3.631397 -4.973875 3.783118 -1.820331 1.492845 4.040633 2.147644 4.620894 -2.434330 3.660705 -1.375232 1.253559
39 1.2940233180 -2.464176 -4.965328 2.967688 3.619579 -3.790229 4.838635 -1.037734 0.752907 1.864998 3.146476 0.827638 -1.861334 3.361418 -3.909106 0.896805
40 1.1724384316 -2.720179 -4.579847 0.996436 2.358096 -2.535530 4.924961 -0.766222 0.090972 1.710692 0.748814 3.097664 -1.037584 4.167873 -2.298010 0.916232
41 1.7523152596 0.293303 -4.462646 2.329222 2.734872 -4.480257 3.798447 0.970111 1.704468 3.940416 2.873920 3.206540 -2.905414 3.241999 -3.768445 2.403243
42 0.1232371851 -0.074256 -4.575358 4.166716 2.519030 -3.407762 4.224560 -3.536737 1.095845 2.643093 2.597134 1.751579 -3.605073 3.525509 -3.187683 2.498403
43 0.6918552393 -0.987977 -3.347323 3.249949 2.655278 -4.557136 4.518163 -0.062910 1.848541 3.834654 2.301567 1.477711 -2.517072 3.375274 -1.917889 0.528140
44 1.5699368918 -2.320945 -1.946869 3.555580 2.093317 -3.006881 4.229564 0.279191 -0.104276 3.880788 3.050666 4.498447 -2.013099 0.941901 -2.575325 0.445702
45 0.5121522252 -0.611659 -4.726465 2.839879 3.889770 -3.132980 3.188603 0.540262 -0.950231 3.281926 1.924527 2.117686 -2.605232 4.321134 -0.117576 0.651522
46 0.7014768313 -2.194646 -3.796807 0.666443 4.035399 -4.833599 2.963130 -0.774215 0.756439 4.971012 2.365427 2.473278 -1.825995 4.986735 -2.349007 1.582965
47 2.2029723022 0.038793 -2.171447 0.901572 3.717549 -4.433598 3.316684 0.799396 0.978170 3.237774 4.053223 4.583245 -1.201929 3.284125 -2.415973 0.437347
48 1.2577537821 -1.327011 -4.986022 0.627180 2.179063 -4.999426 4.317136 1.039915 0.641108 4.358333 2.570625 1.615732 -2.677456 2.930865 -3.217023 2.403787
49 1.3370866937 -1.329169 -4.461623 2.061459 4.179167 -2.996312 4.225254 -0.975049 1.996716 3.206084 3.762447 2.638073 -1.165594 1.361382 -1.928679 1.993974
50 1.3711357096 -0.598285 -2.248522 1.916021 4.554437 -1.275588 4.506011 -1.177118 0.828548 3.826377 2.134133 2.336162 -3.418357 4.936742 -1.504131 1.809929
51 2.1592232077 -0.431798 -4.189184 2.227060 1.997299 -4.983331 4.250570 -1.302301 -0.840678 4.083826 1.591098 4.229760 -2.278660 4.013615 -0.852504 1.438512
52 -0.1712299925 -0.762308 -4.500994 4.024014 3.153425 -3.090377 4.907624 -3.127815 1.185215 3.275627 2.056099 2.285231 -2.655445 4.967987 -3.254632 0.326573
53 1.6284547198 1.733219 -4.203836 3.150238 3.389422 -3.873149 3.824625 -0.977611 0.680638 2.432993 2.230972 2.173593 -1.553905 3.015821 -2.972054 1.022136
54 1.0221202150 0.067070 -4.216803 3.204976 2.416017 -4.183302 4.385637 -1.083572 -0.546490 2.432807 3.427516 4.076488 -1.702059 4.481299 -1.170161 2.621654
55 1.8976020496 -1.164695 -4.249952 2.973049 3.354775 -4.770689 4.889743 -1.349716 -0.534718 1.655575 2.662624 0.470208 -2.506307 3.453053 -3.410387 1.399573
56 -0.6302077773 -1.812981 -4.906574 2.686179 4.630830 -4.229806 4.795770 -2.544490 1.136559 3.688848 1.291169 2.286618 -2.924079 3.273800 -2.259058 2.191602
57 2.1206824056 -1.429276 -3.740064 2.122795 2.776241 -2.700257 4.997864 -2.512993 2.293614 4.557255 3.608254 0.775347 -2.828213 3.135972 -2.247139 0.113113
58 -0.0265258229 -0.446104 -4.686948 3.796061 3.739994 -4.969040 4.770971 -1.835277 -0.056032 3.024906 1.295369 3.539153 -3.426399 3.041964 -2.302176 0.786957
59 1.6098958634 -1.579395 -3.721787 3.078118 1.725852 -4.159278 4.777705 -1.323417 1.690212 2.914993 1.940946 0.901405 -2.271687 4.408861 -3.680023 0.406644
60 0.3097409371 -0.903535 -4.639284 2.288069 4.910171 -3.241780 4.983121 -1.350682 1.961152 2.380658 3.413659 2.075524 -3.730721 4.222688 -2.951807 2.206844
61 1.2601141473 -3.098248 -3.983656 3.287609 4.992674 -4.690794 3.786191 -1.716185 1.832737 3.342312 1.818634 1.949333 -2.700176 3.816265 -3.037143 1.726026
62 2.1046434200 -4.406384 -3.848782 4.490773 4.754176 -4.909594 4.999755 -2.707732 1.914320 4.993931 3.114291 3.563680 -2.413263 3.160384 -2.431117 0.745833
63 2.3482040433 -2.303956 -3.465855 2.836513 1.547352 -4.958175 3.550982 0.293257 1.342777 3.359140 3.486406 4.607630 -2.487327 3.949811 -1.118294 0.194348
64 -0.2505970697 -1.356991 -4.144174 3.178781 3.622817 -3.502128 4.973227 -3.098457 -1.997661 3.399384 1.524936 3.479129 -2.024157 3.893465 -2.896682 0.936952
65 1.3211219530 -1.296957 -4.926367 3.301795 2.931029 -3.622494 4.886878 0.414763 1.949270 2.278196 -0.449092 1.170243 -2.102792 3.358923 -4.044530 0.247009
66 0.7583130726 -1.759263 -3.778358 2.864137 4.839562 -4.131968 4.285754 -1.738025 -0.527710 4.284471 2.670437 3.155524 -2.319553 3.076031 -2.172466 2.089191
67 0.5805746748 0.533417 -3.949123 4.121386 3.597611 -2.006602 4.977835 -1.533316 -0.977873 4.156671 3.722358 2.882420 -3.901618 4.091469 -1.162299 1.288550
68 0.8535529763 -1.375282 -3.960931 4.360047 4.826911 -3.005370 4.125441 -4.867661 -0.055555 1.843462 2.532384 3.381335 -1.954194 3.689482 -1.986258 2.765039
69 0.9574914833 -3.374295 -3.100076 2.150077 4.308482 -3.705998 3.951738 -2.617006 -0.388076 3.936652 2.097094 1.048326 -3.547087 3.626078 -3.006305 1.404456
70 -0.0184267262 -1.466649 -4.111485 3.273849 4.972887 -4.436382 3.915250 -3.193514 -0.253997 4.593135 -0.038194 2.772713 -3.561499 4.103184 -2.241884 1.717739
71 1.0817749044 -0.479096 -3.423020 1.313456 4.652865 -3.331716 4.473987 0.349192 1.457917 2.315584 -0.936290 2.985217 -1.869505 3.482727 -2.675264 3.245694
72 0.8116268718 -2.837081 -4.578063 3.302393 4.187070 -3.360896 4.265328 -2.489220 2.405300 3.852662 1.841169 4.559554 -4.970780 2.391196 -3.750643 1.840193
73 -0.7842648126 -1.781332 -4.548016 3.999434 4.244143 -4.684096 4.980398 -3.084515 -1.476970 4.434963 0.450717 4.549152 -2.161402 3.677486 -3.201617 0.944744
74 1.2987920308 -1.976430 -4.558226 4.223581 4.966952 -2.423292 4.436465 -4.054564 0.294992 3.952931 0.406300 4.085353 -2.524435 4.686629 -2.576114 0.455175
75 -0.4898941677 -0.720786 -4.043793 4.582565 2.343541 -4.129942 4.733116 -4.610247 -1.966537 1.900368 1.216613 3.749953 -2.966783 3.803341 -1.918351 -0.585318
76 1.1397814130 -0.869643 -3.735353 1.782925 3.614682 -4.922858 4.357460 -2.074777 1.431576 4.130552 1.866010 3.541185 -2.518046 4.819335 -4.414867 1.368955
77 -0.6175751903 -2.053347 -4.999837 2.292209 4.470740 -2.327524 2.135034 -3.223155 -3.089881 3.749889 0.998457 2.652850 -2.904203 4.996818 -0.824536 2.353616
78 0.2922039397 -1.280388 -2.729648 3.754582 3.823147 -2.312500 4.861869 -3.318579 -1.480395 3.590160 2.695766 3.338319 -3.043030 2.687520 -1.396923 2.654030
79 0.0972238991 -2.690640 -3.452001 2.639868 3.153492 -2.111214 4.719247 -0.380351 -0.164130 4.172139 2.064644 4.489169 -1.011587 2.203165 -1.962208 1.296261
80 0.3687413876 -1.381226 -4.444227 4.192684 4.926825 -3.774944 4.624859 -3.306314 -1.859121 3.669205 -0.282085 2.693249 -2.380091 3.059774 -2.220682 0.217630
81 2.1592773667 -0.847615 -4.712352 3.509295 1.504564 -1.545349 3.346726 -1.530087 0.366406 4.373970 1.700281 2.990562 -1.759708 1.683212 -1.442003 0.375714
82 -0.3382171241 -0.795065 -4.999187 2.640812 4.784336 -3.026680 4.110900 -4.827995 -2.014827 4.797923 2.106753 4.084131 -3.605921 4.911508 -4.204106 1.109554
83 0.6232280110 -1.346194 -4.079454 3.810754 3.943145 -4.965517 4.143089 -3.021839 -1.544060 3.109866 2.106246 4.449912 -4.412473 3.540749 -2.315482 0.814631
84 0.6539316410 -1.483799 -4.608243 3.222146 3.253093 -3.342715 4.989365 -1.619877 -1.130318 3.148492 1.818994 3.094882 -4.170184 2.097940 -3.421700 3.181002
85 0.9615475123 -1.202083 -4.871615 3.453689 3.365525 -4.919410 4.864200 -4.273930 0.310461 3.428017 2.592625 2.578825 -2.624069 4.565159 -1.710806 0.801191
86 0.7768949391 -0.720771 -4.112466 3.931923 4.153817 -4.224167 2.781881 -4.997418 -1.064144 3.782380 -0.049207 3.429325 -0.391941 4.984420 -2.649391 1.558173
87 -0.1877961042 -1.425654 -4.285184 4.765305 4.763530 -3.285513 4.236935 -3.127261 -1.217679 4.472154 2.232618 3.796166 -4.019413 3.033701 -2.966827 3.678743
88 0.6521051641 -1.348044 -3.756900 4.640954 4.904072 -3.959057 4.986305 -4.935308 -2.649124 4.702169 0.534680 4.963236 -2.294984 2.427307 -2.867787 2.790843
89 0.9007659761 -2.213443 -3.719624 2.840027 4.240616 -4.938455 4.552555 -1.784422 -2.623998 2.358951 1.647692 3.512685 -2.668262 3.755749 -1.313991 2.824787
90 0.2739693344 -2.353869 -4.882536 2.729502 4.141283 -3.217017 4.991644 -2.928229 -1.669584 4.946205 1.606928 3.920304 -3.501643 4.684454 -1.287855 1.794375
91 -0.6433574966 -3.343401 -2.875073 3.761947 4.996847 -1.788130 4.557232 -4.330224 -0.714557 3.870711 2.470636 4.934344 -3.094043 3.852945 -2.557546 2.138160
92 -0.2078843541 -1.572628 -4.904706 2.871457 3.623824 -2.754438 3.509266 -3.007132 -2.845479 4.494715 -1.022274 3.479454 -3.035810 4.982774 -1.941573 0.283344
93 1.2900565287 -1.914891 -4.892879 1.983284 4.405641 -2.366628 2.803294 -4.889732 -2.185213 4.958134 -0.369796 3.264700 -1.580683 2.951646 -3.485694 1.030824
94 -0.2244927792 -1.155443 -4.679547 3.077408 4.408171 -2.196236 4.935100 -1.873808 -1.883409 3.920288 0.860525 4.677587 -1.752011 4.543212 -3.593078 0.714709
95 -0.5037487772 -0.856451 -4.796827 4.210568 4.689845 -4.094564 3.927414 -4.999408 -0.562723 3.784504 0.908967 4.864371 -2.194164 4.681209 -2.099119 1.364906
96 0.7201012336 -1.422164 -4.017080 3.186505 4.515316 -3.005605 3.976770 -2.146309 -0.393297 3.131738 2.543216 4.842456 -1.683025 4.333949 -2.777990 0.703194
97 1.9028815833 0.185849 -3.733534 3.195093 4.339561 -2.688072 4.414682 -2.038203 -1.669018 3.865539 3.691002 4.769390 -4.286922 3.070408 -2.428871 1.639726
98 -0.5021827154 -1.920607 -4.913811 4.628888 4.143629 -4.292580 3.974548 -4.581262 -1.993996 2.928068 4.250906 4.864011 -4.835915 4.399754 -1.385898 -0.001458
99 0.0467922807 -2.415771 -4.521058 4.581174 1.650153 -2.983149 4.204937 -3.736920 -1.750624 4.761187 2.314865 4.377174 -2.299269 4.996998 -1.911825 0.563082
100 0.1549677006 -1.771620 -4.753865 1.878347 3.635459 -3.191669 4.644420 -2.595358 -1.298274 3.804983 2.725382 4.946206 -2.701615 4.295891 -1.150641 2.184411
101 0.0448783414 -2.630485 -2.935046 2.552415 3.470326 -2.106961 3.545368 -4.771866 -2.006641 3.337571 1.730797 4.588121 -3.066327 4.801433 -2.603550 0.944336
102 0.4640468427 -2.483104 -4.912404 3.560454 4.981980 -1.771202 4.503729 -2.265738 -0.219159 4.405504 2.222723 4.230439 -3.355897 2.777243 -4.759176 0.671795
