evaluations raw_y x0 x1 x2 x3 x4
1 -5.4795477316 -1.449480 -2.714577 3.134044 -1.823634 -0.193501
2 2.9809058515 -5.000000 -5.000000 -5.000000 5.000000 5.000000
3 1.0314902647 2.336113 0.128793 1.404173 -5.000000 5.000000
4 3.4052787188 0.195454 -3.906240 -5.000000 4.465550 -5.000000
5 2.3412657948 0.319553 -5.000000 -4.630635 -5.000000 5.000000
6 -5.5753477707 -5.000000 5.000000 0.969168 -0.733177 5.000000
7 -1.2101749188 -2.875113 -5.000000 -0.171141 5.000000 -5.000000
8 1.1527710836 -5.000000 3.683249 -3.407884 -5.000000 4.007439
9 -4.6909249163 0.538759 -4.126122 5.000000 -5.000000 5.000000
10 -8.6878888006 -5.000000 5.000000 5.000000 4.582389 4.670910
11 -18.1201415726 5.000000 5.000000 -4.152522 5.000000 -1.737187
12 -1.7722095249 5.000000 1.276731 1.580003 -5.000000 -4.205094
13 -1.8996118609 -5.000000 -2.406688 -5.000000 5.000000 -4.438974
14 -2.1313238714 -4.402027 -3.512600 -1.647619 -5.000000 -5.000000
15 2.9809058515 -5.000000 5.000000 -5.000000 5.000000 -5.000000
16 -10.4978974499 1.504212 5.000000 -3.112374 5.000000 5.000000
17 -20.9668329292 -5.000000 -2.084167 5.000000 3.125931 -5.000000
18 7.8178903287 2.833671 -5.000000 0.393040 1.876677 3.807733
19 -6.0707643095 -2.520615 -4.403801 -5.000000 5.000000 -0.123690
20 -10.9604966069 -5.000000 -2.629281 -5.000000 -2.068132 5.000000
21 0.1809694611 -5.000000 -2.369902 5.000000 -5.000000 -5.000000
22 -3.5212901871 2.780921 5.000000 5.000000 2.212482 5.000000
23 6.2377372684 -5.000000 -5.000000 -5.000000 5.000000 -4.148288
24 3.7725493908 -5.000000 -5.000000 3.665541 5.000000 5.000000
25 -11.1963344939 5.000000 5.000000 5.000000 5.000000 1.316579
26 -4.4239854900 -2.668028 5.000000 5.000000 -5.000000 -5.000000
27 3.4052984960 -5.000000 2.474232 5.000000 5.000000 -5.000000
28 0.1993567987 0.081884 0.758038 0.710570 5.000000 -5.000000
29 -9.1357354628 5.000000 -3.918065 5.000000 5.000000 -5.000000
30 1.1854676302 -5.000000 -4.392314 5.000000 -5.000000 5.000000
31 6.3429545118 -0.194506 5.000000 -5.000000 -5.000000 -5.000000
32 -7.6207028578 -5.000000 5.000000 -3.531534 1.206701 5.000000
33 7.4640862271 -5.000000 0.517727 -5.000000 -5.000000 -5.000000
34 2.6991370853 -0.627831 -1.575038 -0.539265 3.797261 -5.000000
35 9.5360632217 2.134018 -5.000000 5.000000 -5.000000 -5.000000
36 6.7659173046 4.390717 -5.000000 0.692353 -5.000000 4.503813
37 1.9152385590 -5.000000 5.000000 2.059093 5.000000 -5.000000
38 13.3757825333 -5.000000 -5.000000 2.028616 -5.000000 -5.000000
39 -10.2119395310 -3.438152 4.782403 1.211415 5.000000 -5.000000
40 -7.7514739018 -5.000000 -1.228030 5.000000 5.000000 5.000000
41 -7.0583868329 -0.994796 -2.002253 5.000000 5.000000 2.395955
42 -8.9255184878 4.855773 -1.292268 -3.363740 2.535090 -5.000000
43 -5.1822300331 -5.000000 1.798639 5.000000 5.000000 -3.946896
44 -4.6892110053 0.986690 -3.664300 4.704981 2.862496 -5.000000
45 -5.6393766404 2.213532 -2.287305 -3.367747 0.335104 -5.000000
46 -2.6315809554 -2.323667 2.674473 -1.108858 3.468780 -5.000000
47 -3.0451351741 3.110635 -1.530192 0.073251 -0.544421 -0.154553
48 -2.4627533030 -5.000000 -1.803877 4.289889 3.833690 -3.706714
49 -3.1239370377 -5.000000 -2.352633 5.000000 5.000000 -5.000000
50 -2.7234061462 -1.953912 -5.000000 -0.805668 5.000000 -4.446010
51 -18.7563196545 -1.632859 5.000000 5.000000 5.000000 -4.104633
52 -5.5810381310 -2.289436 -0.283136 4.405991 -3.650046 -5.000000
53 -4.4698115605 2.229204 -3.876021 5.000000 -0.093726 -4.463630
54 0.4949332692 -5.000000 -1.129816 5.000000 4.294779 -5.000000
55 8.7313663147 -5.000000 0.934436 2.237821 0.426509 -5.000000
56 -22.9601527154 -3.321825 -2.638919 1.814543 1.662543 -3.646508
57 -9.3072183986 0.022309 3.068553 -2.836826 -0.958186 -0.450702
58 6.8359645077 -5.000000 -5.000000 5.000000 4.210885 -2.892625
59 0.1587438692 -0.736284 -5.000000 5.000000 2.665781 -4.220081
60 3.2799629121 -5.000000 -4.780616 5.000000 -0.727251 -5.000000
61 0.4457744418 -5.000000 -2.852519 2.132132 -4.645144 -1.433188
62 -15.2135961268 -3.034023 -2.138108 5.000000 4.116143 -2.543988
63 -7.5487514731 -2.890936 2.397088 0.738526 0.427956 -1.613065
64 -3.9013352070 -3.945102 -1.839812 3.563890 2.936004 -0.317357
65 4.7799732282 0.421095 0.368598 4.108636 0.640270 -5.000000
66 -2.3409194628 -1.518672 -4.136202 -0.138396 5.000000 -4.710986
67 -23.0842162869 -3.179492 -2.326294 1.137256 1.735584 -5.000000
68 4.6370752294 -5.000000 -0.000970 0.141290 -0.038250 -5.000000
69 11.1813773371 -3.133997 -5.000000 -2.522329 -0.721259 -4.354368
70 -11.1010094595 -2.214655 -2.447497 2.291530 4.774541 -4.355332
71 -5.8737227286 -4.784432 -0.370945 0.409300 -2.762681 -3.916097
72 -3.5840488991 -1.501808 -0.901327 0.132139 0.993309 -5.000000
73 -3.3907633770 -2.576582 -0.252397 -0.658158 0.941467 -5.000000
74 -4.5663245087 -5.000000 -2.300858 1.309035 1.818169 -3.841736
75 -7.7102853092 -3.792343 -2.914862 0.323409 5.000000 -5.000000
76 -7.6851644956 -2.586416 -0.593878 2.854321 4.929295 -5.000000
77 -10.7714162232 -3.087544 0.425144 2.340144 1.850401 -2.699775
78 -8.3229327538 -2.496593 -3.589381 0.929529 1.759678 -2.965982
79 1.6130349246 -3.620991 -3.273320 0.779962 2.694611 -3.983213
80 -1.7255930448 -5.000000 -3.080252 1.021099 0.998299 -4.068213
81 1.2406434525 -4.118479 -1.794626 1.235011 2.220850 -4.607498
82 -18.7724872232 -3.290586 -2.596489 -0.699655 2.821588 -4.858702
83 4.6689297042 -3.631662 -3.202580 1.502355 1.603601 -5.000000
84 -4.6394694102 -3.125059 -1.602502 0.803669 -0.313173 -4.041604
85 8.9331708381 -4.491552 -3.263654 1.946696 1.067751 -4.445119
86 -0.7573073784 -4.672519 -2.324286 -0.066465 0.755783 -4.421768
87 -10.1890995330 -2.982783 -1.706112 1.295934 1.578639 -4.877552
88 -5.9374701220 -2.227123 -3.049395 1.136519 2.203345 -4.284369
89 0.6595359350 -5.000000 -1.599540 1.129283 4.161945 -3.975296
90 -5.7191172209 -3.615303 -3.030353 0.466349 1.871851 -5.000000
91 -12.4631656512 -3.075077 -2.139023 1.038709 1.247459 -5.000000
92 -22.4366321065 -2.514456 -3.121904 0.835787 1.511963 -5.000000
93 -1.4870856289 -2.789673 -1.738784 2.524897 2.272267 -5.000000
