evaluations raw_y x0 x1 x2 x3 x4
1 6.5351488271 -4.530794 -2.403210 -4.617371 -1.519240 0.744900
2 5.8206091446 4.873946 0.627260 -4.326512 -3.225524 -2.664229
3 3.3374570242 -0.710684 -1.329404 0.068719 -3.923946 1.199302
4 3.0753506148 -0.237883 2.804776 0.700433 3.778088 -4.368880
5 4.0086001381 1.235988 -4.902476 -1.393694 2.688723 2.878998
6 5.4941253282 -3.286894 -0.377010 -1.716194 -4.787598 -0.467797
7 6.2741671371 -1.052784 -3.395406 4.761781 -2.949100 -3.911375
8 1.2919218403 3.618293 1.385489 2.048704 -1.687230 2.124466
9 5.0992505183 4.290426 -3.745858 4.294511 2.248070 -3.550959
10 2.2515557962 -2.362469 3.200343 3.067063 0.928078 -1.409971
11 2.4461552391 -2.094833 -1.847125 2.437302 3.247556 0.025531
12 4.2115163884 -3.727804 4.991820 1.118083 4.462380 -2.201204
13 1.0508938700 2.323416 2.278573 -0.737670 1.137075 3.727164
14 2.9896221521 2.810990 0.131402 -3.021459 -0.839494 4.840620
15 2.7465756370 0.463701 4.300375 -2.757090 -0.109486 3.264696
16 0.9882723547 3.639978 1.648021 -0.928878 3.256718 3.535204
17 1.6406959275 3.272681 0.959482 1.045093 4.333082 4.796013
18 1.4640027843 4.527711 3.070138 -0.917773 1.279688 1.907366
19 0.9341419128 -0.529605 2.117315 1.817605 2.067638 3.875689
20 1.8795899333 -2.919282 1.007756 1.527775 3.054103 3.408437
21 0.8628645476 1.654255 0.455235 -0.686635 3.217193 2.147421
22 0.8500093272 0.382024 1.491082 0.610932 2.291676 2.410798
23 1.0601109270 1.843260 1.663782 4.499468 0.159149 0.682533
24 0.5735314663 1.156797 2.894438 2.090913 3.366282 1.484261
25 0.9659502161 2.909625 2.307095 2.001181 1.977462 2.641915
26 0.5786951020 1.126730 1.677637 2.154370 2.122632 0.322291
27 3.1098899174 -2.131154 4.978465 3.253384 -1.505180 4.328124
28 2.9936811428 -2.449025 4.802767 4.753671 3.181704 3.998875
29 0.5978136289 1.424202 2.791843 3.142969 2.087862 1.461276
30 2.9724652722 3.348120 4.893240 4.696097 -0.885999 -2.073544
31 0.8541745255 1.360178 2.371904 2.502622 0.977887 2.271236
32 1.1017495322 1.283717 1.277042 2.196255 4.599670 -0.139885
33 1.3034186130 0.671963 2.038685 2.463150 4.901264 1.156424
34 0.9580406096 0.311051 1.540207 2.725085 0.397206 2.966208
35 0.5266833523 1.051386 2.061830 3.078561 1.192808 1.998044
36 0.6647043112 1.519443 1.634086 2.652174 2.266812 0.664351
37 1.0970686166 1.064604 0.353862 3.005584 -0.760997 3.296482
38 0.5235582458 1.349477 2.235044 1.761301 0.792144 0.415264
39 0.2385765795 1.791054 1.389512 1.397877 3.334696 0.812696
40 0.0777968555 1.128485 1.318386 3.928074 1.602856 1.307469
41 0.1932393236 1.377728 1.732433 3.451374 1.892665 1.092024
42 0.6645569640 1.346912 1.550386 3.049531 3.421253 0.521589
43 0.7268083617 2.503709 1.690722 1.723657 2.344299 0.751469
44 0.7110687158 2.653202 1.579371 3.181225 0.786796 1.056652
45 0.7044783240 2.007538 0.663134 2.907606 3.079322 1.565807
46 0.9288919298 0.563015 1.215066 3.891622 0.800246 1.018780
47 0.9812839453 0.856856 0.616482 4.870707 1.290480 1.012466
48 0.6492872545 1.901029 0.629500 3.616200 2.331584 1.761513
49 0.7272918161 0.474154 1.546337 3.419011 1.034021 0.844310
50 0.7345079099 0.270350 1.034597 3.494338 2.158292 1.211660
51 0.2760638129 1.133942 0.932493 3.878979 1.492538 1.187799
52 0.5729423949 0.691671 1.543031 4.080550 2.114687 1.446080
53 0.3325158880 1.131300 1.199111 4.431090 1.258287 1.717215
54 0.2687948797 1.506246 0.917728 3.695970 1.989425 1.573142
55 0.3064489889 1.092113 1.600746 3.660378 1.954836 0.973837
56 0.1185350540 1.054793 1.498692 3.811721 1.749893 1.289025
57 0.0806467469 1.114579 1.373000 3.850010 1.734873 1.450974
58 0.0702816924 1.301222 1.315079 3.955418 1.438628 1.137575
59 -0.0246238653 1.182613 1.506075 3.672947 1.386655 1.417916
60 0.0250519212 1.372554 1.320211 3.904934 1.680287 1.527027
61 0.0206117131 1.425531 1.430171 3.738667 1.435385 1.789978
62 0.0285095705 1.499959 1.490113 3.831466 1.490341 1.734940
63 0.0110278779 1.448110 1.679768 3.808948 1.303864 1.276699
64 -0.0489045703 1.317851 1.386364 3.784848 1.449233 1.522771
65 0.0483984540 1.370229 1.674671 3.775551 1.511000 1.713029
66 -0.0349110712 1.314051 1.521804 3.466228 1.441383 1.318983
67 -0.0618288471 1.364095 1.390339 3.590385 1.470306 1.345862
68 -0.0374780972 1.553617 1.504719 3.747027 1.418829 1.263137
69 -0.0297591104 1.486188 1.547195 3.796962 1.587241 1.415467
70 -0.0325724091 1.586562 1.496982 3.486675 1.520142 1.329141
71 -0.0285999810 1.290156 1.589079 3.724013 1.510686 1.543071
72 0.0442529428 1.808088 1.541910 3.543922 1.417483 1.281888
73 -0.0401916560 1.398556 1.431017 3.387251 1.397515 1.458896
74 0.0328415717 1.334017 1.679133 3.498479 1.470969 1.149854
75 0.0570137867 1.456526 1.524973 3.444005 1.694941 1.101685
76 -0.0178205584 1.274496 1.347815 3.391505 1.476877 1.489686
77 -0.0480100042 1.436500 1.447754 3.805934 1.563401 1.448142
78 0.0077047177 1.602485 1.341525 3.892753 1.324368 1.574420
79 -0.0004805796 1.487364 1.256146 3.335713 1.369783 1.502266
80 -0.0261143638 1.446286 1.573746 3.492527 1.599149 1.482172
81 -0.0629309453 1.414873 1.484018 3.594906 1.525148 1.344438
82 -0.0605818934 1.359418 1.401775 3.729957 1.534906 1.414571
83 -0.0501919074 1.333289 1.524399 3.562794 1.521022 1.341006
84 -0.0625701750 1.361761 1.464855 3.696654 1.432335 1.335617
85 -0.0407602824 1.238061 1.404413 3.749457 1.469712 1.446435
86 -0.0252046061 1.386833 1.584507 3.463658 1.499840 1.279558
87 -0.0628590274 1.545024 1.448106 3.702820 1.472582 1.462683
88 -0.0587291081 1.335379 1.376451 3.530912 1.444359 1.423232
89 -0.0630470447 1.533815 1.378688 3.568385 1.459160 1.382786
90 -0.0607829726 1.390209 1.525320 3.636527 1.478747 1.327332
91 -0.0669631261 1.540932 1.388611 3.662712 1.449214 1.411083
92 -0.0475101954 1.553301 1.372729 3.504451 1.532353 1.413447
93 -0.0693612110 1.473592 1.413729 3.552741 1.448674 1.485959
94 -0.0325515584 1.601968 1.411924 3.460201 1.461720 1.330748
95 -0.0449360495 1.614442 1.358031 3.714029 1.381736 1.416714
96 0.0365352367 1.249974 1.364365 3.389761 1.606079 1.670966
97 -0.0325619622 1.649960 1.355666 3.606221 1.328696 1.441442
98 0.0053391022 1.601475 1.528096 3.341280 1.514215 1.375802
