evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 -2.4316635105 -2.278798 3.469209 0.560326 -4.752222 1.187297 -3.199591 4.489280 -4.531284 -3.128159 -1.502120 -4.400546 -4.613618 3.701391 2.667715 -4.576933
2 0.6664497165 2.180852 1.293841 -0.804445 -2.257615 -3.521417 -1.538902 2.184046 1.160850 -0.228551 0.460278 -3.266627 -0.495861 -4.174340 -1.410881 3.109247
3 -2.6479880757 -4.825825 3.051123 3.080530 1.521614 2.478883 1.409257 0.821951 -1.673834 0.936238 1.095485 -0.300456 -3.487533 -2.010877 0.068898 -0.073618
4 -1.8762165248 3.684135 -3.523727 -0.418072 -4.167466 1.822504 3.891135 -4.714467 3.453190 4.547067 0.784256 3.695657 -0.308042 -3.736459 4.095545 3.820941
5 1.4959958838 -0.088432 4.657018 2.381328 1.797877 -0.771602 -3.562279 2.106720 3.777150 0.660660 -1.851917 -1.181936 1.354219 4.383890 -0.055229 1.090219
6 0.9630644346 -0.921804 4.388071 2.770398 4.898569 -3.858772 0.433326 2.908230 1.758981 -2.277861 0.127548 -3.662627 -0.687566 1.848146 -1.652708 -0.842774
7 0.4738398025 4.891900 3.909089 -2.023818 -1.920565 0.118763 -0.693489 -3.094947 -3.540075 -2.457077 3.430054 3.603473 -0.534465 4.492596 -0.818205 -1.593537
8 -2.4748797868 -3.521056 -3.340511 3.762869 -1.675673 -2.977125 0.266618 0.732308 4.932792 -0.695184 -4.896400 2.670036 -1.060798 -1.082705 -4.898295 -3.578634
9 1.7899479172 4.376829 0.540702 1.761697 0.695392 4.198347 4.366177 4.241022 3.897230 3.638512 -1.617290 0.255329 -2.849883 -4.927999 -0.313220 -4.177925
10 -0.0205514284 2.336518 0.838271 -0.882776 -3.670698 0.046834 -4.913280 4.439609 -1.151354 -4.852381 4.158116 0.673725 -4.836763 -1.977754 -0.019201 3.597208
11 -2.0493685572 -2.033743 2.185004 -1.236339 -4.595765 -2.090747 2.656658 4.397706 4.035130 -0.647199 -0.228318 0.324219 -2.295061 0.742643 0.342574 -4.534199
12 -1.2292437313 -1.291496 -4.404143 0.710540 3.285505 -3.548797 1.150196 1.734272 -4.937923 -4.695458 -3.305823 -2.877877 -0.233701 -3.894743 -2.450552 4.847778
13 -1.2201648280 -2.370488 4.781921 1.826097 -2.663899 1.757597 -1.262958 2.622682 2.685205 -1.156662 1.014731 -3.491939 -0.413550 -4.678430 -0.521111 4.036877
14 -1.1913427014 1.421242 -2.333848 -4.632500 -0.222471 3.272800 2.043059 4.528565 -2.589711 -1.291628 0.093552 -3.022298 4.885489 -4.599110 -1.761629 0.513176
15 -0.4226262258 3.230699 4.518403 -1.943983 -3.775195 -2.621036 -2.661959 -4.835921 3.159597 4.165021 4.007991 4.897693 -1.938244 -4.713440 3.801862 -2.504890
16 1.3590375026 1.733258 -0.653270 4.233889 3.011550 -2.053658 4.134418 0.922755 -3.385392 -0.011515 -2.569211 1.292295 -3.816216 -4.975045 -0.071295 -3.862322
17 2.0274786032 1.218817 4.472272 2.898966 3.741798 3.409854 -4.688589 -3.377617 -2.431964 -4.368010 -1.154540 4.392632 -1.285959 2.513518 4.146432 4.588176
18 -1.3304772371 -2.512011 -2.670514 2.469974 -2.191954 4.751667 -1.812503 3.430241 -2.995266 -1.262535 -0.610890 -1.538059 -2.534408 -1.148673 2.480955 -1.727421
19 -2.9901372577 2.495419 -3.806564 -3.492933 -4.779456 1.047377 3.497421 -4.445291 -2.711953 -3.466018 0.827226 3.235503 -3.386509 -4.057280 -1.486028 2.681738
20 0.7041001656 4.827706 4.090928 -3.928746 0.786783 4.214468 0.414093 4.143135 -1.467007 2.559604 -0.336736 -0.659478 0.779466 4.120708 -1.747575 0.608666
21 -0.4727670567 2.328833 -4.012960 -0.247945 0.834571 2.895655 -2.101525 1.677454 4.881418 -0.630441 2.243483 1.418143 -2.470844 -2.724676 -4.265894 3.506438
22 -3.5001776423 -3.695697 -2.582506 4.173355 -3.616513 -1.335921 0.703411 -4.568282 -3.463463 2.462087 -4.733559 -2.462016 1.546480 -2.584758 -0.380574 -4.355893
23 -2.3822273469 -1.261034 -4.467978 -0.914335 -2.841279 2.063399 0.190476 -0.886263 3.066328 -2.522765 -2.804865 -1.304137 -3.568572 3.861280 2.583639 -3.319849
24 -1.9120827407 2.406429 -2.408595 -1.824395 -4.322320 2.747813 1.269344 -0.411281 -2.307811 4.286408 2.589595 1.073003 -4.098929 -4.898788 -4.943209 -0.140955
25 0.6618882168 0.239346 -0.533967 0.224166 0.544536 3.517251 1.193037 -3.752208 -3.899865 -2.795528 1.842568 -2.732228 1.804809 0.171443 2.960303 4.516446
26 1.9536685108 4.142055 1.017629 0.170001 2.916740 -4.029686 -3.882924 0.304568 -3.692899 -1.605349 -0.963187 -1.723069 -0.341922 -1.000060 -0.132862 0.110033
27 0.2658529636 2.205772 2.653840 3.356085 -4.220984 4.625909 -0.903614 4.860441 -1.763930 0.068124 -4.779910 4.497668 -4.656596 -2.666826 1.270668 2.246987
28 0.6128088710 2.619418 -0.893275 -0.066389 0.084344 -2.753398 -4.757510 0.847446 0.944425 -4.266531 -3.877807 2.320855 3.645793 -2.341004 1.377394 -2.696450
29 -0.5621896727 4.184752 -1.157678 2.371335 -4.131484 -2.938674 2.781132 -3.880523 -3.874578 1.051419 4.539080 1.694877 -4.138323 -4.372472 3.527220 -0.978524
30 -2.9770660288 -4.281573 0.165310 0.973244 -2.093901 -2.894118 1.709636 -0.622956 -4.769040 -3.849226 4.436249 -4.732202 1.079649 1.932595 -1.227208 3.947323
31 -0.8214178020 2.812077 -4.950086 3.985685 0.415870 0.778442 3.403831 2.371120 0.117942 -0.385960 -4.842994 1.125116 0.847316 -3.937579 -1.160687 -2.304106
32 -2.5198698399 -2.890660 -0.044079 -3.881018 4.250043 -0.272778 2.957454 -3.255042 -4.971208 -0.543169 -4.204737 3.270669 2.656367 1.048271 -4.423985 -1.965246
33 -1.1552991152 -1.382641 -2.182366 4.804234 -3.145630 -2.192245 4.070874 -2.737898 1.817080 3.575110 1.420566 -0.596768 -1.825755 -1.887145 0.054407 0.487066
34 -1.2112266741 -1.626976 0.141350 -3.682763 0.229212 -4.946662 1.593291 3.658535 -0.893532 -1.482772 4.350688 1.809344 4.735624 1.000951 -0.263163 1.441298
35 -0.3144011793 4.666145 -3.382713 -0.086654 3.584955 1.657255 3.459547 -1.800823 3.204303 3.379043 2.651508 -2.364678 -0.759619 1.961081 -2.395679 -4.055387
36 -0.3588611339 0.490681 1.445009 3.532704 -2.724558 1.336844 2.894579 1.940925 -2.019866 -4.921319 -1.080227 -4.054126 1.268468 1.166857 2.084245 -4.270225
37 0.8643003161 1.161105 -0.376397 1.473152 1.751907 -4.980965 0.205264 -3.895096 0.592806 -2.413809 2.161803 -0.134401 -2.091216 3.281095 1.991811 2.294529
38 0.4959198361 -0.493128 4.035417 -0.011684 -0.478496 -4.115520 4.382456 -0.337315 4.088052 1.692519 2.788608 4.040942 1.097731 -3.097970 -0.584662 0.220615
39 -0.8039537838 -2.964021 -0.164522 1.207197 3.070100 2.600391 -0.204290 -1.205751 -1.573237 3.518234 2.470758 1.714031 3.012749 2.743484 -1.992851 1.646557
40 -2.0410691826 2.916336 -1.714634 -2.092233 -4.703366 1.441306 -0.518267 3.197346 1.430530 1.837328 1.539390 -2.607476 0.069522 4.171143 -3.412534 -2.411240
41 -0.3870704363 -1.492607 1.732721 2.823866 -4.065903 -0.853253 2.640858 -1.376938 -1.178969 -1.875377 -2.525642 0.497510 -2.406693 -4.067541 0.233904 -1.665172
42 -1.3264154880 -3.207355 -0.497993 2.662930 -0.608305 1.979552 -4.092631 -0.070778 -1.067929 1.488723 -2.427031 0.629581 4.977773 4.550104 1.405362 2.772613
43 -1.7758228387 1.645697 -3.583278 -4.526291 2.969859 -4.742981 -1.440741 -3.701793 3.875181 -2.569720 2.146957 4.582601 4.237741 1.622773 -2.545278 -4.880018
44 1.7979603314 3.009885 2.415852 0.819010 2.292348 3.578206 3.381141 1.910399 4.835378 -4.879237 -1.552863 -4.213591 3.094825 3.331112 1.017088 4.625517
45 1.0660270743 1.388482 3.178199 3.028622 -1.219544 -3.918676 -4.156333 -1.482153 2.112475 -1.917227 -0.256286 1.791704 4.538094 -3.995861 -2.585813 1.861224
46 0.9769046386 4.736685 4.367562 4.612272 -1.542655 -4.459566 2.134893 -4.878110 2.520328 -0.059243 -0.326844 0.042863 3.612341 4.321036 -0.203047 3.391654
47 0.6772071445 4.516948 2.940135 -3.022995 3.624785 2.364194 0.046998 -3.977674 2.901929 -3.796852 -0.945559 -2.322530 -0.033631 3.801492 4.520852 -0.376795
48 -3.3005617087 -4.749896 -2.257296 4.937630 0.913528 2.713327 -1.941263 3.856084 -4.689599 0.048909 0.269383 1.312520 1.232141 -1.427817 -3.211470 -1.051605
49 1.6246072041 3.475801 1.046376 4.461534 -0.128467 1.397447 4.486311 -3.186184 2.863348 -4.520666 -1.786673 3.724561 -1.764163 -1.294191 1.127064 -3.052436
50 -0.0772924869 2.050827 0.402657 -2.793191 -1.503285 2.810255 -4.233730 -0.197875 -4.469062 1.361506 0.665356 4.177658 -2.371596 -2.465075 -3.796730 -0.408882
51 0.7157374609 4.069214 0.017304 0.874539 -2.617883 -0.222113 4.913768 -1.177636 -2.195851 0.831575 -1.095686 4.744214 2.085821 -1.762606 -4.974434 -2.186316
52 -1.0052528141 0.856940 -4.441841 4.041663 -1.356885 -0.087284 -0.249473 -4.500074 0.891877 -0.794488 -3.447665 -1.117163 1.527089 1.383112 -1.017896 1.041566
53 -1.6566554481 -3.122302 0.912532 4.128429 -2.954101 3.732593 -3.083095 0.113123 -0.066027 0.318238 -3.509190 -2.132476 1.905177 0.794580 1.159697 2.811078
54 -0.3479239542 3.508442 3.386928 -3.073495 -2.204513 0.672719 -3.919218 0.019914 -2.401137 -2.696530 -3.025371 -2.274478 -4.410087 2.793489 -3.588482 1.335510
55 -7.0360575327 -4.952667 -4.577591 -1.878053 -4.098858 4.881461 3.311816 -3.450261 2.368412 -3.966932 -0.810012 -4.171865 1.444380 1.508363 0.793153 -2.253016
56 -2.2028912857 -4.083217 4.130965 0.081552 -1.306676 1.289087 0.926145 -4.275956 -3.727398 3.818022 -2.766419 2.548977 -2.796491 0.453463 3.753854 -3.118874
57 0.4917140488 -0.674014 3.703447 -1.609482 -0.417911 0.753835 -0.915228 3.523460 4.205544 -2.504904 4.393982 -1.072294 0.968158 3.160034 4.208539 1.964359
58 -1.7934740138 -3.346378 -1.790206 -2.278996 4.919510 -3.995672 0.534134 3.728713 0.104057 -3.213858 0.618719 0.799402 -1.636877 -1.903399 4.029228 3.015691
59 0.0515040305 -1.791287 -2.045278 4.073641 -0.423628 1.120366 4.579702 -3.270902 2.215797 4.642059 -3.667407 -3.444494 -0.288740 -3.492463 2.709922 -2.618284
60 -3.3166146987 -4.634046 2.824992 -1.697741 3.139846 0.851202 1.814068 2.789375 2.480021 -2.360471 3.143381 3.833246 -4.767994 -3.291810 -4.224171 -4.674194
61 0.3949937786 -1.443369 4.433279 3.535060 -1.936069 0.282908 2.690668 2.052686 0.282068 1.509010 3.809039 0.522036 -3.590084 -0.378292 4.756407 -3.512919
62 -1.3029808833 3.333367 4.304900 -2.141820 -4.915301 -4.183190 0.078729 0.625792 0.614069 2.601415 -0.175291 2.094786 -3.182971 0.979391 -2.074015 1.797366
63 -1.4625833600 -2.665104 1.945431 -2.429684 -1.731409 -1.081132 -1.676965 -0.488131 -3.172616 4.442277 4.689155 -0.619652 3.756812 -3.659138 -0.694699 1.542393
64 0.7105103558 0.013558 0.488698 -1.364307 3.506731 -0.552498 -2.253066 -2.596140 -4.617778 -2.835250 2.883128 4.108095 4.340484 -3.217966 0.978422 1.246395
65 0.8598174781 -1.475664 3.792420 -0.212112 1.175670 -2.330772 -1.592956 -1.423940 -0.287731 4.881848 0.037997 0.384178 -3.030013 0.092774 -2.742056 -3.364044
66 -0.3125826639 4.963013 -0.246098 -0.442942 -3.304369 -0.376298 1.248153 -4.645713 -0.454115 -0.941347 4.295694 -0.285389 4.382074 -1.362932 -2.115162 0.878251
67 0.8873049092 0.556825 -2.008423 2.592432 0.050098 -1.853200 -4.612048 0.434014 2.035117 -4.046600 0.564986 2.689327 -2.280573 -0.248615 4.666669 0.131611
68 -2.8822270981 -4.418805 -1.691479 1.641720 -0.370238 0.458801 3.602885 -0.748979 -3.248666 -3.808031 -1.273680 2.818353 2.035380 -4.384481 2.293781 -3.844244
69 -4.9645259420 -3.907804 -3.137784 4.410419 -4.957087 3.393675 -0.761713 3.912243 1.477430 3.912612 1.528708 2.342229 -1.856034 3.940119 -0.830716 0.998640
70 -1.0525260979 -1.314056 -3.858848 4.571359 1.935941 -1.448605 1.649391 3.807738 -4.276266 -2.763369 1.732268 -4.128248 -2.717189 2.619812 3.204903 4.212177
71 0.9658741866 3.092465 2.425240 -2.714216 0.653535 -2.260935 2.405926 2.259180 3.123662 2.133018 -0.687722 -0.225615 0.729467 -3.362825 3.034955 4.383337
72 -2.0450675862 -3.238465 -1.017696 -2.844185 0.588702 3.825526 0.655967 -0.823292 -0.502860 1.558240 -3.556007 -3.424363 2.264682 0.916550 -0.485034 -3.573221
73 0.8640670610 3.208047 0.716531 -0.690220 3.946716 -4.529362 1.312638 3.320431 -4.855246 -3.276179 -0.498045 0.872553 -1.490335 -1.450902 -3.911625 1.383382
74 -1.3335183403 -0.584219 -1.633015 -0.335382 -4.542043 0.477081 -2.609638 2.953502 0.333502 4.371748 -1.687877 3.650455 4.439061 2.290401 -0.641168 -1.142766
75 0.1136868722 0.603405 1.327641 2.168052 -3.569089 3.935842 -0.857099 1.559546 1.059825 4.009734 2.836053 -4.826758 4.943226 -0.620452 -0.459793 4.273437
76 -3.5756871631 -4.676041 3.517694 -2.156410 1.345902 -4.847428 -0.600588 -2.192862 0.492405 2.687364 3.581930 -4.000524 2.239389 -0.723258 0.192944 -0.699343
77 -6.2339619266 -4.040196 -4.187416 -4.440496 -2.032464 -0.649538 -4.787428 3.488260 1.636364 -4.760610 0.776386 -1.670360 -4.473043 0.062502 2.409848 1.616356
78 0.1670700811 1.454507 1.431771 -2.642219 2.626615 1.963866 -1.094131 -2.663689 -0.373900 -4.070066 -4.943463 2.189017 -3.632999 3.992398 -4.619359 1.512078
79 -0.9510180429 3.072096 -2.241118 -4.739455 3.685219 0.733326 1.046417 2.218061 3.546747 2.418961 -0.769869 -2.995630 4.127450 -3.328727 4.433334 -2.963777
80 -1.4513509249 -3.591201 2.370305 -2.301319 3.096521 1.160497 3.977930 -0.796620 -1.940337 4.071066 -1.447280 4.685520 0.230291 2.696689 -4.012612 0.845507
81 -3.3357637835 -3.424055 0.688614 -3.653940 -2.889955 3.693388 -2.116987 0.069330 -0.731916 3.220007 4.661052 2.940418 3.438298 3.759168 3.462941 3.273275
82 -2.7317794917 -4.017396 0.872293 0.923811 -3.481803 -2.226614 -0.026381 -3.617705 4.355891 4.242078 4.259068 -2.750864 -3.781055 1.294277 -4.551649 0.706850
83 -1.1006989900 -2.606397 3.013377 1.147623 -2.485236 0.515384 4.517215 -3.808490 -4.086988 -2.324939 3.956795 3.925281 1.669899 0.861989 -1.829900 -2.572081
84 -3.0671507892 -4.128074 -4.081440 -0.683929 1.210015 -1.607916 -0.152798 1.211157 3.511765 0.747259 -1.435973 4.968433 4.291408 -3.473913 4.702917 -1.377637
85 1.1384868874 -1.090442 2.772223 3.147712 4.573018 2.380093 -1.714025 -3.790808 3.419493 4.700143 2.460724 -4.453597 -0.641829 0.527357 -3.631380 -2.548148
86 -2.6289761478 -3.288161 1.677122 3.402883 -4.910401 3.896018 -0.373904 4.699218 4.496353 2.906563 -1.004317 -3.766940 -0.177596 2.213126 -2.470490 4.645379
87 -1.2817380098 0.165835 -3.973754 -3.944051 3.818187 -1.787841 0.019057 -4.081518 2.584120 -2.202745 -1.991836 -3.167469 -1.035361 4.947082 3.223110 -1.089595
88 -1.7326830664 0.733432 4.690541 -3.461193 -4.482437 0.238276 3.152711 -2.550158 -0.106725 -0.500842 -4.077791 -2.066874 -3.054597 1.253457 -2.316550 -2.929826
89 -1.8459347675 -3.552982 -2.114824 1.548450 -0.190173 1.478311 -2.473610 -0.700486 4.519283 4.864369 -4.558931 -3.668221 -1.582254 2.876356 3.168206 4.817469
90 -0.3270505991 -1.822827 4.586033 -3.399372 4.430881 -1.357353 -1.641215 -1.075408 -0.175416 3.071352 3.635615 -3.350221 -4.705506 1.739186 4.860564 -1.703862
91 -0.6969583022 -0.306464 -4.700895 2.917128 4.350624 0.377161 -2.821428 -2.988504 1.280990 -2.081289 4.052190 -4.992157 2.307691 -1.333080 -4.023670 0.377416
92 -0.1212662232 -1.950187 3.882951 -3.131696 1.434447 -1.926825 3.548280 -2.072864 4.466229 4.758762 -1.889745 -2.197348 4.257924 0.205935 -3.481053 3.339252
93 0.5300523730 2.137056 2.794333 -3.533483 2.379006 1.263107 2.432041 -4.136593 -2.244046 -3.640533 4.602439 2.613115 1.998707 -0.218444 1.666042 -2.057130
94 1.2503424299 -0.606925 2.055142 0.539858 1.066095 -1.496852 -0.814078 -1.702982 -1.515876 3.881581 0.965716 0.929688 -0.999830 -3.035137 3.584766 -0.183729
95 0.0781777186 4.251410 3.714043 -4.589025 2.369401 -2.369215 -3.766078 -1.316889 0.545802 1.230728 2.948931 4.315294 -2.742324 -3.046352 -0.906312 4.326399
96 -0.5749717780 4.240823 -1.856101 -4.856128 4.315294 2.154606 -1.367239 -1.006606 -1.419135 4.779704 2.529294 4.440888 0.521912 -4.502623 0.126797 2.985355
97 -2.7432283697 -2.773664 -4.766999 3.301421 4.187611 2.072914 4.627245 1.403934 -0.939680 2.076334 1.446202 -3.863455 3.825502 -3.667711 3.442230 3.228844
98 -1.1623021472 -1.989101 0.748787 2.802491 -2.573353 3.764096 -0.587069 1.117325 1.358555 -0.258949 3.254609 -1.001832 -4.597515 -2.740167 -1.616738 2.860685
99 -2.3453342131 0.093736 4.617212 -4.780771 -3.323126 0.318703 2.950818 -4.622084 -3.833410 3.439678 -3.779866 -4.532131 1.718031 -0.750206 -0.348507 -0.461988
100 0.2741155410 -1.058398 1.894431 -1.120981 1.653940 -4.497031 4.645069 1.088874 -4.909356 -3.047541 -2.698444 -1.829204 -4.547592 4.616633 3.117152 -0.257606
101 0.1910218965 0.539546 -2.327550 -0.493530 4.076804 1.563014 -4.250273 -1.794489 1.324157 3.273216 0.381811 -3.803173 0.135456 -4.325478 -3.538435 0.251361
102 -3.0468809479 -3.648169 -2.947355 -1.452003 0.622992 1.532989 -2.744584 -4.402870 3.749116 -1.083626 1.933519 -1.357620 3.542570 2.102193 1.518847 -0.642380
103 -0.1454326430 0.256845 -1.088143 -2.961805 3.537205 2.652117 0.141710 -0.431858 0.833730 4.321751 -0.526953 1.399319 -3.999888 -2.087144 -3.161295 -4.225953
104 -0.4003656172 4.721297 0.980582 3.723514 -4.601852 -1.701238 -0.301230 -1.247154 2.324117 -1.636782 4.556857 3.362283 -4.166219 -4.853743 2.371550 -4.011277
105 -1.7673062822 -4.168901 -0.980586 -1.017678 4.778691 -2.420455 4.831421 4.376251 4.803155 -1.498067 -3.131366 -0.362707 -1.444669 1.784368 2.427371 -2.111870
106 -1.8039814452 -2.186256 -4.299880 3.903341 0.461947 -3.785240 -1.524500 2.435460 1.586415 3.170923 3.460454 4.952739 2.634639 -4.279745 -0.167861 3.783709
107 0.5649063091 -0.861526 -1.199746 3.122458 1.122719 0.632688 -3.176601 4.759777 1.723595 -0.742389 -4.732965 -4.757102 4.680843 4.910061 1.958327 -2.877533
108 1.3804710830 0.696221 3.118964 1.674882 2.010890 -4.812140 -2.931808 4.931466 4.281647 -3.322151 0.502269 -0.027049 -2.066454 3.200015 -4.693286 -4.756374
109 0.8694205469 3.426138 1.584737 -1.654465 1.241145 0.099232 1.483152 4.005938 3.240668 -0.598511 3.528866 -3.586568 -1.685248 -2.954620 3.941348 -3.774059
110 0.6447002967 -1.220782 2.316360 1.132987 0.001394 1.589863 3.037661 2.830954 -2.786151 1.749982 -0.078179 2.494217 -0.109540 0.122708 -1.123634 -1.556176
111 -0.0925897762 2.688047 -1.616315 3.660658 -3.753076 -4.345869 4.978085 -0.674629 -2.342276 -4.780279 -3.617620 -3.198154 -0.020552 -0.528869 -1.700263 2.572582
112 -0.5410697794 -2.938837 -0.404200 4.532699 1.611130 4.836204 -1.054295 -3.335946 -3.077261 -1.386943 -0.435185 1.548904 -4.055335 -1.828429 3.908771 1.734019
113 -1.7738246662 -2.102283 3.253211 -4.413366 -0.685663 2.972660 -1.459199 0.687908 -2.257846 4.411746 -3.970553 -2.585716 -3.241248 4.086438 -2.815271 4.021433
114 -5.3692705665 -4.527734 -2.709873 -4.731778 2.124529 4.153405 0.327656 -4.748509 -1.316808 2.375546 -4.157561 0.972071 2.552015 3.592311 -0.959204 -0.892203
115 1.0707451377 4.569043 -0.106145 2.515980 -0.535993 -1.735837 4.323661 3.026133 1.913997 -4.627725 -2.467970 -0.097643 -1.232726 0.018845 1.818294 2.215307
