evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 5.2851664784 -2.829519 2.771796 2.233358 -4.254922 -1.490213 4.497405 -2.030350 -0.038588 4.246677 2.013478 -2.993975 0.664301 2.218875 3.150302 1.389269
2 7.6464538696 -1.998283 4.892500 0.802608 -4.352571 1.381031 1.803699 -1.371637 -3.237864 0.636000 -3.620206 -3.273290 -1.852874 2.175696 -1.656520 3.740135
3 5.3135057629 -2.121372 -4.504240 -0.876465 -4.589441 -1.683965 -4.068644 2.538602 2.942132 3.637724 4.338498 4.622182 0.378691 -0.141229 1.755370 0.472241
4 1.7880721700 1.488836 -3.656819 -2.765557 -2.412216 -2.384388 -3.098580 2.834764 -1.263397 -3.252884 -2.234361 3.772937 -3.450993 0.384965 2.652872 2.999157
5 -4.0544682578 2.288238 -3.139796 1.965932 -3.054037 4.114663 -4.858149 -3.550335 3.466946 2.648405 1.872914 -3.298250 0.812451 -1.581672 -1.589608 -0.526402
6 2.4426740468 -0.464003 -0.157233 3.435511 -0.831219 3.027359 -1.251399 -4.608627 -1.439816 -3.986914 3.566068 -0.237277 -3.121761 4.443306 -0.329290 1.486645
7 8.8162061621 2.365457 1.562309 0.941573 -3.714585 4.318107 -1.582961 0.626488 2.020361 4.341687 0.320303 0.591793 0.076457 -1.913763 -4.090605 -2.305472
8 9.4760997495 3.245057 -3.027983 -1.811839 4.513281 -0.693760 0.373189 -0.523452 2.765688 0.442302 0.490215 -1.646119 -4.771637 -1.450611 2.714980 -3.662494
9 4.0005384115 -2.465075 3.962021 1.059156 2.313474 1.456317 1.030658 -3.607774 2.941994 0.270657 -2.503922 -1.700602 0.225033 -3.763866 3.248704 1.270933
10 6.1668372148 -4.162794 2.756167 -2.665117 -0.195451 -0.600806 -4.066019 3.166386 2.920605 -0.767998 1.999076 -3.901012 2.677960 2.861502 -1.986224 -2.412310
11 5.9162836239 -2.794376 -1.011707 1.257740 -3.913398 2.270346 0.099029 2.139923 -3.628960 1.094770 4.980877 -1.482245 4.168244 2.554780 4.202303 -0.411362
12 5.7687600958 0.924335 3.254449 4.960009 3.477631 -1.658101 2.756496 1.522771 -0.826669 2.584477 2.724831 4.808503 -2.316626 -3.556788 -2.410671 -0.121348
13 -1.1153739123 -2.474780 -1.416276 -4.455093 -3.571096 4.558170 4.742231 2.223082 -4.983958 0.040473 4.962106 -3.256246 2.503567 3.891859 4.191646 4.421351
14 5.8170401391 0.830911 -3.992351 -4.114739 -3.156635 -0.369080 -1.430614 1.979198 -1.723738 1.990123 1.624884 -2.627159 -1.341725 -1.001467 -4.344543 0.088729
15 5.5177595442 -0.966146 3.712835 2.550329 -4.013353 1.550067 -3.280434 -1.039531 3.257528 1.490778 3.842941 3.169994 -2.013976 3.870059 -2.320350 1.662459
16 12.6381810972 1.291120 0.689662 0.738148 -0.486810 4.298651 -1.254032 3.698760 0.506908 3.241812 1.469684 0.327044 -2.415995 -3.060040 0.614517 2.836527
17 6.3067319750 -4.991770 -1.434359 0.631171 1.243856 1.147304 -2.659064 4.025730 -1.124985 0.445251 -4.662499 0.320649 -1.107484 -0.438646 3.245421 1.993037
18 3.3393113423 -2.862880 2.143754 -1.792527 3.222278 -3.123512 -3.446514 1.874055 -2.482120 0.882903 -1.574774 -0.747620 -0.848471 -2.445018 -3.673387 4.097787
19 11.3185513539 0.355825 -2.445637 -2.541265 4.472225 0.713377 -4.795930 2.587189 1.838426 -4.306398 -1.852254 -4.923306 1.305638 -2.007397 -0.480779 1.569922
20 3.3503772414 4.971573 1.362342 4.394771 -3.958331 -2.661575 4.621218 0.878961 -0.676857 -1.026458 3.056973 -1.895466 -4.415597 4.161443 -1.478885 -2.689935
21 -2.0487274317 -0.982844 -4.477155 -2.565675 -3.442330 4.269354 4.353128 -4.324059 1.671005 -0.548370 4.595218 -2.666397 -3.615412 4.639795 3.244604 -3.005366
22 10.0635877958 4.629347 -1.178536 2.250297 -1.118537 -1.828334 -1.719303 -0.084087 -3.980263 0.513148 -1.669793 -3.850879 2.593936 -0.422366 0.393288 4.100799
23 5.1874093004 3.531343 1.156611 -2.543120 -1.300560 3.820860 0.990536 -0.138779 -0.859885 -3.685021 3.616312 -3.935239 2.455253 0.372476 -3.649240 3.197558
24 1.7626603695 3.479240 0.096440 -1.157491 -2.623937 3.992231 3.359596 -3.797953 -4.467370 4.151403 3.951746 -0.725594 -1.292073 0.840178 -2.391959 3.920757
25 0.9718376030 3.170136 0.963652 -2.246061 2.279716 -1.034681 -1.080232 -0.382267 3.510954 -0.134336 3.681597 3.429165 -3.193709 3.571526 3.923503 2.451376
26 3.8405745582 -0.156009 -4.685448 -3.975218 -2.079130 -3.291735 -4.209810 4.049147 1.743844 4.304973 -3.995481 1.220060 0.647769 1.593162 -4.911874 -3.654039
27 8.9674162752 -1.536747 1.447491 0.407396 -4.583849 -1.255979 4.702866 -3.826399 2.986905 2.699662 -2.002104 2.483235 -3.882867 1.625330 3.387042 0.894850
28 4.7683595906 0.695374 4.292492 3.218988 -0.106074 2.109892 -2.249293 3.721842 -2.119649 3.890446 -2.014896 -4.123030 -0.608941 1.934566 -4.887566 3.008635
29 8.0940859604 0.384095 3.364281 2.222089 2.310309 4.176073 0.496256 1.476057 -4.767013 -1.480285 -4.591076 0.548255 3.760527 3.803772 -4.445642 4.180779
30 6.3602560057 -1.685221 3.411353 -2.812872 1.918296 4.807060 -2.400754 0.220259 0.425444 4.683745 0.545413 4.865334 -3.291672 0.004743 3.510587 1.227462
31 4.7660391912 4.184397 -4.391956 1.982938 1.092258 -0.035215 -1.777467 1.971601 3.263605 3.011926 3.928150 -3.322249 -0.045522 1.261054 -4.490478 -1.070528
32 5.1962108734 0.263872 -4.200189 2.975018 -2.981942 0.431419 1.668415 -3.290032 -0.755693 1.578571 -4.062011 -0.310087 3.814400 -1.982666 2.438500 3.444139
33 13.0762960735 -4.460848 -2.639800 -2.072263 0.981548 -2.302395 -0.002785 3.974318 3.097416 2.594216 0.606072 4.996863 3.131598 0.936633 -4.512892 -3.166555
34 -8.0715382313 1.974965 -0.121211 -0.247739 1.920971 -4.866037 4.181583 1.340567 -2.096090 -4.681310 -3.230650 -2.589602 -3.242093 -1.074477 -3.332344 -2.446991
