evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 10.4965241057 4.739869 3.005711 2.589072 1.831274 0.173547 3.255662 -2.848167 -4.403848 -0.195904 -0.211263 1.590904 -1.338614 -1.311059 1.149362 -1.583193
2 3.4709997180 -4.701030 3.511271 2.930979 -0.752073 -4.656365 1.454620 3.306473 -2.067933 -1.982080 4.033157 -4.289310 0.720840 -2.661766 4.339770 -0.670897
3 0.5889930286 1.750833 4.937298 4.889131 -1.211513 -2.249015 3.902499 -4.956800 -4.650907 -4.926404 -1.997842 -3.159672 -1.625652 3.405256 -0.750107 3.150536
4 14.4467225558 -2.913291 0.727539 4.645133 -0.168660 0.594494 2.693065 -2.481604 0.474623 0.398183 -1.537953 3.875075 0.831134 -4.843929 -2.141868 3.634871
5 -0.9325709280 -1.775840 -0.074587 -1.276263 2.860856 -3.280818 1.690283 -2.756537 -0.714842 -0.440775 -2.257520 -1.008066 1.943538 2.090375 -3.666265 -3.449455
6 7.6650479357 -4.312398 2.549570 4.099663 -4.522949 -0.935530 0.779139 1.941650 -2.809097 -4.697513 -3.350738 0.420253 -4.675871 2.461600 2.890929 -4.821007
7 4.5356011899 4.857936 -2.414917 -0.885565 0.059913 -2.668403 3.775404 -3.872316 -0.532624 -2.329499 -0.773361 4.089244 -2.512566 -0.500091 -2.020224 -3.736327
8 -5.0441534374 1.895202 -4.733244 -0.204218 3.801252 -0.161617 -2.656339 -4.678516 2.208881 -2.415744 -1.805404 1.983893 4.397130 -3.533614 4.039195 3.277123
9 -1.9534756452 3.956109 4.297879 1.832746 4.718803 -1.603523 -1.055560 0.373679 -0.873698 1.474380 1.854482 -0.402233 -3.577519 -1.813971 -3.883899 1.712187
10 6.0184493020 -3.899409 -1.371576 3.817744 2.629830 -2.789373 -1.909971 -3.933047 -3.471043 -3.206144 -2.936165 4.612845 -3.282351 -3.391326 -1.594773 4.501889
11 6.4693274287 2.619484 4.540154 1.239114 4.325755 -1.307741 -4.089196 -1.227631 4.638004 0.838504 2.616060 -1.991994 1.649660 -0.623093 0.101650 -2.155003
12 4.8847000809 -1.899219 0.909935 3.470231 0.394168 -4.082249 -3.693241 -1.168079 -2.487016 -4.022412 2.072506 -4.531663 4.760507 -1.050016 0.837105 -2.339671
13 7.0914172536 -0.071096 3.990429 0.318287 -4.283405 -2.010521 3.056137 1.017413 3.366283 -0.704938 0.078329 -1.685978 -3.745072 0.102809 1.457405 -2.738775
14 6.1824707956 1.466641 1.319654 1.542925 -3.440636 1.077387 4.634716 -0.148364 -4.308167 2.542117 3.203971 2.244939 -3.968134 0.606351 2.274487 1.938159
15 9.0634106527 0.988053 -2.590228 0.349896 0.162955 4.743107 -0.633341 2.289366 3.546208 1.022624 0.588830 -0.207881 -2.015246 1.174335 -4.226866 -3.442279
16 3.2787910217 -2.422321 -2.981460 2.314929 -3.692743 -0.436998 -2.987399 -4.549345 2.857596 2.091493 1.645549 3.587326 3.008789 2.188165 -2.886855 -0.034219
17 5.7118975764 -3.580312 -4.021020 -1.550241 -3.105136 1.425187 0.341801 0.781260 0.149367 2.601451 1.017194 -0.024188 3.653901 4.622045 2.078476 1.637672
18 5.5691196082 3.211927 -3.139750 -2.078609 2.441231 -4.789807 -0.045339 3.165528 -2.126686 3.382405 -3.905506 -3.769652 -0.296895 4.983980 4.169787 -2.916915
19 3.9070025658 -1.086867 1.510653 -2.589309 3.951943 3.467765 -1.658361 -1.763468 3.710317 0.650163 2.354726 -2.836783 2.514971 3.215361 4.704182 3.794536
20 5.1222470607 1.444202 3.811809 -3.283595 -3.907504 2.806082 -3.157046 -1.923093 -1.596535 -4.300846 -3.201395 -1.383956 -2.192957 -4.613854 -0.286800 -1.950227
21 7.4962095949 -3.828343 -3.402577 3.234021 -3.579368 4.212050 -4.369263 3.620498 -3.915666 1.341005 -4.976033 1.776661 -0.876568 1.432667 -1.863430 4.232856
22 6.3597704039 -1.345700 1.776351 4.503862 -1.692558 0.877239 -2.254830 4.265405 -4.834414 4.660816 -4.380242 0.976616 2.282096 -2.888294 -4.730555 -4.613416
23 11.3800334596 4.268590 -3.762523 -4.626054 0.888358 2.591442 2.175299 0.227254 1.137306 3.144720 -2.432658 0.122423 -0.663912 0.354912 2.450552 0.737396
24 10.4679030626 -3.386238 1.202395 -4.861738 1.923573 -1.009671 0.320149 -0.838260 0.616650 3.848045 3.861340 2.788229 1.098439 -0.318779 0.524319 2.545980
25 4.4885158184 4.524176 2.647047 -1.160788 -4.699507 3.048883 -2.349544 1.490998 2.004218 0.026818 3.620423 2.521382 -4.907243 1.490752 1.795218 -0.547734
26 3.0582385027 2.815938 -0.189604 2.490307 -4.927839 -3.606414 1.282469 -0.470033 0.796174 -1.585069 0.791924 -4.718797 2.709687 1.830290 3.210362 -1.021123
27 1.2330902262 2.444727 2.910837 -3.600889 -0.917409 -3.695804 2.542961 -1.545179 3.053711 4.044810 4.462253 1.415888 2.999002 -4.009885 0.180697 3.963355
28 -2.9316171115 -2.573627 3.358357 -2.464266 3.262216 -3.073990 4.144316 1.780441 1.805822 1.858864 0.547495 3.325737 1.785004 -3.079107 -2.372166 1.250006
29 4.2719522053 0.742350 -1.981269 -0.410681 4.507119 0.371632 -0.428141 -3.154114 4.115563 -3.665952 4.580410 -2.254722 4.913806 3.781726 -0.803619 -0.244909
30 3.0665257892 -4.497317 2.272528 0.974814 -1.568581 -4.552618 1.093109 4.363919 -3.093199 2.973627 -2.755996 -3.602270 -1.872106 -1.485626 -4.063894 4.667304
31 -2.4720828052 -0.679147 -3.636314 -4.479047 -1.948995 1.819446 0.708121 3.866599 4.396544 -4.544974 -0.969935 2.578868 -3.198237 0.853666 -3.049097 4.852120
32 10.7463958839 1.108043 0.281408 0.602402 3.020576 4.340910 -1.702515 2.743176 -1.003123 -0.962360 3.264819 4.443402 -1.194955 2.646780 3.263587 -4.222958
33 0.6482455391 -0.345147 -4.381896 -2.814642 -2.415849 1.974197 4.953784 -3.566175 4.827944 0.121154 -0.443995 -2.772796 -2.562629 4.371278 3.786587 0.306438
34 1.0953126883 -4.915189 -4.182054 -0.624094 4.956949 3.758554 -4.305664 2.828504 -3.248425 4.519658 -3.522305 1.001812 4.031474 0.270434 -1.172097 2.156692
35 15.8611409116 0.265580 4.598437 -1.829682 3.644805 -4.128304 -0.993817 -2.211163 -1.877104 -1.383693 -1.168611 0.695143 -4.481922 3.961607 -1.432068 1.211619
