evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 4.7528406162 -2.015027 -1.525564 -1.826843 4.776096 0.470501 -4.952713 -3.885162 -1.750819 3.577762 3.893310 -1.753842 0.380619 0.912782 -4.999976 -2.731874
2 4.9206527930 -3.954190 -0.500309 -2.091432 4.803548 -1.316182 -4.743298 -3.486854 0.673003 2.151086 3.881333 -0.165179 -0.097625 -0.114472 -4.299164 -3.929957
3 4.4680381599 -2.345102 -2.590462 -1.516111 2.789417 -1.254656 -4.982036 -2.630908 -1.383130 2.136513 4.325714 -1.307839 1.108100 0.837261 -4.218060 -1.149516
4 4.3137129300 -0.869238 -3.355360 -1.535360 3.764032 -0.073310 -4.283922 -1.929637 -0.393536 0.476402 2.974223 -1.696930 0.217904 -0.470085 -3.350570 -3.258934
5 3.6155205244 -1.969313 -2.941182 -2.886869 3.072516 -1.370977 -3.933165 -2.646191 -1.123057 1.879613 1.440491 -2.890971 0.014712 0.423798 -3.098226 -4.519886
6 4.0007523398 -1.949704 -1.635883 -3.116153 4.016479 0.076232 -4.193565 -3.726657 -1.331784 0.837984 4.866208 -0.802790 -0.441029 -0.203774 -3.872962 -3.151128
7 4.0808823482 -2.536070 0.206261 -2.901199 2.190353 -1.750153 -3.225300 -4.786697 0.736303 -0.016892 2.498467 -2.570427 -0.110775 0.255722 -4.983178 -3.951355
8 5.3526818150 -0.929986 -2.218885 -2.400440 3.599257 -2.563281 -4.896729 -3.837096 0.466194 3.145244 4.208857 -3.545865 0.647201 0.594564 -4.988011 -1.713357
9 3.9887051973 -1.136578 -1.155727 -1.715076 3.161559 -0.877986 -3.453136 -4.983195 -0.718838 2.853268 4.452067 -1.890376 -0.996575 -0.136510 -3.636706 -2.392981
10 4.6481520787 -1.449526 -2.907669 -2.134923 4.850551 -1.933282 -4.687498 -3.719114 -0.111932 2.189365 4.717455 -0.801525 -0.860041 0.193849 -3.912489 -4.512990
11 5.3551109896 -1.960771 -0.788465 -2.507025 3.934131 -1.291451 -4.025544 -2.345038 0.275822 2.588466 3.476749 -3.251907 -0.571164 2.551992 -4.999772 -4.567888
12 4.3151597229 -3.125420 -1.115207 -3.111902 4.870233 -1.507209 -4.462145 -3.237272 -1.314076 0.801380 2.966418 -1.338718 -0.191456 -1.431382 -3.128759 -2.724179
13 3.6387421592 -2.065854 -1.632866 -1.044332 3.689038 -1.305418 -4.321697 -4.998554 -1.054060 1.249958 1.867378 0.161861 0.222220 -0.520577 -3.969794 -2.187526
14 4.3101237365 -1.046140 -1.104089 -4.960505 3.069103 0.279081 -3.135918 -3.840534 -1.159766 1.412540 2.665708 -0.363237 1.306655 0.538730 -4.293205 -3.627045
15 4.9850862098 -2.600763 -2.038757 -3.669700 3.663104 -0.326230 -3.685198 -4.318382 -1.401204 2.138136 1.919054 -1.494003 -0.490564 0.781263 -4.538539 -2.045087
16 4.9993762818 -1.404261 -1.995460 -3.624907 3.685679 -1.538170 -3.467695 -2.964139 -1.006120 2.418599 3.131858 -3.273200 -0.569292 0.581953 -2.204930 -4.346625
17 4.7825789332 0.486672 -2.245721 -2.525045 3.886065 -0.684177 -3.683371 -3.716770 -0.460191 1.107636 3.865854 -1.808382 0.659060 -0.581136 -2.652349 -3.442648
