evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.8467950559 4.961393 1.395370 -4.828947 1.613283 0.707356 2.918587 -2.523845 0.921628 1.661133 -1.573715 2.000148 3.939900 -3.740523 -3.480754 3.490105
2 0.0749706150 -4.976845 -4.040508 3.248514 -4.389489 3.691526 1.307061 -1.487935 -1.334325 -1.082524 4.342659 0.789236 3.740802 -4.914823 -3.138800 -3.682127
3 1.2265471569 0.331871 4.180725 -2.156442 -3.662541 -4.334130 -0.560437 3.823990 1.581127 -2.522533 -4.954421 -2.752704 1.723139 -4.530364 -2.497513 0.206177
4 0.7917924035 3.785902 -4.391732 -4.286287 0.286671 -2.034405 -2.205497 -4.693655 1.003928 2.845429 -3.287315 1.731863 -0.586074 -1.294613 -1.177222 -0.552691
5 0.9274277858 -0.467063 -2.818208 -1.239931 -2.236841 2.404772 3.718486 4.879809 0.703326 -0.477074 2.228340 -2.319539 -0.174050 4.694249 3.077613 -4.412274
6 2.7036657449 0.552484 1.050298 2.193260 1.808989 -2.397328 3.170261 -1.407219 -3.656201 3.491946 0.698320 1.000248 -1.216988 3.406227 4.870089 0.554403
7 0.0899941539 -3.288476 -1.387711 1.519323 -3.032865 -0.300335 -0.167615 -0.106889 3.807016 -4.439705 -2.781396 -1.711801 -2.473370 -2.734969 2.523588 -1.048194
8 1.1438713077 2.693035 2.488793 -1.783908 -1.699072 4.364247 -4.752447 -3.230206 -4.123338 0.333698 -2.473363 0.602034 -0.932544 -2.533579 0.777094 -3.248429
9 1.3538642241 -4.670662 -2.140752 0.408886 3.163124 3.456104 -1.113782 0.456357 -2.297961 1.997310 4.278761 2.497153 4.931490 -4.084606 -0.434001 2.199398
10 1.1864165724 -0.249362 0.181076 1.021012 -4.261723 -2.324419 0.700927 -1.154175 -2.818876 -1.894348 1.700744 -1.449737 4.642398 -2.807630 0.790757 -2.251771
11 -0.2906336722 -2.871281 -4.987463 -4.413486 1.189260 -0.968292 0.842480 -0.694891 -3.686966 -3.393894 -1.884714 -3.234335 2.253856 2.607614 -4.713275 -0.033302
12 0.4419235795 3.234732 3.908455 -3.073111 -2.417216 -1.693730 -1.809637 -2.885668 -4.902085 -3.508210 1.530317 3.489446 3.628285 -1.740219 0.496471 2.099016
13 1.4118066401 -3.159253 1.573778 1.310090 2.394693 0.469518 4.926624 1.475764 3.893355 -3.101577 -0.829873 -0.004736 -2.863196 1.461972 -4.115418 2.914265
14 -0.4683992406 2.520031 2.743074 -3.788030 4.313326 3.439028 -3.337842 -3.525409 -0.169579 -4.152431 -1.982343 2.704699 -1.685601 2.203442 -4.782266 -0.325347
15 1.0874213868 -0.632458 3.860220 0.059536 -1.217487 0.027957 -2.907069 3.422011 -3.077620 -3.906119 0.183790 -2.891037 -3.344615 2.485733 2.226590 3.366811
16 2.3909198329 2.867605 -1.059296 1.964552 0.719852 3.180574 -1.533881 -3.001012 4.989442 1.681852 -3.037227 4.219582 3.432846 4.416348 1.892826 -1.608303
17 1.4799508302 2.036662 4.699035 3.614128 -0.018509 1.410942 1.623756 0.647143 -2.446880 4.851474 -1.107833 -0.327932 -4.612374 3.597048 3.762603 3.966872
18 1.6216875023 0.018459 -0.166273 -4.650920 -2.690122 -1.337367 -3.529760 1.672234 -2.643926 0.079887 -2.319389 -3.849943 -1.488802 1.720578 -2.070534 0.699206
19 1.8737411897 1.548196 -3.855049 -0.643115 -2.987033 4.768440 -2.718206 3.625600 3.270055 4.071820 -3.926503 -3.623955 -3.979206 0.863419 2.982314 -4.256488
20 1.3180469551 4.476572 4.865415 1.772422 4.704875 -2.572450 0.271156 -4.318045 3.452910 -2.181645 -3.723098 -1.423472 -3.683722 -4.570364 1.637978 3.746794
21 2.0294648428 3.123848 3.354151 -1.154252 -0.244217 -3.977784 1.962908 0.877103 -3.989914 -0.305646 2.459288 4.618330 -2.596202 3.671060 -0.726327 -3.960977
22 1.2388721539 -4.033764 -2.107874 -3.245077 -0.628992 -4.783849 -4.170291 1.976819 4.307901 4.702974 3.502179 -1.939122 0.647192 0.516215 4.718388 1.333752
23 1.9697731105 -2.420530 -1.782941 -1.577275 4.777801 1.624282 -0.823607 2.133568 0.182177 1.415069 2.748109 -4.480102 0.533974 1.057937 -2.940541 1.695376
24 -0.0885209297 -1.689227 -3.366190 -2.817716 3.881601 -3.684556 2.313070 -1.812617 3.163277 2.112625 -1.230582 -1.005048 -3.132841 -2.112900 1.349589 -0.570223
25 0.6455280366 4.658243 -3.662377 -2.393046 1.921652 2.145706 4.258855 2.957831 -3.444389 3.163282 -3.544416 3.102693 -4.554047 -2.049591 3.225041 -2.708870
26 1.8888442940 0.712580 -3.044583 -0.145317 1.262739 1.699902 1.845966 -2.669199 2.474420 -1.525447 2.107847 -0.397976 4.173009 -0.470791 2.608073 -3.561586
27 0.6586346245 -4.462515 2.159411 0.214497 2.688338 -3.466358 0.017331 -2.229773 -1.508925 2.536600 1.291170 -3.909406 3.161724 -1.626851 -4.391790 3.153264
28 1.6577608075 1.680684 1.780084 3.727224 -0.914000 4.922257 -4.925504 1.253377 -0.392267 -4.876729 -0.110765 -2.509506 -1.321139 -0.204139 -1.400264 2.456047
29 2.0656670215 -2.761789 -4.267883 4.132824 4.494608 2.852867 -2.547178 3.032188 4.507306 0.943552 -4.291570 2.792631 0.914721 -1.220313 1.763189 4.724779
30 0.5943055388 -0.781282 0.971233 -3.514766 -4.831850 -1.098708 -0.362754 -4.798597 1.722634 -0.676953 4.836370 -0.628811 1.303536 3.175682 -2.740134 -2.430693
31 1.6089189629 0.841242 -4.676652 4.394043 -1.459063 2.004903 4.745979 4.616776 -0.770771 3.366621 1.022869 -0.803364 1.529331 1.957360 -3.228092 2.745007
32 0.0999883195 -4.291263 0.100697 -2.088199 -4.682945 -4.661513 4.401039 -3.859793 -0.064115 -3.734891 -4.747298 4.390302 -1.914963 -3.466079 -0.318697 4.550740
33 0.2172493840 -1.413122 -0.558332 4.636116 3.586323 -3.242481 3.478343 -0.521227 2.852891 -0.824334 0.364601 -3.129334 -0.482490 -0.786068 1.201836 -0.800063
34 1.4825791538 1.396455 3.098728 2.416871 -4.070665 -0.506943 2.449877 2.648547 -4.666208 -1.261262 -2.767051 1.484822 2.994520 -3.247308 0.073439 -2.883310
35 2.0766561525 3.628858 2.997249 4.917334 0.827046 0.889030 -3.984506 1.095878 -4.376935 0.124865 4.761693 3.289551 2.109707 4.321594 4.016509 1.138715
36 0.7886825456 -1.217471 3.554639 2.869061 -3.672177 4.064829 -3.160310 0.308720 -0.922620 -1.735900 3.308843 -4.819456 4.351282 2.940198 3.596206 4.240385
37 1.6787443235 1.140578 -0.361678 -0.908653 2.210950 -3.107896 0.429008 4.520214 1.998701 -4.739508 -0.182883 0.481957 0.002831 1.279233 -2.284115 0.852030
38 0.0997779459 -2.083006 1.971050 -0.526975 -3.403587 -2.892108 -1.406209 4.266026 2.229984 4.507172 -0.655249 4.891765 -4.115404 -4.139467 -1.854391 -4.614087
39 0.4457000836 3.992498 -1.500386 0.928713 2.863344 4.267276 3.898564 -0.852808 1.355876 3.811302 -4.420291 0.129404 -3.461862 4.873242 4.381292 -2.002868
40 0.7485389003 -2.219241 -2.592675 -3.968978 0.489850 -1.578405 3.342314 2.477303 2.640406 1.024633 -0.496409 2.177044 2.366601 -0.593689 0.296050 -3.032487
41 -0.4265939276 -3.681449 4.470643 2.746882 -2.087543 -4.204527 -1.936770 -4.054777 -1.149474 2.564207 3.917746 3.910282 -2.267005 0.305205 -4.109033 -1.753188
42 1.5411842563 -3.489421 -0.964516 0.577453 3.358699 0.160380 2.636110 -1.990609 0.512928 -2.899689 3.863145 1.404701 0.224349 -3.094737 -0.938773 -1.361028
43 0.6291708030 2.277441 0.670628 3.067745 3.949995 -0.690479 -3.744029 -4.410178 -1.936747 4.294731 2.839199 3.758489 2.605709 4.042016 4.245540 1.566337
44 1.0045890750 4.327063 0.540278 3.949441 -0.415169 2.661186 1.134856 3.998296 4.589239 0.746915 0.789281 -4.771332 -4.913028 0.634965 -3.852590 -4.875157
45 0.6599973013 -1.625465 -2.537954 -2.693694 -1.270190 1.048229 -4.467472 -0.250845 -1.810420 -2.638266 3.127848 -4.182400 1.193184 0.105745 -1.469215 4.945471
46 1.2904848528 2.057973 4.567687 0.736126 4.595163 3.979932 -2.744138 -0.709231 -2.302460 0.029383 -0.763485 3.043572 -1.807917 1.630597 -4.686246 0.025311
47 -0.4351883850 2.688091 1.862034 -0.187468 4.579482 4.096184 -0.073724 -3.139022 -1.661716 -4.384229 -4.956898 0.349893 -0.842686 4.843161 -3.262117 3.939568
48 0.5967670694 2.551052 -3.523445 -2.441315 4.474390 3.508793 -1.564505 -1.669906 -4.184856 -1.683659 -2.922056 0.409153 -1.181506 3.488890 -4.613214 -4.612761
49 0.9700390561 2.109082 -2.586987 -3.485048 3.882388 1.565757 -3.612740 0.077802 -0.962511 -3.777081 3.831168 -3.564114 -0.152603 1.559492 -2.292030 -1.529966
50 -0.3047099222 2.706591 2.640646 -0.946007 4.705448 0.864710 -2.543476 -2.046070 -4.629489 -3.054891 2.513721 -2.739230 -2.543574 3.705435 -4.920049 -3.356038
51 0.5419121504 2.232815 0.407047 -3.452166 4.185188 2.755401 -1.261401 -2.774128 3.032393 -3.477893 -1.700394 -1.228139 -2.103778 4.148797 -0.038665 4.534829
52 0.8288010270 2.440092 -2.802827 -1.390600 4.293543 1.152451 0.232304 -3.774227 -2.270377 -3.110975 -1.591650 1.713061 -3.268856 -0.219046 -4.400115 0.551332
53 0.9166354289 2.754499 -2.753802 1.620636 3.842324 0.072329 2.109400 -4.581265 2.475219 -3.946707 -3.560658 -3.614538 -0.622287 -1.015423 0.125437 -1.423935
54 -0.0594205966 2.826774 0.846977 -1.894134 4.991851 -0.720519 -4.750963 -3.608675 -2.743639 -3.493454 4.213534 -1.068879 -3.565567 2.957875 0.635576 -0.521506
55 0.2041876911 2.762190 -0.297787 -4.772367 4.955644 2.521590 -3.124344 -2.938125 4.499817 -1.666821 -4.440754 -0.280513 -2.662684 4.215160 -1.592014 -1.236131
56 0.7140899364 2.585295 4.483963 -4.480290 4.893241 3.050364 1.611620 -2.526931 -2.529645 -3.310862 0.409130 4.157031 -2.214223 2.814179 -4.607563 -0.370577
57 0.4620988566 2.456276 3.960046 1.624124 4.928603 2.540163 -1.864423 -3.222953 4.791601 -3.393015 0.075886 -0.914701 3.384709 -2.056470 0.568314 1.786351
58 1.0927104327 2.744029 4.306871 2.401133 4.825087 2.245178 0.670678 -1.824217 -4.522461 -3.569871 0.627137 1.234987 0.819925 0.454954 -0.164632 -0.914460
59 0.1288905880 2.642963 2.993813 -0.921689 3.708469 -1.889256 -3.372290 -3.735324 -4.732802 -4.458069 -2.289264 -3.703215 -3.272494 0.121792 -2.929666 2.487133
60 0.4742842019 2.685906 2.159632 0.620530 4.564999 4.958640 0.902310 -1.430489 -4.847010 -3.680590 -3.797548 -0.973298 3.595761 3.926470 -3.620006 -0.698628
61 -0.0517116804 2.421029 4.253180 -0.195250 4.362605 1.558826 -4.374242 -3.699544 -1.492037 -4.267642 -4.643193 2.515680 -4.474077 1.932814 -1.607760 0.014870
62 1.6115574631 2.346381 0.560141 -0.196112 4.151225 4.890405 -4.664875 -4.099907 3.179806 -1.989936 -4.992715 1.244810 -1.284171 1.193657 -3.785671 3.134211
63 0.1077975396 2.610303 1.706807 -0.803134 3.900443 2.662151 -3.702531 -3.808427 -3.756349 -4.092351 -4.674457 1.442982 -3.595013 3.444166 -3.447689 2.544070
64 1.0894538280 2.607376 2.885174 -2.860713 4.607613 4.165139 -4.020988 -4.247676 -2.965258 -2.374326 -3.523913 4.224408 0.757561 2.847326 -4.493495 -2.912410
65 -0.1856637962 2.604171 3.603301 -2.161954 4.011033 3.788782 -3.079033 -3.893555 -1.877839 -4.604844 -1.003989 0.178731 -4.660900 3.472372 -1.952910 -1.176552
66 -0.5088674284 2.650854 4.544436 -3.282662 4.459244 3.990581 -4.356134 -3.115140 0.279935 -4.431306 0.997420 0.399329 -0.556294 1.448394 -2.847344 -3.477893
67 -0.3229229570 2.603927 4.301215 -0.213595 4.342456 3.575307 -3.512007 -3.218500 1.740469 -4.706909 0.402959 -1.101192 -1.578195 4.273299 -4.397013 -4.129155
68 1.1253942373 2.720928 3.154137 -2.912221 4.612803 1.257234 -3.811288 -3.267873 -1.893383 -4.530905 -1.309123 3.663801 -4.615804 1.833142 -3.815658 -1.252873
69 0.6893735206 2.460451 0.981482 -1.420924 4.614509 2.891900 -2.454938 -3.263904 -3.923544 -4.673155 1.035225 -1.023781 -0.480419 3.218186 -1.832428 0.483346
70 0.6805529105 2.454997 0.069631 -2.935544 4.809756 4.990564 -4.109081 -3.565954 -2.461773 -4.532518 -4.197793 -0.874076 2.398583 2.785507 -1.615607 0.688752
