evaluations raw_y x0 x1 x2 x3 x4
1 -31602.6594089698 0.408461 -1.049561 -3.517304 -3.648230 -2.901944
2 3155.1430951948 -4.123024 -0.490928 0.305700 3.404843 1.355490
3 674.6135181931 2.465147 0.706976 -3.871597 1.558918 -4.827616
4 -8.0499685094 -1.462362 -1.249632 0.628344 -0.432870 1.404479
5 11103.4809257848 -3.725750 3.990630 4.370780 4.265749 -4.473497
6 7317.4254861760 -3.839531 -3.751543 -4.592450 3.936995 -0.741495
7 -185904.7705458936 3.635821 2.119127 3.307938 -4.906786 2.166757
8 3339.6655627207 1.321725 -2.635728 -3.752907 3.318616 -4.018412
9 -116.0008294258 -4.235152 -2.342097 1.030416 -0.143118 3.286494
10 138.9855447804 3.391138 2.017549 -2.054248 -1.119563 -3.534380
11 -910.5222797866 0.312700 3.388455 -1.495353 -1.985365 4.446846
12 -2633.7169382836 -3.463007 -3.951171 3.540549 -2.375736 2.233011
13 5915.0965522930 3.057029 -0.390812 3.057402 3.801281 -3.393642
14 50.7020639446 -4.748985 -4.728517 -1.907331 0.433716 1.048373
15 -15696.2853168567 1.712787 -1.301572 -1.087618 -3.232577 0.500855
16 -6469.0251251158 -2.207160 -4.781460 3.516750 -2.788166 0.728526
17 510.5369292235 4.547501 4.343118 -0.823461 2.079894 4.900459
18 -147065.6858253593 -0.846054 -1.432526 1.388053 -4.720808 -4.250052
19 1450.7711763176 3.427648 2.881523 1.873614 2.795921 -3.470445
20 352.0483234930 -1.629372 4.542695 -4.349819 -0.485525 -1.974931
21 -636.3477062216 4.786328 1.393959 2.284943 -1.875579 -1.642400
22 -34.3145066585 -3.367585 4.878671 0.795071 -0.642868 1.700331
23 -2149.7962266864 -2.352397 -1.693908 -0.229719 -2.284222 -2.318532
24 -37447.0342124836 1.089344 -1.553827 -4.750994 -3.757663 -1.299411
25 460.2211657953 2.306295 -4.167234 1.623845 2.018795 -0.726520
26 549.2878174231 -1.037940 -3.108773 -4.961453 0.510695 -1.867674
27 -61191.5511030882 4.055838 -2.755381 -3.106966 -4.077387 2.348672
28 263.9535096731 0.550392 -4.495609 -2.617358 -0.257566 2.663871
29 -5270.8993261456 0.991190 0.370782 -2.279087 -2.678304 -1.262012
30 -101104.5728465377 -1.679388 -1.854870 -4.280314 -4.435832 0.808381
31 17.4331045359 -1.313920 2.222475 2.765581 0.267930 -1.779910
32 -37.9733379070 0.831743 1.422878 0.056551 -1.252943 -2.338418
33 62.7239827435 1.198355 -3.427311 1.218221 -0.993385 1.902756
34 -47175.0763666507 4.193064 1.800362 -0.943872 -3.903227 -3.863671
35 22782.9299130682 -4.596069 2.568995 -1.156219 4.835157 -2.648707
36 295.1861931973 1.641884 -4.992582 -0.346912 -0.006048 3.524112
37 67.4933464735 -0.333294 0.983813 2.914480 -0.744718 4.646295
38 -3932.9516336824 -2.886333 3.237063 -4.074820 -2.563543 3.615288
39 -705.2771245018 -1.224567 3.417974 -3.257417 -2.067850 -4.983948
40 19534.7487852336 2.653594 2.465697 0.990876 4.711461 0.063402
41 2156.6490623979 0.620749 -2.165699 4.473151 3.018159 -4.145824
42 -10365.9132566755 -2.139660 3.788788 1.993208 -3.020968 -4.369165
43 12243.6930317234 -0.340635 -4.256096 -2.460352 4.342758 1.143595
44 82.9560733311 -2.506532 -0.167251 2.725347 1.128666 -3.232762
45 231.8475500430 -0.129421 3.854683 4.139992 1.763622 -1.034242
46 50.2011608016 2.104545 2.608837 4.016958 0.833715 0.316092
47 107.0645094730 -2.033123 4.859419 4.615130 0.889781 0.390307
48 396.6438183142 -0.899880 -4.396544 -1.533729 -1.356004 -4.667173
49 716.2767695534 4.289745 1.033292 2.135834 2.405492 3.165793
50 24950.5003507703 3.214976 -3.654178 -2.481556 4.896294 2.033163
51 -53286.0774724910 -0.065338 -0.013342 3.168784 -3.983567 -3.774565
52 -136.2759681910 -1.841658 0.520846 -1.282179 -1.426966 4.127937
53 307.0271281301 3.909273 1.265122 4.200719 1.902736 -0.286812
54 8656.9897139598 4.612078 -0.685903 -1.787360 4.089955 -1.464747
55 -19750.9579989822 4.971565 -0.820425 -3.375551 -3.370063 4.509843
56 1139.5348722767 -3.563914 -3.901002 -2.842264 2.644490 3.962053
57 -83462.1689513109 -4.608564 -0.950751 3.932255 -4.292313 0.891666
58 119.9918482431 -2.820683 4.621063 0.599933 1.345699 -3.109850
59 -26.2658720378 -4.337548 -2.265338 4.988979 0.164449 3.124466
