evaluations raw_y x0 x1 x2 x3 x4
1 39.2672544834 -2.126971 -3.007298 2.368625 -4.944430 1.492508
2 34.8423348650 -2.423098 -2.856767 4.019506 -2.604154 2.294580
3 38.1666562971 -2.360551 -2.458301 2.903876 -4.962929 1.088692
4 54.6760609035 -4.212776 -3.471237 3.703678 -4.941819 1.931595
5 41.1400295278 -1.425758 -2.631070 4.190737 -4.723672 0.973253
6 23.5052261642 -2.721210 -2.854360 2.413247 -2.732522 0.450797
7 25.9116166807 -2.362039 -2.301954 3.104707 -3.445693 -0.599093
8 31.6402955867 -3.325518 -2.498277 3.244547 -3.191213 1.065160
9 23.3686245092 -3.052396 -0.897960 2.618808 -3.292006 0.232962
10 38.4241142925 -2.664153 -3.154039 3.521547 -4.310955 1.081052
11 28.9649924874 -3.462113 -2.600448 2.379832 -2.789870 2.061016
12 36.1182068189 -2.233041 -3.117705 1.610632 -4.991702 0.938853
13 34.5807974716 -3.019676 -0.533623 3.081619 -4.841110 1.672859
14 24.6718826312 -1.142167 -2.666356 3.791386 -2.343886 0.050662
15 52.9991899688 -2.878119 -4.278341 4.218270 -4.184670 0.583646
16 26.6244948965 -1.245090 -1.497307 2.131108 -4.879518 0.779689
17 20.5309263024 -2.294661 -0.500822 3.244094 -2.846969 0.464746
18 29.5888578249 -3.576485 -2.881900 2.902770 -2.636381 0.186219
19 18.3236592974 -2.078680 -1.441174 3.080473 -2.202783 1.183248
20 40.4885614349 -2.657822 -0.545704 4.998658 -3.903574 0.174874
21 13.6398719178 -2.397911 -0.870191 1.322350 -1.568537 2.205687
22 19.4915083011 -2.153230 0.869096 1.925306 -3.702226 0.105992
23 27.5218409921 -3.766361 0.863372 2.410119 -3.633875 0.881651
24 12.7059020187 -1.617460 -0.515586 2.103832 -2.351397 1.418944
25 16.2460294583 -2.837607 -2.808407 1.969732 -0.721214 0.949990
26 11.4646544298 -1.495019 -0.933519 1.830409 -2.501704 1.253518
27 11.3731180172 -0.707442 -0.101233 0.436503 -3.430987 1.025812
28 10.6333920481 -2.476813 -1.336985 1.537926 -0.404611 1.251138
29 19.6912893193 -1.585275 -1.745711 0.807060 -4.120890 0.943001
30 24.9537541908 -0.920951 -1.408731 4.048506 -1.759215 2.620094
31 18.5393378318 -2.510758 -0.285643 3.913975 -1.417162 0.656321
32 6.0005067862 -0.309904 -1.469756 1.607933 -1.207847 0.414257
33 14.1562312156 -2.726017 -0.085620 2.506310 -1.101160 1.656874
34 8.7813292369 -1.397516 -2.249473 -0.111431 -1.285995 -1.048586
35 20.5261716956 -0.810322 -2.147548 3.529540 -2.566976 -1.142812
36 5.9047526496 0.898904 0.126341 2.125345 -0.975823 -0.854544
37 28.4650343335 -0.795200 -1.939982 1.477143 -3.089793 4.456721
38 10.1178502250 -2.216589 -0.691937 0.230479 -2.190864 1.288704
39 30.8398205596 -1.531743 -2.936078 2.908641 -3.618425 2.462624
40 16.7723783576 -1.810152 -2.491094 0.475747 -3.296966 0.613962
41 4.0202435018 1.039975 -0.551945 1.582082 -0.455384 -0.350612
42 10.3704876516 0.490999 -0.234130 0.921749 0.001600 -3.395802
43 22.8957886475 0.234006 -1.263339 0.907812 -4.101709 -2.986154
44 30.8666025605 -0.509282 -1.225795 3.628299 -4.783949 -0.765318
45 4.2014977033 -0.726157 0.434792 -1.279966 1.200289 -1.014536
46 11.0958244912 2.571118 -1.864758 1.305571 0.771732 -1.123588
47 8.9758904723 -0.069805 0.330438 2.606872 -1.566984 -0.660277
48 9.9270270144 -0.258481 -2.821086 -0.527530 -1.716390 -1.071409
49 42.7011407243 3.448530 1.188242 -0.332050 4.907495 -3.937311
50 12.7263537076 -1.815937 -1.224633 1.299289 -0.784912 -2.848806
51 8.1195733800 -0.728299 -0.705820 1.017017 -2.699480 0.524403
52 13.2030158907 -2.155033 -0.699093 1.538183 -2.558836 -1.474589
53 22.2528505729 1.527114 0.194116 3.788729 -3.179467 -0.168114
54 14.1543705418 0.274363 -2.182291 -1.156332 -2.235806 -2.454352
55 10.7130908692 0.731723 0.457195 1.375658 -2.466419 -1.908251
56 5.5998886656 1.887721 -1.476629 0.476519 -0.015398 -0.053375
57 17.1242730565 0.796320 -2.311440 0.991764 1.504232 3.565725
58 16.1722684265 3.655634 -1.116330 0.582857 -1.125202 -0.423224
59 4.9088569911 1.152258 -1.384004 0.232766 -1.300237 0.586586
60 8.1036253916 1.271145 1.563975 -1.005426 -1.943561 -0.958066
61 10.0205126637 2.782867 1.447777 0.382271 -0.645064 1.475779
62 17.5435961838 -0.539691 -0.221240 2.263786 -3.972949 -0.791444
63 4.4384535766 -0.585078 -1.671282 0.480572 -0.696431 -0.918804
64 15.1657892307 1.567647 -2.842333 1.864378 0.102176 -2.002643
65 3.1219015000 0.824772 -0.108467 -0.941720 -1.123041 -0.890226
66 5.7147044470 0.401718 -1.984837 0.942161 1.205108 -0.252386
67 8.9466738740 -0.666226 -0.714682 -1.366720 -1.805618 -2.055952
68 7.8275367004 0.414725 -0.352654 0.100772 -1.384407 -2.513617
69 1.6379310784 -0.202263 -0.352675 0.498819 -0.748624 -0.559994
70 5.4019679176 0.757309 -0.280477 1.479160 -1.736841 0.340424
71 5.0155423065 -0.837555 -0.174272 1.032800 -1.187258 1.826202
72 2.7524885549 1.299418 -0.313462 -0.801460 -0.141526 -0.771417
73 2.0822757058 0.745225 0.244388 0.160075 1.172490 -0.687923
74 3.5369826608 -0.827474 0.741637 -0.567439 -1.292448 0.758734
75 2.2795917553 -0.369221 -1.031684 0.454189 -0.703566 -0.771175
76 1.5918036544 -0.843347 0.158839 -0.945542 0.159507 -0.084874
77 5.3171091047 -0.557176 -1.698407 -1.104032 -1.415943 0.298625
78 3.1883819544 0.680141 -1.052285 -0.290245 -1.318254 -0.805494
79 3.1355122301 0.501223 0.715248 -1.030389 -1.410112 -0.011523
80 3.7082911826 1.329326 -1.096759 -0.079228 0.599979 -0.714228
