evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 0.4189585840 -0.178012 -4.785920 4.585395 3.733307 -4.704216 0.479145 -1.890928 -0.427256 -3.631512 -1.619335 1.385698 3.821930 2.354476 1.243280 -4.534040
2 -0.3921934523 -5.000000 0.085247 5.000000 5.000000 -4.652136 -5.000000 -2.240138 5.000000 -0.803098 -5.000000 0.972143 5.000000 5.000000 5.000000 -5.000000
3 -0.2596090995 -3.013912 -5.000000 5.000000 5.000000 5.000000 -5.000000 5.000000 -5.000000 5.000000 -5.000000 2.551173 -0.647590 4.464103 5.000000 0.127776
4 -0.2567470547 5.000000 -5.000000 5.000000 -5.000000 -5.000000 -5.000000 3.810864 -5.000000 -5.000000 0.928883 0.554350 -4.430175 5.000000 5.000000 -5.000000
5 -0.3602859782 2.348684 5.000000 5.000000 5.000000 -5.000000 -5.000000 -1.860713 -5.000000 5.000000 5.000000 -5.000000 -4.135074 -5.000000 -2.765424 -5.000000
6 -0.4748933125 -5.000000 2.169172 -5.000000 2.053655 -5.000000 -3.345742 -2.276541 -5.000000 -5.000000 5.000000 -5.000000 2.975945 -5.000000 -5.000000 -5.000000
7 -0.5179938754 -5.000000 5.000000 4.998589 -5.000000 -5.000000 -4.990032 5.000000 -5.000000 -5.000000 2.845803 -5.000000 4.652721 2.954239 4.944016 -5.000000
8 -0.9647348547 -5.000000 -5.000000 -5.000000 -5.000000 5.000000 -5.000000 5.000000 -5.000000 3.784973 -5.000000 -5.000000 -2.122889 -4.978452 0.001063 5.000000
9 0.2387550302 2.680179 -5.000000 5.000000 -5.000000 -5.000000 -1.596300 -5.000000 -1.620533 5.000000 2.463294 0.075282 -5.000000 -0.578257 -5.000000 -0.187166
10 0.3607108728 -0.058407 -5.000000 5.000000 -5.000000 2.088383 -5.000000 4.453462 2.480921 3.512133 1.037160 -5.000000 -4.301075 -5.000000 5.000000 5.000000
11 0.9052581161 2.784412 -5.000000 0.927150 -1.144740 5.000000 -5.000000 5.000000 2.145854 -2.225557 -5.000000 3.251579 5.000000 -5.000000 -5.000000 1.435320
12 0.2323257464 -5.000000 -5.000000 4.625847 -0.866199 2.237410 -5.000000 5.000000 -5.000000 -5.000000 -5.000000 -5.000000 -5.000000 -5.000000 -5.000000 4.407708
13 -1.3265767174 -5.000000 -5.000000 -5.000000 5.000000 5.000000 5.000000 5.000000 -3.708728 5.000000 -3.376027 -4.259767 5.000000 5.000000 -4.724812 5.000000
14 -0.7577827215 -5.000000 -5.000000 5.000000 4.731253 5.000000 5.000000 -2.948505 3.516995 5.000000 5.000000 0.317075 5.000000 4.424921 5.000000 -5.000000
15 -0.0700044289 -1.270134 0.615175 -5.000000 3.736654 -5.000000 5.000000 -1.146562 5.000000 -2.846344 5.000000 -5.000000 -5.000000 5.000000 -4.866245 -5.000000
16 -1.0874176074 -5.000000 -5.000000 -5.000000 -2.315713 5.000000 -5.000000 5.000000 5.000000 5.000000 -5.000000 -1.962559 -5.000000 5.000000 5.000000 5.000000
17 0.6990739253 -3.845525 1.668780 2.463819 -2.259845 -4.554958 2.315129 5.000000 -5.000000 -3.853867 5.000000 2.518272 5.000000 -1.178345 -2.478772 1.323971
18 -0.3342767788 -5.000000 -5.000000 -5.000000 0.988720 -5.000000 1.684323 -2.671259 5.000000 5.000000 -5.000000 5.000000 -0.415291 -5.000000 5.000000 5.000000
19 -0.6350509528 -5.000000 -5.000000 -5.000000 5.000000 5.000000 5.000000 -5.000000 5.000000 4.303009 -5.000000 -5.000000 5.000000 -1.092525 5.000000 5.000000
20 -0.4768941247 1.115582 -5.000000 -1.924625 5.000000 5.000000 -1.412268 4.175687 -2.725644 5.000000 5.000000 5.000000 5.000000 1.833469 -5.000000 5.000000
21 -0.5368714937 2.639063 -5.000000 -3.831323 1.554661 5.000000 -5.000000 -5.000000 5.000000 5.000000 5.000000 5.000000 5.000000 -2.368892 -5.000000 -3.498468
22 -1.0519214358 -5.000000 2.051158 5.000000 5.000000 5.000000 5.000000 5.000000 5.000000 2.565770 4.844261 -4.943461 5.000000 2.185228 -1.904292 5.000000
23 -0.3513637180 -5.000000 -5.000000 5.000000 -5.000000 -5.000000 5.000000 5.000000 -2.053824 4.161622 -5.000000 2.034968 5.000000 5.000000 3.271570 -5.000000
24 -0.2810177861 0.846921 5.000000 -5.000000 -5.000000 5.000000 5.000000 2.930174 5.000000 5.000000 -5.000000 -5.000000 0.619593 5.000000 -3.273791 5.000000
25 -0.5206535432 5.000000 5.000000 -5.000000 -5.000000 4.024016 3.185500 5.000000 1.310504 4.341930 -5.000000 -5.000000 5.000000 -5.000000 -5.000000 5.000000
26 -0.0254817575 -5.000000 0.885266 5.000000 5.000000 0.602730 -5.000000 -4.846936 5.000000 -3.070981 0.755135 -5.000000 -5.000000 2.307460 -5.000000 -5.000000
27 -0.6504026045 -2.374792 -5.000000 -5.000000 5.000000 3.619645 2.370667 5.000000 5.000000 -1.837199 5.000000 5.000000 -5.000000 5.000000 0.934360 1.722352
28 -0.3910872805 -3.193783 5.000000 -5.000000 -5.000000 4.507682 -5.000000 5.000000 5.000000 5.000000 -5.000000 -5.000000 5.000000 5.000000 2.898924 -5.000000
29 -0.7055504572 -5.000000 -3.329625 -5.000000 5.000000 -0.205718 5.000000 3.485214 5.000000 -5.000000 -5.000000 1.031692 4.324183 5.000000 -5.000000 -2.175382
30 -0.8928567137 -5.000000 -5.000000 -5.000000 5.000000 5.000000 -4.095327 5.000000 -5.000000 5.000000 -5.000000 -5.000000 5.000000 5.000000 4.130789 -5.000000
31 -0.9338604418 5.000000 -5.000000 5.000000 -3.921063 5.000000 5.000000 -5.000000 5.000000 5.000000 5.000000 -3.871131 2.949967 -3.181039 5.000000 -5.000000
32 -1.1019528916 -5.000000 -5.000000 5.000000 4.999098 5.000000 -5.000000 5.000000 5.000000 5.000000 5.000000 5.000000 5.000000 5.000000 -5.000000 -5.000000
