evaluations raw_y x0 x1 x2 x3 x4
1 -614.7330000000 -0.248928 0.248928 0.248928 0.248928 -0.248928
2 -60.6870000000 0.601231 -0.601231 -0.601231 -0.601231 0.601231
3 -6025.6663384594 4.877833 -4.877833 -4.877833 -4.877833 4.877833
4 -4784.4300000000 -4.605106 4.605106 4.605106 4.605106 -4.605106
5 -3186.6150000000 -2.540968 2.540968 2.540968 2.540968 -2.540968
6 -7089.3668620765 2.820915 -2.820915 -2.820915 -2.820915 2.820915
7 -7388.6898532998 2.326088 -2.326088 -2.326088 -2.326088 2.326088
8 -2461.1980000000 -1.981064 1.981064 1.981064 1.981064 -1.981064
9 -2076.4760000000 -1.701131 1.701131 1.701131 1.701131 -1.701131
10 -8045.3088254777 1.356181 -1.356181 -1.356181 -1.356181 1.356181
11 -6892.3758636066 3.166006 -3.166006 -3.166006 -3.166006 3.166006
12 -3998.8900000000 -3.446027 3.446027 3.446027 3.446027 -3.446027
13 -4614.9800000000 -4.252870 4.252870 4.252870 4.252870 -4.252870
14 -6459.8872555213 3.980218 -3.980218 -3.980218 -3.980218 3.980218
15 -8414.3213572762 0.873970 -0.873970 -0.873970 -0.873970 0.873970
16 -7814.7236726437 1.679663 -1.679663 -1.679663 -1.679663 1.679663
17 -7939.6659524006 1.502176 -1.502176 -1.502176 -1.502176 1.502176
18 -7560.9610480601 2.056794 -2.056794 -2.056794 -2.056794 2.056794
19 -8322.7732163681 0.989711 -0.989711 -0.989711 -0.989711 0.989711
20 -8372.2596133413 0.926859 -0.926859 -0.926859 -0.926859 0.926859
21 -708.5400000000 0.108785 -0.108785 -0.108785 -0.108785 0.108785
22 -8392.1637772701 0.901746 -0.901746 -0.901746 -0.901746 0.901746
23 -8158.6446053867 1.203591 -1.203591 -1.203591 -1.203591 1.203591
24 -8375.7365491443 0.922460 -0.922460 -0.922460 -0.922460 0.922460
25 -8391.7533313562 0.902299 -0.902299 -0.902299 -0.902299 0.902299
26 -8429.7877840520 0.854686 -0.854686 -0.854686 -0.854686 0.854686
27 -8441.7679250253 0.839743 -0.839743 -0.839743 -0.839743 0.839743
28 -8450.5952439107 0.828792 -0.828792 -0.828792 -0.828792 0.828792
29 -8474.7151756082 0.798959 -0.798959 -0.798959 -0.798959 0.798959
30 -8478.9514136352 0.793761 -0.793761 -0.793761 -0.793761 0.793761
31 -8483.8958992076 0.787674 -0.787674 -0.787674 -0.787674 0.787674
32 -5511.5127884114 0.497027 3.073952 -0.497027 3.073952 3.657801
33 -4277.7600000000 0.891559 0.110731 -0.891559 0.110731 -3.378121
34 -4833.2200000000 -0.831501 -2.278143 0.831501 -2.278143 -4.042490
35 -5005.4000000000 0.948300 -0.863353 -0.948300 -0.863353 -4.317618
36 -8160.1327993735 0.037267 -1.014811 -0.037267 -1.014811 1.373800
37 -7429.0200973050 2.452030 -0.126183 -2.452030 -0.126183 1.409103
38 -7124.3864734410 4.978368 1.186956 -4.978368 1.186956 0.758964
39 -155.7790000000 1.094279 -4.496726 -1.094279 -4.496726 0.707927
40 -8500.4654723048 -0.420593 -0.424239 0.420593 -0.424239 0.866914
41 -7143.4333409375 4.848438 0.864119 -4.848438 0.864119 0.868113
42 -7526.7209764933 4.702805 -0.437335 -4.702805 -0.437335 0.854326
43 -9588.3150694240 -4.962226 -1.318221 4.962226 -1.318221 0.789825
44 -349.0220000000 0.348876 -1.554496 -0.348876 -1.554496 0.564746
45 -8183.5850054923 4.470765 -2.196536 -4.470765 -2.196536 0.731923
46 -9555.6020045697 -4.869568 -1.171729 4.869568 -1.171729 0.754652
47 -8970.3437525488 -1.652659 -1.248119 1.652659 -1.248119 0.898034
48 -9629.1894022468 -4.977613 -1.352614 4.977613 -1.352614 0.766853
49 -9710.2499833772 -4.941330 -1.505600 4.941330 -1.505600 0.745639
50 -9735.4450396622 -4.997613 -1.521275 4.997613 -1.521275 0.735001
51 -9837.1904570586 -4.999728 -1.748803 4.999728 -1.748803 0.727207
52 -9848.3189269065 -4.726039 -1.865843 4.726039 -1.865843 0.727820
53 -9669.0068386852 -2.905145 -2.026453 2.905145 -2.026453 0.706715
54 -10284.2348879595 -4.971338 -2.630565 4.971338 -2.630565 0.645703
55 -10246.2624541581 -4.901370 -2.648216 4.901370 -2.648216 0.675747
56 -62.7640000000 -4.781387 -3.102707 4.781387 -3.102707 0.564834
57 -10114.7605456151 -4.853387 -2.360272 4.853387 -2.360272 0.683975
58 -10245.1217213126 -4.989134 -2.580333 4.989134 -2.580333 0.663849
59 -10056.9022484715 -4.556267 -2.450175 4.556267 -2.450175 0.729751
60 -10208.8094075484 -4.969203 -2.518219 4.969203 -2.518219 0.671244
61 -10277.1800080494 -4.955368 -2.534969 4.955368 -2.534969 0.617362
62 -9794.7269672075 -1.655850 -2.609876 1.655850 -2.609876 0.602800
63 -10284.4588272959 -4.978363 -2.673157 4.978363 -2.673157 0.660744
64 -10301.9765228351 -4.991728 -2.676877 4.991728 -2.676877 0.648761
65 -10313.1755600398 -4.999279 -2.649968 4.999279 -2.649968 0.631099
66 -10347.4750176185 -4.986066 -2.682055 4.986066 -2.682055 0.611641
67 -30.2290000000 -4.712536 -2.603126 4.712536 -2.603126 0.573127
68 -9795.0487815026 -4.997745 -1.348335 4.997745 -1.348335 0.618333
69 -10763.2737878053 -4.996879 -4.048976 4.996879 -4.048976 0.704025
70 -82.6980000000 -4.998247 -4.953705 4.998247 -4.953705 0.667821
71 -9491.8640632853 -4.997028 -3.785051 4.997028 -3.785051 1.786033
72 -915.3490000000 -4.998668 -3.790150 4.998668 -3.790150 -0.003997
73 -7990.4662062295 -4.992143 2.961298 4.992143 2.961298 0.708897
74 -10698.6175271582 -4.989572 -3.665395 4.989572 -3.665395 0.639821
75 -10619.0686378354 -4.932533 -3.674910 4.932533 -3.674910 0.701184
76 -10643.7486270596 -4.999988 -3.848877 4.999988 -3.848877 0.742123
77 -10746.0293917468 -4.969985 -3.964334 4.969985 -3.964334 0.689761
78 -10711.3985358185 -4.999521 -3.845352 4.999521 -3.845352 0.685510
79 -1288.2630000000 -4.578490 1.065664 -2.997188 1.177558 -0.440802
80 -995.0000000000 -4.112430 3.952373 3.786423 -4.935991 -0.442889
81 -9619.3905010759 -3.926635 -2.180275 4.834598 -3.855001 0.868255
82 -757.2800000000 -4.910430 -3.817207 -0.337604 3.857914 -0.255295
83 -6350.2407843814 4.414803 1.352078 4.667119 -1.916181 1.426427
84 -895.0040000000 -4.941710 -3.928978 -4.929977 2.925207 0.581298
85 -9492.2440902169 -4.748663 -1.963942 2.996054 -4.073858 1.596834
86 -9808.3908947974 -4.746494 -3.195696 4.121140 -4.329040 1.433435
87 -1281.7380000000 -0.022155 -4.797862 4.811096 -4.857562 0.339955
88 -7115.2264632019 4.858567 -4.620301 4.980640 3.989876 0.994790
89 -9472.6926076803 -4.951846 -0.813324 4.918587 -3.854782 0.961080
90 -9206.0791953327 -1.746410 -3.584976 4.888157 -4.972232 0.913916
91 -9616.5832990930 -4.027537 -2.259956 4.995288 -4.574578 0.909400
92 -9466.5950703367 -4.855368 -0.808056 4.948949 -3.330260 0.904208
93 -11642.1818476641 -4.961902 -4.060784 1.867101 -2.217751 0.584948
94 -9444.6474050769 -4.930929 2.197810 1.837677 -4.812812 0.617543
95 -970.4780000000 -3.621503 -3.592328 1.806117 -4.948761 0.454582
96 -10345.8006156714 -3.481397 -2.614709 1.797093 -2.256980 0.670126
97 -121.9360000000 -4.911057 -4.129259 -1.496041 -2.057564 0.662378
98 -11749.9105912853 -4.236510 -4.867661 1.676578 -2.507300 0.561800
99 -10306.0130967982 -1.396424 -4.323178 1.700963 -2.418259 0.542021
100 -10720.2623036511 -4.153207 -4.647513 2.952390 -0.460722 0.762328
101 -10622.0845696713 -4.582117 -4.656693 1.720517 3.368942 0.534040
102 -937.1750000000 -4.427401 -4.591125 1.189952 -4.751611 0.549865
103 -48.8430000000 -4.310559 -1.343777 1.725616 -2.032071 0.532650
104 -12391.5229667046 -4.329555 -4.988764 1.118548 -2.361662 0.282305
105 -12252.7767120056 -4.729873 -4.378985 1.041362 -2.252285 0.329807
106 -11681.9116682000 -4.399933 -4.672778 0.300721 0.287811 0.510793
107 -11946.5307774232 -4.569141 -3.835875 1.168981 -2.344932 0.297980
108 -12357.1166100361 -4.373183 -4.663734 0.150828 -2.649505 0.415406
109 -10956.5617350178 -4.395009 -4.993380 0.610826 4.352088 0.300322
110 -12177.3629046087 -4.280332 -4.894401 0.944986 -2.115750 0.390969
111 -235.0650000000 -4.324470 -4.770480 0.714922 -1.013597 0.274163
112 -69.5390000000 -4.041838 -4.672276 1.146924 -2.529376 0.237676
113 -12222.8853793305 -4.319348 -4.981951 1.078521 -2.578437 0.417908
114 -249.7850000000 -4.376861 -4.922350 0.625808 -2.615649 0.148750
115 -642.7220000000 -4.866285 -4.997587 1.103217 -2.975953 0.249604
116 -12068.2210922933 -4.353570 -4.622643 1.076952 -2.215847 0.390852
