evaluations raw_y x0 x1 x2 x3 x4
1 -7599.7520920915 0.785953 -3.209605 -4.130661 1.160907 2.649039
2 -5132.1706827453 -0.129597 3.935648 -3.331498 3.561281 4.498788
3 -5893.7514026166 3.643510 1.325269 -2.139503 -2.276463 3.115177
4 -547.0470000000 -2.732993 -4.523482 2.444654 -2.731995 -0.041893
5 -7722.4806350144 -4.680317 3.227624 1.015802 4.730640 1.002969
6 -4910.1400000000 2.198310 4.597796 0.746778 2.247991 -4.762971
7 -4814.9400000000 -1.644809 -1.713904 -2.803925 -3.782597 -3.143946
8 -1742.7670000000 -1.868971 -0.907561 -1.550889 0.243291 -0.957429
9 -4652.6600000000 1.568620 2.613281 4.751841 -0.491646 -4.209198
10 -1631.7400000000 -0.916505 -1.619496 -0.611590 0.868511 -1.413589
11 -6033.3669102958 4.262207 -2.665298 -0.161464 -4.850255 3.849695
12 -8339.2377837166 -3.239154 0.619877 2.261972 2.979923 0.860922
13 -2911.8180000000 4.548845 1.999367 3.582435 -3.049673 -1.717937
14 -3934.8800000000 2.816179 -0.216056 -4.768384 4.183914 -2.543204
15 -9162.3642105371 -3.677159 -3.737340 3.820389 -1.200301 1.689179
16 -9598.8072597636 -4.236059 -2.887862 0.061420 2.806591 1.184448
17 -7417.2071717730 3.120909 -3.570855 2.865408 0.474688 1.543427
18 -8600.5926352305 -3.776484 -2.064260 1.651480 -0.058058 2.105562
19 -74.1890000000 -4.775643 -2.795852 -0.782939 -4.657725 1.244663
20 -8340.3684534145 -3.915533 -0.995885 2.494912 2.272474 1.573423
21 -9993.0264941271 -4.804025 -3.416806 -3.266781 1.124939 1.891264
22 -9142.9317619749 -1.712177 -4.184475 -4.940974 1.750325 1.912707
23 -9082.5684527025 -3.678057 -0.360557 -4.881469 2.544283 1.071878
24 -9326.7717458201 -1.321916 -4.518824 0.681459 3.244975 0.946614
25 -9890.6512415857 -2.169577 -4.302935 1.391495 3.699495 0.412739
26 -10162.7378458233 -4.353992 -4.178764 -4.089434 -0.350890 2.221500
27 -9731.9245864738 -4.960275 -4.731120 3.275086 0.480822 1.730731
28 -10439.3693585049 -4.912860 -3.795734 -0.081542 -0.279976 1.562354
29 -10620.7506066872 -4.755295 -3.183674 -2.975904 1.511271 1.100199
30 -96.8430000000 -3.697136 -4.906605 -4.697352 -0.400635 1.238172
31 -7981.5211072735 -3.664964 0.503188 3.705502 1.427130 1.452507
32 -7228.3249199320 3.448721 0.890387 0.766492 3.204050 0.634072
33 -8848.3044462465 -0.164246 -3.969625 -2.501459 4.092441 1.158795
34 -5606.1565470847 0.995854 1.637942 3.648757 -3.074263 3.877419
35 -7388.0634099629 -1.657739 -2.490740 -2.073082 3.914973 2.907207
36 -8411.7403623501 -1.585240 -3.074532 -0.627788 -0.097431 2.265203
37 -9051.5650591276 -1.491471 -2.849791 -3.392640 3.494648 1.113299
38 -9277.3684426362 -2.111022 -4.428846 -3.133956 4.108952 1.469518
39 -8214.3428494706 -0.618974 -1.988953 -4.968236 2.015944 1.764859
40 -10222.9327052334 -4.079957 -4.433596 1.360993 3.342689 0.738272
41 -9992.0577268617 -4.676386 -3.727124 0.352840 1.086145 1.540534
42 -195.5110000000 -4.428670 -3.705418 -4.204472 2.750780 1.002965
43 -9021.4032606775 -1.627561 -2.076565 0.599587 0.989702 0.974368
44 -9517.7159331788 -2.930666 -3.254230 3.142038 2.145756 0.632482
45 -9729.5129601737 -2.953996 -2.127896 -4.280006 1.388829 1.024477
46 -10562.1324830774 -3.688798 -2.888650 -2.176295 2.063095 0.557810
47 -10240.9969213270 -3.664495 -2.730086 -2.645200 1.413689 0.916731
48 -10092.8693153742 -4.808992 -2.175393 -2.963232 0.553207 1.394878
49 -10113.8958606660 -4.613090 -2.275907 -2.062465 0.487543 1.292739
50 -10450.6454063776 -3.746813 -3.797608 -2.041640 1.781470 1.021849
51 -11102.1958695884 -4.908184 -3.255143 -2.651001 1.065598 0.843400
52 -10413.0985352198 -4.311891 -3.064678 -3.366142 1.336052 1.149863
53 -10079.0405883136 -4.339438 -2.668458 -2.446687 1.686205 1.185480
54 -11213.8709621870 -4.981199 -3.560938 -2.678843 1.048961 0.898087
55 -9939.5542278049 -4.394634 -2.752139 -2.558516 2.105949 1.285843
