evaluations raw_y x0 x1 x2 x3 x4
1 20.8984754751 -1.767597 2.786738 -0.028877 2.361796 -4.930449
2 23.2551105038 -1.682067 3.102290 -2.561465 1.720087 -2.633514
3 30.1236057175 -2.576206 4.114179 -2.736294 2.453652 -3.271460
4 25.3813748852 -1.035827 3.162367 -2.586311 4.550255 -2.596761
5 21.6951686984 -0.422130 3.510448 -4.218274 2.865841 -3.395918
6 28.1827762194 -3.412907 3.663093 -2.073949 3.068073 -2.762852
7 15.6731245512 -1.544124 2.954028 -0.332199 1.431159 -3.021916
8 20.1071614947 -2.211355 2.020949 -0.873988 2.016235 -4.989346
9 19.7491191453 -0.956127 2.957871 0.635471 1.553575 -4.046081
10 17.8423819597 -1.415102 1.294434 0.385763 1.088129 -3.508641
11 17.0891795528 -2.056964 2.723460 -0.097682 0.814519 -4.894470
12 23.4525287710 -0.341665 3.020444 -3.224211 2.482662 -4.793944
13 17.5111493120 -1.627936 0.720736 -1.035792 2.591064 -3.413443
14 22.6546263096 0.677124 2.657292 -1.692804 3.596284 -4.593207
15 1.7832648075 -2.057736 -0.726883 -1.597329 -0.373782 -3.216819
16 16.6882730007 -1.327734 1.624308 1.764661 0.459192 -3.930761
17 -5.4706266307 -0.934844 -0.317172 -2.676519 -2.073151 -3.458825
18 8.1133086990 -2.533142 0.334313 -1.546822 -0.347650 -4.385641
19 22.5006477658 -4.301479 -2.612493 3.025966 -3.194131 -0.049040
20 11.9122485186 -0.012920 2.063616 -0.551729 1.359566 -4.268238
21 -4.9544398715 -1.922778 -3.326979 -0.359225 -1.513377 -3.650511
22 9.1298585692 -1.782945 -1.292416 -0.248760 0.422476 -4.848130
23 15.3412422669 -0.885653 2.549168 0.006066 3.188288 -4.924531
24 11.7626022102 -3.097605 -1.040577 -1.503487 0.412475 -3.633139
25 2.6083231118 -2.058594 -4.851518 -1.223990 0.735364 -3.152371
26 4.8347405204 -1.281912 -4.974719 2.486477 2.690569 -4.996390
27 13.9438294757 -0.686337 1.743006 0.947359 -4.391632 -3.605227
28 23.0957018267 -4.993776 -4.731082 -4.692170 1.924340 -4.986506
29 -3.4411541233 -2.496452 -3.881726 -2.158942 -4.981801 -1.930493
30 10.1071092645 0.405159 1.222268 1.076505 1.583468 -1.051352
31 1.0051243919 0.851101 0.894833 -3.849877 -2.551920 -4.928737
32 13.9487362733 -2.508393 -1.458755 0.690741 -0.006488 -4.715466
33 -3.6231525527 -1.945418 -4.434488 -3.010879 -4.729672 -2.785050
34 1.3729590956 -0.494342 4.987641 -3.381477 -0.812814 -4.069134
35 1.3945519705 -0.592070 -2.807590 -0.818241 -4.882188 -4.621719
36 -1.8792463764 -2.045943 -3.785504 -1.439627 -4.164240 -4.188021
37 0.8449193191 -0.098509 -2.256669 -4.559940 -4.262929 -3.122521
38 4.1108261536 -1.756083 1.188462 -1.273475 -0.833225 -3.459324
39 -6.2185274349 -0.433235 -0.567402 -1.011065 -1.307473 -3.480887
40 -2.5742696135 -3.971079 -4.521257 -2.131267 -4.941766 4.038762
41 10.0112019448 -1.252434 1.365916 0.316114 -3.188045 -3.288834
42 6.0018506037 -2.860154 -3.718424 0.307627 -1.945591 -1.181480
43 1.8051525343 2.397912 1.215682 -3.349438 -1.401704 -2.483218
44 -1.1437344964 4.191389 -4.239770 -3.176751 -2.856570 3.000034
45 3.0975178370 -2.084548 -2.283794 -4.674832 -4.996758 4.914838
46 18.3806792816 -1.058066 -0.004906 4.992669 -1.953848 4.999007
47 -10.8329129165 -0.159670 -1.665735 -4.707049 -2.090619 -4.658052
48 14.4322307075 0.387884 0.570209 -4.911240 -4.627477 -4.092435
49 4.2172766832 1.603965 -1.569854 -4.452872 -4.997151 -1.045146
50 0.2032383493 -0.497144 -4.603427 -2.302863 -3.586363 1.666228
51 1.7454056278 0.832690 -4.316732 -1.931922 -4.999916 1.029914
52 6.9629178062 -0.634086 -4.663679 -4.714323 -0.736599 -3.152032
53 3.3479478409 -0.266313 -4.036640 -3.492026 -4.027169 3.257313
54 -10.3684069137 4.569725 -1.151358 -4.976103 -3.608769 -4.713563
55 9.4904094846 2.112765 -1.893277 -0.029442 -0.040091 -3.366584
56 -8.7881377321 4.930910 -3.520611 -1.946197 -2.632603 1.075559
57 -6.4928040456 4.417611 -3.312998 -2.767543 -4.338996 -3.578588
58 1.4636213977 3.478834 -3.457194 -4.985955 -3.798958 -2.206139
59 4.5712427079 2.075627 -2.613816 -4.618007 -4.700085 -2.484296
60 -9.8064873953 4.800747 -2.336015 -4.063435 -3.306663 -2.702984
61 -5.2510292348 2.701627 -4.367073 -2.186201 -1.536137 -4.739537
62 4.9646095381 2.682442 -3.988944 -4.095871 -4.428933 -1.133386
63 3.7864007079 3.402017 -1.182592 -4.803387 -3.131197 2.765736
64 -0.7203875213 0.189841 -2.322226 -4.701786 -2.948228 -2.133537
65 0.7252969326 3.927225 -4.849308 -4.729667 -1.261891 -2.254087
66 3.6224137031 3.812410 -3.649933 -4.905025 -2.561710 2.552438
67 -6.8741743870 4.334894 -1.695643 -4.973851 -3.928041 -4.944010
68 7.7584555696 -1.813368 1.546451 -4.845372 -2.712316 -4.871616
69 10.9720400297 3.647150 1.071518 1.580318 1.400593 -4.989711
70 -7.9511112356 4.006478 -1.892764 -1.421783 -3.589501 -2.780543
71 0.1104514948 4.334551 -4.291483 -0.028717 -4.854220 -1.777521
72 8.4665000213 1.677950 2.053061 -4.808129 -4.099563 -2.767075
