evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.1531578546 1.428943 4.457814 4.377955 -2.207142 0.548724 -3.349742 -3.416758 -2.056156 3.008751 3.981246 1.190141 -4.162541 2.012860 1.608452 0.589946
2 2.0249325144 2.599258 -0.231517 1.774390 1.017038 -3.338524 2.727259 1.934408 -0.838703 -3.652673 0.511389 -2.343164 -4.950875 -0.612591 4.659583 -2.170835
3 2.3287820338 4.669781 0.763390 0.125654 4.841341 1.882151 2.831639 -4.369057 0.144312 -2.577199 -2.541264 2.972838 4.907924 4.733125 -0.746499 4.828696
4 2.4755965842 -0.721154 -0.808108 -3.172764 2.262072 -1.172494 4.154526 -2.175143 1.950060 -3.224222 -1.331727 -0.452576 4.218207 -1.091691 0.632197 -1.230453
5 2.1781816880 -1.959561 -4.474095 -2.246325 -3.775874 -0.709094 3.063053 3.072464 -0.478919 1.770411 4.547490 -2.965052 0.435447 -4.693305 -3.134544 -3.751201
6 2.7975878040 0.780493 3.202634 0.871365 -1.152634 -2.542382 3.672292 -1.761538 0.567813 4.821745 -4.842766 -1.606291 -3.866392 1.577245 -3.950150 0.122710
7 1.5247563560 -4.462197 -3.888295 0.498330 -3.541392 -2.967533 1.058554 -4.721657 -4.544949 -4.663192 -1.963687 -3.575276 -1.302318 0.478153 -3.413790 -2.957069
8 1.7106643876 -4.698213 3.515829 -0.699974 -0.288641 1.397428 1.760636 -3.979743 1.032692 -0.047941 3.351478 -0.742567 -0.372089 3.329740 3.980875 2.557517
9 1.7322247966 4.254199 3.895908 -1.756156 -3.157793 0.328716 4.054388 3.569798 -3.471605 2.396792 -1.785971 -2.245984 -1.492388 3.000823 -4.910371 0.832894
10 2.2579449360 4.541747 -0.748706 -0.379291 0.606402 -1.910387 0.349670 -2.598475 4.673116 -3.120037 -3.704004 3.322009 0.135852 4.978388 -3.474541 -3.260333
11 1.8663639972 -2.644074 -2.449653 3.303244 1.556431 -4.777294 -1.458950 3.675861 0.334529 1.299301 -2.842245 4.706989 -1.900666 -4.079302 -2.543210 3.366475
12 2.3264415008 -1.260364 -3.039526 -1.041098 -4.510273 3.368801 -0.731423 -3.141523 3.747659 2.078405 3.665002 0.137173 -3.890497 -2.029358 3.395869 -4.173082
13 3.6361741758 0.143247 0.945623 1.233323 -0.758191 -0.538402 2.450740 -4.934171 -1.227063 2.691955 -1.588824 -3.969786 0.045889 -3.837515 -2.026622 4.449842
14 1.7817543559 -3.809537 -2.808027 -0.024020 0.287184 2.063198 3.409380 -2.434416 -2.499809 -4.048257 1.390276 -1.269226 0.748752 -1.785996 2.213901 2.975132
15 1.7624693204 3.301072 -3.462908 -1.955051 3.764438 4.700415 -4.044041 -2.091277 -3.376840 0.419534 -0.759684 1.409409 -1.209002 3.538662 0.035581 -4.687766
16 3.9039618842 -0.151331 2.528107 3.511334 0.379756 2.689461 -4.505409 -0.461962 -2.833939 -2.094993 -2.731166 0.052726 -4.467087 -2.298901 2.894406 -2.080901
17 1.7871087910 2.305979 4.314085 1.625841 -1.751311 -3.758993 -2.557229 0.734110 4.820580 -0.514498 -3.014285 -1.081043 1.636544 -3.563170 -0.443547 -3.138233
18 1.9191006712 1.865612 2.629445 -2.857622 -2.998101 2.148527 1.549582 1.763096 2.844220 3.439982 -4.030215 -2.738028 -0.840529 1.043779 4.416933 1.190662
