evaluations raw_y x0 x1 x2 x3 x4
1 151.5561676932 4.015592 0.491121 4.718983 3.217864 -4.750498
2 72.7596183109 0.027348 0.046362 -3.024879 -1.246023 3.871050
3 45.4528452447 2.679246 0.763876 2.470456 1.553174 -2.644503
4 53.8564416241 3.641388 -3.206262 1.601802 -4.915522 -0.593623
5 30.6597571112 2.188773 3.273299 -2.475188 -3.224594 -3.915146
6 7.6928076692 -4.859996 2.090099 -2.006641 0.381994 -4.448929
7 102.4055816036 4.882647 1.580544 -0.512753 1.507719 -4.604708
8 87.2347485996 2.558946 -2.310466 -0.641788 0.003553 -3.964745
9 6.8415278768 -4.630177 -2.397279 0.932541 4.428988 2.793426
10 60.8105385705 -1.409407 1.264228 4.160441 0.931693 -3.506467
11 27.1354774998 2.014967 2.970991 2.311784 -3.415280 -2.089958
12 78.0912223874 3.082295 -1.536007 -2.440642 -1.326724 -4.538482
13 25.4923993859 -1.164758 4.346557 3.165699 2.601676 -1.717063
14 16.7433408273 -1.021718 2.657368 0.828817 -3.947205 -2.224055
15 25.8194764080 -2.629086 0.998432 -3.970279 4.246331 1.374420
16 40.7464125775 1.057270 3.774906 2.627800 -2.365990 0.684412
17 105.7976012545 -1.293434 -0.330994 3.692335 -2.727688 4.498774
18 102.6820116968 -4.519701 1.905480 -2.976030 -2.552727 1.964218
19 20.9216181809 0.193729 0.272553 1.967614 -4.655362 -1.533133
20 71.5319094727 -3.350705 -4.630564 -3.849490 2.417500 -1.540744
21 37.8415488647 -4.337866 -4.383574 0.523049 1.258604 1.223174
22 21.2771450134 0.263625 -4.873716 -0.167211 -0.422562 3.629538
23 18.8393870432 2.384897 0.407597 -0.421914 -3.310501 -3.161482
24 65.5952799953 4.763980 3.530939 -3.671910 -1.001990 -0.684492
25 27.5315144953 -1.659057 -4.148058 -2.090643 0.763456 0.542910
26 102.0832261176 2.787010 4.923922 1.375166 -0.246726 2.900315
27 15.6136399974 -2.126587 3.987550 2.104931 0.253482 0.878034
28 60.6434034220 2.249821 4.669586 -2.223752 -1.693483 -3.696998
29 24.0208279892 -3.809877 -2.009398 -4.437830 -0.543532 2.159954
30 221.6453103686 -4.245553 2.293131 -4.622322 -3.120046 4.451619
31 35.7025082453 4.305469 -2.181971 -0.205412 -1.657355 3.757823
32 55.6270621539 -3.724466 -0.367189 -3.653468 -3.747950 1.023145
33 242.7726295800 4.589854 -2.971306 3.496079 1.342038 -4.986671
34 135.2092518339 -0.627523 -3.041440 -0.057346 3.470355 -3.633047
35 45.0759983367 -0.221103 -2.516469 4.950238 -2.825905 -1.362002
36 13.9722435410 -1.701444 -3.402654 0.418141 2.755101 4.287440
37 79.4323223598 -4.981928 1.287659 4.862274 2.896937 -1.037412
38 57.0438400963 4.644960 2.581852 4.494220 -1.435689 2.338100
39 124.8572932849 3.160092 3.015743 -3.447605 -0.657425 3.978613
40 36.8853852997 0.908557 -3.797474 3.050207 -3.663480 4.952549
