evaluations raw_y x0 x1 x2 x3 x4
1 20.4637541748 -2.522047 -1.345417 1.074982 -0.402972 -2.067068
2 150.3767626548 5.000000 -2.553247 0.392803 5.000000 -5.000000
3 662.9466709600 -5.000000 -3.788410 5.000000 -5.000000 4.283536
4 455.3246547225 -5.000000 5.000000 5.000000 -5.000000 5.000000
5 108.8937756914 -5.000000 -5.000000 5.000000 5.000000 -0.699037
6 165.9652048149 5.000000 -5.000000 -5.000000 -2.051138 5.000000
7 24.9840795573 -0.107129 -3.754292 -5.000000 -3.975353 1.111408
8 184.7854252664 -4.370487 -5.000000 -5.000000 2.614065 -5.000000
9 161.0099745952 5.000000 -5.000000 -5.000000 -5.000000 5.000000
10 550.3944421715 5.000000 5.000000 -5.000000 5.000000 5.000000
11 295.2437158294 -3.470540 4.693788 -3.426729 5.000000 5.000000
12 126.4419049017 -0.910091 -5.000000 -0.281345 -5.000000 -1.899162
13 74.3001743596 4.086804 -5.000000 2.092138 5.000000 -5.000000
14 387.1633220336 4.319429 -2.669540 5.000000 -5.000000 -4.978544
15 17.5563172263 3.733730 -5.000000 -2.498321 -1.574776 -2.018063
16 209.4457737705 5.000000 -5.000000 -5.000000 1.667935 -1.096019
17 135.2216475060 5.000000 -5.000000 0.346497 -5.000000 1.509202
18 302.1611392553 -4.735645 -5.000000 5.000000 2.858170 5.000000
19 34.1873129841 3.690216 -5.000000 -0.215959 0.572165 -4.832528
20 111.0721788706 2.329517 -5.000000 5.000000 1.907488 -5.000000
21 30.4817743544 -5.000000 -5.000000 -3.053791 1.585377 -0.625899
22 79.2768902699 4.410852 -3.256611 -2.041871 -3.931596 4.595694
23 152.8166208727 4.127809 -4.661829 -0.228076 5.000000 -5.000000
24 123.0248052989 5.000000 -0.121163 -5.000000 -5.000000 -5.000000
25 35.5708567252 0.388714 0.846718 1.781902 -0.058218 -0.841049
26 186.0453885716 5.000000 -4.742434 5.000000 -1.171353 -2.398962
27 166.7185989878 5.000000 -5.000000 3.114692 -2.125759 -5.000000
28 92.3279775779 3.588086 -1.764122 -4.092701 -5.000000 -5.000000
29 113.0933410369 5.000000 -4.630790 -5.000000 -2.949769 -4.861028
30 97.5975267268 4.059527 -1.473819 -5.000000 -5.000000 -5.000000
31 222.5617929036 5.000000 -3.796874 -4.688548 1.264888 -3.717718
32 148.0294422211 5.000000 -4.877738 -1.991982 3.460375 -3.680216
33 115.9105461267 5.000000 3.473046 -5.000000 -5.000000 -1.301553
34 86.7501593821 1.503618 -5.000000 -5.000000 -2.504651 -5.000000
35 329.9591806784 5.000000 -5.000000 -5.000000 4.015209 -1.424516
36 99.9969779628 4.974591 3.095598 1.617335 -2.972459 -1.411340
37 84.5550839097 5.000000 -5.000000 -5.000000 -2.342426 0.810714
38 97.7195861937 4.906540 -5.000000 -5.000000 -2.089190 1.196803
39 170.2350566307 5.000000 -5.000000 -5.000000 0.674840 -1.848795
40 22.2044434196 3.185617 -5.000000 -0.187045 -1.554504 -2.259162
41 40.6765249239 3.150044 -5.000000 -1.199622 -2.228971 -3.819550
42 21.7957941020 4.940485 -5.000000 -1.442067 -1.090180 -2.251605
43 15.9542301313 1.972927 -2.758665 -1.047770 -0.314758 -0.063725
44 -0.9750350467 0.971874 -2.183936 1.613728 1.034313 2.090997
45 38.5555553590 3.553929 -2.196293 2.517087 2.201467 2.428972
46 3.9254455888 0.406226 1.274169 0.894365 -1.320924 3.824307
47 73.2341460732 3.345342 -2.435363 3.063226 1.622383 3.584942
48 6.5391646588 -1.034659 -2.107176 1.470153 2.274317 0.969764
49 21.9860584582 -2.630884 -3.834986 0.070769 2.318014 0.942899
50 -0.0451356251 -0.463633 -0.399366 1.240063 3.211643 2.303350
51 46.6327331078 0.616260 0.870486 2.059652 -1.077240 3.108751
52 27.7144081887 0.700468 -0.323654 0.373899 2.483652 2.831973
53 40.7694177635 2.540123 -5.000000 0.032666 0.453911 1.412261
54 4.9384254478 0.477400 -1.649782 0.361662 1.344634 1.957871
