evaluations raw_y x0 x1 x2 x3 x4
1 4.6688360000 -4.244343 -4.874583 3.240645 -3.824359 1.783671
2 4.3382000000 0.029528 -0.237379 -2.188155 -1.439937 -2.104958
3 3.8051735040 2.606149 0.567320 2.267618 -1.966826 1.008479
4 4.2352968960 4.179743 1.196268 -0.382576 4.839195 4.606593
5 4.4005500000 -0.453319 -3.389749 -3.359023 3.566500 -2.658953
6 3.7198379520 3.161602 -4.572157 0.802240 1.965193 1.150487
7 3.6601960320 4.519246 -1.591212 -0.918417 1.034511 -1.917389
8 3.7536082560 0.517427 -3.209254 4.001108 -0.696576 2.676303
9 3.8405629440 2.585294 -0.103834 3.061346 -0.252018 0.011121
10 3.6612259200 -1.458401 0.931053 -1.670389 1.697014 1.651354
11 3.8930181120 1.899438 -4.104345 2.475077 2.766857 3.479141
12 5.0007780000 -3.096754 -2.748088 -2.761398 -2.484167 -0.221088
13 3.5287989120 4.002083 1.356718 -4.584528 -2.268198 -0.420929
14 3.7989786240 -0.752512 4.962501 -2.648471 -0.877041 3.654854
15 4.0685932800 -3.891295 3.535166 2.682393 3.847484 4.406636
16 3.4951806720 1.245270 2.107869 -3.749952 1.580050 -3.876278
17 3.7180944000 -1.645672 -1.681880 4.948935 -3.005570 3.851215
18 5.0165540000 -1.721252 -3.649255 0.722553 -2.441013 -4.267283
19 4.0834281600 -0.652207 4.808563 1.893036 4.594879 0.279532
20 3.4319306880 -0.920561 4.317813 -4.007601 -1.115418 -2.431388
21 3.5369654400 -0.269643 3.433291 -0.490715 -1.922431 -2.476270
22 4.0770069120 3.734308 3.746632 0.476294 2.426621 0.391288
23 3.8629785600 -2.617868 3.324687 4.205255 0.391374 0.517391
24 3.9468159360 0.703681 4.713772 2.410578 1.361316 -1.427838
25 3.7055802240 -3.540471 -1.920179 1.604616 3.524322 2.509037
26 3.9907935360 -3.779743 4.058391 3.590410 1.844846 3.065598
27 3.4531401600 0.959657 0.763889 3.792493 -4.499048 -4.683142
28 3.4549649280 -1.935334 2.518027 -0.319986 -0.782483 -3.104185
29 4.4123440000 -0.551825 -3.923161 -4.778046 3.358597 -0.474189
30 3.5155624320 -4.196546 -1.024767 0.911498 4.328784 -2.240197
31 4.4866560000 -4.002020 -4.314188 -2.592898 0.743092 3.229990
32 3.9970713600 -1.284834 2.793139 0.012545 4.946510 2.457430
33 3.8209691520 2.260208 -2.569470 4.749038 -0.486058 0.894645
34 5.3096360000 -2.995591 -2.049120 -4.694799 -0.397465 -2.964501
35 3.4877761920 4.236350 2.905391 -2.982544 -3.298526 -3.725117
36 3.5975387520 4.916776 1.758001 -2.228068 -4.015469 -0.754841
37 4.7069740000 -4.459707 1.595658 -1.488243 -0.070763 -4.473846
38 3.6510203520 3.855799 1.048732 -4.873269 -3.212962 4.096075
39 3.4845223680 -3.215214 -1.520753 -3.027475 3.996275 0.827415
40 4.4817240000 -0.080207 -2.998979 -4.194848 4.409968 -4.043284
41 4.9343760000 -3.299649 -4.429800 -1.832020 -4.316262 3.391967
42 5.6815820000 -4.512918 -0.351100 -3.146550 -2.797341 -4.156678
43 3.5913386880 -4.650593 3.898308 0.347990 0.631710 -0.694611
44 3.4515262080 2.149263 -4.807256 3.805065 -1.575370 -3.275306
45 3.8500824960 0.761458 -0.568317 0.289257 2.723194 2.316703
46 3.4766582400 -2.113088 2.032611 2.874611 -4.911608 -1.004309
47 3.4357495680 0.443816 -4.714570 1.693937 0.168468 -1.660410
48 3.8223861120 0.083676 1.417220 4.154770 -3.683771 2.909293
49 3.8024156160 -4.874929 3.033461 1.125462 0.282030 4.852806
50 3.7910142720 2.761305 0.179889 4.708615 -4.158308 0.663477
51 3.7945169280 1.054162 1.903974 0.084844 4.702402 -3.509320
52 3.8505991680 1.461886 0.064717 2.786746 2.476618 -1.255715
53 4.0035824640 3.498334 -0.852460 1.373458 3.103407 1.952788
54 3.7882632960 -1.077336 3.265467 -1.349733 -1.312847 4.565663
55 4.3941960000 -1.841791 -2.326777 4.566404 -4.748993 -1.731240
56 3.7908276480 3.073524 4.374167 1.495354 -3.517131 -1.275278
57 4.3910620000 4.682026 -2.427027 -4.362667 -2.123422 -2.056625
58 4.7283340000 -1.136416 -3.717697 -1.095519 0.561421 -3.588991
59 3.4851392640 4.800087 -1.320643 -4.306080 2.282212 -4.381037
60 3.5943160320 3.594522 -0.699371 -0.088467 -0.063166 -3.141761
61 3.7899463680 3.357579 0.721868 -0.664103 -2.995433 3.710343
62 3.9920290560 0.301234 -3.423379 3.479543 4.127188 4.323443
63 4.8067800000 -2.584366 -2.113107 -1.536531 -2.696567 -0.877954
64 4.1876628480 2.968242 4.505623 3.339210 1.209841 1.313730
65 3.8170638720 1.690233 4.094927 -1.945772 3.700368 -2.781791
66 3.7724503680 4.439548 0.275185 1.253313 -3.645765 1.402904
67 3.7376778240 -2.375506 -3.938659 2.094805 3.196463 3.943187
68 4.4785100000 2.013219 -3.108090 -1.263521 -4.444540 -0.151850
69 3.5498770560 -3.468264 2.241706 -0.764441 -1.253483 1.817565
70 5.2996880000 -4.781381 -0.962773 1.940888 -4.666745 -4.893488
71 3.5491046400 1.611144 0.426832 -3.836688 -1.748957 2.102855
72 4.6397840000 1.332649 -2.624625 -3.525070 1.450495 -4.852499
73 3.5225089920 -2.224185 -1.197657 -3.539386 2.166537 2.734283
74 3.8262032640 -2.805526 2.363165 -2.456085 2.914903 4.953049
75 4.0633349760 2.352641 2.606179 4.407667 0.959402 0.132804
76 3.6936984960 -0.920561 4.317813 -1.114762 3.133346 -3.513563
77 3.4176124800 0.029528 -1.133630 -2.188155 -1.439937 0.243619
78 4.5426780000 -1.098301 -2.703161 -3.685076 -1.197604 1.008479
79 4.3137580000 0.313455 -4.162044 -2.288740 0.515432 0.091107
80 3.4365720960 -0.453319 -0.037604 -3.359023 -0.972995 0.773233
81 4.5143900000 3.161602 -4.564097 -4.433643 2.267265 -3.592797
82 3.4355197440 0.402625 -2.028163 -0.918417 -4.180303 2.650153
83 4.0422170880 0.517427 -0.461052 4.001108 3.235991 2.676303
84 3.4570696320 2.585294 -1.997990 -0.393578 -3.780074 0.011121
