evaluations raw_y x0 x1 x2 x3 x4
1 0.1366754629 -0.248928 -0.248928 -0.248928 0.248928 0.248928
2 -0.9024984989 0.601231 0.601231 0.601231 -0.601231 -0.601231
3 23.8495899072 4.877833 4.877833 4.877833 -4.877833 -4.877833
4 20.0246251521 -4.605106 -4.605106 -4.605106 4.605106 4.605106
5 2.6336937812 -2.540968 -2.540968 -2.540968 2.540968 2.540968
6 3.1682493551 2.820915 2.820915 2.820915 -2.820915 -2.820915
7 0.9868284289 2.326088 2.326088 2.326088 -2.326088 -2.326088
8 2.0892897516 -1.981064 -1.981064 -1.981064 1.981064 1.981064
9 0.7109337734 -1.701131 -1.701131 -1.701131 1.701131 1.701131
10 0.1537047625 1.356181 1.356181 1.356181 -1.356181 -1.356181
11 4.6400262644 3.166006 3.166006 3.166006 -3.166006 -3.166006
12 6.3812767503 -3.446027 -3.446027 -3.446027 3.446027 3.446027
13 15.2254643026 -4.252870 -4.252870 -4.252870 4.252870 4.252870
14 10.4410812722 3.980218 3.980218 3.980218 -3.980218 -3.980218
15 0.0567347433 0.873970 0.873970 0.873970 -0.873970 -0.873970
16 0.0815563714 0.290699 0.290699 0.290699 -0.290699 -0.290699
17 0.2026894346 0.728175 0.728175 0.728175 -0.728175 -0.728175
18 -0.1942228308 0.503457 0.503457 0.503457 -0.503457 -0.503457
19 0.1891034202 0.446242 0.446242 0.446242 -0.446242 -0.446242
20 -0.9164726954 0.606688 0.606688 0.606688 -0.606688 -0.606688
21 -0.1747609132 0.500857 0.500857 0.500857 -0.500857 -0.500857
22 -0.4179306083 0.531590 0.531590 0.531590 -0.531590 -0.531590
23 -0.8237309963 0.645288 0.645288 0.645288 -0.645288 -0.645288
24 -0.7151867653 0.658102 0.658102 0.658102 -0.658102 -0.658102
25 -0.5597161551 -1.520420 2.295866 1.702375 1.520420 -2.295866
26 2.5984012371 -3.097467 1.254959 -2.225922 3.097467 -1.254959
27 38.3767564006 1.686274 -4.802234 0.668835 -1.686274 4.802234
28 16.9887564455 4.907027 0.053240 -1.019984 -4.907027 -0.053240
29 -0.3756763554 -1.067118 0.001830 -1.253004 1.067118 -0.001830
30 0.3755660864 -1.414007 1.443534 0.791272 1.414007 -1.443534
31 -1.9851889857 0.162204 1.271125 3.289820 -0.162204 -1.271125
32 -9.4285814156 0.506003 0.891710 4.955101 -0.506003 -0.891710
33 -22.5583151910 2.059178 0.906675 4.968916 -2.059178 -0.906675
34 -16.0062030543 1.790121 0.117902 4.992468 -1.790121 -0.117902
35 -27.4752052785 2.174087 1.558165 4.988779 -2.174087 -1.558165
36 -26.8831760066 1.859814 2.219057 4.994121 -1.859814 -2.219057
37 -30.8682055240 2.528575 1.981214 4.990873 -2.528575 -1.981214
38 -36.1430450395 3.190611 1.855748 4.984644 -3.190611 -1.855748
39 -45.1476342812 4.968014 1.937216 4.980875 -4.968014 -1.937216
40 -34.7122846518 4.884382 0.970965 4.892694 -4.884382 -0.970965
41 -40.5359541682 4.631854 1.728897 4.891215 -4.631854 -1.728897
42 -45.0558681008 4.951756 2.254976 4.933476 -4.951756 -2.254976
43 -45.8635126340 4.733375 2.178892 4.979212 -4.733375 -2.178892
44 -46.2488189825 4.718265 2.220701 4.988462 -4.718265 -2.220701
45 -46.6753656066 4.968308 2.535061 4.986451 -4.968308 -2.535061
46 -45.7567338078 4.966325 2.249788 4.951392 -4.966325 -2.249788
47 -44.5642400620 4.407165 2.502056 4.997936 -4.407165 -2.502056
48 -45.3616985180 4.996090 2.826652 4.974798 -4.996090 -2.826652
49 -46.3983689760 4.909387 2.085139 4.997600 -4.909387 -2.085139
50 -44.5537743408 4.917516 2.703437 4.947953 -4.917516 -2.703437
51 -45.4589288306 4.821889 2.359786 4.953765 -4.821889 -2.359786
52 -46.4657939340 4.976730 2.508108 4.974890 -4.976730 -2.508108
53 -46.9708757956 4.926355 2.368034 4.985535 -4.926355 -2.368034
54 -46.8616576391 4.977117 2.302258 4.975948 -4.977117 -2.302258
55 -47.0417604171 4.941688 2.192285 4.998698 -4.941688 -2.192285
56 -47.4059723973 4.970650 2.349075 4.990024 -4.970650 -2.349075
57 -46.6028276812 4.959349 2.514351 4.982543 -4.959349 -2.514351
58 -47.0677093560 4.996182 2.290815 4.980270 -4.996182 -2.290815
59 -46.9589013736 4.933046 2.521655 4.998653 -4.933046 -2.521655
60 -47.5542109944 4.949694 2.410920 4.998130 -4.949694 -2.410920
61 -47.4588812688 4.990193 2.279035 4.993020 -4.990193 -2.279035
62 -47.6422622110 4.975273 2.345730 4.996063 -4.975273 -2.345730
