evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.4459501507 0.982279 -4.228140 -0.755079 -2.043225 -0.073450 -4.370291 2.280236 1.721294 -0.562337 2.227605 -4.539496 4.367678 -0.914744 4.472277 3.275387
2 3.1316447194 0.647682 1.800006 -1.198685 0.281078 -3.439859 -2.692077 -1.045448 -1.174626 -1.238125 -3.436820 0.803726 1.095936 4.510505 0.777074 -4.405693
3 2.6815202375 0.417302 -3.986013 2.940475 -3.367102 3.844895 0.604001 4.022395 -1.362533 -1.453940 4.095931 -3.859064 4.891222 -1.099987 -0.532517 -3.084091
4 1.5095579989 -3.242567 3.264987 0.524004 -3.589871 -4.687440 -0.719821 4.871706 4.232908 -1.052946 3.695220 1.276989 -0.378927 -1.219129 -2.286824 -0.009920
5 1.8109780737 2.972124 3.476205 0.580122 2.455399 0.569135 -0.823428 -0.283576 3.335846 0.165005 -2.596183 4.326890 -1.546952 -3.554344 -3.599119 -1.892635
6 2.2045386736 1.168391 -2.551278 -3.061937 -4.778607 -0.681420 4.879274 -3.584885 1.941889 1.933461 -4.760229 -3.567338 0.713172 -1.302501 -2.706383 2.367649
7 2.3775964867 1.463568 -4.611380 -3.620643 -3.046998 0.662733 -3.717858 -0.567944 2.268529 -0.334576 -3.942154 -2.699232 3.802280 1.470430 -3.901566 -1.220413
8 2.5957620169 -0.451135 0.623210 3.590994 4.456552 3.737920 -1.759367 -2.690387 -1.983603 3.044507 -1.044808 2.665024 2.837299 3.637109 2.072991 -2.207923
9 3.3022049793 -1.003538 2.815102 -4.640346 1.784081 -4.817360 0.113593 -3.938656 -2.749872 4.113961 0.568686 -4.724054 -0.255783 0.859754 2.614128 -4.539814
10 2.0466356880 1.950357 4.041762 2.383786 -3.558147 3.383831 -1.668416 -0.968216 3.550845 -4.597789 0.606497 2.439685 0.996821 2.072193 2.155856 -1.768193
11 1.9855720364 1.850789 1.675305 0.177512 -4.323618 3.446604 -4.048991 1.419558 2.623960 2.472510 4.540363 2.596427 -1.933162 -4.223774 -0.142651 -4.468038
12 1.7901502271 -2.863553 4.676348 0.654077 0.832597 2.236308 2.216922 4.710417 -4.523746 -2.797506 2.536528 0.056103 -3.126841 -1.074425 -1.010764 -4.065497
13 1.9455134412 -2.346375 2.600816 2.042177 2.928858 1.983079 -4.966193 -1.857290 -3.317586 0.593724 0.714044 1.266342 4.998733 -4.907758 4.109357 -1.661752
14 2.3500783388 -1.331256 -0.644240 -0.543143 -1.133092 4.965905 -1.440850 3.898677 4.626504 -0.981681 2.320569 3.611530 0.237222 0.196326 -1.335347 -3.311615
15 1.7746911226 -4.584755 3.440962 -3.291234 -0.678168 1.001579 3.913755 -0.802023 3.843278 -1.957876 -1.988381 4.210800 2.229237 2.515734 -1.770177 0.223352
16 1.9655051745 -3.948087 -2.025081 -1.774085 -4.210449 -2.292338 -4.296311 2.997992 -4.230998 2.050920 0.818449 1.388318 0.528133 -2.971900 -1.275710 4.226485
17 1.7769646191 -2.292641 -1.590291 3.444101 3.460800 -4.877323 1.082320 2.119779 -3.794600 -0.683251 2.181601 0.939776 4.402929 1.501981 1.234465 0.455509
18 2.1951050009 -1.980019 -1.995321 4.510680 1.988812 3.251556 1.413441 2.720741 -3.032348 -4.407375 -0.317990 -3.125343 -2.865270 -0.884280 1.012359 -3.457435
19 2.7885486590 -0.938824 3.114899 -4.722378 4.809742 0.153180 -1.603812 1.208119 3.678291 4.437950 1.723240 -0.704359 2.908401 -4.439518 1.546584 -2.392581
20 3.0770149088 0.619506 1.798868 -3.043480 -2.646164 3.030350 2.481536 -1.216579 0.203758 4.345277 -4.612240 -1.791099 -1.318501 -2.267051 3.685605 -1.150170
21 3.0304963175 -0.056637 1.919905 0.214323 -3.177283 -4.970154 -1.650089 0.706111 -3.678973 4.313028 3.269113 -1.076027 -3.434436 -2.945935 0.885621 -3.253530
