evaluations raw_y x0 x1 x2 x3 x4
1 -7531.1281050181 -3.153395 4.887429 -0.334079 -0.074557 1.266854
2 -2448.2400000000 0.349981 0.098564 -0.517440 -1.389241 -1.755683
3 -919.4650000000 3.710361 -0.261433 3.438987 1.495650 -1.212869
4 -7741.9825910063 -1.127523 4.350141 1.867998 0.650640 0.427422
5 -431.0010000000 -3.366180 1.431843 -4.011669 -0.373583 0.395650
6 -4752.7600000000 1.501694 3.067513 -4.799278 -1.414272 -3.743693
7 -6636.9202810882 3.634274 0.710787 -3.197037 2.505089 1.728138
8 -6733.9156957975 -3.712616 3.367140 4.555942 -2.169626 2.669054
9 -7370.4345587061 2.807783 -3.195362 -0.545487 1.820650 1.950456
10 -6632.2604413507 3.454880 -0.754597 0.836990 1.768247 1.977535
11 -6829.8593307186 0.666344 -4.285140 3.732661 -1.736147 3.426687
12 -7271.3889848898 -3.130097 -0.109825 -1.476514 4.922553 2.393437
13 -6626.0310977538 1.148055 -0.659670 4.687863 0.690750 2.172862
14 -4882.0100000000 3.566150 -4.515121 -0.454595 -3.737264 -4.450894
15 -4486.6400000000 -2.882830 -0.813763 3.724849 -2.246361 -3.317781
16 -5562.9020375149 5.000000 1.406484 -4.280344 5.000000 2.729482
17 -6313.3355022272 4.394743 5.000000 5.000000 1.328901 0.543550
18 -8105.3842941186 -5.000000 4.267263 5.000000 -3.391009 0.999210
19 -7292.7485242057 4.404788 -4.454092 -5.000000 3.709579 2.013839
20 -7036.9044914997 -5.000000 4.092103 4.591529 5.000000 1.276937
21 -2197.3600000000 -5.000000 4.663516 -5.000000 -5.000000 0.436333
22 -8160.4879901792 -5.000000 5.000000 2.571161 -2.011759 0.942497
23 -8744.8755266774 -1.035224 -5.000000 -2.142823 -0.855445 2.683513
24 -7208.4990550594 -1.204216 5.000000 3.319757 -5.000000 1.068292
25 -11006.9771661219 -5.000000 -5.000000 -2.767443 -2.536735 2.333245
26 -4345.9978790506 3.346224 4.212293 5.000000 1.536449 4.938216
27 -8997.1190688585 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
28 -10395.8296740756 -5.000000 -4.428688 -4.145585 -5.000000 2.910615
29 -10267.5167200476 -5.000000 -4.776611 -5.000000 0.209827 2.582862
30 -10027.4509237241 -5.000000 -3.867742 -0.550478 -2.778793 2.475179
31 -6374.6702814200 -5.000000 5.000000 -5.000000 -5.000000 4.170766
32 -5650.9552459858 5.000000 -5.000000 -5.000000 3.317230 5.000000
33 -8583.4833932819 -5.000000 -5.000000 -0.524284 -5.000000 5.000000
34 -296.7010000000 -5.000000 -5.000000 -5.000000 -4.396669 1.947257
35 -11008.9723302430 -5.000000 -5.000000 -3.834852 -3.788998 2.541347
36 -8553.0540371618 -3.979237 -5.000000 5.000000 -5.000000 2.837956
37 -8902.4075629007 -3.020935 -3.229633 -5.000000 -5.000000 3.040517
38 -8771.5595812083 -5.000000 -5.000000 -5.000000 5.000000 3.020366
39 -10772.0175881941 -5.000000 -5.000000 -2.839302 -2.478945 2.560342
40 -6787.7054145324 -1.937056 0.169107 0.169524 -3.645946 3.765861
41 -8981.8111152663 -5.000000 -4.560147 -5.000000 -4.025307 4.709118
42 -9013.2067644794 -5.000000 -1.272895 -5.000000 -5.000000 2.914210
43 -8721.8042496535 -4.263618 -0.339229 -4.050989 5.000000 1.082142
44 -10773.7327441803 -4.193154 -5.000000 -4.673263 -5.000000 2.420734
45 -6515.2234292610 -5.000000 0.838970 -4.752840 1.552096 4.871581
46 -10122.5013026755 -5.000000 -5.000000 -0.248759 -5.000000 2.955806
47 -7702.4056220139 -1.352216 -5.000000 -5.000000 -5.000000 4.822473
48 -8968.6211055078 -5.000000 -3.758070 4.364852 5.000000 1.015722
49 -6522.6772261563 -0.651869 -3.557199 -5.000000 4.998237 4.343205
50 -9504.3030466699 -0.648883 -4.669356 0.505450 -0.726107 1.185379
51 -7090.6824001037 4.832904 -5.000000 2.214070 5.000000 1.469771
52 -11086.1686675319 -5.000000 -5.000000 -2.858256 -5.000000 2.422533
53 -7446.0113583155 0.349414 5.000000 5.000000 -1.468723 0.150298
54 -108.5550000000 -5.000000 -5.000000 -0.798342 -5.000000 1.180497
55 -11010.1436557761 -5.000000 -5.000000 -5.000000 -2.286662 2.424521
56 -7789.2043140013 -0.927789 -2.986461 5.000000 5.000000 1.060344
57 -6988.7770679526 -1.463659 -1.347006 -5.000000 5.000000 2.920265
58 -8727.9302936216 1.010599 -4.232978 -0.676037 2.414321 1.112039
59 -6624.6923018620 0.630197 5.000000 5.000000 5.000000 0.519571
60 -8658.2855481294 1.311495 -5.000000 2.177370 -3.207395 1.358280
61 -7847.6749638355 -4.267250 0.426107 -2.443081 -0.612575 2.904158
62 -1675.2960000000 0.691271 -5.000000 -5.000000 -5.000000 1.047650
63 -8585.7556437989 0.018093 -5.000000 4.539596 -0.352271 1.170085
64 -5382.8241004782 0.151735 4.768515 -5.000000 4.551327 3.424346
65 -10095.0823635414 -3.159952 -5.000000 -3.266500 -2.710423 2.415997
66 -7774.5273135595 -2.946787 5.000000 5.000000 -2.860166 0.617445
67 -8984.0585799670 -1.391398 -5.000000 0.241534 4.468815 1.297399
68 -8138.5849643070 -2.726624 0.842287 1.492900 2.814876 1.012113
69 -8492.6732784178 2.305762 -5.000000 -0.090370 0.122747 1.384590
70 -8524.7381647516 -1.554345 -5.000000 0.728979 -5.000000 2.959363
71 -10516.4903051015 -5.000000 -5.000000 5.000000 1.897201 0.422567
