evaluations raw_y x0 x1 x2 x3 x4
1 2.1239616314 -3.153395 4.887429 -0.334079 -0.074557 1.266854
2 0.7693403324 0.349981 0.098564 -0.517440 -1.389241 -1.755683
3 1.9902083874 3.710361 -0.261433 3.438987 1.495650 -1.212869
4 1.7284480770 -1.127523 4.350141 1.867998 0.650640 0.427422
5 2.1112266779 -3.366180 1.431843 -4.011669 -0.373583 0.395650
6 2.7720787719 1.501694 3.067513 -4.799278 -1.414272 -3.743693
7 2.1108704197 3.634274 0.710787 -3.197037 2.505089 1.728138
8 3.1771806864 -3.712616 3.367140 4.555942 -2.169626 2.669054
9 1.8955076507 2.807783 -3.195362 -0.545487 1.820650 1.950456
10 1.6010775595 3.454880 -0.754597 0.836990 1.768247 1.977535
11 2.7708198252 0.666344 -4.285140 3.732661 -1.736147 3.426687
12 2.4546165061 -3.130097 -0.109825 -1.476514 4.922553 2.393437
13 1.8269485675 1.148055 -0.659670 4.687863 0.690750 2.172862
14 3.5411180530 3.566150 -4.515121 -0.454595 -3.737264 -4.450894
15 2.3905726970 -2.882830 -0.813763 3.724849 -2.246361 -3.317781
16 1.1586037234 0.163005 2.216795 0.614596 -1.950125 -1.320469
17 0.4557935602 0.192469 0.334191 0.092481 0.148164 -0.437891
18 1.7040516352 -0.048834 0.268973 0.166656 0.658788 -4.898566
19 0.3881235019 0.305343 0.038731 -0.185600 1.093088 -0.357875
20 0.8666806927 0.348392 0.007116 0.050038 2.754028 -0.676583
21 0.3802349472 0.223270 0.078769 -0.553013 0.125843 0.539968
22 0.4299876353 0.035394 -0.109921 -0.322935 0.198540 0.359951
23 0.2693598169 0.558609 0.405305 -0.540143 0.244637 0.376762
24 0.1282845797 0.736298 1.034773 -0.926033 0.303466 1.037594
25 1.0992460085 0.656535 2.035383 -1.314051 1.038058 2.362107
26 0.4455168843 1.356151 0.650484 -1.462002 -0.819424 0.405390
27 1.0949572526 0.877264 0.112712 -1.002817 -2.245307 2.118886
28 0.6994133043 0.478408 0.094266 -2.366867 0.617574 -0.278662
29 2.5851788277 -3.409313 -5.000000 0.649286 2.824288 -2.707787
30 3.4545195428 5.000000 -2.755677 4.707741 2.653939 3.576859
31 3.9529415868 -5.000000 3.713709 -0.364954 5.000000 -5.000000
32 2.9995151813 5.000000 4.305958 -0.226768 -2.317489 1.571780
33 4.9104249931 -5.000000 -5.000000 5.000000 5.000000 5.000000
34 4.9104249931 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
35 4.3666104014 1.855175 -5.000000 -5.000000 5.000000 -5.000000
36 0.3232035176 -0.901087 -0.277226 0.227713 0.223521 0.523361
37 0.3275321379 -0.942415 -0.217968 0.247403 0.237561 0.502678
38 4.9104249931 5.000000 -5.000000 -5.000000 -5.000000 5.000000
39 0.3113726202 -1.040663 -0.248980 0.217351 0.209667 0.565235
40 0.3784251949 -0.583627 -1.239907 -0.583266 -0.272157 -0.020381
41 4.7426961646 -5.000000 -5.000000 -3.774069 -5.000000 -5.000000
42 4.9104249931 5.000000 5.000000 5.000000 5.000000 5.000000
43 0.3429703149 -1.304020 -0.114037 0.343255 0.291440 0.584856
44 4.3823256606 5.000000 5.000000 -2.683691 5.000000 -5.000000
45 4.3326878406 1.764031 -5.000000 5.000000 5.000000 -5.000000
46 3.1625758555 -5.000000 1.004299 5.000000 3.978974 -1.122942
47 0.5224886862 -1.315654 -0.341890 0.084079 0.194149 1.250001
48 4.2096150666 0.305479 5.000000 -5.000000 -5.000000 5.000000
49 0.3849711002 -0.569640 -1.351924 -1.241328 0.464257 0.295138
50 3.8736238217 -2.264478 -5.000000 -5.000000 2.384240 5.000000
51 4.9104249931 -5.000000 5.000000 5.000000 5.000000 5.000000
52 4.0570766055 5.000000 0.958531 5.000000 -5.000000 5.000000
53 0.4132041511 -0.118999 -0.796379 0.085906 -0.046114 -0.318309
54 4.9104249931 5.000000 5.000000 5.000000 -5.000000 -5.000000
55 4.1898004151 1.337373 5.000000 5.000000 5.000000 -5.000000
56 1.7675346920 -5.000000 -1.524293 0.515647 -0.278075 1.198816
57 3.6846885086 5.000000 -0.117570 -5.000000 -5.000000 -2.217445
58 0.3515485580 -0.205346 -1.192302 -0.892245 -0.143632 -0.200590
59 4.1440147906 -5.000000 5.000000 0.466957 -5.000000 -5.000000
60 1.8261449787 -0.748490 0.165771 -0.063930 -0.048419 5.000000
61 4.1988108904 -0.294433 5.000000 -5.000000 5.000000 5.000000
62 0.3730453575 -0.197545 -1.246377 -0.954159 -0.148555 -0.136483
63 2.5297498840 0.519594 -5.000000 -5.000000 -1.328584 -0.856849
64 0.2995043301 -0.672018 0.011808 -0.084033 0.632284 -0.325637
65 0.3802907245 -0.213183 -0.654502 0.421349 0.198187 -0.079291
66 4.9104249931 -5.000000 -5.000000 5.000000 -5.000000 5.000000
67 4.1521827762 5.000000 -5.000000 5.000000 -5.000000 -0.700336
68 3.0929656945 -0.695477 2.464269 -5.000000 5.000000 -2.212961
69 0.4586310923 -0.640616 -0.477109 -0.310240 -1.395151 0.184895
70 1.6936464793 -1.137096 -0.643829 -0.224687 -5.000000 0.291949
71 0.3100700716 -0.844338 0.047123 -0.407117 0.476811 -0.447422
72 0.3236381031 -0.862362 0.063028 -0.445781 0.435902 -0.463623
73 0.3754932967 -0.198955 -0.888058 0.413044 0.110571 -0.057751
74 4.9104249931 -5.000000 -5.000000 -5.000000 5.000000 -5.000000
75 4.2347850502 5.000000 5.000000 -5.000000 -0.057168 5.000000
76 0.3190381153 -0.830242 0.119106 -0.600281 0.454421 -0.488471
77 0.4067882638 0.310844 -0.764281 0.147614 -0.289512 -0.078580
78 0.3198753921 -0.850627 0.139282 -0.650303 0.442145 -0.483126
79 1.8549480438 -0.024270 1.158408 5.000000 -1.609529 1.145287
80 4.9104249931 -5.000000 -5.000000 5.000000 -5.000000 -5.000000
81 2.0030490065 0.551369 0.010339 1.943625 5.000000 0.355066
82 0.3510923762 -0.524471 -0.606465 -1.130637 0.280750 -0.144862
83 2.1558616931 -1.812447 -5.000000 -0.419487 -1.730480 0.393853
84 0.2720979869 -0.547552 0.653292 -0.013228 0.425337 -0.073013
85 4.9104249931 -5.000000 5.000000 -5.000000 -5.000000 -5.000000
86 0.2380897308 -0.606788 0.643869 -0.060273 0.490378 -0.133227
87 4.9104249931 5.000000 -5.000000 -5.000000 5.000000 5.000000
88 0.3498145248 -0.542255 0.560761 0.175186 0.323873 0.099243
89 0.3794973881 0.451008 -0.068908 0.311700 -0.323523 0.014515
90 4.4262490561 5.000000 5.000000 -3.197715 -5.000000 -5.000000
91 3.4154992101 5.000000 -1.519585 -5.000000 0.582090 -5.000000
92 2.4378465942 -1.213197 -5.000000 5.000000 0.867852 -0.771813
93 4.1326845205 -5.000000 5.000000 -0.807162 -5.000000 5.000000
94 0.3257926962 -0.610066 0.189226 0.512166 0.416369 0.227365
95 3.5711302378 0.689901 5.000000 3.170830 -5.000000 5.000000
96 0.2239416855 -0.868130 -0.197295 -0.847147 0.556706 -0.776154
97 0.2167707544 -0.633922 -0.419858 -0.993135 0.568277 -0.731942
98 0.2007711804 -0.611797 -0.411676 -0.990789 0.640277 -0.679714
99 0.2193931807 -0.792465 0.387816 -0.496681 0.612957 -0.544379
100 0.2650101438 -0.760666 -0.297766 -1.012716 0.413619 -0.792574
101 0.1619992839 -0.659613 0.526851 -0.479399 0.695190 -0.461299
102 0.1995045032 -0.794632 0.436629 -0.529932 0.621658 -0.524933
103 0.1376421906 -0.433081 0.595929 -0.634394 0.723966 -0.487910
104 0.2548104663 -0.477786 0.495583 -0.200586 0.531680 -0.132485
105 0.1965856725 -0.560228 -0.276953 -1.005955 0.744037 -0.595872
106 0.1646577886 -0.657048 0.493250 -0.724161 0.703305 -0.559074
107 4.9104249931 -5.000000 -5.000000 5.000000 5.000000 -5.000000
108 0.2315757134 -0.667938 0.081298 -0.890649 0.767837 -0.651147
109 0.1982226447 -0.568028 -0.251682 -1.061963 0.759385 -0.641793
110 0.1094674701 -0.366298 0.688643 -0.763734 0.798572 -0.526144
111 0.1247596540 -0.302214 0.877781 -0.807708 0.879742 -0.586876
112 0.1193521908 -0.271136 0.767073 -0.824910 0.902416 -0.582726
113 0.3265194110 -1.111912 0.222588 -0.938887 0.239635 -0.882422
114 0.1670565319 -0.061221 0.772335 -0.815679 0.975929 -0.537840
115 0.1499962037 -0.129787 0.862348 -0.825177 0.927324 -0.566004
116 0.1526965765 -0.052215 0.829090 -0.850901 0.932322 -0.576604
117 2.0979792911 0.453792 5.000000 -1.562596 2.367957 -0.853317
118 4.1951572958 -5.000000 5.000000 5.000000 0.346364 -5.000000
119 0.2285751188 -0.299787 -0.337700 -1.117567 0.929550 -0.685623
120 0.3315460294 -1.202524 0.320440 -0.794920 0.286773 -0.835013
121 0.2610805297 -0.264675 -0.351837 -1.061670 1.018377 -0.595991
122 3.1308307029 5.000000 -5.000000 -0.457462 1.955269 -2.295400
123 2.9808064380 -5.000000 0.030640 -1.800727 0.060302 -5.000000
124 3.4986433225 5.000000 1.326907 -1.496107 -5.000000 5.000000
125 0.2474216978 -0.041645 -0.335539 -0.968806 0.937704 -0.743935
126 0.2663396209 -0.167843 -0.345240 -1.002249 1.016182 -0.661262
127 0.2952150954 -0.540785 0.612362 -0.823712 0.073292 -0.074374
128 4.1189137832 5.000000 -5.000000 5.000000 -0.875491 -5.000000
129 4.2520828699 5.000000 5.000000 -1.572060 5.000000 5.000000
130 0.2617839154 0.254878 -0.207327 -0.879805 0.558653 -0.856009
131 0.2786268983 -0.785269 0.363388 0.093473 0.935768 -0.400664
132 0.3140173244 -0.536665 0.116455 0.152963 0.795803 -0.228138
133 0.2537687283 -0.536327 0.622085 -0.810056 -0.111325 -0.297597
134 2.6953211891 -0.219163 5.000000 -1.295899 -5.000000 -0.111699
135 0.5425355535 1.265221 1.712883 -1.107717 0.748830 -0.512036
136 3.4820294493 0.089988 -0.737467 -5.000000 -5.000000 -5.000000
137 0.2941633985 -0.283071 -0.461748 -1.143888 1.080531 -0.623185
138 0.1540962046 -0.883099 0.565856 -0.173089 0.848580 -0.350005
139 0.3933528677 0.111684 -0.122563 -1.112460 0.201075 -0.844727
140 0.2275254540 -0.916586 0.467814 0.031471 0.940386 -0.451307
141 3.4810979491 -1.561661 -5.000000 -5.000000 5.000000 0.481314
142 0.2426837101 -0.897835 0.480833 -0.006450 0.993233 -0.350818
