evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.9568569620 1.491203 -1.241817 -3.309471 -1.948065 -0.400270 4.671610 4.760563 -0.667962 1.025673 1.552954 4.238472 3.460392 -4.990017 4.817133 0.882054
2 1.6751805507 5.000000 -4.525618 -5.000000 5.000000 5.000000 1.385176 5.000000 5.000000 1.119764 0.513033 3.403287 5.000000 -3.521336 5.000000 5.000000
3 1.6733626754 5.000000 -4.834928 -5.000000 2.027719 5.000000 5.000000 5.000000 5.000000 2.084351 2.778484 -5.000000 -4.367260 5.000000 -5.000000 -5.000000
4 1.9625163927 -2.922282 5.000000 -5.000000 -5.000000 -3.345788 -3.479828 4.507939 -0.002957 1.922632 5.000000 5.000000 -5.000000 -5.000000 -5.000000 -1.234475
5 1.6539265949 -5.000000 -5.000000 -5.000000 -5.000000 -5.000000 -0.531438 5.000000 0.765733 4.480974 -5.000000 5.000000 -5.000000 -5.000000 -4.568286 5.000000
6 2.0801414787 5.000000 5.000000 1.559142 0.092790 5.000000 5.000000 -1.104048 -5.000000 5.000000 0.714721 2.159956 -5.000000 -2.984783 5.000000 3.480413
7 2.8281647857 -0.887862 -5.000000 -5.000000 -4.023551 0.030865 5.000000 5.000000 1.440392 5.000000 -5.000000 5.000000 0.883244 -5.000000 5.000000 3.641872
8 1.7676731125 -3.370492 -5.000000 -2.263482 -5.000000 -5.000000 -1.300227 5.000000 -5.000000 5.000000 3.051178 5.000000 5.000000 -4.479444 -1.814580 -4.718809
9 1.9967003498 -5.000000 -5.000000 -5.000000 -5.000000 -3.021933 -3.757821 -5.000000 -1.683189 2.612365 -5.000000 5.000000 3.561752 -5.000000 -5.000000 -4.198072
10 2.5656327841 -1.004634 0.781190 5.000000 -5.000000 -3.546037 -5.000000 -1.620289 0.516980 3.494485 -5.000000 -5.000000 -5.000000 2.843701 5.000000 0.226922
11 1.6848466284 5.000000 -5.000000 -5.000000 5.000000 -5.000000 4.971893 5.000000 -5.000000 5.000000 0.362620 5.000000 0.219165 -5.000000 3.831999 -4.640826
12 1.9650376596 -5.000000 5.000000 -5.000000 -5.000000 -5.000000 5.000000 5.000000 -5.000000 5.000000 -3.399168 -2.067603 0.978957 -0.787230 4.480337 5.000000
