evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.5460723264 0.248928 -0.248928 0.248928 0.248928 0.248928 -0.248928 0.248928 0.248928 0.248928 -0.248928 0.248928 0.248928 0.248928 -0.248928 0.248928
2 1.3561152709 -0.601231 0.601231 -0.601231 -0.601231 -0.601231 0.601231 -0.601231 -0.601231 -0.601231 0.601231 -0.601231 -0.601231 -0.601231 0.601231 -0.601231
3 4.1390355300 -4.877833 4.877833 -4.877833 -4.877833 -4.877833 4.877833 -4.877833 -4.877833 -4.877833 4.877833 -4.877833 -4.877833 -4.877833 4.877833 -4.877833
4 -1.9019526947 4.605106 -4.605106 4.605106 4.605106 4.605106 -4.605106 4.605106 4.605106 4.605106 -4.605106 4.605106 4.605106 4.605106 -4.605106 4.605106
5 7.1703812561 2.540968 -2.540968 2.540968 2.540968 2.540968 -2.540968 2.540968 2.540968 2.540968 -2.540968 2.540968 2.540968 2.540968 -2.540968 2.540968
6 -3.2011738346 -2.820915 2.820915 -2.820915 -2.820915 -2.820915 2.820915 -2.820915 -2.820915 -2.820915 2.820915 -2.820915 -2.820915 -2.820915 2.820915 -2.820915
7 2.2500098514 -2.326088 2.326088 -2.326088 -2.326088 -2.326088 2.326088 -2.326088 -2.326088 -2.326088 2.326088 -2.326088 -2.326088 -2.326088 2.326088 -2.326088
8 -0.5832440827 1.981064 -1.981064 1.981064 1.981064 1.981064 -1.981064 1.981064 1.981064 1.981064 -1.981064 1.981064 1.981064 1.981064 -1.981064 1.981064
9 0.8043773183 1.701131 -1.701131 1.701131 1.701131 1.701131 -1.701131 1.701131 1.701131 1.701131 -1.701131 1.701131 1.701131 1.701131 -1.701131 1.701131
10 0.8463768394 -1.356181 1.356181 -1.356181 -1.356181 -1.356181 1.356181 -1.356181 -1.356181 -1.356181 1.356181 -1.356181 -1.356181 -1.356181 1.356181 -1.356181
11 0.5683076104 -3.166006 3.166006 -3.166006 -3.166006 -3.166006 3.166006 -3.166006 -3.166006 -3.166006 3.166006 -3.166006 -3.166006 -3.166006 3.166006 -3.166006
12 0.9205223664 3.446027 -3.446027 3.446027 3.446027 3.446027 -3.446027 3.446027 3.446027 3.446027 -3.446027 3.446027 3.446027 3.446027 -3.446027 3.446027
13 0.8671019136 4.252870 -4.252870 4.252870 4.252870 4.252870 -4.252870 4.252870 4.252870 4.252870 -4.252870 4.252870 4.252870 4.252870 -4.252870 4.252870
14 0.6763672639 -3.980218 3.980218 -3.980218 -3.980218 -3.980218 3.980218 -3.980218 -3.980218 -3.980218 3.980218 -3.980218 -3.980218 -3.980218 3.980218 -3.980218
15 0.6713971199 -0.873970 0.873970 -0.873970 -0.873970 -0.873970 0.873970 -0.873970 -0.873970 -0.873970 0.873970 -0.873970 -0.873970 -0.873970 0.873970 -0.873970
16 3.1257896625 1.226348 -1.226348 1.226348 1.226348 1.226348 -1.226348 1.226348 1.226348 1.226348 -1.226348 1.226348 1.226348 1.226348 -1.226348 1.226348
17 2.6107385842 0.714216 -0.714216 0.714216 0.714216 0.714216 -0.714216 0.714216 0.714216 0.714216 -0.714216 0.714216 0.714216 0.714216 -0.714216 0.714216
18 0.1602572796 -1.072382 1.072382 -1.072382 -1.072382 -1.072382 1.072382 -1.072382 -1.072382 -1.072382 1.072382 -1.072382 -1.072382 -1.072382 1.072382 -1.072382
19 1.7396818967 -4.093106 4.093106 -4.093106 -4.093106 -4.093106 4.093106 -4.093106 -4.093106 -4.093106 4.093106 -4.093106 -4.093106 -4.093106 4.093106 -4.093106
20 0.8774699447 3.826261 -3.826261 3.826261 3.826261 3.826261 -3.826261 3.826261 3.826261 3.826261 -3.826261 3.826261 3.826261 3.826261 -3.826261 3.826261
21 2.0163420100 3.324540 -3.324540 3.324540 3.324540 3.324540 -3.324540 3.324540 3.324540 3.324540 -3.324540 3.324540 3.324540 3.324540 -3.324540 3.324540
22 -0.9767856621 -3.598772 3.598772 -3.598772 -3.598772 -3.598772 3.598772 -3.598772 -3.598772 -3.598772 3.598772 -3.598772 -3.598772 -3.598772 3.598772 -3.598772
23 2.8739557047 -1.859674 1.859674 -1.859674 -1.859674 -1.859674 1.859674 -1.859674 -1.859674 -1.859674 1.859674 -1.859674 -1.859674 -1.859674 1.859674 -1.859674
24 0.4432003271 1.508917 -1.508917 1.508917 1.508917 1.508917 -1.508917 1.508917 1.508917 1.508917 -1.508917 1.508917 1.508917 1.508917 -1.508917 1.508917
25 6.2915804034 2.484632 -2.484632 2.484632 2.484632 2.484632 -2.484632 2.484632 2.484632 2.484632 -2.484632 2.484632 2.484632 2.484632 -2.484632 2.484632
26 -0.9278640568 -2.133800 2.133800 -2.133800 -2.133800 -2.133800 2.133800 -2.133800 -2.133800 -2.133800 2.133800 -2.133800 -2.133800 -2.133800 2.133800 -2.133800
27 -0.6841787840 -2.699502 2.699502 -2.699502 -2.699502 -2.699502 2.699502 -2.699502 -2.699502 -2.699502 2.699502 -2.699502 -2.699502 -2.699502 2.699502 -2.699502
28 -0.0591084074 2.973660 -2.973660 2.973660 2.973660 2.973660 -2.973660 2.973660 2.973660 2.973660 -2.973660 2.973660 2.973660 2.973660 -2.973660 2.973660
29 0.0068496968 4.718068 -4.718068 4.718068 4.718068 4.718068 -4.718068 4.718068 4.718068 4.718068 -4.718068 4.718068 4.718068 4.718068 -4.718068 4.718068
30 0.2837244945 -4.451150 4.451150 -4.451150 -4.451150 -4.451150 4.451150 -4.451150 -4.451150 -4.451150 4.451150 -4.451150 -4.451150 -4.451150 4.451150 -4.451150
31 3.8598171466 -0.089173 0.089173 -0.089173 -0.089173 -0.089173 0.089173 -0.089173 -0.089173 -0.089173 0.089173 -0.089173 -0.089173 -0.089173 0.089173 -0.089173
32 0.9668313252 0.447266 -0.447266 0.447266 0.447266 0.447266 -0.447266 0.447266 0.447266 0.447266 -0.447266 0.447266 0.447266 0.447266 -0.447266 0.447266
33 1.4516651274 0.551002 -0.551002 0.551002 0.551002 0.551002 -0.551002 0.551002 0.551002 0.551002 -0.551002 0.551002 0.551002 0.551002 -0.551002 0.551002
34 -2.1790555388 -0.278369 0.278369 -0.278369 -0.278369 -0.278369 0.278369 -0.278369 -0.278369 -0.278369 0.278369 -0.278369 -0.278369 -0.278369 0.278369 -0.278369
35 -0.7949362317 -4.554934 4.554934 -4.554934 -4.554934 -4.554934 4.554934 -4.554934 -4.554934 -4.554934 4.554934 -4.554934 -4.554934 -4.554934 4.554934 -4.554934
36 4.4385917935 4.907292 -4.907292 4.907292 4.907292 4.907292 -4.907292 4.907292 4.907292 4.907292 -4.907292 4.907292 4.907292 4.907292 -4.907292 4.907292
37 0.3235910479 2.862563 -2.862563 2.862563 2.862563 2.862563 -2.862563 2.862563 2.862563 2.862563 -2.862563 2.862563 2.862563 2.862563 -2.862563 2.862563
38 4.2958649603 -2.517594 2.517594 -2.517594 -2.517594 -2.517594 2.517594 -2.517594 -2.517594 -2.517594 2.517594 -2.517594 -2.517594 -2.517594 2.517594 -2.517594
39 0.2167158123 -2.022731 2.022731 -2.022731 -2.022731 -2.022731 2.022731 -2.022731 -2.022731 -2.022731 2.022731 -2.022731 -2.022731 -2.022731 2.022731 -2.022731
40 1.7925471197 2.302772 -2.302772 2.302772 2.302772 2.302772 -2.302772 2.302772 2.302772 2.302772 -2.302772 2.302772 2.302772 2.302772 -2.302772 2.302772
41 1.6380119683 1.397846 -1.397846 1.397846 1.397846 1.397846 -1.397846 1.397846 1.397846 1.397846 -1.397846 1.397846 1.397846 1.397846 -1.397846 1.397846
42 1.6360756346 -1.677812 1.677812 -1.677812 -1.677812 -1.677812 1.677812 -1.677812 -1.677812 -1.677812 1.677812 -1.677812 -1.677812 -1.677812 1.677812 -1.677812
43 -0.9869299203 -3.487673 3.487673 -3.487673 -3.487673 -3.487673 3.487673 -3.487673 -3.487673 -3.487673 3.487673 -3.487673 -3.487673 -3.487673 3.487673 -3.487673
44 2.4606397281 3.142630 -3.142630 3.142630 3.142630 3.142630 -3.142630 3.142630 3.142630 3.142630 -3.142630 3.142630 3.142630 3.142630 -3.142630 3.142630
45 0.6232963740 3.930044 -3.930044 3.930044 3.930044 3.930044 -3.930044 3.930044 3.930044 3.930044 -3.930044 3.930044 3.930044 3.930044 -3.930044 3.930044
46 -3.2283119697 -2.836292 2.836292 -2.836292 -2.836292 -2.836292 2.836292 -2.836292 -2.836292 -2.836292 2.836292 -2.836292 -2.836292 -2.836292 2.836292 -2.836292
47 -3.2280288693 -2.834115 2.834115 -2.834115 -2.834115 -2.834115 2.834115 -2.834115 -2.834115 -2.834115 2.834115 -2.834115 -2.834115 -2.834115 2.834115 -2.834115
48 -3.2279161640 -2.834207 2.834207 -2.834207 -2.834207 -2.834207 2.834207 -2.834207 -2.834207 -2.834207 2.834207 -2.834207 -2.834207 -2.834207 2.834207 -2.834207
49 -3.2273764666 -2.836713 2.836713 -2.836713 -2.836713 -2.836713 2.836713 -2.836713 -2.836713 -2.836713 2.836713 -2.836713 -2.836713 -2.836713 2.836713 -2.836713
50 -3.2281135142 -2.834948 2.834948 -2.834948 -2.834948 -2.834948 2.834948 -2.834948 -2.834948 -2.834948 2.834948 -2.834948 -2.834948 -2.834948 2.834948 -2.834948
51 -3.2280608226 -2.834198 2.834198 -2.834198 -2.834198 -2.834198 2.834198 -2.834198 -2.834198 -2.834198 2.834198 -2.834198 -2.834198 -2.834198 2.834198 -2.834198
52 -3.2277032990 -2.834308 2.834308 -2.834308 -2.834308 -2.834308 2.834308 -2.834308 -2.834308 -2.834308 2.834308 -2.834308 -2.834308 -2.834308 2.834308 -2.834308
53 -0.3381218200 -2.901676 3.945178 -1.858209 -1.858209 -1.858209 3.945178 -3.945178 -2.901676 -3.945178 1.858209 -2.901676 -2.901676 -2.901676 3.945178 -1.858209
54 -0.9830060515 4.557806 2.836283 4.522247 4.522247 4.522247 2.836283 -2.836283 4.557806 -2.836283 -4.522247 4.557806 4.557806 4.557806 2.836283 4.522247
55 1.0140144649 -4.841573 2.838537 -3.932919 -3.932919 -3.932919 2.838537 -2.838537 -4.841573 -2.838537 3.932919 -4.841573 -4.841573 -4.841573 2.838537 -3.932919
56 2.4631701269 -4.533678 2.434874 -3.741640 -3.741640 -3.741640 2.434874 -2.434874 -4.533678 -2.434874 3.741640 -4.533678 -4.533678 -4.533678 2.434874 -3.741640
57 0.9812058990 -1.996479 2.873832 -1.937887 -1.937887 -1.937887 2.873832 -2.873832 -1.996479 -2.873832 1.937887 -1.996479 -1.996479 -1.996479 2.873832 -1.937887
58 0.4677436445 -2.837919 4.226797 -2.552162 -2.552162 -2.552162 4.226797 -4.226797 -2.837919 -4.226797 2.552162 -2.837919 -2.837919 -2.837919 4.226797 -2.552162
59 0.1434925420 -2.948647 2.820247 -4.870059 -4.870059 -4.870059 2.820247 -2.820247 -2.948647 -2.820247 4.870059 -2.948647 -2.948647 -2.948647 2.820247 -4.870059
60 -1.7258201529 1.930992 2.864454 -2.752546 -2.752546 -2.752546 2.864454 -2.864454 1.930992 -2.864454 2.752546 1.930992 1.930992 1.930992 2.864454 -2.752546
61 1.3962721128 -2.769003 2.657153 0.069592 0.069592 0.069592 2.657153 -2.657153 -2.769003 -2.657153 -0.069592 -2.769003 -2.769003 -2.769003 2.657153 0.069592
62 -0.3348197812 -3.354181 3.239365 -2.814923 -2.814923 -2.814923 3.239365 -3.239365 -3.354181 -3.239365 2.814923 -3.354181 -3.354181 -3.354181 3.239365 -2.814923
63 0.4697296346 -4.781136 2.924887 -2.632814 -2.632814 -2.632814 2.924887 -2.924887 -4.781136 -2.924887 2.632814 -4.781136 -4.781136 -4.781136 2.924887 -2.632814
64 1.5120004025 -3.072860 2.846187 -2.524273 -2.524273 -2.524273 2.846187 -2.846187 -3.072860 -2.846187 2.524273 -3.072860 -3.072860 -3.072860 2.846187 -2.524273
