evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 5.6268111135 0.248928 0.248928 0.248928 -0.248928 0.248928 -0.248928 0.248928 -0.248928 -0.248928 0.248928 -0.248928 0.248928 0.248928 -0.248928 -0.248928
2 1.8989198550 -0.601231 -0.601231 -0.601231 0.601231 -0.601231 0.601231 -0.601231 0.601231 0.601231 -0.601231 0.601231 -0.601231 -0.601231 0.601231 0.601231
3 441.3093890416 -4.877833 -4.877833 -4.877833 4.877833 -4.877833 4.877833 -4.877833 4.877833 4.877833 -4.877833 4.877833 -4.877833 -4.877833 4.877833 4.877833
4 704.0787295772 4.605106 4.605106 4.605106 -4.605106 4.605106 -4.605106 4.605106 -4.605106 -4.605106 4.605106 -4.605106 4.605106 4.605106 -4.605106 -4.605106
5 91.2612228148 2.540968 2.540968 2.540968 -2.540968 2.540968 -2.540968 2.540968 -2.540968 -2.540968 2.540968 -2.540968 2.540968 2.540968 -2.540968 -2.540968
6 220.2084580929 -2.820915 -2.820915 -2.820915 2.820915 -2.820915 2.820915 -2.820915 2.820915 2.820915 -2.820915 2.820915 -2.820915 -2.820915 2.820915 2.820915
7 60.4097574835 -2.326088 -2.326088 -2.326088 2.326088 -2.326088 2.326088 -2.326088 2.326088 2.326088 -2.326088 2.326088 -2.326088 -2.326088 2.326088 2.326088
8 125.8660183770 1.981064 1.981064 1.981064 -1.981064 1.981064 -1.981064 1.981064 -1.981064 -1.981064 1.981064 -1.981064 1.981064 1.981064 -1.981064 -1.981064
9 35.6819669983 1.701131 1.701131 1.701131 -1.701131 1.701131 -1.701131 1.701131 -1.701131 -1.701131 1.701131 -1.701131 1.701131 1.701131 -1.701131 -1.701131
10 54.0988605198 -1.356181 -1.356181 -1.356181 1.356181 -1.356181 1.356181 -1.356181 1.356181 1.356181 -1.356181 1.356181 -1.356181 -1.356181 1.356181 1.356181
11 135.6725118991 -3.166006 -3.166006 -3.166006 3.166006 -3.166006 3.166006 -3.166006 3.166006 3.166006 -3.166006 3.166006 -3.166006 -3.166006 3.166006 3.166006
12 347.0624826340 3.446027 3.446027 3.446027 -3.446027 3.446027 -3.446027 3.446027 -3.446027 -3.446027 3.446027 -3.446027 3.446027 3.446027 -3.446027 -3.446027
13 254.4849702564 4.252870 4.252870 4.252870 -4.252870 4.252870 -4.252870 4.252870 -4.252870 -4.252870 4.252870 -4.252870 4.252870 4.252870 -4.252870 -4.252870
14 517.4355209011 -3.980218 -3.980218 -3.980218 3.980218 -3.980218 3.980218 -3.980218 3.980218 3.980218 -3.980218 3.980218 -3.980218 -3.980218 3.980218 3.980218
15 44.4506731735 -0.873970 -0.873970 -0.873970 0.873970 -0.873970 0.873970 -0.873970 0.873970 0.873970 -0.873970 0.873970 -0.873970 -0.873970 0.873970 0.873970
16 37.7841897034 1.226348 1.226348 1.226348 -1.226348 1.226348 -1.226348 1.226348 -1.226348 -1.226348 1.226348 -1.226348 1.226348 1.226348 -1.226348 -1.226348
17 10.7175921938 0.714216 0.714216 0.714216 -0.714216 0.714216 -0.714216 0.714216 -0.714216 -0.714216 0.714216 -0.714216 0.714216 0.714216 -0.714216 -0.714216
18 20.6966852083 -1.072382 -1.072382 -1.072382 1.072382 -1.072382 1.072382 -1.072382 1.072382 1.072382 -1.072382 1.072382 -1.072382 -1.072382 1.072382 1.072382
19 268.5748455349 -4.093106 -4.093106 -4.093106 4.093106 -4.093106 4.093106 -4.093106 4.093106 4.093106 -4.093106 4.093106 -4.093106 -4.093106 4.093106 4.093106
20 477.3177652373 3.826261 3.826261 3.826261 -3.826261 3.826261 -3.826261 3.826261 -3.826261 -3.826261 3.826261 -3.826261 3.826261 3.826261 -3.826261 -3.826261
21 139.1051724937 3.324540 3.324540 3.324540 -3.324540 3.324540 -3.324540 3.324540 -3.324540 -3.324540 3.324540 -3.324540 3.324540 3.324540 -3.324540 -3.324540
