evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 88.1037816298 -0.447770 -2.546890 -1.810166 -1.378752 4.032287 1.460320 -2.408758 2.747628 0.258408 -4.435376 0.392129 -2.699362 -2.787660 0.021162 3.927768
2 233.1808855581 4.237777 2.596384 -4.002726 -2.063815 -3.419589 -2.483394 4.878589 -2.946185 -0.313089 4.302170 -4.559569 -1.591994 -0.889535 -4.050100 1.737479
3 134.4838281576 -3.065022 -0.667639 -0.811800 -3.430108 -2.814769 3.815942 3.298381 -1.945082 1.204619 -3.830169 -1.302682 -0.380366 -2.480628 -3.469332 -0.857414
4 150.9560592421 2.511410 -1.993833 0.348124 2.651989 2.480430 -3.939609 -4.620925 -1.226837 2.547359 -1.955692 -0.510829 0.115008 1.325699 2.984784 -0.674918
5 209.8362104868 -2.571947 -4.178550 -1.336061 -0.485565 3.317187 4.292374 -2.068862 -3.764593 4.231677 4.801303 3.661244 -0.933404 0.093779 -3.093972 -4.488525
6 226.4009222466 0.006364 0.329638 -4.832564 2.137030 -1.721475 0.491503 -2.822479 -4.129665 3.916970 -4.266516 0.035808 -3.119229 0.694336 4.886626 3.533970
7 183.6118977160 -1.754575 -4.732590 -2.788029 1.326432 -3.093002 3.247162 -0.530137 3.452165 4.812067 2.548045 2.460420 -3.637374 2.377279 2.518705 -4.157553
8 205.5252636317 4.103700 -1.181797 -3.353869 -3.643190 -4.504428 0.611463 1.105234 1.306703 -3.210004 2.755423 -2.876939 4.689994 1.784337 3.669196 1.350300
9 136.6849984837 -2.783899 -1.346156 1.823630 -1.582780 -1.153357 -1.727022 4.551305 -0.639140 2.634866 -0.766010 4.811131 3.395263 0.798655 3.549923 1.935698
10 251.7642487347 1.085545 3.999042 2.568950 0.649359 3.731936 4.771278 4.236249 -3.335538 -4.754534 -0.094932 -4.167968 4.529128 -4.510577 -0.406856 -0.228513
11 163.0321492379 -2.047076 -2.650850 3.404275 1.665898 1.290040 2.715876 0.197637 4.365434 3.030574 -1.416241 -3.006162 1.962937 -1.273607 -4.894491 -0.393639
12 174.9488669013 3.055017 1.005165 -1.063816 3.844893 -4.993977 -0.100750 -0.575475 4.067186 -2.843136 -2.658414 -0.995072 -4.123908 0.251333 -4.597400 1.633383
13 175.9873428133 -0.606168 3.608431 -1.945624 1.001655 -2.166682 3.529194 4.050991 2.021760 0.056109 4.435608 -2.384234 1.369155 3.349842 -3.225781 4.509067
14 169.1285605323 1.934515 3.353777 -4.575455 -1.053340 0.388099 -3.696488 2.202651 -1.100075 -4.207521 3.781698 -4.522989 -3.379382 3.845806 0.525780 0.790467
15 231.3193215680 -2.201492 4.352790 2.195742 -2.772085 -2.752533 -4.363238 -0.208303 1.096966 1.488679 3.898275 4.771878 -0.078439 -4.005468 4.266322 -3.870692
16 191.0244211688 3.613711 3.106329 -4.237596 -4.453250 4.434847 -3.541864 2.457679 1.472422 -2.039370 -1.749681 0.832077 -3.691253 -2.100540 1.442006 0.740723
17 251.6313223667 0.966916 0.737097 3.064367 2.366187 -4.595377 2.004391 -3.310233 0.165960 -4.412363 -2.818390 -4.036733 -2.861782 2.901149 -4.298241 -4.617894
18 103.8014431654 1.419824 -3.280337 0.178686 2.939946 1.630102 -0.844966 -4.142878 -0.820709 -0.850833 -2.407382 2.056692 2.487053 0.435907 0.145323 -1.738880
19 113.2878298353 1.630371 0.029767 0.075313 2.089218 4.584550 2.236414 -3.194222 -4.070272 -1.266484 -4.013999 1.245496 4.318996 1.055976 -2.431067 -2.070229
20 130.7427878311 -3.231418 2.993262 3.619207 0.504214 -0.265360 -3.228250 -0.853992 0.860021 -3.809077 -4.903060 -0.756609 1.881432 -1.218122 -2.027637 2.426601
21 143.8509635632 0.199808 0.931703 -0.509812 3.936583 -3.532987 -4.670714 -1.260005 2.211734 0.955616 -1.663169 2.701162 -3.949360 -1.816153 -2.998154 -3.427081
22 150.7011061438 -0.324768 -2.782096 -0.686955 -2.390036 1.943259 -1.982739 -4.095999 3.804455 -3.520220 1.355937 3.034426 -4.853489 -2.239845 -1.597113 3.279335
23 244.4314468121 0.423929 1.449851 1.048663 4.772193 0.596117 4.909049 2.599906 -4.607385 3.780511 3.569960 2.320469 3.120197 1.472381 -0.949235 -2.164459
24 194.9995730900 -4.941698 0.420030 2.886264 -3.929947 0.125202 -1.530533 -1.773052 -3.617212 -3.928044 -2.234609 -2.104957 -1.108191 1.979297 -3.772841 -2.632190
25 231.6902850720 -2.486464 -4.555445 -0.113933 1.839044 -1.462614 -4.929083 -2.773771 4.904300 -4.841750 -0.185816 4.220302 3.499734 4.302768 1.194640 -1.381508
26 172.9191509860 -4.349991 -3.820442 1.280280 -0.973676 -0.577526 -4.279695 1.390047 -4.381719 0.490340 0.268436 -1.171379 0.633796 -4.266522 3.396851 -1.191062
27 163.3835080327 2.112563 -4.872707 -4.555296 0.861433 2.233143 -0.211792 0.383228 -1.567444 2.935809 -1.108839 3.927153 1.179394 3.175733 -0.708285 -3.186949
28 183.6105357901 -0.831196 -3.086166 4.882457 -2.201769 3.118998 0.140030 -1.599149 0.488631 1.752701 -0.912315 -4.973295 2.730991 -4.937050 -0.216363 0.128159
29 264.9316000586 -3.833986 1.422104 -3.661831 4.114144 1.155889 1.218197 -3.806922 2.841319 3.530228 -3.500885 3.716504 -2.434882 4.979039 -4.465315 -0.093924
30 139.4116686806 2.743235 -0.347646 0.950193 0.165739 -1.898761 -3.053667 3.090583 1.682676 0.629590 -0.449756 0.752472 -1.884330 4.090180 3.037182 1.033703
31 180.8972981208 3.305152 -1.662529 2.424091 3.568833 -4.112924 1.707612 -2.136682 2.526005 -2.733753 3.359325 2.804197 -4.718724 -3.832300 1.977739 4.722812
32 210.7067202791 -1.175413 -0.139999 -2.577352 -4.816551 -0.515549 -1.290592 0.753988 4.677757 3.338750 4.676980 -2.641166 -0.184042 -0.468762 -1.284695 -4.842792
33 147.2795903717 -4.247084 -3.960161 2.060615 -4.707873 1.843905 2.507034 1.705961 0.600531 1.379499 1.453605 1.156839 2.141717 -2.676514 1.743433 2.986952
34 148.0792807066 1.715427 -2.270953 3.807733 -2.904824 -0.822684 2.963306 2.950435 -3.009539 1.903362 2.023187 4.496407 3.775236 -3.326194 -2.679291 4.288043
35 205.5330568107 -4.611675 4.603614 0.570527 4.956471 2.615135 4.553641 0.917050 -2.726195 -1.794728 0.514188 1.648508 0.785527 -0.290509 0.610204 4.953769
36 223.0333010806 4.607210 -3.472652 4.097013 3.424181 4.932077 -2.245587 3.538150 -4.879482 -1.006815 1.113943 -3.374206 -0.590840 2.304937 -2.149504 0.473818
37 203.0246430948 2.944767 4.944168 -3.865779 -3.053320 4.125038 -0.655132 -3.580123 -2.350072 -0.771361 2.807072 -3.626426 -2.231725 2.703639 1.494391 -4.100449
