evaluations raw_y x0 x1 x2 x3 x4
1 -550.6520000000 2.324541 0.069887 -1.074230 3.731047 -0.460557
2 -10838.5750404603 -16.399723 -7.971756 -5.772958 -1.264106 2.427655
3 -6378.5210145318 -13.454140 -0.398945 -21.250058 4.080725 11.042978
4 -4568.7100000000 -18.986035 -12.572496 -4.842906 1.652252 -3.175384
5 -5461.4100000000 7.976500 -4.696333 -7.590402 -12.182779 -8.239844
6 -6.4750000000 -18.908371 -9.085136 -6.000636 7.799127 0.136472
7 -8528.3988743532 -16.264820 -33.781272 -3.851141 7.280739 3.304584
8 -6702.5124979587 -29.333591 -22.854129 3.337422 4.434703 6.398257
9 -6533.7011559675 -13.327627 6.125173 4.887552 -3.883984 2.985010
10 -11913.9618151317 -15.624019 -5.987728 -3.727966 -3.638906 1.721641
11 -8997.1190688585 -10.859594 -5.519678 -23.881870 -11.146843 14.772868
12 -5457.9900000000 -6.726879 -16.958066 -7.093364 -12.845565 -6.804597
13 -5246.8900000000 -10.749242 -16.856477 -8.481856 1.439105 -4.866960
14 -5283.1900000000 -18.894261 -13.917750 -24.183884 -1.833429 -4.662082
15 -8360.0867300977 -13.597472 -4.314076 -16.552230 -0.854420 17.228737
16 -4832.1600000000 -10.470171 -10.529511 15.909514 -16.870529 -6.258154
17 -10257.7373592058 -11.917665 -6.270932 -1.815389 3.156733 1.721164
18 -5505.6500000000 -24.876032 0.741866 -7.782321 -5.639231 -16.400388
19 -6370.6960565940 -16.640734 -18.456475 4.893299 16.764339 4.969031
20 -9921.6105472789 -22.936968 -8.691320 19.237498 4.445018 0.406535
21 -5804.1521221883 -4.158555 9.040608 -13.705939 -17.044752 13.319578
22 -5220.0000000000 -10.824280 -5.905864 -3.772733 -2.365324 -4.465902
23 -5291.6400000000 -9.673081 -1.951657 -4.996723 2.321573 -5.102240
24 -3779.9860000000 -21.141710 4.039545 -12.789365 -9.614501 -1.321209
25 -1226.5860000000 -21.459146 -10.539637 1.678095 -4.339155 0.249381
26 -4255.8000000000 -12.927058 -10.180161 -6.531624 -13.437243 -1.616591
27 -8997.1190688585 -18.138989 -11.268293 -13.054912 -12.794965 6.339628
28 -8999.5322616162 -10.218258 -0.033141 -12.267426 -7.830043 2.379788
29 -8730.2553340115 -25.787346 -9.220798 -1.464804 -8.098942 5.799311
30 -2905.4820000000 -10.715185 5.878955 1.761099 -11.808891 -1.722172
31 -7126.6182725537 -14.978870 6.064921 -17.646137 2.376881 2.052078
32 -10084.8257365030 -21.124906 -3.297102 -7.207183 -2.072399 2.467720
33 -8936.0389936878 -13.726963 -5.533886 -4.009808 -3.679917 5.668255
34 -5471.5000000000 -6.821780 -4.409083 -6.199649 -3.195773 -6.613539
35 -3598.8460000000 -11.745106 -3.690741 -1.009911 -6.529323 -1.831928
36 -5328.7000000000 -8.890743 -11.603788 -0.541530 -3.840614 -5.847682
37 -1499.7830000000 -19.011485 -3.394411 -4.349512 -0.047863 0.019557
38 -11333.5617692120 -16.535928 -5.425629 -4.015884 -9.131205 2.285933
39 -604.8190000000 -16.886043 -1.145543 -5.598796 0.326936 0.785397
40 -9381.0629881888 -9.197254 -7.360442 0.181724 -2.585786 3.559256
41 -2097.5620000000 -12.612941 -4.665137 -9.033726 -0.440440 -0.235366
42 -8727.1156998624 -15.187492 -3.501642 1.309409 1.963574 2.562092
