evaluations raw_y x0 x1 x2 x3 x4
1 -1.9421325825 4.454191 -2.642669 -3.185994 -1.808931 2.983680
2 9.7798141408 -4.773157 0.288213 3.173813 1.324325 2.327705
3 22.2398538240 -3.872435 2.242574 -2.476557 -2.430331 4.801535
4 16.3807021808 -2.399619 2.089732 2.360930 -4.291034 -2.629768
5 -18.3699346536 3.899485 4.973569 -1.358424 -3.386967 1.561496
6 6.9460452272 2.662145 -3.669807 -4.886053 -3.319768 3.057797
7 -2.4523604225 -2.733972 -4.301560 -2.429261 -2.553790 -2.441519
8 22.3725180561 -4.841784 3.771772 -3.592855 1.579627 -4.983396
9 2.2726950862 -1.420538 0.053860 0.173931 -2.250350 -3.318163
10 2.6552148421 -2.199788 -3.538642 -1.609896 0.235378 0.152301
11 14.6891509708 -3.914008 1.555969 -0.469719 -4.484544 -2.593757
12 13.7444473897 -1.929021 2.925878 -3.401041 -4.155259 -4.751994
13 10.7893868927 -3.127182 0.847590 -3.830408 -3.185533 -3.479752
14 -3.0489270693 -1.148592 -2.650238 -4.779136 -0.183149 3.513502
15 19.3626322944 -4.921207 -4.238411 3.108039 -3.759162 -0.242674
16 -5.7686202063 4.352644 3.259864 -1.214475 -2.280870 1.596559
17 -9.6380000930 4.793804 5.000000 -0.984161 -3.912556 1.782940
18 -18.3182826255 2.985569 5.000000 -1.786090 -3.962471 1.356739
19 -12.5763030761 3.244455 5.000000 -1.193155 -0.903198 1.467687
20 -5.1257505900 3.476945 5.000000 -5.000000 -4.863685 5.000000
21 -5.0034362910 3.282722 5.000000 0.167849 -4.273779 -0.974456
22 -6.2022348888 -0.956651 -3.854621 -5.000000 -2.229534 -4.971322
23 4.8671107559 -0.628591 -3.637399 -5.000000 -5.000000 -1.896495
24 -3.8049422220 1.253790 -2.063603 -1.951411 -0.956093 -5.000000
25 -17.2581606011 3.280625 5.000000 -2.438444 -2.876119 2.000230
26 19.3113097461 -1.462292 -3.370008 5.000000 2.564278 -4.774679
27 -13.9897617386 3.463514 5.000000 -2.372153 -4.273278 -5.000000
28 -21.5523719133 3.138387 5.000000 -2.106794 -4.163581 5.000000
29 23.2024236809 -4.450999 -5.000000 -5.000000 1.208043 -5.000000
30 -27.5585798743 3.673845 5.000000 -2.207566 -5.000000 5.000000
31 3.7564259650 1.059999 5.000000 -0.449295 5.000000 0.275678
32 7.8126472944 0.433619 -5.000000 -4.989712 5.000000 -5.000000
33 11.1690044090 1.338768 -5.000000 0.994926 0.963507 5.000000
34 6.0018289306 -0.514430 -5.000000 -0.946182 -5.000000 -5.000000
35 19.8969793819 3.330193 1.327889 -3.257687 5.000000 5.000000
36 -23.3057743077 4.218112 5.000000 -2.582454 -5.000000 5.000000
37 5.2085809670 3.586166 5.000000 5.000000 5.000000 5.000000
38 -12.1022417991 5.000000 -5.000000 5.000000 5.000000 -5.000000
39 2.5250860485 -3.109038 -4.179265 -5.000000 5.000000 -5.000000
40 -17.2748514353 5.000000 -5.000000 5.000000 -3.290977 -1.753332
41 -16.9419239331 5.000000 -5.000000 2.557520 -1.553066 -5.000000
42 0.9246322827 5.000000 -2.133748 4.226966 -1.211499 -5.000000
43 -20.4056968311 5.000000 -5.000000 3.452769 0.624216 5.000000
44 -7.7831945096 5.000000 -5.000000 0.344263 5.000000 5.000000
45 15.3447220215 1.191169 0.230169 0.771715 -5.000000 -5.000000
46 1.8621403361 4.413892 4.691794 -2.577806 4.674695 5.000000
47 3.9265870343 3.818211 -5.000000 4.020359 -1.295244 2.762070
48 3.6755653562 5.000000 -5.000000 1.576404 -5.000000 5.000000
49 12.1335252822 3.273993 -3.361701 -1.351365 5.000000 -5.000000
50 -24.3486966292 5.000000 -5.000000 2.654252 4.658036 -5.000000
51 10.2608201555 -0.175163 -0.572547 -2.459913 5.000000 -5.000000
52 -1.4131325262 5.000000 -0.424513 -5.000000 -5.000000 -5.000000
53 20.2261074176 -5.000000 5.000000 5.000000 5.000000 2.037389
54 -19.0097412475 5.000000 -3.856625 2.612348 5.000000 -0.073220
55 11.6449502485 0.795412 5.000000 5.000000 5.000000 5.000000
56 6.7570541238 -2.267404 -5.000000 -5.000000 -5.000000 -5.000000
57 22.4475051585 -1.488552 5.000000 0.541972 5.000000 5.000000
58 4.9422415083 0.138914 5.000000 -5.000000 5.000000 5.000000
59 -10.8163374864 3.169438 2.140691 -2.830624 -5.000000 5.000000
60 -18.4290702927 5.000000 5.000000 1.821647 5.000000 -5.000000
61 -22.7830944760 5.000000 2.187560 1.947420 5.000000 -5.000000
62 -22.9693754297 4.012701 3.350201 1.287099 5.000000 -5.000000
63 -3.0748223253 4.603153 3.321267 1.282023 5.000000 5.000000
64 -20.7174519569 4.111670 0.798890 2.822139 5.000000 -5.000000
65 -6.7946294820 3.465127 5.000000 1.700354 3.356877 -5.000000
66 3.6675685304 0.836475 5.000000 -2.986503 0.056087 -5.000000
67 -13.9302777093 5.000000 -1.396672 1.247235 5.000000 -5.000000
68 -3.8332011865 5.000000 -5.000000 2.913456 2.327522 -3.891984
69 -18.0466964790 4.171565 -5.000000 2.722216 5.000000 -5.000000
70 -12.4543529145 5.000000 -5.000000 1.230199 -0.344577 5.000000
71 -0.2157089853 4.064709 5.000000 -3.731725 0.273969 -5.000000
72 -24.2672514937 4.387268 3.384271 3.120827 5.000000 -5.000000
73 -26.5672034935 3.001630 3.432643 2.893059 5.000000 -5.000000
74 -18.1415037583 3.542348 2.509294 2.916878 5.000000 0.931435
75 -24.7221692829 5.000000 -5.000000 3.230985 3.857127 5.000000
76 -13.1856929405 5.000000 -5.000000 5.000000 -4.890186 -5.000000
77 -25.1639161633 5.000000 -5.000000 2.741388 2.559178 5.000000
78 -25.0073993276 5.000000 -5.000000 4.556872 2.608057 5.000000
79 -10.3602910040 5.000000 -2.865825 3.766276 2.556460 5.000000
80 -11.2335895957 5.000000 -5.000000 1.909843 -3.397027 -5.000000
81 3.3614625624 0.823627 5.000000 2.099409 -0.523306 5.000000
82 -0.9127819925 5.000000 -5.000000 -5.000000 -0.162891 -5.000000
83 -27.0520708133 3.454233 3.004338 2.663640 5.000000 -5.000000
84 -18.2177646902 2.855863 2.477177 3.949587 5.000000 -5.000000
85 18.8703255683 -5.000000 -5.000000 0.049738 5.000000 5.000000
86 -22.7694205348 5.000000 -5.000000 3.498615 3.143951 3.085532
87 -19.4903189572 5.000000 -5.000000 -1.024582 -1.407997 -5.000000
88 -14.2185183377 4.049684 -5.000000 3.801725 3.097978 5.000000
89 10.9291577632 1.514817 -5.000000 -5.000000 0.642593 5.000000
90 -7.6733246172 3.413452 -5.000000 -1.513417 -2.100416 -5.000000
91 -25.7440892003 2.602173 5.000000 -5.000000 1.243972 5.000000
92 -20.9295086948 3.825548 5.000000 -5.000000 1.170316 5.000000
93 -16.6384496686 2.418722 5.000000 -5.000000 0.198586 5.000000
94 19.0070576678 -2.983797 5.000000 5.000000 -0.391973 -5.000000
95 -20.6527794195 2.621993 5.000000 -3.819802 1.794020 5.000000
96 -5.4366541410 2.467205 3.386507 -5.000000 1.717168 5.000000
97 -27.1307478631 3.584109 3.064361 2.354456 5.000000 -5.000000
98 -9.6577550400 5.000000 -5.000000 -3.639165 -3.344530 -5.000000
99 -26.5886282902 3.234433 2.773916 2.215672 5.000000 -5.000000
100 -25.8459577883 2.904142 5.000000 -5.000000 2.404502 5.000000
101 -25.7133916690 3.484426 3.632779 2.449373 5.000000 -5.000000
102 -22.3781152836 2.700332 2.584718 2.017890 5.000000 -4.944347
103 -15.9909648308 5.000000 -2.474959 -1.085715 -1.816792 -5.000000
104 -18.2581458805 2.675134 5.000000 -5.000000 2.187562 1.284042
105 -4.9268214428 -0.344693 -5.000000 5.000000 -5.000000 5.000000
106 -5.8618759970 -0.806094 -5.000000 5.000000 -3.008823 -5.000000
107 0.1110679075 5.000000 -1.737227 5.000000 -5.000000 5.000000
108 24.2528345270 -1.177547 -2.059806 5.000000 -2.069449 5.000000
109 17.1487028176 -5.000000 -5.000000 5.000000 5.000000 -5.000000
110 -24.8316138215 3.525682 5.000000 -2.177027 -5.000000 3.077516
111 10.4939407883 -0.691689 -5.000000 -2.331769 -2.206529 5.000000
112 -6.0250835643 5.000000 5.000000 5.000000 -0.589024 -5.000000
113 13.5462038858 1.536867 -5.000000 5.000000 -5.000000 -5.000000
114 -3.3527705864 2.262678 5.000000 5.000000 -0.459232 -5.000000
115 16.9928645474 -3.108922 -0.293678 -5.000000 5.000000 5.000000
116 1.0430146099 3.914611 5.000000 5.000000 -1.053147 5.000000
117 7.3109902124 -0.903150 -0.475996 -5.000000 -0.166917 -5.000000
