evaluations raw_y x0 x1 x2 x3 x4
1 22.5550058398 -2.901091 4.448556 1.607484 -4.960823 -1.603872
2 1.8372746722 -0.356473 2.551165 1.314694 0.994718 1.658871
3 2.3462353117 2.605639 -2.687233 -3.256017 -0.256657 -0.479462
4 -1.7520021910 4.459463 3.640925 -0.699753 4.233263 2.317457
5 2.5032425315 -0.102954 2.990171 -1.871298 1.310608 4.093547
6 15.8114808069 -0.870256 3.800565 -3.488029 3.721101 2.075403
7 12.8619056399 -3.059939 -0.330425 4.883397 4.364658 3.189808
8 2.8626016966 2.006222 -2.520287 -4.730194 -0.956149 4.269217
9 3.3176739844 -0.643401 3.262602 4.317256 -0.565450 4.848866
10 20.5432590032 1.505080 -4.038877 2.680635 -3.885326 -0.156678
11 9.7706673781 -4.706849 2.006118 0.831675 4.625869 2.713252
12 0.8741917447 -2.664145 -4.945681 2.392487 -2.368575 -1.825262
13 13.6164927821 -3.902070 0.315057 -3.573649 -3.666640 3.130030
14 14.2319328141 0.822732 1.634920 -4.929283 -0.121420 4.895218
15 8.5170878212 4.062521 -2.377697 3.540853 -1.030803 -1.037148
16 21.1149706043 -1.161761 4.532255 1.183581 -4.726038 -0.356166
17 -0.4224103732 -1.961306 -3.679039 4.550207 -3.358276 -2.307089
18 0.6124914395 2.754729 3.996428 0.896989 -1.331268 4.407447
19 2.8601394499 -2.527705 -0.973337 -3.748929 1.847994 1.784911
20 10.9953961306 -0.579325 -3.037662 2.185676 -3.982652 -1.385996
21 12.6625842578 -4.763761 4.182463 -4.412364 0.162702 0.128949
22 0.1781397407 4.840692 -0.374202 -1.238328 4.117362 0.660785
23 7.3676171684 -0.214010 -2.866898 3.262961 -2.965466 -4.235546
24 -7.6778298330 3.655416 4.224152 -2.496827 -0.435601 -0.020481
25 5.3921892307 -3.743260 -4.723553 -0.986448 4.022532 1.269844
26 8.0252858140 -2.795698 -3.202258 -0.317045 4.824295 -4.147965
27 8.4611171205 0.185157 0.635203 0.453006 -3.745443 -4.444624
28 2.4605108783 3.018480 3.759967 -4.286121 -2.119782 1.093278
29 16.1497395851 0.642459 -1.976572 0.055224 1.249418 -4.825862
30 7.1963143699 0.024662 -1.268221 2.599229 -1.556146 -1.406054
31 5.8260698247 0.543823 -1.116680 3.064471 3.324412 -1.171349
32 -8.1241074069 3.267797 1.838610 2.020793 3.122891 -0.657451
33 7.6237605624 -3.945670 -4.748043 3.677141 2.579090 -1.792405
34 19.6739569503 1.626703 2.706084 -2.956684 4.969903 3.933609
35 17.1383797880 -3.169217 -1.837826 -1.059967 3.822389 -2.375634
36 2.7018636575 1.156583 4.885633 -4.027591 -3.263640 2.004500
37 18.5733198371 -4.296543 0.977497 -1.721621 1.648042 -0.323474
38 -2.1711206074 2.470696 2.765003 -0.495595 -0.790134 2.814072
39 -5.0583594744 4.560498 -2.139898 -2.395706 1.087540 0.892977
40 20.4107605083 -4.931442 2.248752 -2.326831 1.984448 -0.832368
41 -6.4546274303 2.385229 0.459019 3.406326 4.545862 0.460812
42 15.5889545414 -4.100719 4.819697 -1.370055 3.545813 1.837252
43 4.8395235864 1.783072 0.832362 -1.447711 -0.704129 0.840813
44 10.3263435486 -1.885013 0.017609 -4.767849 3.412206 -3.228700
45 16.4644375035 -1.718282 -1.528595 2.921769 2.687082 -4.551149
46 2.5960496031 -1.537154 -1.616546 -4.548898 -4.280859 3.760202
47 10.5496788784 2.267219 1.096207 0.097366 0.795280 -2.976344
48 4.2745265450 4.157554 -0.639490 -3.126887 1.761928 -3.291629
49 -1.6577780200 3.840603 1.678973 4.159276 2.436081 -3.132677
50 -4.3458707520 3.149973 -0.800275 -3.385478 -4.362546 -2.031719
51 -1.4915920444 1.081962 2.387957 1.514333 -0.059941 3.326428
52 14.3997145143 -4.514755 3.069569 -2.141978 -2.282782 2.874877
