evaluations raw_y x0 x1 x2 x3 x4
1 15.0468899970 4.454191 -2.642669 -3.185994 -1.808931 2.983680
2 17.1066368533 -4.773157 0.288213 3.173813 1.324325 2.327705
3 18.4420193691 -3.872435 2.242574 -2.476557 -2.430331 4.801535
4 13.4735071498 -2.399619 2.089732 2.360930 -4.291034 -2.629768
5 17.8309442591 3.899485 4.973569 -1.358424 -3.386967 1.561496
6 12.4675291017 2.662145 -3.669807 -4.886053 -3.319768 3.057797
7 18.5809050312 -2.733972 -4.301560 -2.429261 -2.553790 -2.441519
8 12.2781900430 -4.841784 3.771772 -3.592855 1.579627 -4.983396
9 19.3123406840 -1.420538 0.053860 0.173931 -2.250350 -3.318163
10 17.4061626718 -2.199788 -3.538642 -1.609896 0.235378 0.152301
11 13.5529534046 -3.914008 1.555969 -0.469719 -4.484544 -2.593757
12 12.2633668501 -1.929021 2.925878 -3.401041 -4.155259 -4.751994
13 13.2226708105 -3.127182 0.847590 -3.830408 -3.185533 -3.479752
14 13.6373721370 -1.148592 -2.650238 -4.779136 -0.183149 3.513502
15 14.0967813083 -4.921207 -4.238411 3.108039 -3.759162 -0.242674
16 18.7270362928 -4.047927 5.000000 -4.544041 -4.457943 -5.000000
17 16.4469249791 -4.379965 2.747530 -2.931276 0.115962 -4.477901
18 13.6240865510 -2.549237 2.063831 -4.086424 -3.898402 -4.349529
19 20.4134314132 5.000000 -5.000000 -5.000000 2.234356 5.000000
20 15.5833203291 -1.743141 2.055303 -2.694733 -3.937578 -4.237231
21 15.7964924966 1.273110 -3.252208 -5.000000 -2.242850 3.461576
22 15.3267117601 3.224930 -3.309767 -4.357724 -3.910455 2.672480
23 15.2965654484 -2.227004 3.263539 -0.238273 -4.503169 -4.044177
24 11.9501935923 -2.386961 2.930429 -4.502658 -4.167995 -4.942617
25 12.7553925202 -4.985121 4.086790 -3.794477 2.030536 -5.000000
26 17.0946345640 2.626933 -4.367099 -5.000000 -2.850849 3.441821
27 14.2265794176 -4.924150 3.785001 -4.028615 3.178860 -5.000000
28 14.5106136115 -4.759511 3.902656 -3.368822 -0.072621 -5.000000
29 14.5136080591 -4.030761 1.626699 2.272107 -4.710853 -2.386935
30 16.4188311947 1.972338 -3.722998 -5.000000 -4.146885 2.902347
31 13.9428675390 -4.350310 3.712552 -3.661978 2.102766 -4.686383
32 12.8135028770 -2.372923 2.671741 -3.693711 -4.120640 -4.605520
33 16.0892568367 2.897007 -3.639585 -5.000000 -2.413881 3.308622
34 11.9650919075 -5.000000 4.407097 -3.851011 1.628755 -5.000000
35 12.6539439288 2.350720 -2.916961 -5.000000 -3.188072 2.897977
36 13.8568388771 -5.000000 4.311717 -2.581939 1.686636 -5.000000
37 10.9579605497 -5.000000 4.118008 -4.755562 1.633521 -5.000000
38 11.3335286189 -5.000000 4.142328 -5.000000 1.644185 -2.641944
39 11.3697254677 -0.201430 4.124275 -5.000000 1.612592 -5.000000
40 17.0186015451 5.000000 3.099253 -3.881258 -4.617561 -5.000000
41 19.3327196453 -5.000000 0.672702 1.568463 -4.328358 5.000000
42 18.2534695349 2.256836 -3.149519 -2.972662 -3.357551 5.000000
43 13.0746142771 2.700828 -3.450010 -5.000000 -3.356764 1.644470
44 13.0320124544 0.984145 -2.590838 -4.323978 -0.762036 3.484282
45 15.9953106535 2.038868 -1.775202 -5.000000 -1.912911 0.257205
46 13.5555706287 -4.689992 4.149583 -5.000000 1.620146 -3.999344
47 12.6920256269 -0.837354 4.144035 -4.198455 1.280038 -3.138298
48 15.6960497874 -2.300955 5.000000 -5.000000 1.780639 -5.000000
49 10.0514552960 -5.000000 3.129491 -4.227286 -3.760810 -5.000000
50 8.9469694711 -5.000000 3.019658 -4.636480 -3.619163 -5.000000
51 19.1355203051 5.000000 2.106233 0.659107 -5.000000 -5.000000
52 16.8364994893 5.000000 -1.745837 -3.357346 -0.349390 5.000000
53 8.7970949716 -4.128584 2.739271 -5.000000 -3.379359 -4.994112
54 8.4416927518 -3.012331 3.056087 -4.965794 -3.295869 -5.000000
55 22.0964780680 5.000000 3.917776 -5.000000 5.000000 -0.096937
56 12.4253905580 2.230226 1.189965 -3.906618 1.183038 -4.887672
57 8.6571411286 -3.197211 3.024138 -5.000000 -3.293098 -4.598897
58 15.6346317554 -5.000000 -3.545340 -2.257798 -2.974543 2.272702
59 8.9555486016 -5.000000 3.015873 -5.000000 -3.108901 -4.890222
60 10.6549993776 0.768543 2.965800 -5.000000 -3.299038 -4.882720
61 11.1719726647 -5.000000 2.300970 -5.000000 -3.088712 -3.381106
62 20.9194014482 -1.506172 4.995533 4.210319 3.263188 -5.000000
63 12.2725561747 -2.843600 4.144707 -5.000000 1.295344 -1.566961
64 11.5965981330 -5.000000 1.408502 -5.000000 -3.579865 -2.184462
65 13.8246129577 -0.356392 3.798221 -5.000000 2.225515 -2.058306
66 14.6640509181 -5.000000 0.418947 -5.000000 -4.177732 -0.757823
67 8.6524534608 -4.130196 3.044625 -5.000000 -3.399582 -4.770326
68 11.7836490891 -5.000000 1.905030 -0.803762 -3.415239 -1.769313
69 9.5491292211 -3.545583 3.071788 -3.514039 -3.211025 -4.964352
70 10.5360838355 -4.424762 -1.626637 -5.000000 -0.996287 2.764788
71 12.7187725122 -0.855086 -1.597048 -2.312862 -0.556879 2.433198
72 8.2470527852 -3.735765 3.128728 -5.000000 -3.339576 -5.000000
73 12.7449878822 -3.081274 3.430185 -4.654001 -3.256726 4.415529
