evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 -45620.4060332643 -0.915151 4.247538 -4.979850 -1.460842 2.811565 -1.709380 1.079433 -3.231214 -1.034990 4.476823 -2.741647 -4.004066 4.510026 3.111343 0.819745
2 -763692.5331938303 0.326854 3.447612 -4.632468 -1.505283 3.169949 -1.390471 1.238927 -4.307490 1.303195 3.230572 -2.145297 -3.744276 4.952916 3.785765 0.645583
3 -237817283.6024590433 -0.875892 4.400347 -3.410892 -2.529027 2.563219 -1.855839 0.633313 -4.338673 1.747794 4.957686 -2.660018 -4.139852 4.732748 3.316284 0.804504
4 -250258098.8161438704 -0.063586 3.028299 -4.999800 -1.339668 2.239190 -0.157483 1.291108 -3.277115 0.242225 3.011956 -4.353040 -4.870200 4.900794 3.695059 -0.361026
5 -1303758.4242911672 -1.487288 4.308936 -3.778593 0.110089 3.585459 -1.708698 0.197064 -2.360360 0.189649 4.023630 -3.796914 -3.102142 4.989736 4.537472 0.674859
6 -857475780.5488064289 0.391479 1.935969 -4.278986 -1.846512 4.760888 -1.604306 0.337010 -3.993520 -0.339025 2.258427 -2.742699 -4.996358 4.944960 4.998377 -0.912974
7 -471698915.2009356618 -0.823988 4.921579 -4.537505 0.294100 1.083174 -4.171805 1.685129 -2.597546 -0.907531 3.437147 -4.009957 -4.584313 3.740288 3.770247 1.953899
8 304976151.0424319506 -0.466426 4.343379 -2.167920 -2.069637 1.483072 -2.877342 -1.137930 -3.326229 -1.123968 3.789102 -3.226213 -3.886857 4.999996 4.880372 0.263705
9 -365629778.5188425183 -0.236526 2.891703 -4.949553 -0.830038 2.180634 -4.806335 -0.408608 -4.243109 0.303251 3.419486 -2.592978 -4.840809 3.589594 3.824575 -0.321916
10 -142035619.8575574458 0.643751 4.390132 -4.535521 -1.267364 1.616306 -4.340279 0.521308 -2.213477 -0.194716 2.959453 -2.397824 -4.267809 4.377512 4.418737 -1.139281
11 -1888205287.7281115055 -0.221596 2.969723 -4.031683 -1.129269 3.483864 -4.796393 1.745300 -3.642483 -0.929748 4.022868 -4.502126 -4.923181 3.737372 4.753029 0.606810
12 -1354818386.7598607540 0.141869 4.498790 -4.991227 -1.254352 2.661639 -4.422115 -0.697065 -3.762416 -1.127865 4.944251 -4.335226 -4.786181 4.811140 4.673860 -1.392668
13 -167451254.8429606557 -0.432193 1.857379 -4.077395 -1.234263 3.323412 -4.469845 -0.463596 -3.070328 -0.092693 2.395030 -3.706021 -4.936559 4.002565 4.639875 1.169144
14 -1328515504.4939951897 0.569547 4.466090 -3.787651 -2.257527 3.292883 -3.937931 0.142682 -2.352469 0.980446 3.389327 -4.989217 -4.949896 3.269144 4.814596 -0.246214
15 -501824750.0299590230 -1.086988 4.990835 -4.578207 -2.522196 2.747771 -3.726051 1.130560 -2.031019 -1.149689 4.464175 -3.249284 -4.925706 4.680081 4.502787 1.410479
16 976356368.6441452503 0.709454 3.021031 -3.884661 0.306337 4.639363 -3.865381 0.735795 -4.180965 -1.047863 4.969021 -3.793338 -4.083857 4.108652 4.997737 0.453575
17 -1668943828.3510923386 1.409751 3.062977 -3.589307 0.285504 3.752202 -4.559139 2.079041 -2.747943 -1.202593 4.476937 -4.538122 -4.885498 4.955744 4.769859 0.008397
18 -910443303.0739598274 1.797108 2.738228 -4.465899 -1.847717 3.419451 -4.098290 -0.841293 -3.062259 -1.434374 3.516731 -4.950760 -4.916519 3.354273 4.544688 -1.804608
19 -148277394.6276992857 -0.063031 4.997439 -3.180180 -1.383702 4.200335 -3.385206 1.807488 -4.485343 -1.534135 3.672208 -2.269819 -4.225451 4.735156 4.787477 -0.797136
20 -322354089.1869084835 -1.051818 3.609704 -4.237017 -2.401843 3.335009 -4.335850 1.443705 -2.336272 -1.809582 2.786304 -3.680520 -4.994038 3.339125 4.932547 0.149753
21 -550477102.6783556938 -1.582612 3.002553 -4.999973 -1.683958 2.558719 -2.624455 -1.404876 -2.789063 -2.861523 1.979424 -3.986038 -4.867006 4.955977 4.279402 0.662397
22 -1204516868.5097391605 -0.014476 4.039552 -4.995021 -1.603720 4.197467 -4.629476 1.078522 -2.290185 -1.234753 4.534258 -4.169929 -4.960732 4.652914 4.771527 -0.089712
23 -290198810.2678121924 -0.626970 2.794930 -4.517908 -0.915980 3.347761 -3.148672 0.515470 -2.495286 -1.661085 3.938022 -4.324612 -3.297271 4.434008 4.408606 -0.044005
24 -234405644.4122048020 -1.257632 4.438895 -4.315067 -0.621821 3.224053 -4.319952 1.557441 -1.374970 0.253495 3.418421 -3.826988 -4.908670 4.997133 4.995174 -0.463921
25 -1539159723.3703143597 0.729876 2.602507 -4.377375 -3.242672 3.183386 -3.991482 0.972045 -1.119453 -2.031510 3.311720 -4.942641 -4.862863 2.896570 4.984459 -1.227342
26 -245815060.0112346709 -0.010471 4.919131 -4.936253 -1.276468 4.996226 -3.154778 0.322956 -0.635048 -0.654683 3.461889 -4.989904 -3.496476 3.927902 4.356157 0.420347
27 -1398671584.2190887928 1.981676 1.797589 -3.549276 -1.542046 2.619231 -4.844008 1.860179 -1.869155 -0.074101 3.304172 -4.998326 -4.607944 3.547651 4.982140 -0.127968
28 -1066381963.1319406033 1.172414 3.362915 -4.835998 -0.841755 3.364999 -3.607890 0.894985 -1.800368 -1.244612 4.242368 -4.873337 -4.558003 3.791962 4.124774 -0.249429
29 -687317692.6128470898 0.912508 3.015565 -2.941308 0.153303 3.776876 -4.810571 1.507330 -1.643634 -0.452865 4.993791 -4.315062 -4.898181 3.093546 4.969398 -1.601939
30 -1549345203.8374478817 1.388803 2.107345 -3.154569 -1.631383 3.169920 -3.083876 2.458054 -2.566800 -0.486448 4.797842 -4.876103 -4.775995 4.962874 4.983425 1.710728
31 -264980357.9306239188 0.268257 3.750019 -4.813651 -1.748975 4.083259 -2.207816 -0.161563 -0.943355 0.136462 1.597423 -4.881966 -4.007304 3.644545 2.610474 -0.176853
32 58373681.5273624212 0.586034 4.661722 -2.945587 0.411883 2.581848 -3.534858 1.613292 -3.205005 -1.134044 4.068069 -4.215759 -3.624078 4.971210 3.348288 -0.633590
33 -489813425.1035976410 1.331371 3.961518 -4.099512 -0.856023 3.955380 -4.089113 2.140932 -2.579442 -0.977001 3.945693 -3.995039 -4.318588 4.606219 4.029178 -1.159035
34 63288061.2362037301 0.509974 3.705965 -4.584577 -0.754582 3.268072 -2.812060 0.847116 -1.900388 0.571314 3.361842 -2.583690 -3.375651 4.999915 3.662392 -0.435722
35 -1004756118.5141112804 0.547156 4.148044 -3.163051 -0.216772 3.106661 -2.638171 1.563706 -1.762700 0.159013 4.351677 -4.949204 -4.794645 4.150056 4.163692 -1.277633
36 -30952262.8901552781 0.040194 3.757853 -3.223111 -0.105477 3.509803 -4.978311 0.344978 -2.149818 -0.927159 4.962938 -3.906760 -4.936756 4.458425 4.993038 -1.015770
37 182709002.7044291198 3.685901 2.167601 -4.850059 -1.615760 2.968795 -4.144700 1.946326 -0.419891 0.104547 3.783175 -4.973999 -4.996556 4.707215 2.750675 0.688837
38 -91154074.2269787639 -0.496221 1.509112 -3.855919 -0.099404 4.986154 -3.711792 3.415260 -3.398120 -2.209486 4.423491 -4.960768 -4.980491 3.218632 3.505785 -0.148975
39 -1675446576.6234507561 2.549815 1.699429 -2.086442 -2.879675 3.199687 -3.738793 3.348269 -1.407991 0.694107 4.717084 -4.838896 -4.790890 4.950616 4.455531 -0.387058
40 -852391690.1420313120 1.537065 3.493021 -3.812784 -2.194907 2.335406 -4.825837 1.771493 -1.061141 -2.375164 3.637515 -4.507915 -4.222627 4.987560 4.562391 0.170501
41 -1813100521.0160810947 1.318192 3.402802 -2.177814 -2.072411 4.115018 -2.404941 -1.580130 -0.721452 -0.575645 4.434038 -4.565680 -4.743512 3.894192 4.465659 -1.345085
42 -1515477326.8180255890 1.480733 4.620027 -4.231671 -1.745051 2.205393 -2.434067 3.542525 -2.841342 0.441957 3.953854 -4.752311 -4.663246 3.004674 4.661770 2.269386
43 91058108.5778031945 0.653154 2.768750 -3.568813 -1.829373 3.652691 -3.700315 0.871875 -1.788008 0.919123 2.163706 -4.976466 -3.514499 4.883382 3.695722 0.683518
44 -1135166333.5250337124 1.162899 2.018082 -3.850613 -0.496361 4.190913 -2.990788 1.809742 -1.764927 -2.547099 3.395621 -4.682807 -4.552596 3.377350 4.988919 -1.450808
45 73508804.7780234069 1.341436 4.276467 -3.193508 -0.438156 2.735450 -2.984589 2.784612 -3.064162 -1.014349 2.715391 -3.002650 -4.559270 4.529042 4.822440 -0.838683
46 -350941597.2561595440 2.474383 1.200269 -4.601826 -2.069216 3.973430 -3.161332 0.502712 -0.763941 0.713271 4.829451 -2.731664 -4.958806 4.246354 4.024769 1.329617
47 425462025.2375757098 -0.062605 3.363746 -4.258151 -2.706618 3.095498 -3.939001 1.511993 -0.768716 0.619932 4.346836 -3.748610 -3.569049 4.203764 4.880569 0.724151
