evaluations raw_y x0 x1 x2 x3 x4
1 -5305.1186523438 -0.611676 -0.065449 3.503843 4.996553 2.290795
5 -5847.2460937500 3.644968 2.627505 2.332067 -2.606695 1.414534
7 -7586.9760742188 -1.834791 4.567738 -3.389051 0.191224 0.830820
8 -8795.1972656250 -3.158655 -1.367261 -3.991618 4.428481 -0.159822
32 -8847.0273437500 3.718153 1.463015 -5.000000 -4.092159 -3.368292
38 -8952.3535156250 -4.242317 -1.152187 -2.226994 4.314168 -0.062218
47 -8983.0566406250 -3.939767 -1.077212 -1.856820 4.300944 0.199773
52 -9180.8740234375 -2.807032 3.736996 0.650818 1.272907 0.324446
57 -9212.1767578125 -2.805245 3.726614 0.634059 1.271712 0.311463
123 -9508.6123046875 -2.801833 3.293123 0.561461 1.272965 0.332904
150 -8714.7109375000 -1.250077 2.171630 -0.803716 0.731153 0.950367
