evaluations raw_y x0 x1 x2 x3 x4
1 -6661.9331054688 -0.611676 -0.065449 3.503843 4.996553 2.290795
4 -8626.5185546875 -0.422189 -1.792214 -1.113302 -3.995005 1.047331
25 -8956.3193359375 1.265258 -3.729843 -5.000000 -5.000000 1.469784
26 -9030.8730468750 1.927050 -5.000000 -5.000000 -5.000000 1.573208
61 -9067.7539062500 -3.441688 -0.808832 1.816920 -2.907014 0.995469
64 -9125.5029296875 -3.828599 -1.009482 2.264209 -5.000000 0.912165
65 -9214.3378906250 -3.544380 -1.060391 2.360852 -5.000000 0.845888
66 -9219.3701171875 -3.415953 -1.100274 2.489850 -5.000000 0.813111
81 -10842.7617187500 -5.000000 -1.182056 2.285011 -2.047652 0.793856
82 -11013.5302734375 -5.000000 -1.600431 2.238201 -3.627711 0.606872
150 -10483.5468750000 -5.000000 -2.160791 2.944196 -3.874483 1.525757
