evaluations raw_y x0 x1 x2 x3 x4
2344 -12865.7293834226 -4.943492 -4.901838 -4.981728 -4.961176 1.969415
2366 -12912.3898899117 -4.987671 -4.974581 -4.957999 -4.831351 1.938613
3311 -12951.2040688927 -4.979605 -4.955012 -4.968282 -4.962536 1.936047
4075 -12951.2044152061 -4.979605 -4.955012 -4.968282 -4.962536 1.936046
4081 -12954.6297319285 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4087 -12954.6297720155 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4093 -12954.6298121008 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4105 -12954.6298221222 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4111 -12954.6298321435 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4123 -12954.6298346488 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4129 -12954.6298371541 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4165 -12954.6301838689 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4177 -12954.6303348962 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4183 -12954.6304859102 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4195 -12954.6305236649 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4207 -12954.6305401107 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4213 -12954.6305565561 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4225 -12954.6305606675 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4237 -12954.6305624584 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4243 -12954.6305642493 -4.979613 -4.955029 -4.968294 -4.962550 1.933472
4249 -12954.8171184121 -4.979613 -4.955030 -4.968295 -4.962551 1.933331
4255 -12954.8171188599 -4.979613 -4.955030 -4.968295 -4.962551 1.933331
4261 -12954.8171193077 -4.979613 -4.955030 -4.968295 -4.962551 1.933331
4266 -12954.8171060804 -4.979613 -4.955030 -4.968295 -4.962551 1.933331
