evaluations raw_y x0 x1 x2 x3 x4
2 -26783.9900846846 4.910035 11.995531 18.027059 -8.637210 12.205106
6 -36598.1328325095 6.479452 3.982814 16.077113 -9.357614 14.973931
8 -55680.7523073517 -0.735088 -6.659362 -0.648821 -11.276891 19.588655
19 -69124.9390918541 -7.821954 -5.896777 2.064369 -6.636552 22.013233
26 -198247.0603359948 7.612774 5.541965 5.408931 12.546798 31.254576
58 -200998.4779528854 9.962588 13.355086 9.392239 14.705092 29.786096
61 -209305.7902662805 10.628049 7.992500 6.803573 20.522767 30.799461
66 -226794.2732305596 10.920562 7.136122 6.712227 25.844239 31.892779
69 -229773.0171811804 12.958632 6.126387 6.442525 27.795072 31.797304
71 -237719.7312329106 12.311853 10.157698 10.758253 33.797291 31.151289
74 -255764.3933641164 14.321800 13.207357 12.390718 34.315854 31.431808
75 -273074.2829489828 15.912182 11.227189 10.544541 33.586410 32.879018
80 -281076.6604882220 17.571876 13.602061 10.224561 33.287173 32.851662
83 -289745.5612859773 17.414698 12.281383 9.708957 32.624314 33.744043
84 -293692.4104088866 16.601605 11.634036 11.315374 32.687318 34.055297
85 -299890.8962206570 15.309208 14.582965 10.978047 28.525115 34.654065
106 -325086.2506538152 17.113200 16.795499 15.304325 30.598624 35.006924
109 -392374.0681551977 25.679673 17.392783 14.723712 31.044453 37.337673
117 -437159.9058049730 27.032816 16.064188 23.920781 33.895548 38.485960
126 -457941.4348377241 29.722000 13.305853 23.206456 29.472669 39.948756
151 1539.3024309828 28.234070 13.832206 20.876347 28.721034 40.625348
