evaluations raw_y x0 x1 x2 x3 x4
36 -11082.7978892912 -4.073466 -3.911221 -4.023102 -3.380964 1.965047
37 -11124.5117453997 -4.618204 -3.319405 -4.239784 -3.923541 2.168227
46 -12044.7819445509 -4.079180 -4.068387 -4.983229 -4.087157 1.693250
47 -12609.8850864075 -4.996793 -4.643293 -4.477604 -4.934660 1.936380
68 -12632.5386239022 -4.857954 -4.865144 -4.640742 -4.842005 1.958996
82 -12670.8831463255 -4.914997 -4.826925 -4.633459 -4.787091 1.926305
88 -12686.1473079264 -4.884288 -4.809081 -4.695171 -4.813200 1.919868
91 -12690.9221224483 -4.873727 -4.786596 -4.766568 -4.849227 1.934621
95 -12739.0655767084 -4.903441 -4.836258 -4.653354 -4.856398 1.896071
102 -12757.0880416501 -4.988752 -4.850601 -4.680381 -4.838609 1.930337
103 -12782.9415887788 -4.969019 -4.818149 -4.581160 -4.907656 1.877667
106 -12809.9156649285 -4.996176 -4.791993 -4.636042 -4.871575 1.868493
150 -10895.7447259674 -4.880074 -4.564291 -3.529487 0.205642 1.645946
