evaluations raw_y x0 x1 x2 x3 x4
1 -5593.3989460156 4.972058 2.993654 -0.980618 -2.061794 3.809681
2 -6070.9346324481 3.945506 2.978786 -2.532002 -3.128510 4.684898
3 -6368.3062940057 4.073887 2.761099 -2.494239 -1.075740 4.999999
8 -6494.5165403066 4.030788 1.938600 -2.803918 -1.646794 4.994479
44 -6517.0175063701 4.836915 2.063187 -3.972794 -1.695933 4.983112
54 -6533.1104721836 4.903867 1.919267 -2.958424 -1.548008 4.966526
64 -6545.1848736844 3.991165 1.650525 -4.962032 -1.421341 4.993741
65 -6638.3053097526 3.812354 1.231660 -3.105625 -2.514077 4.989956
75 -7032.2619815217 4.766065 -0.220334 -3.903495 -3.711712 4.980756
76 -7167.5380778507 3.827592 -0.569858 -4.993685 -2.936237 4.983685
81 -7255.8251748416 3.469056 -1.552044 -4.409508 -2.354396 4.998618
82 -7282.0389334335 3.406612 -2.142218 -3.219965 -3.710066 4.913303
90 -7517.1584690558 3.409063 -2.943700 -4.033874 -2.889499 4.991829
99 -7522.5049765178 2.851974 -3.460101 -4.284135 -1.704573 4.986537
106 -7872.3392670329 -0.040628 -3.137078 -4.367410 -2.541345 4.104062
108 -8776.8960816420 -4.974266 -2.430876 -4.702855 -0.658009 4.382082
115 -9349.1019248762 -3.238516 -1.846498 -4.964039 0.936898 1.456694
122 -10428.4365899603 -3.154699 -4.280704 -1.831421 -3.984432 1.742170
124 -10510.9611482567 -4.742549 -4.964230 -3.548701 -1.213330 2.432465
152 -10698.4320561904 -4.835908 -3.243060 -4.833499 -1.453749 2.087429
153 -10980.3504170291 -4.405959 -4.966345 -4.692464 -3.352707 2.861228
