evaluations raw_y x0 x1 x2 x3 x4
1022 -12613.6113344975 -4.963142 -4.603579 -4.682824 -4.677750 1.901582
1130 -12703.9863096892 -4.825006 -4.953470 -4.907085 -4.832611 2.000092
1155 -12824.6491105395 -4.961127 -4.949250 -4.990913 -4.678085 1.954017
1622 -12838.1927741122 -4.857308 -4.988120 -4.993248 -4.735823 1.925272
1697 -12848.7413607732 -4.961127 -4.889169 -4.990913 -4.636689 1.903845
1953 -12883.4815995434 -4.959395 -4.939035 -4.872466 -4.853661 1.914550
2647 -12900.3614730195 -4.942377 -4.958307 -4.976417 -4.776103 1.912352
2681 -12908.2729757380 -4.988714 -4.905326 -4.896357 -4.938525 1.926859
2851 -12909.8498194056 -4.994036 -4.905326 -4.897759 -4.931952 1.926859
2920 -12923.9499900645 -4.985312 -4.887445 -4.959301 -4.983054 1.938128
3394 -12929.1787665504 -4.985320 -4.887509 -4.959324 -4.983064 1.934200
3400 -12934.3352319227 -4.985329 -4.887572 -4.959346 -4.983073 1.930332
3412 -12935.6338975240 -4.985331 -4.887587 -4.959352 -4.983076 1.929358
3418 -12936.9227813317 -4.985333 -4.887603 -4.959358 -4.983078 1.928392
3430 -12937.2460480984 -4.985333 -4.887607 -4.959359 -4.983079 1.928150
3436 -12937.5680481919 -4.985334 -4.887611 -4.959361 -4.983079 1.927909
3448 -12937.6486697202 -4.985334 -4.887612 -4.959361 -4.983079 1.927848
3454 -12937.7291302108 -4.985334 -4.887613 -4.959361 -4.983080 1.927788
3466 -12937.7492599526 -4.985334 -4.887613 -4.959361 -4.983080 1.927773
3472 -12937.7693694051 -4.985334 -4.887613 -4.959361 -4.983080 1.927758
3484 -12937.7743985599 -4.985334 -4.887613 -4.959361 -4.983080 1.927754
3490 -12937.7794251640 -4.985334 -4.887614 -4.959361 -4.983080 1.927751
3501 5.4918876503 -4.985350 -4.887734 -4.959405 -4.983098 1.920349
