evaluations raw_y x0 x1 x2 x3 x4
66 -678843.0533529285 71.107781 27.036373 22.363699 3.257106 45.629145
70 -698520.6903222173 75.585925 28.214685 24.199392 0.594892 45.637304
73 -722161.0625479526 78.445951 29.744682 21.373480 5.215192 45.704894
78 -814975.4341418128 80.744781 27.340634 20.884740 5.504633 49.618487
108 -840262.7786593820 82.550763 29.397558 21.531818 5.347466 49.943135
113 -877631.9020653779 84.583546 29.655533 21.508168 4.169396 51.122035
116 -877844.2744521671 86.345643 28.614516 21.959876 4.489524 50.958411
123 -899688.5160945314 86.266943 29.603998 20.969217 4.786195 51.686203
124 -899704.0457959917 87.498514 30.732698 20.628514 5.280077 51.263391
125 -926772.6483170236 87.329861 30.908411 20.810231 5.768021 52.247600
131 -942002.5598905394 88.163923 32.076961 20.706143 5.579186 52.500225
136 -945554.2898583980 88.359836 31.867188 19.979590 5.630184 52.680881
142 -950352.1911433972 88.292182 32.372070 19.534968 5.693874 52.809216
150 -951491.5418862886 88.252585 32.321231 19.235528 6.103331 52.855038
151 849.6361664395 88.203518 31.925050 19.401042 6.383161 53.275725
