evaluations raw_y x0 x1 x2 x3 x4
7 -42787.1616940654 -16.718844 22.827546 24.714564 21.060417 11.733232
9 -105602.6987920160 -9.664588 37.294598 34.927432 18.744075 17.303622
32 -115034.8385728435 -13.015797 37.599264 27.961439 19.692803 20.178698
39 -119494.1754362439 -6.686008 26.239901 26.197397 15.491152 21.721118
41 -125328.0613742711 -6.022231 16.933058 16.767291 22.113577 23.902691
42 -148719.0593060633 -2.560634 13.799804 14.446278 19.471960 26.488220
44 -162705.3447602015 -3.848247 10.768732 12.168724 20.136190 28.487334
48 -183655.0478546030 -2.772426 13.692636 16.276171 16.916992 29.613408
65 -200880.4079779980 -1.951676 11.991379 15.076136 19.790034 30.997706
96 -200920.0883393736 -1.516825 11.762498 14.842076 19.781844 30.982939
99 -202667.6623650328 -1.338254 11.073988 15.039121 19.956354 31.144644
107 -204537.0734685465 -1.193811 11.109724 14.733628 20.361099 31.267422
109 -205347.2503290040 -1.363478 11.035771 14.731628 20.638992 31.348217
110 -205444.3666735776 -1.415979 11.445464 14.865936 20.318846 31.324117
128 -205792.0607832732 -1.303330 11.629993 15.212157 20.317839 31.280010
132 -206619.1962642156 -1.234016 11.734910 15.324235 20.284146 31.313507
134 -207269.9434900752 -1.242409 11.651143 15.335643 20.304627 31.373186
136 -207420.0960259581 -1.283472 11.595084 15.281404 20.213896 31.408985
139 -207437.3672853500 -1.164663 11.702100 15.364003 20.167831 31.374673
142 -208116.1915662385 -1.256720 11.752533 15.341932 20.281177 31.430565
151 -206432.5858174365 -1.296571 11.661801 15.473182 20.188994 31.309624
