evaluations raw_y x0 x1 x2 x3 x4
29 -11170.3862366693 -3.410981 -4.101738 -4.678704 -4.838133 2.237075
38 -11186.6856739196 -4.715520 -1.871904 -4.085908 -4.027034 1.601260
42 -11590.5132866982 -4.976188 -4.746982 -1.377759 -2.816821 1.394448
44 -11648.0242487802 -4.466107 -4.838572 -2.885767 -3.874311 1.777400
49 -11848.6872391257 -4.756335 -3.600916 -4.443787 -4.780889 2.003194
72 -11990.7766404172 -4.942074 -4.378679 -4.178402 -4.492288 2.104464
74 -12061.1318183475 -4.608012 -4.029141 -4.943330 -4.553370 2.011252
75 -12185.3130556433 -4.685474 -4.486760 -4.933738 -4.475117 2.092483
86 -12328.4352607632 -4.720576 -4.738946 -4.840388 -4.481179 2.057202
95 -12358.1418404615 -4.632358 -4.743509 -4.853871 -4.522180 2.008762
104 -12393.2130143087 -4.601939 -4.886968 -4.903500 -4.508288 2.029539
150 -11156.4133618479 -4.924137 -4.731297 -0.825758 -2.516873 1.485518
