evaluations raw_y x0 x1 x2 x3 x4
26 -11132.9293564317 -3.686035 -4.841547 -4.500203 -3.398016 2.221768
36 -11281.3481505075 -3.729142 -4.199054 -4.945908 -4.639909 2.365154
37 -11664.6937433690 -4.623859 -4.016880 -4.231699 -3.482826 1.853346
51 -11710.2883794734 -4.789404 -4.432512 -4.678475 -2.637788 1.933288
54 -11851.7453635682 -4.699342 -4.711721 -3.983267 -2.965490 1.775772
57 -11995.4497085603 -4.557761 -4.207147 -4.946511 -3.731933 1.888938
58 -12045.3004250656 -4.955025 -4.750933 -4.835590 -2.305284 1.803424
61 -12046.3179143041 -4.551461 -4.434676 -4.780315 -3.405687 1.795245
65 -12140.9396295320 -4.912279 -4.596820 -4.173273 -3.087713 1.694281
74 -12206.2223858538 -4.825156 -4.925267 -4.739919 -2.904597 1.815891
76 -12510.0080532490 -4.930059 -4.811025 -4.973958 -3.654638 1.855902
98 -12534.8400775654 -4.951262 -4.848448 -4.962797 -3.666700 1.859440
102 -12570.1791937143 -4.996837 -4.931296 -4.933603 -3.703277 1.882797
113 -12591.6046639932 -4.987250 -4.950633 -4.990189 -3.713626 1.887640
114 -12595.0018952958 -4.998117 -4.939069 -4.953875 -3.688455 1.869101
150 -10134.5430369814 -4.618703 -3.254410 -2.276269 -4.760273 2.694429
