evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
313 -17536207.9822964333 -17781.432589 -531.364199 -746.264543 171.964953 -5674.031604 -202.425929 2931.905260 2781.223321 4336.361875 1739.408095 5708.198571 2825.369102 -3782.735457 -1553.318834 -150.777082
314 -17550253.8007281721 -17667.363914 -139.736498 -905.257383 -104.935249 -6209.993365 -580.690963 2639.086105 1807.554384 5492.129641 1532.033066 5871.557337 3393.381427 -3392.578580 -1586.849977 -653.699488
315 -18183838.2329430208 -18006.913947 -1342.679144 -251.792510 -274.429378 -5158.085925 -658.427777 1019.813485 1846.289575 5858.822050 2222.142457 6205.697365 3856.380147 -2836.657076 -970.323692 -1225.365731
316 -18650017.3883736767 -18271.888301 -1857.921991 -1153.414497 -485.711427 -5246.466015 -660.127460 1118.241598 448.742620 5942.108181 2031.918056 6340.726338 3485.775295 -3291.271085 -517.787659 -945.537206
317 -20249898.4366710708 -19119.537656 -3076.631420 -1244.071259 -193.542272 -6792.100247 862.709455 1047.049654 -360.002495 5621.644750 2347.179645 6390.009127 3301.117611 -3245.531800 145.151306 -2526.137482
319 -21772160.2164676711 -19717.152807 -3219.418475 -1087.513820 -1364.286166 -7548.319718 791.656089 1902.260133 -460.326325 5971.684516 2177.057250 5632.091303 3385.539401 -2509.597321 371.767335 -3189.211381
321 -23090853.2099237330 -20221.673568 -3582.422355 -737.373358 -1740.814453 -7569.231142 386.294135 2178.793073 -569.716615 5177.903993 3327.511895 6086.405880 3745.874870 -2123.930917 -53.554555 -4135.214840
323 -25707509.6181170903 -21397.843690 -5190.106380 370.283395 -2312.437595 -7488.260184 746.462571 2893.828833 233.796819 5403.477496 3957.127927 5603.186439 3022.089363 -3552.147127 272.965941 -4636.717867
326 -27149404.5527606718 -21982.194570 -5327.205151 239.551277 -1860.007752 -7856.324186 659.986815 3502.469097 -73.238193 5558.612691 4004.569312 5244.306504 3231.229762 -3550.032912 99.638808 -4319.388056
331 -28109897.1311947852 -22355.163046 -6121.913450 1129.611064 -2187.345818 -7674.358345 864.551565 3487.887610 160.418865 7080.114392 3167.574304 5753.941324 3018.044745 -2512.466828 -621.291315 -4724.221020
332 -32387830.6961688884 -23840.277990 -6450.664452 1678.424190 -2039.863352 -8625.575906 696.789070 3321.583624 12.751101 6096.915901 4954.144924 6147.271979 1449.903107 -2296.662011 -1789.612269 -5316.834110
333 -33822430.7459677011 -24354.192071 -6286.227580 1421.942259 -1813.143647 -7654.077938 996.088976 5425.130967 184.310616 5873.108017 5712.843825 6004.490883 1621.225887 -1757.526067 -2816.400952 -5214.291648
334 -37811569.9114252105 -25758.987167 -6505.161024 1243.031010 -980.541273 -7331.072421 507.321879 5569.601701 1283.130758 6669.431643 6526.602990 5153.561672 2949.804103 -3661.563621 -3407.313421 -4390.525067
337 -43203060.6372357160 -27450.652357 -5619.622335 1917.081811 -776.213501 -8702.149980 -85.078190 6261.896786 2169.206654 8400.317997 5639.172436 4935.192959 2741.521691 -2479.398486 -2405.887763 -4256.758716
338 -46949259.0769267976 -28458.142351 -6436.539912 1345.320818 -1811.280098 -9515.815295 513.109010 7863.186594 2169.725414 8525.924971 5958.617219 3300.465725 1931.214081 -1151.577058 -3199.975384 -3745.214034
339 -47599180.3751091436 -28544.385275 -7103.357397 1453.946830 -3442.243314 -8904.623053 1094.899620 9301.815801 3369.694720 7587.718270 7073.201036 2049.493776 2620.984277 536.315597 -3411.665541 -3690.409754
341 -48216585.6146294922 -28842.632913 -7111.186166 338.399697 -2341.689188 -9424.355887 1178.417259 9125.397750 3818.101999 8205.133898 5675.523046 2093.990229 2843.164574 214.264335 -3372.554019 -2550.091905
343 -49369305.3093996644 -29400.898136 -5866.207563 -686.413848 -2536.910517 -9754.459534 3251.519601 8174.700973 2801.426796 6378.101968 6217.162593 2865.544304 2847.623130 768.954609 -3970.967938 -2496.117602
344 -50756107.8213977143 -29777.278356 -6355.275956 -96.306037 -3761.946612 -10222.925551 2400.999378 8016.889997 2786.982882 6733.838881 4845.097226 3778.950217 2566.507913 1852.940668 -2867.152266 -2744.899707
345 -54303916.5499257818 -30889.165894 -6992.987198 -419.979868 -2773.107764 -11165.308386 2343.516891 6199.403511 3452.696068 6941.185111 4908.499456 5080.801620 2921.003521 693.748802 -2049.460666 -3092.474862
346 -56052044.7034544051 -31361.709104 -8639.443794 -185.942221 -3188.591145 -10431.001293 2480.807661 6672.738940 3714.244130 6919.199933 6256.395486 4803.073517 2178.580820 406.463129 -2021.040984 -2100.873906
350 -62430273.9238695875 -33234.049368 -9083.218740 -2450.225654 -3367.241005 -9622.598404 1992.847273 7864.585465 4051.981568 5258.425130 5290.188315 4700.293518 2700.233106 -834.388457 -3508.156681 -2561.423171
354 -66256449.0907847583 -34180.141335 -8533.977997 -3234.372870 -3099.287608 -7972.186662 672.308930 7006.898760 4830.535420 4481.755387 6752.492468 3747.030168 2464.423035 -1090.591564 -3173.912861 -3345.924716
355 -69445000.9788874090 -35058.202028 -9836.079199 -1907.133543 -3798.353287 -7064.113101 2032.601604 5931.835996 5571.340237 3821.965715 7042.726978 3026.877388 2316.026574 -1482.930242 -4119.724611 -4367.215881
358 -73577394.9957653135 -35968.662667 -10121.941754 -2143.607031 -4708.592251 -6459.239135 486.093424 5442.461225 3904.609773 3612.294085 8082.182510 4112.676391 2621.102532 -2031.074947 -3845.424477 -5056.453411
360 -83130674.4978025407 -38285.587711 -8621.963958 -2666.178241 -5441.686627 -5460.343922 168.330412 4642.118086 3627.519805 3176.713666 6735.234675 1690.888223 2388.961534 -653.389897 -4798.068365 -5602.238445
361 -83484848.8080935329 -38387.219206 -9278.025884 -3245.161579 -5918.356007 -5080.099634 -492.783349 4727.274188 4924.889649 5110.190030 5304.820343 617.361970 1502.096886 -1999.026206 -4522.155112 -5319.731433
363 -91494953.1585202664 -40345.277501 -9502.147504 -3824.682971 -4139.105465 -6442.815800 -437.821676 4616.671242 5699.093157 5254.270811 3059.505884 549.410429 1728.010088 -2622.531135 -4685.417823 -6396.789969
365 -100788741.6320389211 -42269.801831 -10725.168628 -3026.537265 -4201.274455 -7072.593723 -833.809121 4874.985392 5538.668055 5034.054345 3552.464279 1828.075421 54.987214 -3144.761285 -6026.586950 -6044.777564
366 -102470339.6142961979 -42513.886931 -10859.237014 -2504.152116 -2082.817714 -7471.271823 -2140.107296 3612.493137 8115.015507 4641.644269 4525.855228 2507.067695 1575.575011 -2935.950342 -6956.227190 -5402.699177
368 -105678834.3315441459 -43435.337714 -10448.721076 -3582.148931 -3235.841370 -5759.807132 383.935130 3727.166289 8592.276920 4593.051453 5607.873040 2446.073059 3654.892164 -4081.190274 -7838.421949 -7862.281140
372 -108666228.0047364533 -43907.926268 -11008.525176 -2905.243004 -4039.985535 -4873.360485 -1355.707135 2314.979082 9138.009842 7375.225218 3481.526621 1767.809659 1493.119521 -1893.642254 -9545.966625 -7976.952139
374 -115628203.5550391227 -45180.014406 -12571.966574 -2923.907496 -4962.734458 -4695.042584 -3021.238931 2836.531665 7403.276727 7967.659962 1959.892018 1433.444805 -305.959731 -1181.406079 -10537.025113 -7874.154840
375 -117529235.2304285467 -45708.410049 -12956.416506 -3305.840272 -5154.773606 -2338.747405 -2047.126053 2834.187628 8468.580848 7282.360690 587.018856 2948.056227 -747.104544 -32.301755 -10614.047223 -7816.999174
376 -120067402.7714014947 -46084.951807 -12609.639482 -2791.388254 -4598.489234 -2579.357904 -3827.099844 4171.402349 6397.062426 6555.160962 -928.455868 1515.705564 173.216817 838.137296 -11444.617484 -8323.419683
377 -121678773.5549807400 -46075.136971 -11093.702231 -1851.696063 -7270.839764 -4604.642107 -6025.564345 2665.386559 7901.905950 6779.831274 2619.692137 2168.689241 816.690622 -1953.470057 -10465.812203 -9293.189088
378 -133183828.2408895940 -48444.993373 -8485.569609 -1183.047161 -4451.869264 -5619.497387 -5108.294191 1482.893583 9526.972897 6680.741118 2786.248156 -1104.609783 2777.234120 -1336.041084 -13660.729462 -6447.296795
382 -135180422.6375859082 -48985.620409 -10618.377881 1617.211876 -1008.562694 -7514.434690 -4730.572502 -1129.419629 8803.333945 4264.164613 1687.979072 -4059.619471 1121.611477 -640.336187 -14763.828125 -8161.233716
384 -136267654.5244475603 -49076.076654 -10004.550863 2255.435265 -935.653302 -7106.253843 -5676.139676 143.680089 8760.769300 2667.322445 2948.346825 -2123.062320 -1147.065622 -2476.119510 -15692.819866 -5238.383775
385 -138758259.6603535712 -49552.568227 -7243.798217 -247.646207 -3189.855689 -9249.142529 -4612.703479 -79.071252 7806.681219 3358.695247 3751.185535 -344.935809 -1282.576175 -3740.473969 -13709.080135 -5825.721720
386 -145304905.6967566907 -50613.001448 -5614.205044 -564.589688 -4392.638405 -9603.278269 -5012.780422 1487.655353 7175.592309 441.276727 2432.959767 -621.083889 -763.989409 -3845.203725 -13940.886310 -5475.754813
387 -151910434.5178289711 -51908.617050 -9636.528844 -666.428633 -4457.068411 -9861.357580 -3682.466526 1286.391864 7087.580356 1367.518170 3182.290823 532.622883 -1434.074367 -4503.560835 -12403.911122 -2883.040415
388 -152745192.7536488473 -52215.507970 -9113.150473 439.864563 -5278.018954 -8132.575297 -1152.741135 2508.936730 9315.240696 467.231406 4566.064553 1526.464845 -27.526341 -6495.899090 -10076.156234 -1758.667588
389 -162488227.3011050522 -53634.675024 -10308.812329 3441.523176 -6661.386881 -8788.433929 -4778.060729 718.333977 6498.140817 -1167.246228 4073.615211 3404.703413 415.738679 -5453.838388 -10217.686636 1854.006381
391 -165894226.2281236947 -54099.144531 -10415.901471 3127.075700 -6294.610668 -11533.249887 -4086.377188 834.108186 3462.309303 -882.698570 6324.597930 3248.640997 -756.125321 -3911.287518 -8982.342758 2451.128703
394 -173314126.5685818791 -54935.828514 -11289.725922 3734.912545 -5006.350032 -15375.356848 -8359.959328 -364.717179 955.948983 -2166.000119 5779.864529 3235.924696 -2966.348176 -2100.744576 -11010.355636 -410.255066
395 -173977217.5100119710 -55151.536401 -13273.932071 3142.582903 -6697.538167 -13384.893674 -8240.274585 3258.670523 1565.300524 -1885.566871 2325.730524 6938.169774 -3262.624882 -4398.256745 -8405.738119 -901.485146
396 -180469729.3251538873 -56472.639496 -11801.809870 112.995142 -6099.810382 -12680.245190 -6988.999491 1878.790426 2856.187893 -161.504097 3613.561385 9843.891644 -2743.209683 -7054.019257 -6809.346118 -1654.493539
400 -182549369.0248759985 -56708.364904 -12879.499594 -3199.697474 -5526.088033 -11696.389224 -9903.579201 2558.967684 5363.942342 172.584690 -739.385936 9076.175764 -2119.470277 -5488.462656 -5234.295925 -514.698553
402 -196908507.5144833326 -59240.207402 -13379.267093 -5645.859849 -3704.065674 -11830.994760 -7606.582284 1665.467167 4747.206382 -4344.353512 -934.456968 6316.649606 -4314.183348 -5110.586334 -6357.038205 -937.978233
404 -208389883.7874919772 -60597.469637 -13984.139249 -5659.396457 -6643.182212 -11766.600414 -9394.262497 383.394939 4924.651787 -5523.790141 2280.056549 7787.423587 -6324.400048 -5791.145747 -4124.618275 -2961.027011
408 -232126319.8832904994 -64149.112747 -13965.570535 -9058.174003 -6532.963867 -11457.007927 -10590.446480 -238.505847 4540.819263 -8156.157749 3703.928405 8472.225966 -8655.895746 -7087.769924 -1241.388784 590.015650
409 -237027580.2885510921 -64761.207388 -15857.209164 -5949.047549 -4716.063352 -11036.205934 -13694.296159 157.081893 6051.634847 -5255.377556 2518.418565 7514.733975 -10548.855763 -9326.280942 -6402.947415 2491.696097
412 -257248701.9791169465 -66981.823616 -19783.915067 -436.636231 -2307.110640 -10572.428252 -18437.841164 -1220.333425 11311.327269 -6126.669539 1056.889830 8222.266293 -6239.396053 -9910.457003 -8281.283185 6807.942632
