evaluations raw_y x0 x1 x2 x3 x4
1 2112.2153320312 -0.248928 0.248928 0.248928 -0.248928 -0.248928
2 971.3012695312 0.601231 -0.601231 -0.601231 0.601231 0.601231
3 -3174.8034667969 4.877833 -4.877833 -4.877833 4.877833 4.877833
4 1668.3723144531 -4.605106 4.605106 4.605106 -4.605106 -4.605106
5 3497.8210449219 -2.540968 2.540968 2.540968 -2.540968 -2.540968
6 -6213.2592773438 2.820915 -2.820915 -2.820915 2.820915 2.820915
7 -7155.8886718750 2.326088 -2.326088 -2.326088 2.326088 2.326088
8 3478.6315917969 -1.981064 1.981064 1.981064 -1.981064 -1.981064
9 3382.6103515625 -1.701131 1.701131 1.701131 -1.701131 -1.701131
10 -9229.9375000000 1.356181 -1.356181 -1.356181 1.356181 1.356181
11 -5606.9370117188 3.166006 -3.166006 -3.166006 3.166006 3.166006
12 3033.3984375000 -3.446027 3.446027 3.446027 -3.446027 -3.446027
13 2157.1494140625 -4.252870 4.252870 4.252870 -4.252870 -4.252870
14 -4337.2993164062 3.980218 -3.980218 -3.980218 3.980218 3.980218
15 578.2302856445 0.873970 -0.873970 -0.873970 0.873970 0.873970
16 -8524.4716796875 1.672866 -1.672866 -1.672866 1.672866 1.672866
17 -8962.2792968750 1.475170 -1.475170 -1.475170 1.475170 1.475170
18 -7966.0849609375 1.931964 -1.931964 -1.931964 1.931964 1.931964
19 -9020.8662109375 1.449016 -1.449016 -1.449016 1.449016 1.449016
20 -9210.1835937500 1.364920 -1.364920 -1.364920 1.364920 1.364920
21 -9294.5332031250 1.327645 -1.327645 -1.327645 1.327645 1.327645
22 21.5515136719 1.255666 -1.255666 -1.255666 1.255666 1.255666
23 -8278.3232421875 1.786013 -1.786013 -1.786013 1.786013 1.786013
24 -9220.9013671875 1.360177 -1.360177 -1.360177 1.360177 1.360177
25 -8782.4921875000 1.555852 -1.555852 -1.555852 1.555852 1.555852
26 -9208.3857421875 1.365717 -1.365717 -1.365717 1.365717 1.365717
27 -9183.1455078125 1.376895 -1.376895 -1.376895 1.376895 1.376895
28 -8656.4707031250 0.000000 0.083719 -1.919766 -0.083719 1.919766
