evaluations raw_y x0 x1 x2 x3 x4
1 -6279.3212890625 -0.611676 -0.065449 3.503843 4.996553 2.290795
2 3229.2343750000 1.054082 -3.919692 -3.655156 2.161153 -2.267418
3 3801.5036621094 -3.365111 -0.295901 0.023649 -2.812310 -2.239213
4 554.2480468750 -0.422189 -1.792214 -1.113302 -3.995005 1.047331
5 -6455.1132812500 3.644968 2.627505 2.332067 -2.606695 1.414534
6 -6052.0693359375 1.819174 -0.846976 -3.703254 1.112385 3.283452
7 -7626.9345703125 -1.834791 4.567738 -3.389051 0.191224 0.830820
8 796.7575073242 -3.158655 -1.367261 -3.991618 4.428481 -0.159822
9 2245.3383789062 3.678345 1.779529 -0.285570 0.857664 -1.475784
10 -5116.8471679688 4.049697 -1.458714 3.594827 -1.333719 3.936445
11 -5650.0581054688 -3.420748 2.294169 4.923463 1.571053 3.231936
12 2635.1203613281 -3.216072 2.140357 -4.164376 -4.174232 -2.023283
13 2396.5393066406 3.686591 1.507612 -4.994789 -4.128363 -3.334358
14 876.1939697266 4.786593 3.860523 -0.834856 -3.860440 -1.208003
15 1441.8564453125 1.955925 -4.636282 3.905097 -3.138640 -1.274542
16 -4927.2031250000 2.998709 5.000000 -5.000000 5.000000 1.618733
17 -6761.7534179688 -5.000000 5.000000 -4.064527 -3.004079 1.518120
18 -6481.2294921875 -5.000000 3.819607 5.000000 3.143899 0.999822
19 -6879.7348632812 -5.000000 5.000000 -5.000000 -5.000000 0.781974
20 -4967.7636718750 -5.000000 -0.986653 5.000000 5.000000 3.968952
21 -3599.1674804688 5.000000 2.600434 -5.000000 -5.000000 5.000000
22 -7381.1528320312 -5.000000 3.366499 -5.000000 0.057591 1.260074
23 626.6746826172 -5.000000 5.000000 5.000000 5.000000 -5.000000
24 -4236.5620117188 5.000000 -5.000000 5.000000 5.000000 3.170049
25 -5124.6704101562 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
26 -3359.7072753906 5.000000 5.000000 -5.000000 5.000000 5.000000
27 -3869.1398925781 5.000000 -5.000000 -5.000000 5.000000 5.000000
28 -7120.5825195312 -5.000000 1.786090 -5.000000 -5.000000 2.321447
29 254.9903869629 5.000000 -5.000000 5.000000 5.000000 -5.000000
30 -6421.2402343750 -5.000000 3.470622 5.000000 -5.000000 1.513215
31 -5184.2363281250 4.999847 5.000000 -5.000000 5.000000 0.433820
32 -4823.0034179688 5.000000 1.390334 -5.000000 5.000000 2.526605
33 -6898.0717773438 -5.000000 -0.075585 2.723546 -5.000000 2.959174
34 -6813.2163085938 -5.000000 3.701558 -0.949558 5.000000 1.224069
35 -6334.7026367188 -5.000000 -5.000000 -5.000000 -5.000000 3.642619
36 -5656.9672851562 -5.000000 -1.835143 -5.000000 5.000000 3.112526
37 -6553.4643554688 -5.000000 -0.072593 -5.000000 -5.000000 3.458131
38 -6172.2294921875 -5.000000 1.235634 5.000000 -5.000000 2.504639
39 -4982.6679687500 4.998768 4.187784 -5.000000 -5.000000 1.174022
40 -3970.5683593750 -5.000000 5.000000 -5.000000 -5.000000 5.000000
41 -6140.8212890625 -2.323140 3.904640 -5.000000 5.000000 1.016886
42 -6648.5908203125 -5.000000 5.000000 -0.100088 5.000000 0.858769
43 -5210.4995117188 -5.000000 -5.000000 5.000000 -5.000000 4.109917
44 -6390.1547851562 -5.000000 5.000000 5.000000 -5.000000 0.872940
45 -7759.5483398438 -5.000000 3.470356 -1.143614 -5.000000 1.596373
46 -7384.9321289062 -5.000000 2.791293 -0.893825 -5.000000 2.228518
47 -8227.0185546875 -5.000000 3.811865 -0.913606 -1.419747 1.213081
48 -3910.9082031250 -5.000000 5.000000 5.000000 -5.000000 5.000000
49 -8447.2685546875 -5.000000 3.856660 -0.694153 -1.434160 1.018302
50 -7824.2285156250 -5.000000 1.556526 -0.488497 -0.318824 2.276368
51 -8730.7031250000 -5.000000 3.812449 -0.405469 -1.483120 0.816276
52 -5693.5351562500 -5.000000 -5.000000 -1.601308 5.000000 3.937268
53 -9081.9521484375 -5.000000 3.644538 0.171708 -1.688418 0.606919
54 -4085.7316894531 -5.000000 5.000000 -5.000000 5.000000 3.441937
55 -9293.6113281250 -5.000000 3.286599 1.373773 -2.901800 0.450597
56 1605.5122070312 -5.000000 -5.000000 -5.000000 -5.000000 -5.000000
57 -4324.7573242188 -5.000000 0.588567 -5.000000 5.000000 5.000000
58 103.5877227783 5.000000 5.000000 -5.000000 -5.000000 -5.000000
59 -8899.7333984375 -5.000000 2.991262 2.249960 -4.927092 0.385682
60 -9350.1660156250 -5.000000 3.570421 1.554672 -1.199691 0.227626
61 -4954.1909179688 -5.000000 -0.735613 5.000000 -5.000000 5.000000
62 67.5380706787 -5.000000 3.640064 0.939080 -1.537981 0.204243
63 -5882.5336914062 -5.000000 5.000000 5.000000 -5.000000 1.532667
64 -6154.8701171875 -5.000000 -5.000000 -5.000000 5.000000 2.301774
65 -7823.1977539062 -5.000000 2.507436 -5.000000 -5.000000 1.388165
66 -5994.3691406250 -5.000000 2.526427 5.000000 5.000000 1.434463
67 1784.7618408203 -5.000000 -0.018020 5.000000 -5.000000 -5.000000
68 -5932.5405273438 -5.000000 2.621648 5.000000 5.000000 1.492104
69 -3854.0546875000 5.000000 5.000000 5.000000 -5.000000 2.758162
70 -5958.6542968750 -5.000000 2.603112 -5.000000 5.000000 1.519503
71 -6138.0581054688 -5.000000 -5.000000 5.000000 -5.000000 2.520692
72 -4473.7060546875 5.000000 -5.000000 5.000000 -5.000000 3.119124
73 -7161.3251953125 -5.000000 5.000000 -5.000000 -5.000000 0.493021
74 -4704.5302734375 -4.616999 3.431190 4.831714 -2.255583 5.000000
75 -7737.9892578125 -5.000000 2.773771 -5.000000 -5.000000 1.331579
76 -7760.5463867188 -5.000000 2.776220 -5.000000 -5.000000 1.310930
77 -4189.5410156250 5.000000 -1.975858 -5.000000 -5.000000 5.000000
78 -6192.3393554688 -5.000000 5.000000 5.000000 5.000000 0.152012
79 -7083.5551757812 -5.000000 -2.573634 -5.000000 -5.000000 3.259181
80 -6360.7734375000 -5.000000 5.000000 5.000000 -5.000000 0.909897
81 -4360.8554687500 5.000000 1.605209 -5.000000 -5.000000 3.406684
