evaluations raw_y x0 x1 x2 x3 x4
1 -8492.5830078125 -2.581686 4.130087 2.871755 1.750385 0.130090
2 -5432.2666015625 4.535535 -0.101966 -1.441948 -4.765055 3.034475
3 -7176.7167968750 -1.274195 -3.057308 -1.562717 0.916743 3.546183
4 1040.3327636719 -2.759199 -2.503629 4.010859 2.288469 -0.865653
5 -5890.7031250000 3.597413 2.692756 -0.045880 3.575466 1.859663
6 2695.8176269531 -0.008954 -2.189985 -3.692086 -0.849500 -0.880558
7 1108.6677246094 1.528436 -2.700031 -3.552888 -2.485698 0.440720
8 1911.3914794922 4.078436 4.694725 -2.429060 4.392126 -3.465968
9 -5263.9965820312 1.327909 -1.496966 3.519114 3.007548 4.336816
10 -7063.0839843750 -3.219165 -3.258236 -1.284282 4.708397 2.878041
11 1328.4759521484 -4.521426 -4.537546 3.782270 1.364914 -2.369388
12 -4638.0004882812 1.833843 4.791771 2.117249 -4.627415 3.681785
13 2279.8149414062 -1.126284 -3.300412 0.363725 2.041900 -1.092228
14 4173.7817382812 -0.844590 -1.961328 3.172033 -3.073598 -3.259031
15 -7710.8266601562 -0.268299 -3.809149 4.580948 3.480786 1.207721
16 4056.9831542969 -2.887229 3.071822 0.187671 1.575565 -3.305942
17 -5093.5571289062 -2.014502 3.963247 -0.918915 -3.186996 4.923971
18 2086.9255371094 -4.731828 -4.908796 -4.477263 -4.185056 -3.000707
19 1774.2668457031 3.247260 -3.517813 -0.081956 -3.442345 -0.657520
20 4.4082641602 -1.457113 -0.637905 -2.846964 -2.370418 1.507657
21 -5129.6279296875 3.122268 4.215181 -4.141409 2.183248 2.511798
22 -7323.2729492188 0.096493 -4.424930 -3.111124 2.651794 2.773973
23 4955.9975585938 -3.675830 -0.893074 1.615683 0.796035 -4.721098
24 3464.6782226562 0.776628 -4.197049 -0.607644 -4.007921 -2.197196
25 -5977.9091796875 2.578657 -3.612850 4.659264 4.596142 2.049912
26 3749.9526367188 3.424140 -1.733510 2.458391 2.911577 -3.646830
27 4032.2067871094 3.774010 2.928413 2.752236 1.917709 -4.832029
28 -5955.9707031250 0.691437 -0.467662 -1.696566 -2.267831 4.103317
29 -9048.2119140625 1.114080 -1.594793 4.180649 0.209050 0.481730
30 4547.0556640625 0.256018 -3.990006 2.319787 -1.063523 -4.050215
31 -7340.5571289062 -4.856966 -1.928380 -2.005326 3.776301 2.630413
32 346.1841430664 -1.213943 1.866097 1.684887 3.923640 -0.009124
33 -9598.1621093750 -2.679033 -1.320341 -3.171682 -0.513526 1.598152
34 3324.4736328125 -4.223357 2.225173 -2.525924 2.356858 -2.916372
35 -7885.4082031250 1.625462 -1.056922 4.788097 -2.181049 1.014303
36 -5439.9204101562 4.687270 2.093429 -4.235429 -1.978523 2.360402
37 2376.0788574219 -3.428410 1.228681 0.644221 4.173982 -1.876571
38 -5888.2197265625 2.114219 -4.845282 4.334202 -2.794286 3.389671
39 -5126.7851562500 4.940395 -0.770637 1.392173 2.514093 3.442736
40 -6218.9897460938 -0.883280 -1.240403 2.700605 1.084938 3.836041
41 3754.4570312500 2.991856 2.396333 -4.691241 0.669455 -4.328486
42 4298.9653320312 1.216015 -2.807412 0.750299 0.074300 -2.684207
43 5791.1855468750 -0.544580 1.031042 -1.856402 -2.639440 -4.528973
44 -6384.5317382812 -0.713504 4.523562 1.926056 -1.745248 2.109867
45 14.8036956787 -4.922909 -3.773746 -4.822266 0.359443 0.770680
46 2060.4934082031 4.865650 4.415648 -3.472021 2.797093 -3.903832
47 -4465.9716796875 2.857216 0.941374 2.495625 4.816138 4.655125
48 969.9279785156 -4.157164 3.153885 -0.357140 -3.397273 -0.255418
49 -4417.8457031250 0.949964 4.926826 3.045178 1.232868 4.562671
50 -4976.6459960938 2.235919 2.797678 1.459934 -1.609450 3.946615
51 4291.6435546875 -2.131500 -0.266059 1.049956 -0.266644 -2.566426
52 -7454.6132812500 -0.113648 1.775042 -0.780019 3.300298 1.391070
53 601.9798583984 4.230700 1.406029 0.871555 -0.068732 -0.161091
54 -5439.7758789062 -2.220533 3.859227 -0.306203 -1.378775 4.247279
55 3357.5026855469 3.842265 0.083112 3.867516 -4.363263 -4.126169
56 1447.6333007812 2.706300 -2.876110 -4.989007 -3.774089 -0.466596
57 -7633.2558593750 0.341324 -0.444706 0.234261 -3.895838 2.221559
58 -8431.7109375000 -1.807782 1.981519 1.970480 1.477578 0.941384
59 1092.0722656250 2.352533 3.787603 0.553564 -1.493360 -0.511297
60 3755.1154785156 -3.032502 3.649503 -4.442741 -1.152376 -4.924563
61 2138.4833984375 4.369220 -2.381004 -0.492373 -3.608613 -1.289518
62 3144.7539062500 -1.560062 -0.018949 -2.991043 -1.805027 -1.237124
63 3749.3767089844 3.289685 -2.280996 -3.806886 -0.344032 -2.815588
64 159.5352172852 -3.582751 1.270328 1.257434 -2.873938 0.716555
65 -4897.3657226562 -3.848110 2.549296 4.298233 -4.885337 4.810390
66 2334.6999511719 1.938579 0.405590 -1.007764 4.964470 -1.767881
67 3970.1394042969 0.539375 -4.331519 -2.619632 -4.571777 -3.679708
68 2120.4072265625 -4.059844 1.540660 3.366781 -4.285123 -1.972436
69 4174.3720703125 1.726224 -4.641139 -4.036139 -0.020577 -4.355322
70 -8066.6010742188 4.035600 0.219549 -2.091202 4.262961 0.213029
71 2215.6906738281 -3.361129 0.644070 3.647001 -0.918175 -1.571412
72 839.6400146484 -2.444572 3.523033 4.911993 3.143747 -1.400826
73 3271.0166015625 -0.463428 3.352983 -3.354897 -0.662739 -2.306690
74 -7029.5034179688 -4.444263 0.500867 -2.248326 0.470706 3.235138
75 -7580.6137695312 -1.778591 0.859492 -1.145967 3.952637 1.691562
76 -7650.9243164062 -3.936585 3.593845 1.348570 -0.513526 1.598152
77 -7211.4755859375 -0.413853 -0.916891 -4.758902 -3.185605 2.684784
78 1190.1702880859 -1.274195 -2.602711 -4.010426 0.916743 0.227851
79 4627.8222656250 -1.593655 1.508883 0.387978 2.298649 -3.326688
80 -8318.3232421875 -4.184988 -1.702638 0.137869 3.575466 1.859663
81 3213.8657226562 -2.092478 -1.699701 -0.641424 3.280117 -1.951230
82 -7583.6860351562 -4.049583 -2.700031 -3.939058 0.645451 3.089390
83 2869.8073730469 -0.982065 4.694725 -1.440793 4.392126 -3.465968
84 2642.6467285156 -1.597149 -4.010643 -0.765000 -2.597727 -1.027066
85 3080.8791503906 -0.690507 -3.667257 -1.781248 -0.658524 -1.289026
