evaluations raw_y x0 x1 x2 x3 x4
1 91.6789800000 0.248928 -0.248928 0.248928 -0.248928 0.248928
2 753.0692400000 -0.601231 0.601231 -0.601231 0.601231 -0.601231
3 5246.1828000000 -4.877833 4.877833 -4.877833 4.877833 -4.877833
4 -6078.7711563562 4.605106 -4.605106 4.605106 -4.605106 4.605106
5 -6705.2796729738 2.540968 -2.540968 2.540968 -2.540968 2.540968
6 3965.8375700000 -2.820915 2.820915 -2.820915 2.820915 -2.820915
7 3714.7283900000 -2.326088 2.326088 -2.326088 2.326088 -2.326088
8 -7169.2527898955 1.981064 -1.981064 1.981064 -1.981064 1.981064
9 -7397.9536037093 1.701131 -1.701131 1.701131 -1.701131 1.701131
10 2374.7165700000 -1.356181 1.356181 -1.356181 1.356181 -1.356181
11 4252.4476200000 -3.166006 3.166006 -3.166006 3.166006 -3.166006
12 -6171.3151760785 3.446027 -3.446027 3.446027 -3.446027 3.446027
13 -6124.1592163012 4.252870 -4.252870 4.252870 -4.252870 4.252870
14 4664.2982000000 -3.980218 3.980218 -3.980218 3.980218 -3.980218
15 1514.0206600000 -0.873970 0.873970 -0.873970 0.873970 -0.873970
16 -7377.1802926001 1.838538 -1.838538 1.838538 -1.838538 1.838538
17 -7271.2610418764 1.933743 -1.933743 1.933743 -1.933743 1.933743
18 -7387.3585704578 1.782866 -1.782866 1.782866 -1.782866 1.782866
19 -7255.2403865229 1.944971 -1.944971 1.944971 -1.944971 1.944971
20 -7314.0706419870 1.861988 -1.861988 1.861988 -1.861988 1.861988
21 -7383.8608052320 1.804409 -1.804409 1.804409 -1.804409 1.804409
22 -7397.9536037093 1.723496 -1.723496 1.723496 -1.723496 1.723496
23 -7407.2274969514 1.750670 -1.750670 1.750670 -1.750670 1.750670
24 -7407.2274969514 1.752350 -1.752350 1.752350 -1.752350 1.752350
25 -7413.4729659861 1.749573 -1.749573 1.749573 -1.749573 1.749573
26 -8345.4850102173 0.000000 -1.584536 1.542454 -1.542454 1.584536
27 -8057.5523756882 0.000000 -1.952431 0.130440 -0.130440 1.952431
28 -8321.9249938798 0.000000 -1.627599 -0.898567 0.898567 1.627599
29 -7234.1822873369 0.000000 -2.629289 0.968055 -0.968055 2.629289
30 -8307.1968116243 0.000000 -1.133314 -4.968663 4.968663 1.133314
31 -6700.4734901855 0.000000 -3.278924 -4.781572 4.781572 3.278924
32 -7306.9562235373 0.000000 -2.616243 4.749578 -4.749578 2.616243
33 -8324.9332736226 0.000000 -1.217662 4.143963 -4.143963 1.217662
34 -8358.3334246118 0.000000 -0.868327 4.777942 -4.777942 0.868327
35 264.1295200000 0.000000 0.064193 -0.280797 0.280797 -0.064193
36 -8244.9737255425 0.000000 -1.087654 2.590101 -2.590101 1.087654
37 -8349.0848184169 0.000000 -1.060902 4.960387 -4.960387 1.060902
38 1636.7916000000 0.000000 0.720778 4.969105 -4.969105 -0.720778
39 -8389.4949255631 0.000000 -0.917401 4.993776 -4.993776 0.917401
40 -8358.8159281194 0.000000 -1.006088 4.949432 -4.949432 1.006088
41 -8344.8201790938 0.000000 -0.953794 4.981293 -4.981293 0.953794
42 -8344.8201790938 0.000000 -0.950500 4.996351 -4.996351 0.950500
43 -8390.4355081757 0.000000 -0.902124 4.990735 -4.990735 0.902124
44 -8344.8201790938 0.000000 -0.946854 4.979862 -4.979862 0.946854
45 -8402.0276732637 0.000000 -0.884549 4.975951 -4.975951 0.884549
46 -8390.4355081757 0.000000 -0.907697 4.993789 -4.993789 0.907697
47 -8344.8201790938 0.000000 -0.944812 4.952488 -4.952488 0.944812
48 -8390.4355081757 0.000000 -0.902523 4.990413 -4.990413 0.902523
49 -8390.4355081757 0.000000 -0.902364 4.998404 -4.998404 0.902364
50 -8357.6235842507 0.000000 -0.850107 4.993264 -4.993264 0.850107
51 -8390.4355081757 0.000000 -0.893907 4.995560 -4.995560 0.893907
52 -8390.4355081757 0.000000 -0.899527 4.999470 -4.999470 0.899527
53 -8368.4853693211 0.000000 -0.872808 4.995515 -4.995515 0.872808
54 -8390.4355081757 0.000000 -0.889320 4.998980 -4.998980 0.889320
55 -8020.3897187909 0.000000 -1.202692 -4.272497 -4.648844 2.027718
56 -8463.7958883781 0.000000 -1.490117 4.882896 4.362416 0.821280
57 2391.5220800000 0.000000 -1.477021 -4.663469 0.218682 -1.092185
58 -8595.6415569170 0.000000 -4.727936 -1.767927 4.221144 1.370609
59 -7442.6368689896 0.000000 2.643925 -4.342840 -2.724795 1.501518
60 -7458.2005300536 0.000000 0.896459 0.392469 4.884385 1.555749
61 -8660.0478153788 0.000000 -2.031781 -4.481989 -3.697633 1.497453
62 -8836.1046273412 0.000000 -4.912924 1.267701 3.350070 1.313594
63 -8787.8901157695 0.000000 -4.982430 -3.916505 2.263579 1.751678
64 -8630.9627738521 0.000000 -1.900925 -4.505411 -4.065264 1.557857
65 -8888.8341337624 0.000000 -4.876025 -1.830135 -2.639239 1.629651
66 -8309.8559573707 0.000000 -2.165564 -4.808183 4.750534 1.727035
67 -8694.9087745081 0.000000 -4.087078 -2.740767 -4.494339 1.785244
68 -9050.2844714054 0.000000 -4.951996 -4.364427 4.298131 1.193406
69 -8509.8417853933 0.000000 -4.394825 -2.897814 0.443766 1.536535
70 -7383.8398466365 0.000000 0.793844 3.646077 4.194556 1.593199
71 -7542.1223321572 0.000000 4.249572 -4.920079 3.491130 0.785723
72 -8838.6922437140 0.000000 -4.190577 -0.800374 4.758552 0.950342
73 -8729.6701399289 0.000000 -4.964266 -0.158111 3.139222 1.555829
74 -9011.2151671844 0.000000 -4.806173 -4.320472 3.727178 1.054814
75 -8857.8861422258 0.000000 -4.800761 -1.870999 4.487599 1.138589
76 -9002.9158309553 0.000000 -4.832463 -4.102692 4.587306 1.003569
77 -9016.1605226540 0.000000 -4.965028 -0.350271 4.866306 1.090920
78 -9169.5981649048 0.000000 -4.956630 -4.132252 -4.513297 1.275545
79 -9176.2531267999 0.000000 -4.986539 -0.910906 -4.343749 1.194108
80 154.9854400000 0.000000 -4.934024 -4.034256 -3.957636 0.995311
81 -8722.7959820477 0.000000 -4.603276 -0.034441 -4.487826 1.448953
82 -9390.9617233258 0.000000 -4.838425 0.780207 -3.516255 0.856208
83 -7800.7027947144 0.000000 0.823072 -0.852381 -2.632895 1.290749
84 -9154.0283821767 0.000000 -4.924599 0.037328 -4.997949 1.129572
85 -8677.1348917530 0.000000 -4.536260 -1.087976 -2.608534 1.405941
86 -8866.7945466232 0.000000 -4.156636 2.369492 -1.364367 0.775401
87 -8531.5576845344 0.000000 -4.405355 -0.304104 -1.283311 1.441455
88 -9401.9857826458 0.000000 -4.998573 1.566235 -2.384254 0.601674
89 -9122.4722606103 0.000000 -4.795702 2.240595 -1.223047 0.727612
90 177.7304400000 0.000000 -4.237470 1.700613 -3.727839 0.375988
91 -9338.0072248657 0.000000 -4.952605 0.287351 -0.289054 0.674458
92 -9131.2637213341 0.000000 -4.884001 2.909216 -1.121504 0.970286
93 -9093.5432656961 0.000000 -4.986771 1.217610 -2.992154 1.095800
94 -10060.9174011309 0.000000 -4.938738 1.049733 -1.696295 0.510960
95 -9402.6977371808 0.000000 -4.924656 0.436966 -2.448055 0.748131
96 -9363.3908191591 0.000000 -4.988023 1.073745 -0.828153 0.788845
97 619.4229900000 0.000000 -4.959897 0.406103 -1.734135 0.097200
