evaluations raw_y x0 x1 x2 x3 x4
1 -8426.9589616265 2.708933 -4.860414 -0.097676 0.890153 0.601084
2 -5714.4477649384 4.548849 -1.232369 0.462326 -2.405046 4.288832
3 4992.0595000000 -4.026570 2.346813 2.241910 1.729486 -4.498690
4 -6788.7732058865 -0.996255 1.420616 -4.235831 -2.330837 2.458923
5 3569.2375100000 1.811975 -4.286052 4.457528 -4.876806 -2.458902
6 3230.4141900000 -2.784961 0.698372 2.789521 -1.600579 -2.071284
7 -8909.3919813250 -1.820404 -1.913228 3.150398 -4.030899 1.101786
8 1148.6708200000 1.281467 -2.449394 -2.642903 4.794614 -0.511878
9 3927.7075900000 -0.119914 3.691480 1.376622 1.602531 -3.352305
10 2372.4226700000 0.446405 0.246385 -2.076216 2.837961 -1.480813
11 -7751.4586793221 -1.465758 2.101021 -4.467897 -3.295364 1.872900
12 4663.9658000000 -4.561641 -0.565003 -1.587600 0.157357 -3.910999
13 -5150.0109765039 3.313566 4.541205 -3.378552 4.262276 3.581634
14 -7677.0553667018 3.888259 3.555219 -0.917878 3.185261 0.152564
15 -7317.6914767957 -3.101021 -3.278822 3.713001 -0.723274 4.620986
16 -7288.8726516566 4.198215 1.335406 -3.290742 -4.839249 1.082846
17 -7286.4294263350 3.786810 2.744844 -3.437505 -3.863356 0.849354
18 -7011.0154813483 4.376384 3.150193 -1.911256 -2.109298 0.761954
19 -8345.8905464351 -1.145478 -3.049750 4.534082 2.426831 1.545577
20 -6823.4955049191 4.581879 3.722041 0.770963 -0.702691 0.867073
21 -8380.7276187511 -2.070461 0.136103 0.407459 -0.642526 1.009336
22 -8753.3224169369 -3.148850 -0.001525 3.912604 -4.168446 1.360873
23 -7895.0323370601 0.926740 -1.971816 2.113899 -1.388909 1.336995
24 -9386.1673742058 -3.551566 -1.954240 4.852869 -1.887446 1.032712
25 -8805.4595178076 -0.781558 -1.835698 0.940926 -2.531774 0.850851
26 -9645.7167436465 -4.964569 -1.014799 4.311712 -4.400845 0.817072
27 -9757.4452839546 -1.883140 -4.766099 4.519427 -3.591514 0.848220
28 -9150.1815549831 -4.151046 -0.279856 3.882456 -3.009966 0.872193
29 -10333.2169127974 -4.054172 -4.935683 4.232028 -1.736026 1.203726
30 -9754.0683301877 -4.931125 -2.392662 4.935397 -1.704677 1.168522
31 -10136.8042224855 -4.185130 -4.749561 4.452944 -1.027952 1.096972
32 -10528.4609652236 -4.657304 -4.854319 0.865964 -1.419212 1.158435
33 -10529.1748771164 -4.594098 -4.670814 1.965165 -4.407676 0.960153
34 -9877.5606768602 -4.773976 -4.467391 1.714546 -4.532354 1.290273
35 -10119.2840945963 -4.482845 -4.954229 4.149104 -0.772420 1.270340
36 -10108.6333790755 -4.993455 -3.702723 -2.313451 -2.039727 1.087196
37 -10575.6342148494 -4.893280 -4.683067 0.804902 -3.412186 1.064554
38 5.2173400000 -4.742202 -4.895329 -2.574327 -4.670008 0.906109
39 290.2633000000 -3.774674 -3.389122 -0.162295 -3.804512 0.479974
40 -10162.5566428395 -3.451620 -3.835012 -1.632796 -2.782526 0.878496
41 -7380.0300235642 -0.271543 3.468693 -3.496590 -1.276704 1.285868
42 -7578.8015292518 -2.813982 3.971984 4.240245 -0.720702 1.176722
43 -7963.1021617093 4.141213 -3.591777 -2.445861 -3.317906 1.019781
44 -9608.2935411395 -4.731940 -4.452653 -3.399370 -0.626084 1.525273
45 -7533.2001592451 -1.778716 4.496294 -1.667162 -2.059637 1.297387
46 -8487.0663359275 -3.494442 0.959102 1.324198 -3.638342 0.877710
47 -10296.5494991721 -2.023815 -4.876076 -0.144563 -2.170082 0.872092
48 -9750.2105119059 -4.811838 -4.149160 2.548284 -4.236109 1.148950
49 -10184.0843454024 -4.333428 -4.498120 2.417678 -3.191370 1.207036
50 -9644.4922933541 -4.537622 -2.903790 2.689358 -4.499060 1.093542
51 -9635.6230725403 -4.693196 -2.412898 1.772984 -3.383748 1.078219
52 -10147.2319806218 -4.886437 -4.384159 1.035050 -2.964109 1.058884
53 -9882.9374312588 -3.298588 -4.414316 0.976922 -3.136162 1.018065
54 -10464.8436488439 -4.549478 -4.648203 -0.152601 -2.861279 1.077367
55 -9516.6297308631 -2.424992 -3.163975 1.221201 -2.820689 1.006057
56 -10380.7320142965 -4.205308 -4.704462 0.958004 -3.305536 1.031334
57 -10479.4526767138 -4.677328 -4.912816 1.358828 -3.542247 1.004031
58 -9995.0460117071 -4.863406 -4.145191 0.944880 -3.121086 1.093306
59 -9797.3547942319 -4.617780 -3.764637 1.280284 -3.764215 1.017914
60 -10305.8295203101 -4.819092 -4.534722 1.300430 -3.329131 1.042360
61 -10459.0561344960 -4.771985 -4.660182 0.709296 -3.287275 1.064377
62 -10705.6790718712 -4.935718 -4.960771 1.019173 -3.526443 1.079257
63 -10722.9895627145 -4.851626 -4.983124 0.957022 -3.451268 1.055087
64 -10538.8038980587 -4.324517 -4.929059 0.777566 -3.475463 1.044770
65 -10485.5334269763 -4.428336 -4.949111 1.000308 -3.563170 1.092092
66 -10392.3991697111 -4.265054 -4.718834 0.806312 -3.353916 1.066986
67 -10623.6609769050 -4.790813 -4.937513 0.721154 -3.525670 1.075865
68 -10501.3289179040 -4.683171 -4.811603 0.713960 -3.605782 1.042739
69 -10767.9255746477 -4.969378 -4.889045 0.733011 -3.330670 1.068076
70 -10748.0586419841 -4.983480 -4.959060 0.765519 -3.451386 1.028433
71 -10730.6572040143 -4.902239 -4.994461 0.850640 -3.543343 1.057605
72 -10654.8138411177 -4.739619 -4.957519 0.522319 -3.515926 1.047114
73 -10667.9694932788 -4.896121 -4.790771 0.571046 -3.434372 1.064104
74 -10593.6027887263 -4.468588 -4.952112 0.582060 -3.465385 1.058992
75 -10748.0586419841 -4.886080 -4.937868 0.673612 -3.518544 1.060261
76 -10613.8216689264 -4.809880 -4.957511 0.699701 -3.380877 1.066345
77 -10750.5241366779 -4.960913 -4.911818 0.820540 -3.225204 1.075387
78 -10633.6886015900 -4.767831 -4.853364 0.731219 -3.253827 1.068395
79 -10640.1678565501 -4.919817 -4.764629 0.735612 -3.406742 1.053967
80 -10767.9255746477 -4.988162 -4.906273 0.644230 -3.280593 1.060687
81 -10509.9303976073 -4.823709 -4.798326 0.719244 -3.322273 1.066106
82 -10633.6886015900 -4.796440 -4.953736 0.705730 -3.351822 1.067923
83 -10767.9255746477 -4.873674 -4.962647 0.684998 -3.298435 1.075966
84 -10760.3349778185 -4.988063 -4.962875 0.779419 -3.301969 1.065026
85 -10760.3349778185 -4.959825 -4.930272 0.783723 -3.323447 1.071227
86 4148.2169900000 3.890797 2.895105 -4.499905 3.607725 -3.034205
87 4645.2754000000 3.376881 -2.494571 2.020244 -1.831193 -4.117350
88 2855.6000300000 -0.367251 3.688027 -1.269931 -4.179937 -1.619517
89 -6875.6394859459 0.563998 -4.067030 2.506238 -4.497706 3.412536
90 -7038.9725273378 -4.906311 1.667636 -4.298935 0.405296 2.972846
91 -4941.1190737356 4.770833 1.379118 0.377863 4.951489 4.972711
92 -7454.0874201117 0.089474 3.544825 -0.029789 4.060078 0.659369
93 1541.7457500000 1.051463 -3.321690 -2.104622 -3.489935 -0.508852
94 1067.0256700000 -2.779339 -0.218041 -3.257973 1.440411 -0.113994
95 4962.5916000000 2.608965 -1.740591 -0.450715 -0.175990 -4.502070
