evaluations raw_y x0 x1 x2 x3 x4
1 560.3334886890 0.248928 -0.248928 -0.248928 -0.248928 -0.248928
2 -8042.4671045166 -0.601231 0.601231 0.601231 0.601231 0.601231
3 -5844.3314599288 -4.877833 4.877833 4.877833 4.877833 4.877833
4 6658.3520438082 4.605106 -4.605106 -4.605106 -4.605106 -4.605106
5 3517.5653678527 2.540968 -2.540968 -2.540968 -2.540968 -2.540968
6 -5886.8141505210 -2.820915 2.820915 2.820915 2.820915 2.820915
7 -6177.6704101095 -2.326088 2.326088 2.326088 2.326088 2.326088
8 2743.6552070459 1.981064 -1.981064 -1.981064 -1.981064 -1.981064
9 2369.2121226554 1.701131 -1.701131 -1.701131 -1.701131 -1.701131
10 -7063.5248754413 -1.356181 1.356181 1.356181 1.356181 1.356181
11 -5748.3923776117 -3.166006 3.166006 3.166006 3.166006 3.166006
12 4838.9805930948 3.446027 -3.446027 -3.446027 -3.446027 -3.446027
13 6090.3624496036 4.252870 -4.252870 -4.252870 -4.252870 -4.252870
14 -5631.5893165679 -3.980218 3.980218 3.980218 3.980218 3.980218
15 -7659.5762353201 -0.873970 0.873970 0.873970 0.873970 0.873970
16 -7837.0412215791 -0.744623 0.744623 0.744623 0.744623 0.744623
17 -7944.5884889036 -0.668758 0.668758 0.668758 0.668758 0.668758
18 -8079.9710123084 -0.575721 0.575721 0.575721 0.575721 0.575721
19 -8025.9048536795 -0.612560 0.612560 0.612560 0.612560 0.612560
20 -8328.4393489602 -0.411428 0.411428 0.411428 0.411428 0.411428
21 -8486.6953684308 -0.310708 0.310708 0.310708 0.310708 0.310708
22 -8594.6975507595 -0.243566 0.243566 0.243566 0.243566 0.243566
23 98.4616881779 -0.153718 0.153718 0.153718 0.153718 0.153718
24 -7304.8529903933 -1.150720 1.150720 1.150720 1.150720 1.150720
25 -8553.9533712411 -0.268749 0.268749 0.268749 0.268749 0.268749
26 -8531.4970068610 -0.282704 0.282704 0.282704 0.282704 0.282704
27 -8534.2378722855 -0.280998 0.280998 0.280998 0.280998 0.280998
28 -8544.4135889505 -0.274671 0.274671 0.274671 0.274671 0.274671
29 -7356.1274678468 0.381025 -0.381025 -0.535686 -0.535686 1.443344
30 795.3263223557 -0.783274 0.783274 4.497068 4.497068 -0.781093
31 3300.3710183841 -1.214450 1.214450 -0.587733 -0.587733 -2.771042
32 3781.3108584174 -0.454783 0.454783 -0.166382 -0.166382 -3.236105
33 362.8468507063 -0.336267 0.336267 -1.570248 -1.570248 0.261623
34 338.8951891648 -1.578948 1.578948 1.032663 1.032663 -0.235954
35 540.0787324390 -0.334754 0.334754 0.982975 0.982975 -0.423319
36 -8151.8513208199 1.644058 -1.644058 -0.138493 -0.138493 0.637824
37 309.7991562558 -4.968302 4.968302 0.043048 0.043048 -0.151124
38 -8478.6541112805 -0.454212 0.454212 -0.352159 -0.352159 0.420796
39 1977.7658905107 -0.033625 0.033625 0.206574 0.206574 -1.699446
40 -7823.0939745446 -0.399423 0.399423 2.594709 2.594709 0.368387
41 -7314.0486443775 -0.142651 0.142651 0.245287 0.245287 1.342748
