evaluations raw_y x0 x1 x2 x3 x4
1 -6296.5434371300 -0.611676 -0.065449 3.503843 4.996553 2.290795
2 3147.4286321930 1.054082 -3.919692 -3.655156 2.161153 -2.267418
3 2894.2114077189 -3.365111 -0.295901 0.023649 -2.812310 -2.239213
4 -8954.8525954938 -0.422189 -1.792214 -1.113302 -3.995005 1.047331
5 -5714.7002941429 3.644968 2.627505 2.332067 -2.606695 1.414534
6 -6245.2475827409 1.819174 -0.846976 -3.703254 1.112385 3.283452
7 -6864.2628374007 -1.834791 4.567738 -3.389051 0.191224 0.830820
8 1087.7161397878 -3.158655 -1.367261 -3.991618 4.428481 -0.159822
9 1504.6915638360 3.678345 1.779529 -0.285570 0.857664 -1.475784
10 -5797.5613372144 4.049697 -1.458714 3.594827 -1.333719 3.936445
11 -6207.7379851570 -3.420748 2.294169 4.923463 1.571053 3.231936
12 3057.2477080067 -3.216072 2.140357 -4.164376 -4.174232 -2.023283
13 4549.7086625702 3.686591 1.507612 -4.994789 -4.128363 -3.334358
14 1742.3083832166 4.786593 3.860523 -0.834856 -3.860440 -1.208003
15 2201.3773182496 1.955925 -4.636282 3.905097 -3.138640 -1.274542
16 -8153.7447583431 -2.654632 2.310080 -3.687227 -5.000000 1.776062
17 342.5266236039 -5.000000 -5.000000 -2.997725 -5.000000 1.318918
18 -5442.2216199947 -0.373509 5.000000 0.741751 -5.000000 2.030545
19 -6782.5217352576 0.374731 -0.686715 2.288784 -4.584545 1.774642
20 163.9120697462 -1.020015 -5.000000 -5.000000 -5.000000 1.605394
21 -6738.2855984336 2.528933 0.056484 -1.236426 -4.512320 1.871522
22 472.4121521889 -3.186392 0.405297 -5.000000 -4.671316 0.888578
23 -7004.4219685139 -1.634615 2.117938 -2.249674 -4.319512 2.412894
24 -7457.6509261488 -1.504625 1.805454 -0.560833 1.423219 0.922334
25 496.4502591914 1.782364 -5.000000 -0.098936 -5.000000 0.802199
26 -6913.9936177517 4.038553 -2.061983 -0.957255 -4.962404 1.924611
27 -9097.3996130794 -5.000000 -1.098900 0.040573 3.905616 0.962292
28 -7606.5621433850 -5.000000 4.182340 -4.411823 -3.569111 2.306344
29 198.8717201829 5.000000 -1.234717 0.220462 -5.000000 0.663217
30 -6940.4490810631 -5.000000 1.310826 -0.241054 4.645177 2.289982
31 -7817.3697415658 -5.000000 0.945897 0.367537 -0.640284 2.279326
32 -9152.8834005707 -2.984095 -0.952513 -0.865332 -4.693929 1.570786
33 -7518.1335715768 -2.158056 -0.754356 -1.429419 5.000000 1.204854
34 -6131.9367441613 -2.082753 4.663861 -3.539361 -4.865073 2.874064
35 -7993.9211299662 -2.372705 -1.979904 0.000327 -0.619784 1.986359
36 -9686.5536884837 -3.955311 -0.879294 0.752398 -5.000000 1.134862
37 -8183.2301716695 -4.126403 -0.936374 1.407146 1.181563 1.670567
38 -6411.9186270704 5.000000 -1.917608 -1.140067 -5.000000 3.956823
39 -8495.1638273648 -5.000000 1.886244 2.268736 -5.000000 1.321454
40 -6716.6275687812 0.116249 3.735678 -5.000000 -5.000000 1.769318
41 -7291.8126759227 5.000000 -2.430338 -4.533246 -5.000000 2.774611
42 -4937.6985665846 4.995681 1.679748 4.996675 -5.000000 3.619801
43 2832.3633309492 -5.000000 3.468126 1.117161 -5.000000 -2.124741
44 -8645.3662846884 -5.000000 3.266359 -1.741784 -5.000000 1.476910
45 133.4732069816 -3.711542 -1.428200 0.168349 -5.000000 0.990742
46 -7365.9593186157 -5.000000 3.150864 2.251374 5.000000 1.280918
47 -6874.1472534271 -5.000000 2.302489 -1.153704 5.000000 1.880400
48 -8172.7241895411 -5.000000 -0.819540 2.057183 -5.000000 2.653272
49 -7882.7421261149 -5.000000 -1.936405 5.000000 5.000000 1.685534
50 -7644.5779121508 -5.000000 -2.250194 5.000000 -5.000000 2.589023
51 -10940.9688625105 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
52 -8298.7514818790 -5.000000 -5.000000 -5.000000 3.341727 5.000000
53 -6332.6647346132 5.000000 0.888225 0.630835 1.510330 1.092668
54 211.8074948338 -5.000000 2.490825 -5.000000 5.000000 1.039755
55 -9891.0315719783 -5.000000 -2.032678 -5.000000 -5.000000 5.000000
56 -8247.9428581651 5.000000 -5.000000 -5.000000 -5.000000 5.000000
57 -9782.6780972056 -5.000000 -5.000000 -1.828087 -5.000000 5.000000
58 -10997.7637758403 -5.000000 -5.000000 -5.000000 -5.000000 4.538833
59 -10940.9688625105 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
60 -10940.9688625105 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
61 -10940.9688625105 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
62 -10940.9688625105 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
63 -10940.9688625105 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
64 -11031.9812236447 -5.000000 -5.000000 -5.000000 -5.000000 4.401992
65 -11026.9243418717 -5.000000 -5.000000 -5.000000 -5.000000 4.420368
66 -10706.5302927917 -5.000000 -5.000000 -4.114223 -5.000000 4.381781
67 -11010.8681348313 -5.000000 -5.000000 -5.000000 -5.000000 4.482580
68 -11007.0115462341 -5.000000 -5.000000 -5.000000 -5.000000 4.498549
69 -11003.6248562857 -5.000000 -5.000000 -5.000000 -5.000000 4.512957
70 -10594.1757645145 -5.000000 -5.000000 -3.862950 -5.000000 4.453598
71 -7261.9592507260 -5.000000 -5.000000 5.000000 -5.000000 5.000000
72 -6821.3050903762 -5.000000 -5.000000 5.000000 5.000000 5.000000
73 -10998.3941332886 -5.000000 -5.000000 -5.000000 -5.000000 4.535989
74 -10541.4779540976 -5.000000 -5.000000 -3.750221 -5.000000 4.500159
75 -10990.8767287271 -5.000000 -5.000000 -5.000000 -5.000000 4.570987
76 6249.1281460548 -5.000000 -5.000000 5.000000 5.000000 -5.000000
77 -10987.3751457933 -5.000000 -5.000000 -5.000000 -5.000000 4.588175
78 -10984.9079673603 -5.000000 -5.000000 -5.000000 -5.000000 4.600672
79 -10981.8583707111 -5.000000 -5.000000 -5.000000 -5.000000 4.616606
80 -10978.5371060246 -5.000000 -5.000000 -5.000000 -5.000000 4.634638
81 -10977.5165504866 -5.000000 -5.000000 -5.000000 -5.000000 4.640335
82 -10974.5665038012 -5.000000 -5.000000 -5.000000 -5.000000 4.657256
83 -10357.1932766532 -5.000000 -3.247231 -5.000000 -5.000000 4.523382
84 -10940.9688625105 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
85 -10943.2991042460 -5.000000 -5.000000 -5.000000 -5.000000 4.939045
86 -6954.2588488720 -2.694290 3.495690 -1.141849 -2.836561 1.763927
87 -8995.4967471455 -1.672391 -4.792687 -4.506048 -3.168890 4.966475
88 -11011.6719330101 -5.000000 -5.000000 -5.000000 -5.000000 4.479307
89 -9668.5658445256 -5.000000 -5.000000 -5.000000 -0.694847 4.402884
90 -8050.1824902496 -0.352399 -0.971100 0.237255 -3.863021 1.255381
91 -10992.3970929672 -5.000000 -5.000000 -5.000000 -5.000000 4.563709
92 -10990.1143764600 -5.000000 -5.000000 -5.000000 -5.000000 4.574677
93 4146.7104657256 -5.000000 -2.164813 -1.481504 -5.000000 -2.969073
94 -10991.5362236957 -5.000000 -5.000000 -5.000000 -5.000000 4.567817
95 -10988.6446109420 -5.000000 -5.000000 -5.000000 -5.000000 4.581872
96 -7498.5120894556 1.901188 -3.397505 -3.489259 -3.076899 4.506313
97 -10878.7870624727 -5.000000 -4.817118 -5.000000 -5.000000 5.000000
98 -10971.4182064989 -5.000000 -5.000000 -5.000000 -5.000000 4.676136
99 -10972.0772323085 -5.000000 -5.000000 -5.000000 -5.000000 4.672108
100 -10491.6511435374 -5.000000 -3.592297 -5.000000 -5.000000 4.493507
101 -10956.9780041455 -5.000000 -5.000000 -5.000000 -5.000000 4.778539
102 791.6409062020 -5.000000 -0.933264 -5.000000 4.923234 0.475003
103 -6578.4827491221 2.472671 -2.094718 -1.804613 -1.393335 3.964224
104 -6181.1329297357 -5.000000 3.645751 5.000000 -5.000000 5.000000
105 -10961.1371725783 -5.000000 -5.000000 -5.000000 -5.000000 4.745601
106 -9752.8825531699 -5.000000 -5.000000 -4.857441 -1.221528 4.745483
